date, stocks, balance, growth,,
2/4/19, ['VALE' : 'DB' : 'GOOG'],3026,2.026,,20190204
2/5/19, ['AAPL' : 'XOM' : 'AMZN'],8227.66374,1.71899,,20190205
2/6/19, ['EQNR' : 'NVS' : 'UAL'],8885.876839,0.08,,20190206
2/7/19, ['TMUS' : 'SNN' : 'TM'],8833.627883,-0.00588,,20190207
2/8/19, ['PFE' : 'X' : 'JNJ'],9441.381482,0.0688,,20190208
2/11/19, ['AMGN' : 'HMC' : 'HSBC'],8139.226148,-0.13792,,20190211
2/12/19, ['PFE' : 'JNJ' : 'VZ'],9927.088563,0.21966,,20190212
2/13/19, ['F' : 'TM' : 'AMOV'],8735.837936,-0.12,,20190213
2/14/19, ['VZ' : 'VALE' : 'AZN'],9444.314392,0.0811,,20190214
2/15/19, ['NVDA' : 'DB' : 'HSBC'],4340.134679,-0.54045,,20190215
2/17/19, [],4340.134679,0,,20190217
2/19/19, ['PFE' : 'K' : 'AMZN'],16320.38204,2.76034,,20190219
2/20/19, ['BMY' : 'MSFT' : 'AU'],14869.50008,-0.0889,,20190220
2/21/19, ['NEM' : 'MRK' : 'DBX'],15232.01849,0.02438,,20190221
2/22/19, ['KHC' : 'APC' : 'MSFT'],14159.83671,-0.07039,,20190222
2/25/19, ['GOLD' : 'AMGN' : 'INTC'],15193.50479,0.073,,20190225
2/26/19, ['T' : 'TSLA' : 'FMX'],23912.60138,0.57387,,20190226
2/27/19, ['VALE' : 'AMZN' : 'CPB'],59879.30598,1.50409,,20190227
2/28/19, ['JWN' : 'AGN' : 'OXY'],64840.30648,0.08285,,20190228
3/1/19, ['TM' : 'GOOG' : 'GOOGL'],282379.5347,3.355,,20190301
3/4/19, ['NEM' : 'BIIB' : 'AAPL'],69228.16674,-0.75484,,20190304
3/5/19, ['EQNR' : 'GOLD' : 'AMZN'],-1938.388669,-1.028,,20190305
