date,open,high,low,close,volume
2017-01-03,56.9634,57.063,56.0716,56.5016,9328198
2017-01-04,56.7099,57.76,56.7099,57.2983,8674823
2017-01-05,57.3798,57.8959,57.063,57.7329,5359393
2017-01-06,57.8334,57.9411,57.5066,57.751,4722267
2017-01-09,57.7601,58.2851,57.7148,58.1312,8794509
2017-01-10,57.9864,58.3938,57.7329,58.0045,6523547
2017-01-11,57.9588,58.2011,55.4074,55.9104,13565179
2017-01-12,55.572,56.1756,55.252,56.0384,8194353
2017-01-13,56.1024,57.0717,55.8281,56.6877,7295072
2017-01-17,56.4682,56.7334,55.8738,56.5688,8446663
2017-01-18,56.4773,56.8248,56.0704,56.3859,5519407
2017-01-19,56.1939,56.5871,55.8922,56.1298,5384163
2017-01-20,56.1573,56.4865,55.8555,55.9195,6730041
2017-01-23,55.8006,56.0201,55.4897,55.7458,5244715
2017-01-24,55.7,55.7183,54.5661,55.3983,6642033
2017-01-25,55.4166,56.3585,55.1788,56.1298,8052806
2017-01-26,55.9287,56.6054,55.8464,56.0292,7765266
2017-01-27,54.8679,56.011,54.4289,54.8679,14151123
2017-01-30,54.7856,55.2977,54.2003,55.2611,7792654
2017-01-31,54.877,56.0704,54.6393,55.8829,8149764
2017-02-01,55.8464,55.8738,55.1148,55.6818,5888681
2017-02-02,55.4623,55.8921,55.3068,55.6818,5365347
2017-02-03,55.6909,55.8372,55.2702,55.4806,6470271
2017-02-06,55.3343,55.7503,55.1879,55.4623,5358137
2017-02-07,55.4623,55.6635,55.2337,55.38,4210335
2017-02-08,54.9959,55.8006,54.9136,55.3434,5357808
2017-02-09,55.5446,55.7823,55.252,55.636,4324649
2017-02-10,55.6452,55.7823,55.1148,55.252,5749160
2017-02-13,55.3983,55.6534,55.2651,55.3343,6396046
2017-02-14,55.2702,55.7641,55.005,55.6177,13562193
2017-02-15,55.7092,56.5505,55.2337,56.3767,8927630
2017-02-16,56.395,56.6145,55.6086,56.2213,5662016
2017-02-17,56.2762,56.77,55.9378,56.4865,8124442
2017-02-21,56.5505,56.7974,56.2396,56.5413,8503519
2017-02-22,56.4408,56.6511,56.0567,56.1116,6422208
2017-02-23,56.4042,56.912,56.1939,56.6419,8057672
2017-02-24,56.6236,56.9071,56.2304,56.7791,6536399
2017-02-27,56.7151,57.0352,56.4042,56.898,5214091
2017-02-28,56.7974,57.0626,56.4133,56.5505,6756122
2017-03-01,56.8431,57.5473,56.6511,57.4558,7737382
2017-03-02,57.4101,58.159,57.2455,57.8399,8190430
2017-03-03,57.7119,58.0959,57.4558,57.9222,6125782
2017-03-06,57.6113,58.3886,57.5015,58.1142,6837019
2017-03-07,57.7393,58.6538,57.5838,58.2423,9638038
