date,open,high,low,close,volume
2017-01-03,75.4798,79.8927,75.2876,79.4216,4134229
2017-01-04,79.412,81.854,79.287,81.3925,2561906
2017-01-05,81.1233,81.5559,79.4312,80.4503,2136224
2017-01-06,80.3061,82.4693,80.3061,81.5271,2131961
2017-01-09,81.3348,82.7481,81.3348,82.1808,2081568
2017-01-10,81.8155,82.8154,81.0464,81.5559,1860866
2017-01-11,81.8636,82.9836,76.8547,78.3833,3994919
2017-01-12,79.1043,81.6617,78.7871,80.6234,2771249
2017-01-13,80.8349,81.8347,80.2869,81.354,1397850
2017-01-17,81.6425,83.1326,80.8445,82.6712,2103556
2017-01-18,82.6327,82.8538,81.902,82.2097,2094559
2017-01-19,81.9886,82.4693,81.5463,82.1712,1574505
2017-01-20,82.5462,82.9403,79.9985,80.5176,3780132
2017-01-23,80.4888,81.8155,80.0946,81.604,1420144
2017-01-24,81.4309,81.902,80.8156,81.1521,1513452
2017-01-25,81.6232,82.6039,81.3156,82.5173,1858179
2017-01-26,77.9122,81.9068,77.9122,80.1715,3482915
2017-01-27,80.4503,80.4503,78.9025,79.2486,1865412
2017-01-30,79.3639,80.5176,77.7007,80.3926,2650040
2017-01-31,83.2768,84.4498,79.7966,83.9114,5827271
2017-02-01,84.3248,85.2766,82.7673,85.19,3361963
2017-02-02,84.6516,85.3535,83.2288,84.6516,3836359
2017-02-03,85.1516,86.1514,84.3536,85.8342,2990323
2017-02-06,85.7284,88.1127,85.4986,86.5072,2869751
2017-02-07,86.3822,88.1031,86.2476,86.8437,2108481
2017-02-08,86.6994,87.5935,86.2139,87.5551,1469758
2017-02-09,87.5359,88.2377,86.6802,88.1127,1630654
2017-02-10,88.0069,88.2088,86.7821,87.6512,1527574
2017-02-13,87.9973,90.8527,85.9688,86.9879,3038167
2017-02-14,86.5264,87.5743,86.2668,87.3147,2066338
2017-02-15,87.1513,87.9397,86.1995,87.6608,1944692
2017-02-16,87.8394,88.3607,85.9089,87.183,2282876
2017-02-17,87.1058,87.7236,86.6039,87.6077,1441214
2017-02-21,87.5884,87.9842,86.4494,87.8491,2061161
2017-02-22,88.0228,88.9977,87.8491,88.1676,1152878
2017-02-23,88.2738,89.1869,87.8008,88.4282,2169821
2017-02-24,88.3317,88.9591,87.3857,88.9591,1001677
2017-02-27,89.1039,89.519,88.129,88.5441,1140061
2017-02-28,88.7082,88.7371,87.8201,88.3317,1916323
2017-03-01,88.9881,89.5837,88.5054,89.0267,1394379
