date,open,high,low,close,volume
2017-01-03,36.7563,37.1812,36.4772,37.1527,9677316
2017-01-04,37.1622,37.7949,37.1622,37.4476,22644542
2017-01-05,37.3335,37.8187,37.0861,37.7711,12080148
2017-01-06,37.7711,38.9984,37.7331,38.7986,14628910
2017-01-09,38.8082,39.065,38.6464,38.7606,10992496
2017-01-10,38.8272,39.5978,38.7986,39.2839,9256298
2017-01-11,39.3078,39.6573,38.7668,39.3365,10699446
2017-01-12,39.0588,39.0588,38.5992,38.9918,8633354
2017-01-13,39.0205,39.6046,38.9631,39.1929,9533780
2017-01-17,38.9439,39.2982,38.8099,39.1642,8272727
2017-01-18,39.3078,39.3557,38.7907,39.0301,7195205
2017-01-19,38.9152,39.0014,38.5322,38.6854,7160171
2017-01-20,38.7907,39.0397,38.6327,38.7428,5908000
2017-01-23,38.6088,38.8242,38.4939,38.6279,7351854
2017-01-24,38.6088,38.7811,38.4173,38.5992,7773693
2017-01-25,38.0725,38.7476,37.5842,38.5992,16890214
2017-01-26,38.7428,39.3748,38.7333,39.2216,9410238
2017-01-27,39.3652,39.5568,39.1642,39.2599,7033637
2017-01-30,39.1259,39.394,39.0397,39.2695,13811560
2017-01-31,39.0014,40.0164,38.8769,39.9972,12318224
2017-02-01,39.7483,40.5718,39.6812,40.5335,11948793
2017-02-02,40.3898,40.9739,40.0738,40.9356,11836897
2017-02-03,41.1176,41.2995,40.7346,40.9644,11642218
2017-02-06,40.7633,40.9356,40.4377,40.6292,8735171
2017-02-07,40.7633,41.1559,40.7001,41.0697,8697290
2017-02-08,40.8495,40.9155,40.4856,40.6005,6731375
2017-02-09,40.6963,40.9644,40.5239,40.7346,5138389
2017-02-10,40.9261,40.9835,40.6771,40.9261,3692381
2017-02-13,41.175,41.3857,41.041,41.3857,5672370
2017-02-14,41.1846,41.8741,41.1351,41.7974,8458818
2017-02-15,41.6538,42.2092,41.5772,42.1326,7946389
2017-02-16,42.1326,42.3337,41.8836,42.3241,8975535
2017-02-17,42.2954,42.8029,42.2188,42.7933,9632008
2017-02-21,42.755,43.2338,42.6497,43.0997,11387762
2017-02-22,42.9752,43.1956,42.9082,43.0997,7534641
2017-02-23,43.1093,43.5785,42.9465,43.4732,9459424
2017-02-24,43.3678,43.7413,43.3104,43.7413,7608646
2017-02-27,43.5785,43.6264,43.2673,43.5306,6142610
2017-02-28,43.4828,43.5019,42.9274,43.1668,14211439
2017-03-01,43.4445,43.7604,43.2673,43.6551,8886276
2017-03-02,43.5689,43.8897,43.4253,43.7509,11164608
2017-03-03,43.4923,43.6264,43.1955,43.3295,6790781
2017-03-06,43.0806,43.45,42.9561,43.2146,6001280
2017-03-07,42.9082,43.2434,42.7742,43.0902,6476612
2017-03-08,43.1189,43.5258,43.0135,43.4349,6398621
2017-03-09,43.4349,43.7987,43.4205,43.6934,5691017
2017-03-10,43.8275,43.8945,43.5785,43.7796,6105876
2017-03-13,43.7126,43.837,43.3104,43.5977,7040547
2017-03-14,43.2721,43.3295,42.8699,42.8986,7504525
2017-03-15,43.0519,43.4732,42.9561,43.3966,6844368
2017-03-16,43.2529,43.4445,42.7215,43.071,6704220
2017-03-17,43.1859,43.3487,42.8699,43.2721,12277435
2017-03-20,43.2721,43.3104,42.9657,43.071,3521597
2017-03-21,43.2338,43.454,42.7071,42.8986,5567081
2017-03-22,43.0327,43.1572,42.6976,42.9082,5198940
2017-03-23,42.8125,43.0806,42.6976,42.8699,3953148
2017-03-24,42.8603,43.2338,42.7071,42.8316,4753163
2017-03-27,42.6401,42.8986,42.5059,42.8029,6914657
2017-03-28,42.8412,42.8795,42.3816,42.8029,5377379
2017-03-29,42.7742,42.9322,42.4869,42.7742,4186949
2017-03-30,42.7359,42.7646,42.4773,42.6593,4411647
2017-03-31,42.4486,42.9178,42.4486,42.5252,7146506
2017-04-03,42.5348,42.7167,42.2092,42.5826,7955821
2017-04-04,42.6401,42.6593,42.1422,42.305,5399161
2017-04-05,42.2954,42.6497,41.8453,41.9411,7762250
2017-04-06,41.9507,41.9507,41.5102,41.8166,6067344
2017-04-07,41.7687,42.0847,41.7208,41.9698,5327817
2017-04-10,41.9698,42.0943,41.6921,41.74,4321303
2017-04-11,41.6388,42.0001,41.5714,41.9856,4871886
2017-04-12,41.7352,41.9952,41.6099,41.8893,4778945
2017-04-13,40.8488,41.3883,40.8392,41.1089,11426957
2017-04-17,41.1089,41.793,40.7621,41.7255,8068503
2017-04-18,41.5136,41.9953,41.3883,41.8411,10131161
2017-04-19,42.1783,42.3903,41.5425,41.9953,13454621
2017-04-20,42.0916,42.5348,41.9294,42.371,5871911
2017-04-21,42.3325,42.371,41.8411,41.9375,7519813
2017-04-24,42.4577,42.6408,42.2361,42.5155,6727012
2017-04-25,42.5926,42.7616,42.1591,42.1591,6793106
2017-04-26,42.3228,42.5348,42.1109,42.1976,5591151
2017-04-27,42.3518,42.3999,42.0001,42.0531,7487495
2017-04-28,42.0724,42.1494,41.9086,42.0435,6014062
2017-05-01,41.976,42.0627,41.7352,41.8893,5119107
2017-05-02,42.0627,42.1687,41.8171,42.0049,6166080
2017-05-03,42.0146,42.1494,41.8989,42.1205,4579737
2017-05-04,42.1494,42.9587,42.1205,42.9587,6551398
2017-05-05,42.9491,43.055,42.8527,43.0069,5893207
2017-05-08,43.0647,43.2574,42.9972,43.0454,6320137
2017-05-09,43.0165,43.1321,42.9298,43.0358,4943052
2017-05-10,43.0647,43.0647,42.7467,42.872,5253297
2017-05-11,42.766,42.766,42.1735,42.2554,7071583
2017-05-12,42.2939,42.5541,42.265,42.3518,5775769
2017-05-15,42.3132,42.6119,42.2939,42.4288,4223510
2017-05-16,42.9587,42.9587,41.8219,42.0916,7159346
2017-05-17,41.8122,42.0146,41.475,41.5039,5989323
2017-05-18,41.5906,41.6966,41.3113,41.4076,5225119
2017-05-19,41.5714,41.7352,41.4365,41.581,5882979
2017-05-22,41.687,42.265,41.5232,42.1302,5802308
2017-05-23,42.1109,42.5541,42.0242,42.082,4673163
2017-05-24,42.188,42.188,41.8074,41.9375,4590820
2017-05-25,42.1783,42.3903,41.8508,42.3421,4473908
2017-05-26,42.3132,43.2092,42.2265,43.0743,8624069
2017-05-30,42.8335,43.45,42.5926,43.3537,8119697
2017-05-31,43.5464,44.0763,43.5271,43.9896,10449789
2017-06-01,43.8547,44.4135,43.8065,44.4135,7385462
2017-06-02,44.635,44.847,44.4616,44.7988,6885739
2017-06-05,44.8663,45.0397,44.6832,44.9144,7810647
2017-06-06,44.8759,44.9915,44.6254,44.6639,6048344
2017-06-07,44.6832,44.8952,44.5387,44.8566,4358394
2017-06-08,44.3653,45.2613,44.24,45.0108,8364417
2017-06-09,45.0975,45.5792,44.953,45.5599,9117724
2017-06-12,45.5599,45.9742,45.1168,45.4443,7365566
2017-06-13,45.5118,45.926,45.4732,45.7237,7163673
2017-06-14,45.7237,46.1187,45.7141,45.8971,6076858
2017-06-15,45.8393,46.5715,45.637,46.3596,9366730
2017-06-16,46.4174,46.61,46.0513,46.4463,9902210
2017-06-19,46.5715,47.3711,46.3885,47.1014,7409522
2017-06-20,47.1014,47.4964,46.9665,46.9858,8500670
2017-06-21,47.005,47.1399,46.5233,46.7931,8271765
2017-06-22,46.822,47.7758,46.7353,47.4675,8714052
2017-06-23,47.3808,47.5542,47.1736,47.2844,9343863
2017-06-26,47.4097,47.6409,47.1014,47.1207,5302582
2017-06-27,47.1592,47.3326,46.8702,46.8894,3893241
2017-06-28,47.1399,47.2266,46.5811,46.7064,8366287
2017-06-29,46.9472,47.4,46.7258,46.9472,6048500
2017-06-30,46.9954,47.2507,46.8316,46.8316,4723320
2017-07-03,46.9472,47.2459,46.875,46.928,2454764
2017-07-05,46.9376,47.3037,46.8798,47.2074,5637209
2017-07-06,47.0436,47.0725,46.1476,46.1861,5665313
2017-07-07,46.4077,46.7064,46.2199,46.6678,4354311
2017-07-10,46.6486,46.7546,46.374,46.4655,3480466
2017-07-11,46.4366,46.6582,46.2779,46.3885,4084438
2017-07-12,46.6646,47.1683,46.4999,46.9164,3906900
2017-07-13,46.9164,47.0133,46.3352,46.5774,7016610
2017-07-14,46.6936,47.5703,46.6452,47.3814,4111007
2017-07-17,47.3814,47.4928,47.1974,47.2361,3358448
2017-07-18,47.1683,47.3233,46.7711,47.2168,4163584
2017-07-19,47.2749,47.9239,47.2361,47.8852,6484975
2017-07-20,48.1274,49.5321,47.8077,49.2608,12331181
2017-07-21,49.1446,49.3383,48.9121,49.2511,7980288
2017-07-24,49.2221,49.3964,48.8878,49.2124,8584349
2017-07-25,49.3867,49.4061,49.0332,49.2414,5692843
2017-07-26,49.1543,49.2221,48.6989,48.8249,6057053
2017-07-27,48.7474,48.7861,48.3502,48.5439,7370923
2017-07-28,48.5924,48.6311,47.9627,48.0596,5688266
2017-07-31,48.2049,48.2824,47.6236,47.643,6036176
2017-08-01,47.7011,47.8174,47.5558,47.7205,3236155
2017-08-02,47.6043,47.7205,47.2652,47.6914,4841891
2017-08-03,47.7205,47.7496,47.4008,47.6236,4365652
2017-08-04,47.7011,47.8174,47.5558,47.7205,3334712
2017-08-07,47.7205,47.8368,47.5655,47.7593,2898337
2017-08-08,47.7011,47.7011,47.2846,47.3524,3390714
2017-08-09,47.2361,47.3427,46.9164,47.2458,4102919
2017-08-10,47.2168,47.3233,46.5483,46.558,4652197
2017-08-11,46.7324,47.2458,46.558,47.023,3978902
2017-08-14,47.2168,47.7108,47.178,47.5461,3248436
2017-08-15,47.5268,47.6672,47.2846,47.2943,2922105
2017-08-16,47.5074,48.3018,47.4347,48.2533,6492136
2017-08-17,48.0789,48.5827,47.7108,47.7496,6633105
2017-08-18,47.5655,47.6333,47.1586,47.2168,4810807
2017-08-21,47.2555,47.4541,47.0618,47.3524,4281998
2017-08-22,47.4202,48.2921,47.3524,48.1564,4018805
2017-08-23,48.0014,48.2049,47.8368,48.0886,4558959
2017-08-24,48.1855,48.2824,47.7883,47.8368,3871755
2017-08-25,48.0402,48.2436,47.8077,47.8077,4852442
2017-08-28,47.9918,48.7764,47.9724,48.6893,6126858
2017-08-29,48.3502,48.7086,47.9475,48.5827,4117441
2017-08-30,48.4568,48.6408,48.3114,48.5439,2926346
2017-08-31,48.728,49.4546,48.5439,49.348,6207801
2017-09-01,49.4352,49.8033,49.2221,49.5805,4599498
2017-09-05,49.2511,49.5805,49.0574,49.4352,4167559
2017-09-06,49.5999,49.8082,49.4642,49.5902,7719487
2017-09-07,49.7936,50.0067,49.5321,49.8808,4631738
2017-09-08,49.6871,50.5202,49.6871,50.3942,6221827
2017-09-11,50.7139,50.9561,50.3846,50.8108,3668836
2017-09-12,50.8496,50.898,50.2586,50.6171,3759614
2017-09-13,50.6074,50.6946,50.2683,50.3749,4214137
2017-09-14,50.3071,50.4717,49.9583,50.0746,5568305
2017-09-15,50.1327,50.2586,49.8808,50.1424,6699659
2017-09-18,50.2683,50.4621,49.9874,50.4524,3371140
2017-09-19,50.5202,50.6074,49.7646,49.8033,3790880
2017-09-20,49.7839,50.2925,49.7839,50.2683,4967024
2017-09-21,50.2586,50.3555,49.7742,49.8227,5737550
2017-09-22,49.9002,50.9367,49.8905,50.8689,7978960
2017-09-25,50.8205,51.1305,50.6794,50.9658,9778116
2017-09-26,50.9755,51.6342,50.9464,51.1983,6960683
2017-09-27,51.1983,51.4211,49.9389,50.5202,8025594
2017-09-28,53.0389,53.0874,51.9346,51.9636,14861129
2017-09-29,51.9636,52.1089,51.6246,51.6924,8458956
2017-10-02,51.9636,52.0217,51.5325,52.0024,8681945
2017-10-03,52.0702,52.3075,52.0217,52.0702,4464895
2017-10-04,51.9927,52.6417,51.9355,52.6417,5629687
2017-10-05,52.6708,53.3877,52.6514,53.2036,5143121
2017-10-06,53.1842,53.3389,52.8064,53.2811,4302126
2017-10-09,53.3296,53.3296,52.9033,52.9517,3985799
2017-10-10,53.0583,53.6977,52.8258,53.6686,4943124
2017-10-11,53.533,53.6202,52.6224,52.7386,6940043
2017-10-12,52.8019,53.2789,52.6754,53.2594,4404962
2017-10-13,53.1913,53.3373,53.0063,53.201,4951775
2017-10-16,53.1718,53.4541,53.0767,53.1816,3725850
2017-10-17,53.1426,53.7657,52.9577,53.6002,5432973
2017-10-18,53.717,55.0993,53.4639,54.2913,9044529
2017-10-19,54.4179,54.6905,53.9409,54.5152,4865319
2017-10-20,54.6807,54.9436,54.4568,54.8268,5528681
2017-10-23,54.7197,55.1821,54.5834,54.5931,4709045
2017-10-24,54.5152,54.5834,53.717,53.9117,7200991
2017-10-25,53.9117,54.3984,53.7267,54.0285,4705052
2017-10-26,53.8727,54.2135,53.6196,54.009,5033437
2017-10-27,54.0188,54.1453,53.717,53.9019,4724503
2017-10-30,53.717,53.8405,52.6218,52.8506,7542616
2017-10-31,53.0355,53.094,52.5975,52.7922,7676194
2017-11-01,52.4612,53.1232,52.1887,52.5683,7641899
2017-11-02,52.6169,53.201,52.5293,52.9285,6953162
2017-11-03,53.1232,54.0285,53.0258,53.9993,4567065
2017-11-06,53.8533,53.9312,53.5515,53.5515,3134181
2017-11-07,53.6878,53.7949,53.2205,53.6975,4843996
2017-11-08,53.5223,53.8825,53.2692,53.7851,3712978
2017-11-09,53.6002,54.0285,53.4541,53.9798,3299772
2017-11-10,53.7657,53.8533,52.9285,53.3471,5033162
2017-11-13,53.24,53.9019,53.1134,53.8338,3854524
2017-11-14,53.5904,53.7462,53.3081,53.5515,6180407
2017-11-15,53.3276,53.6196,53.094,53.3763,4999782
2017-11-16,53.6488,54.3595,53.4055,54.0674,6866883
2017-11-17,53.8241,54.2329,53.7559,54.0869,6284213
2017-11-20,54.1843,54.2022,53.6683,53.8241,3699402
2017-11-21,53.9798,54.8268,53.9701,54.6321,4612991
2017-11-22,54.5444,54.6613,54.0966,54.3205,3552077
2017-11-24,54.3692,54.7002,54.2621,54.6418,2148282
2017-11-27,54.6807,55.0215,54.525,54.6613,4518295
2017-11-28,54.8073,54.8073,54.1015,54.5347,6841715
2017-11-29,54.6029,54.8073,53.9117,54.1064,7277873
2017-11-30,54.194,54.963,53.8435,54.8754,10086259
2017-12-01,54.8073,55.1772,53.8046,54.4958,5322310
2017-12-04,54.6515,54.7099,53.24,53.2594,4589081
2017-12-05,53.1913,53.8533,52.8993,53.3373,4321075
2017-12-06,53.4152,53.6508,52.8798,53.2108,7828595
2017-12-07,53.3081,53.4833,52.909,53.24,4421939
2017-12-08,53.2108,53.3957,52.8847,53.1913,5103892
2017-12-11,53.3179,53.6586,53.0355,53.4833,4273000
2017-12-12,53.9798,54.3887,53.6926,54.2232,9860720
2017-12-13,54.194,54.2816,53.3471,53.6002,9962307
2017-12-14,53.571,53.7559,53.1816,53.2789,5935190
2017-12-15,53.5515,54.0869,53.386,54.0285,14655482
2017-12-18,54.1161,55.0215,53.9506,54.9046,6053871
2017-12-19,55.148,55.4352,54.9533,55.294,7116846
2017-12-20,55.2259,55.7808,54.8998,55.5082,11948355
2017-12-21,55.6348,55.7516,55.2356,55.4206,6154694
2017-12-22,55.5861,55.8044,55.2551,55.4206,5449333
2017-12-26,55.4985,55.7272,55.3914,55.4887,3187912
2017-12-27,55.5763,56.0728,55.5374,55.9463,5243921
2017-12-28,55.9171,56.1604,55.8489,55.9365,3387664
2017-12-29,56.0728,56.2334,55.5569,55.5569,3995189
2018-01-02,56.6569,57.6304,56.2841,57.2313,10113305
2018-01-03,57.426,57.4503,56.764,57.3578,5684407
2018-01-04,57.9224,58.0198,57.2021,57.2605,6239956
2018-01-05,57.4746,57.5233,57.0804,57.426,5836945
2018-01-08,57.2897,57.4162,56.9733,57.2605,5411995
2018-01-09,57.5331,57.5331,56.8273,57.3578,7467672
2018-01-10,57.1923,57.3481,56.7445,57.2702,4340836
2018-01-11,57.368,57.6712,57.0159,57.6614,4240938
2018-01-12,57.6712,57.9451,57.5049,57.5538,6321142
2018-01-16,57.6037,57.8473,56.9572,57.1626,7175001
2018-01-17,57.4756,57.8082,57.3435,57.7006,5037504
2018-01-18,57.4952,57.9696,57.2506,57.7788,5658579
2018-01-19,57.9353,58.3755,57.6712,58.0136,7363008
2018-01-22,57.593,58.2679,57.1724,58.2679,6841939
2018-01-23,58.219,58.2641,57.6859,57.9353,8122077
2018-01-24,59.6666,62.7576,59.4123,60.3709,11704949
2018-01-25,61.799,63.1879,60.9578,61.8381,15261885
2018-01-26,61.7696,62.0484,61.3001,62.0337,10242797
2018-01-29,61.7109,62.0777,61.4762,61.9261,8638541
2018-01-30,61.0752,61.7354,60.9285,61.0752,6497641
2018-01-31,61.2903,61.3882,60.498,60.8013,7804362
2018-02-01,60.4002,61.173,60.3122,60.8208,8101584
2018-02-02,60.8404,61.0556,60.2926,60.3415,12346542
2018-02-05,60.2535,60.5176,57.2702,57.4462,11548229
2018-02-06,56.654,57.9652,56.0769,57.5734,15214679
2018-02-07,57.3191,58.5418,57.2213,57.3876,6872663
2018-02-08,57.4854,57.5441,54.9911,55.04,6874534
2018-02-09,55.3922,56.429,54.3651,55.9203,8028354
2018-02-12,56.4388,56.7126,55.6318,56.1551,8234201
2018-02-13,55.891,56.5287,55.5682,56.3801,5816623
2018-02-14,56.0671,57.1235,55.9008,57.0061,3728920
2018-02-15,57.4365,58.2092,57.055,58.1994,3871897
2018-02-16,58.1407,59.2157,58.0331,58.8548,7849189
2018-02-20,58.3755,58.5613,57.5538,57.8277,8182537
2018-02-21,57.7788,58.6787,57.5343,57.7006,4793848
2018-02-22,57.9158,58.1016,57.5147,57.7006,5539926
2018-02-23,57.9255,58.4342,57.6908,58.4048,5190445
2018-02-26,58.5515,59.2607,58.4244,59.2069,5364248
2018-02-27,59.4221,59.9014,59.07,59.2265,6747678
2018-02-28,59.3438,59.784,58.8646,59.0113,8325745
2018-03-01,58.845,58.8646,57.2506,57.5049,9711891
2018-03-02,57.2017,58.2288,57.1528,58.1603,7979196
2018-03-05,57.6223,59.3047,57.6125,59.0504,9000405
2018-03-06,59.2656,59.6862,58.7912,59.5493,6620048
2018-03-07,58.9526,60.0726,58.8743,59.9503,7726484
2018-03-08,59.9992,60.5959,59.9601,60.5176,5245774
2018-03-09,60.6937,62.3076,60.6616,62.2098,8184391
2018-03-12,62.2,62.5521,62.0288,62.2294,8858484
2018-03-13,62.4935,62.5521,61.6278,61.8185,6428545
2018-03-14,62.0337,62.2294,61.3588,61.486,5162114
2018-03-15,61.6718,61.7501,61.1534,61.2219,3364910
2018-03-16,61.4077,61.931,61.3393,61.799,11840947
2018-03-19,61.7501,61.8577,60.3416,60.8991,5286162
2018-03-20,61.1143,61.3882,60.7915,61.2806,3943042
2018-03-21,61.3784,61.6914,60.9773,61.0556,3478298
2018-03-22,60.4687,60.7426,59.5199,59.5982,5345250
2018-03-23,59.696,59.9307,58.0625,58.1994,6000798
2018-03-26,58.9624,59.8134,58.3755,59.7351,5694714
2018-03-27,59.9307,60.2731,58.6738,58.9624,6365304
2018-03-28,59.2069,59.383,57.8815,57.9353,8128752
2018-03-29,58.2679,59.0602,58.0038,58.6102,6656596
2018-04-02,58.5124,58.7765,56.3703,56.9376,6686491
2018-04-03,57.1235,57.7788,56.7322,57.7103,6113531
2018-04-04,57.0648,58.307,56.1942,58.1603,7405245
2018-04-05,58.5907,58.8303,58.2483,58.5515,6644536
2018-04-06,58.1407,58.2972,55.7443,56.3116,7447118
2018-04-09,56.5953,57.8179,56.1942,56.9474,5712315
2018-04-10,57.7299,58.307,57.4267,57.8473,5244751
2018-04-11,57.3582,57.7544,56.9376,57.1724,4044894
2018-04-12,57.4967,58.165,57.4574,57.821,4572325
2018-04-13,58.165,58.3567,57.4672,57.4869,8223673
2018-04-16,57.9881,58.509,57.9095,58.2535,6807514
2018-04-17,58.627,58.9316,58.0373,58.7744,5604601
2018-04-18,57.9881,58.5975,56.4647,58.4992,12648456
2018-04-19,58.4992,59.0004,58.1847,58.853,7675521
2018-04-20,58.8235,58.9218,57.8063,58.1749,5867509
2018-04-23,58.2633,58.4402,57.5851,57.8309,4516125
2018-04-24,58.0766,58.1552,56.676,57.3099,7480274
2018-04-25,57.0446,57.6638,56.7104,57.6441,5769257
2018-04-26,57.6834,58.4992,57.4918,58.4795,7372804
2018-04-27,58.4697,58.6663,58.1293,58.5385,4135387
2018-04-30,58.7351,58.7744,57.1035,57.133,6096123
2018-05-01,56.7104,57.8603,56.563,57.8112,6406388
2018-05-02,57.4869,57.5557,56.6809,56.8578,4519911
2018-05-03,56.7989,56.9463,55.8357,56.9365,5641008
2018-05-04,56.6514,58.0667,56.4942,57.7326,5833159
2018-05-07,57.9783,58.7351,57.9291,58.3026,5656052
2018-05-08,58.1061,58.1159,57.2411,57.7031,6778490
2018-05-09,57.8014,58.5582,57.4181,58.3812,4103362
2018-05-10,58.6073,59.5705,58.3419,59.5214,4791091
2018-05-11,59.1872,60.2487,59.1872,60.2093,5768124
2018-05-14,60.4452,61.1037,60.3371,60.9563,7705740
2018-05-15,60.3863,60.5239,59.2855,59.5017,5333461
2018-05-16,59.5312,60.1012,59.3641,59.7278,3588561
2018-05-17,59.7572,60.1111,59.3346,60.0128,4157900
2018-05-18,59.9735,60.8089,59.8948,60.6516,6357689
2018-05-21,60.9367,61.4183,60.7303,61.0448,4610142
2018-05-22,61.0349,61.2217,59.9145,60.3371,6802246
2018-05-23,60.17,60.9072,60.17,60.7794,4318022
2018-05-24,60.8285,61.6443,60.8285,61.4379,5783938
2018-05-25,61.4183,61.5067,60.9956,61.3003,3839066
2018-05-29,60.5239,60.8089,59.8064,60.2487,4967378
2018-05-30,60.7204,61.5755,60.3863,61.0055,5954051
2018-05-31,60.8384,61.1627,60.4501,60.4747,6322162
2018-06-01,60.8973,61.4133,60.7892,61.3396,3595765
2018-06-04,61.2512,62.0276,61.2119,61.9392,4063263
2018-06-05,62.008,62.2094,61.5362,61.949,4469439
2018-06-06,62.0276,62.4601,61.6984,62.4502,4064800
2018-06-07,62.4699,62.7549,61.7917,62.0964,3834269
2018-06-08,61.9293,62.3225,61.7623,62.1849,4674883
2018-06-11,62.1947,62.3925,61.8212,62.0473,5339303
2018-06-12,62.1849,62.3323,61.5362,61.8409,4869381
2018-06-13,61.9785,62.0817,61.3986,61.5559,6189058
2018-06-14,61.7819,62.1406,61.664,61.8802,3980778
2018-06-15,61.7819,61.9981,61.1922,61.831,11859419
2018-06-18,61.5165,61.7917,61.2119,61.7426,3672742
2018-06-19,61.1725,61.3396,60.858,61.2708,5302313
2018-06-20,61.1431,61.4232,60.976,61.0743,5121291
2018-06-21,60.9072,61.0349,60.3961,60.6909,4065615
2018-06-22,61.1627,61.32,60.6024,60.8777,5000555
2018-06-25,60.6418,60.7106,59.2808,59.7278,6012623
2018-06-26,59.6,60.0423,59.4526,59.7671,4303768
2018-06-27,60.1602,61.0743,59.4526,59.4526,6665248
2018-06-28,59.4231,60.4256,59.4231,60.2192,4237226
2018-06-29,60.4354,60.804,59.8752,59.944,5807251
2018-07-02,59.5902,59.9735,59.2855,59.9538,4365174
2018-07-03,59.9243,60.1749,59.5902,59.7671,2245220
2018-07-05,60.1405,60.3568,59.7179,60.2781,4065214
2018-07-06,60.514,61.3298,60.2101,61.0939,3647913
2018-07-09,61.1627,61.5559,61.0743,61.3691,3654890
