date,open,high,low,close,volume
2017-01-03,225.9722,227.8782,224.3106,227.7511,469365
2017-01-04,229.9699,232.9315,226.8715,232.4135,511845
2017-01-05,230.9473,232.9169,228.7481,230.4977,433053
2017-01-06,230.2338,232.3548,228.7286,230.9864,507210
2017-01-09,231.5045,233.0293,229.794,232.2278,461184
2017-01-10,232.1398,233.2736,229.1489,229.9504,567572
2017-01-11,230.0774,230.7225,226.7053,229.3053,654454
2017-01-12,228.103,230.7128,227.0767,230.3511,301448
2017-01-13,230.5075,232.912,230.1556,232.1887,413243
2017-01-17,230.9571,231.2601,223.3732,224.8091,958593
2017-01-18,224.8775,227.2331,224.6967,226.3925,427626
2017-01-19,227.1647,227.6045,224.5061,225.0241,374562
2017-01-20,226.373,226.373,224.0467,225.3467,551727
2017-01-23,225.376,225.7766,222.473,223.3918,667743
2017-01-24,222.473,222.9422,218.4362,221.1046,695240
2017-01-25,222.3557,225.3369,220.9482,222.1309,722093
2017-01-26,215.0348,221.6324,209.8348,216.6964,1861583
2017-01-27,218.4655,220.4595,215.1912,217.3317,638816
2017-01-30,216.7746,223.3723,216.452,223.0301,699514
2017-01-31,222.1309,225.3076,221.3196,223.2256,656981
2017-02-01,223.9978,225.2,223.0008,225.1903,594786
2017-02-02,224.1249,224.7211,220.4302,220.8798,668953
2017-02-03,222.2482,224.3986,222.2482,222.9911,464281
2017-02-06,222.952,224.5549,220.5778,221.3783,475929
2017-02-07,221.0069,222.5219,219.6434,220.0294,594517
2017-02-08,220.0685,222.9617,219.7558,220.6648,609327
2017-02-09,220.7918,224.7504,220.7918,223.4798,496302
2017-02-10,223.4798,223.4798,219.3159,221.9061,464094
2017-02-13,223.3069,224.6099,222.9151,223.1796,393448
2017-02-14,222.1803,225.8541,221.8766,224.7275,660708
2017-02-15,224.1495,226.6378,222.9347,225.8835,324898
2017-02-16,226.7848,227.2403,225.2625,226.7064,363305
2017-02-17,226.4811,230.3606,225.5602,230.2626,714115
2017-02-21,229.714,235.0336,226.1872,234.5928,640717
2017-02-22,233.3192,236.5032,231.5754,234.9945,440660
2017-02-23,235.6998,238.5703,234.4164,237.4926,653374
2017-02-24,237.0812,240.1279,234.9455,239.834,762306
2017-02-27,239.834,242.4498,238.8838,241.7542,736075
2017-02-28,242.1069,242.1363,237.2379,238.0412,922712
2017-03-01,239.6871,244.1544,238.4429,242.5869,621969
2017-03-02,242.7045,243.7038,238.7368,238.9817,468360
2017-03-03,238.4429,240.4316,237.1008,239.6577,778764
2017-03-06,237.6494,241.6073,235.7488,240.461,514355
2017-03-07,240.8039,240.9313,238.5899,240.0692,343477
2017-03-08,241.088,243.7527,239.6185,241.186,391816
2017-03-09,241.3917,243.5568,240.3141,242.8906,382580
2017-03-10,243.9389,246.0844,242.0873,243.1551,495277
2017-03-13,243.7234,244.8598,242.4106,242.7829,298185
2017-03-14,241.5289,241.9501,239.2217,240.5394,593515
2017-03-15,241.3819,241.8356,236.5815,240.559,774142
2017-03-16,241.1762,241.7738,238.6486,240.1084,389537
2017-03-17,240.608,241.6562,239.403,240.03,685888
2017-03-20,240.5296,241.0194,238.4527,239.5695,504090
2017-03-21,239.883,241.039,234.1519,234.4262,693559
2017-03-22,234.583,237.3163,234.1529,235.9741,333070
2017-03-23,236.0035,239.8047,235.7586,237.9825,372155
2017-03-24,239.256,240.706,237.1252,238.8348,341366
2017-03-27,236.5032,239.3638,233.7503,238.4821,617578
2017-03-28,238.051,240.5492,237.6396,239.7263,502212
2017-03-29,239.6087,240.6472,238.5409,240.3435,272262
2017-03-30,240.3435,244.3601,239.7361,243.8213,455949
2017-03-31,243.7038,244.9186,242.8857,243.9389,500234
2017-04-03,244.6736,246.1529,242.2049,245.2418,732673
2017-04-04,244.1348,248.1515,243.8997,245.8688,968393
2017-04-05,246.8681,249.7581,244.7033,245.1733,629920
2017-04-06,245.859,249.5426,245.0165,248.2103,422166
2017-04-07,247.0738,249.0332,245.7611,245.9374,551026
2017-04-10,245.2223,247.0346,242.3224,242.6261,607484
2017-04-11,240.03,241.4211,230.3116,233.4956,1828414
2017-04-12,233.4956,236.5227,233.427,234.0442,677049
2017-04-13,233.7699,234.1225,230.0079,230.1353,484533
2017-04-17,231.7713,234.9847,230.6839,233.6621,591759
2017-04-18,233.1233,235.1022,231.8987,233.1625,497338
2017-04-19,233.8678,236.317,231.4186,235.7488,799549
2017-04-20,246.8289,258.0462,243.3707,255.3227,1399787
2017-04-21,255.695,260.8383,253.2262,254.2353,1091243
2017-04-24,258.2911,258.585,255.3129,255.5676,756375
2017-04-25,256.1358,258.8593,255.9693,257.6641,477971
2017-04-26,257.5759,258.3597,256.273,256.9979,358753
2017-04-27,257.4976,257.4976,254.779,255.2443,408726
2017-04-28,253.9609,254.2255,238.6878,244.5561,1836647
2017-05-01,244.8892,248.994,243.4686,248.3278,691795
2017-05-02,248.0339,250.777,246.6428,250.6986,697874
2017-05-03,250.4439,250.475,246.2803,249.1018,1046725
2017-05-04,251.1199,251.9036,248.1221,248.5238,500233
2017-05-05,249.4153,250.3264,246.9465,250.297,360422
2017-05-08,249.7483,252.6678,248.6217,252.129,501926
2017-05-09,252.4425,255.9203,252.2171,254.921,399652
2017-05-10,253.6964,255.6558,253.1772,253.3046,418972
2017-05-11,251.9008,252.0382,244.509,246.4919,722268
2017-05-12,245.6575,246.541,238.2755,239.0019,904763
2017-05-15,238.4424,241.5836,234.4471,240.3566,878023
2017-05-16,241.2008,243.1739,239.8069,240.5627,488648
2017-05-17,237.3037,238.1773,232.3169,233.8188,647818
2017-05-18,232.6997,234.1526,228.5375,230.3536,753331
2017-05-19,230.972,231.8064,230.1278,230.8542,588761
2017-05-22,231.9537,234.2311,230.7953,233.8973,430761
2017-05-23,233.6225,233.6225,229.0676,231.8751,542051
2017-05-24,231.8751,234.0544,229.7155,233.3476,433787
2017-05-25,239.0314,244.5973,238.3737,241.1125,1072595
2017-05-26,240.9063,240.9161,236.8128,239.5615,439072
2017-05-30,239.5222,240.5038,236.8619,237.7061,609106
2017-05-31,237.8534,238.4915,232.5132,236.7049,713673
2017-06-01,236.3711,238.9136,232.7292,237.2153,660754
2017-06-02,236.8325,236.9208,230.9328,233.4752,968035
2017-06-05,233.4752,234.1231,230.7364,232.1696,940595
2017-06-06,231.188,237.176,229.4897,235.8508,753532
2017-06-07,237.2251,238.0399,233.5587,233.8679,537239
2017-06-08,233.7305,237.6571,232.739,237.5687,612580
