date,open,high,low,close,volume
2017-01-03,33.397,33.5137,33.0301,33.2445,4649616
2017-01-04,33.3541,33.7115,33.2636,33.5495,3893400
2017-01-05,33.4923,33.6495,33.1683,33.3303,4480386
2017-01-06,33.4446,33.6591,33.2493,33.4446,4468032
2017-01-09,33.3017,33.4256,33.0563,33.1254,3623626
2017-01-10,33.1206,33.4018,32.9443,33.0825,5389070
2017-01-11,33.1206,33.3112,33.0063,33.2874,4322436
2017-01-12,33.092,33.4018,32.8991,33.1492,5567586
2017-01-13,33.2445,33.4494,32.8109,33.1826,4018604
2017-01-17,32.9396,33.4089,32.9205,33.2969,6434682
2017-01-18,33.3875,33.4673,33.0587,33.3398,4773904
2017-01-19,33.3827,33.4685,32.8014,33.0968,4587164
2017-01-20,33.316,33.4423,33.173,33.3922,4812616
2017-01-23,33.3541,33.3732,32.9443,33.0444,3542848
2017-01-24,33.1969,33.335,33.0396,33.2683,5017540
2017-01-25,33.4065,33.6305,33.335,33.5733,7165970
2017-01-26,33.6162,33.721,33.5352,33.6209,5971702
2017-01-27,33.5495,33.6162,33.3541,33.4828,2401576
2017-01-30,33.4732,33.5995,33.2874,33.5209,4785134
2017-01-31,33.5018,33.7162,33.1683,33.3493,7581308
2017-02-01,32.8776,33.3303,31.734,31.9914,9219074
2017-02-02,31.815,32.4631,31.6864,32.3201,5373654
2017-02-03,32.83,32.8395,32.4964,32.6918,4278346
2017-02-06,32.5917,32.9014,32.4821,32.8443,3652420
2017-02-07,32.9824,33.011,32.6989,32.8633,3710566
2017-02-08,32.8538,33.2397,32.7823,33.1826,4222908
2017-02-09,33.3065,33.3875,33.1206,33.3065,4838092
2017-02-10,33.3541,33.4018,33.3112,33.3446,4264022
2017-02-13,33.4692,34.1596,33.4692,34.0302,6011540
2017-02-14,33.9726,34.1452,33.8959,34.0589,4334114
2017-02-15,33.9774,34.1452,33.9007,34.0398,4529180
2017-02-16,33.8959,34.2028,33.8672,34.1309,4798094
2017-02-17,34.0062,34.1021,33.7233,34.0877,4163730
2017-02-21,34.0973,34.3945,34.0973,34.2411,3643860
2017-02-22,34.0685,34.2699,34.0302,34.1165,3516176
2017-02-23,34.1357,34.385,34.1357,34.385,2797292
2017-02-24,34.1548,34.3898,34.1021,34.3802,3142876
2017-02-27,34.5096,34.7445,34.3969,34.6774,3663178
2017-02-28,34.5911,34.7973,34.5408,34.687,6384474
2017-03-01,34.9986,35.1568,34.9075,34.989,5367292
2017-03-02,34.9363,34.9699,34.5911,34.6103,3806208
2017-03-03,34.6486,34.7781,34.5863,34.6486,2731034
2017-03-06,34.4521,34.7254,34.4329,34.6103,2443212
2017-03-07,34.5959,34.6391,34.4329,34.4952,2692018
2017-03-08,34.711,34.7973,34.4665,34.4665,3447222
