date,open,high,low,close,volume
2017-01-03,42.272,42.309,41.3283,41.5781,746843
2017-01-04,41.7261,42.1147,41.4485,41.9667,1056495
2017-01-05,41.7261,42.235,41.3098,42.0499,808161
2017-01-06,41.9111,42.1517,41.6151,42.0499,1260002
2017-01-09,42.1332,42.1979,41.5596,41.5966,676631
2017-01-10,41.5133,41.6151,40.9258,40.9397,1204430
2017-01-11,40.9304,41.1016,40.6436,40.6806,1161758
2017-01-12,40.3753,40.9859,40.107,40.9119,829234
2017-01-13,40.7824,41.0877,40.6806,40.8749,435464
2017-01-17,40.9859,41.3098,40.8981,41.1895,1183555
2017-01-18,41.2543,41.4763,41.023,41.134,657177
2017-01-19,40.9027,41.0183,40.6621,40.7454,613999
2017-01-20,40.8102,41.43,40.7639,41.4115,1075061
2017-01-23,41.3745,41.7909,41.2635,41.7816,953848
2017-01-24,41.7261,42.0314,41.58,41.9111,1299515
2017-01-25,41.8464,41.8464,41.1617,41.171,879526
2017-01-26,41.2265,41.4439,40.9304,41.134,559843
2017-01-27,41.282,41.3005,40.6806,40.9859,750670
2017-01-30,41.0507,41.0923,40.5604,40.5974,1034005
2017-01-31,40.7176,41.1432,40.6344,40.7732,716335
2017-02-01,40.5696,40.9489,39.959,39.996,762741
2017-02-02,40.0885,41.0877,40.033,40.9767,1421389
2017-02-03,41.8279,42.457,41.0415,41.1155,1403364
2017-02-06,41.0785,41.2265,40.5696,40.9489,939082
2017-02-07,41.0044,41.4948,40.7639,41.3468,811853
2017-02-08,41.5318,42.1702,41.2728,41.9111,1520681
2017-02-09,41.7539,41.9759,41.3838,41.7446,1046905
2017-02-10,41.6151,42.346,41.5503,42.2997,691843
2017-02-13,42.2997,42.4292,41.5873,42.1147,726289
2017-02-14,41.9574,42.1147,41.393,41.9667,640552
2017-02-15,41.7428,41.948,41.3651,41.7055,754291
2017-02-16,41.8641,42.377,41.8361,42.1252,392951
2017-02-17,42.1066,42.1625,41.6114,41.976,719935
2017-02-21,41.7988,42.8526,41.6123,42.6941,791592
2017-02-22,42.834,42.834,41.7149,42.3677,822768
2017-02-23,42.6008,43.0205,42.2278,42.862,1009405
2017-02-24,43.0298,43.0298,42.5822,42.9832,473021
2017-02-27,43.0765,43.4588,42.8526,43.3283,515298
2017-02-28,43.3003,43.6966,43.179,43.3935,1560741
2017-03-01,43.1231,43.3283,42.8526,42.9179,1299608
2017-03-02,42.7967,43.0392,42.3211,42.4703,1091252
2017-03-03,42.4143,42.4703,41.8734,42.3304,801844
2017-03-06,42.1159,42.4236,41.7615,42.1998,958592
2017-03-07,42.1812,42.3957,41.9667,42.3677,759409
2017-03-08,42.1066,42.4787,41.6216,41.6776,580328
2017-03-09,41.6776,41.9667,40.7823,40.8103,986590
2017-03-10,41.2486,41.5377,40.1295,40.5025,913322
2017-03-13,40.6424,40.8102,40.1528,40.2041,2206855
2017-03-14,40.2694,40.3346,39.9523,40.2041,2013164
2017-03-15,40.344,41.5936,40.1761,41.3512,2920032
2017-03-16,41.3045,41.7149,40.9874,41.1553,832684
2017-03-17,41.2392,41.5377,40.9595,41.2299,1582142
2017-03-20,41.2113,41.4444,41.0248,41.118,1060535
2017-03-21,41.2859,41.5983,41.146,41.4631,1646944
2017-03-22,41.7522,41.7522,41.1646,41.5097,674760
2017-03-23,41.4631,41.9387,41.2393,41.6962,688945
2017-03-24,41.8454,42.0413,41.6309,41.7242,537830
2017-03-27,41.3232,41.92,41.118,41.2392,776398
2017-03-28,41.2766,41.4351,40.7077,41.3605,836394
2017-03-29,41.3045,41.491,41.0341,41.4071,626379
2017-03-30,41.2672,41.4584,40.9501,41.3325,630798
2017-03-31,41.2672,41.5843,41.1087,41.3605,1397101
2017-04-03,41.3325,41.4444,41.0527,41.3325,1464151
2017-04-04,41.3232,42.0693,41.1646,41.4444,1109105
2017-04-05,41.4537,41.7055,41.0994,41.6309,1159594
2017-04-06,41.5657,41.8921,41.3698,41.8361,1175195
2017-04-07,41.8921,42.0506,41.7335,41.8921,619020
2017-04-10,41.8454,42.0599,41.6216,41.9573,685586
2017-04-11,41.9667,42.0786,41.7055,41.7895,892463
2017-04-12,41.8361,41.9107,41.1367,41.2579,2670462
2017-04-13,41.2859,41.4071,40.7543,41.0248,1410573
2017-04-17,41.2019,41.6216,41.1273,41.5843,1977026
2017-04-18,41.5377,41.8268,41.491,41.7055,1496780
2017-04-19,41.7149,41.8454,41.2579,41.3139,954322
2017-04-20,41.3698,41.3698,40.8476,41.0807,2070539
2017-04-21,41.0154,41.3791,41.0154,41.174,1601302
2017-04-24,41.7055,41.7055,40.2507,40.8569,2395807
2017-04-25,40.9222,41.6962,40.6983,41.6403,1748691
2017-04-26,41.6123,41.9294,41.2299,41.8175,1673081
2017-04-27,41.7615,41.92,41.118,41.4537,2803141
2017-04-28,41.3232,41.4071,40.5212,40.7916,2215001
2017-05-01,40.6704,40.7217,40.1295,40.4279,1880327
2017-05-02,40.4559,40.5958,40.1295,40.2227,1476203
2017-05-03,40.316,40.316,39.7285,39.9429,1183514
2017-05-04,39.7844,40.316,39.4487,40.26,951438
2017-05-05,40.2227,41.0154,40.0735,40.9968,1159360
2017-05-08,41.0527,41.0714,40.0922,40.1854,1437495
2017-05-09,40.1388,40.316,39.8683,40.0082,1345016
2017-05-10,39.9896,40.7823,39.9108,40.4279,864553
2017-05-11,40.1947,40.3813,39.8683,40.288,723349
2017-05-12,40.3253,40.5025,40.1574,40.3067,610072
2017-05-15,40.316,40.6424,40.0922,40.1668,796652
2017-05-16,40.1481,40.3253,39.6538,39.7658,1131739
2017-05-17,39.7093,40.6405,39.7093,40.3207,1492632
2017-05-18,40.236,40.6499,39.9539,40.2454,1316481
2017-05-19,40.2736,40.5887,40.0197,40.4806,1133200
2017-05-22,40.6028,40.7721,40.3677,40.584,1020759
2017-05-23,40.6405,40.9461,40.5464,40.7063,728453
2017-05-24,40.7439,40.9414,40.5652,40.6969,871065
2017-05-25,40.9038,41.0825,40.4147,40.6216,499680
2017-05-26,40.6122,40.9414,40.4712,40.6122,651812
2017-05-30,40.6499,40.7909,40.3254,40.3677,1974257
2017-05-31,40.2831,40.8286,40.2831,40.3677,1358089
2017-06-01,40.2831,40.4994,39.9257,40.49,1097739
2017-06-02,40.8003,41.0919,40.5276,41.0919,920175
2017-06-05,40.9038,41.6374,40.6687,41.4211,829861
2017-06-06,41.5057,41.9666,41.1766,41.4587,1367627
2017-06-07,41.5057,41.9572,41.327,41.5904,1028936
2017-06-08,41.6186,41.6186,40.8756,41.4681,906295
2017-06-09,41.3929,41.9102,41.2048,41.7221,892663
2017-06-12,41.6844,41.8443,41.3741,41.5246,985397
2017-06-13,41.4869,41.7127,41.327,41.6844,598048
2017-06-14,42.0701,42.0983,41.7409,41.8443,448708
2017-06-15,41.6092,42.324,41.6092,41.7973,989040
2017-06-16,41.7785,42.0136,41.6092,41.8631,1440026
2017-06-19,41.9102,42.2864,41.7785,42.0607,724034
2017-06-20,42.1453,42.2206,41.28,41.7879,734239
2017-06-21,41.7879,41.7879,41.2424,41.3741,1002446
2017-06-22,41.2518,41.5246,41.0543,41.2236,1449539
2017-06-23,41.2612,41.5904,41.1013,41.1766,1669705
2017-06-26,41.2518,41.28,40.885,41.1578,847201
2017-06-27,40.932,41.1672,40.0949,40.4524,1738105
2017-06-28,40.49,40.6122,40.0667,40.1232,1679460
2017-06-29,39.8316,40.1984,39.6811,40.1514,1784381
2017-06-30,40.3865,40.6875,40.189,40.4147,1639891
2017-07-03,40.584,40.6969,40.316,40.6122,701047
2017-07-05,40.8192,41.4681,40.7251,41.1578,1789386
2017-07-06,40.9696,41.0543,39.9633,40.2172,2308507
2017-07-07,40.2078,40.4241,39.9915,40.1138,1617070
2017-07-10,40.2078,40.4429,40.0009,40.0573,1399456
2017-07-11,40.1044,40.1091,39.3801,39.8974,1789768
2017-07-12,40.0573,40.5182,40.0009,40.4147,1255424
2017-07-13,40.4429,40.4429,40.0761,40.2642,1028457
2017-07-14,40.3583,40.7627,40.3583,40.6875,804945
2017-07-17,40.6875,41.1201,40.5276,41.0355,1234610
2017-07-18,41.1578,41.1578,40.6781,40.7251,980052
2017-07-19,40.7157,41.1295,40.6406,41.1295,587717
2017-07-20,41.186,41.4869,41.0778,41.2894,950461
2017-07-21,41.2988,41.6374,41.1107,41.5998,697424
2017-07-24,41.6092,41.6092,41.0543,41.0825,1698265
2017-07-25,41.0919,41.1483,40.7627,40.8474,736814
2017-07-26,40.8944,41.4305,40.7439,41.2706,821771
2017-07-27,41.1483,41.4775,40.6687,41.3929,1067178
2017-07-28,42.324,42.6062,41.7221,42.5686,1242376
2017-07-31,42.5215,42.8695,42.3993,42.8413,1082184
2017-08-01,42.7755,43.1235,42.7567,42.9165,704682
2017-08-02,42.7661,42.8695,42.4463,42.7849,846111
2017-08-03,42.7473,43.1611,42.4557,42.8225,1109277
