date,open,high,low,close,volume
2017-01-03,88.9327,89.3885,88.0589,89.3885,429223
2017-01-04,89.3221,90.5377,87.8405,90.3098,459078
2017-01-05,90.5567,91.1265,89.7589,90.3478,412405
2017-01-06,90.4902,91.4874,90.2813,91.155,359416
2017-01-09,90.2813,90.6992,89.3315,89.379,500173
2017-01-10,89.5025,90.4237,89.2081,89.4645,370760
2017-01-11,89.417,90.0438,89.2271,90.0343,338106
2017-01-12,89.9774,90.5092,89.2176,90.0628,382823
2017-01-13,90.1863,91.2025,89.8444,90.0628,254868
2017-01-17,89.569,90.5187,89.0276,89.9489,399581
2017-01-18,90.2623,90.7371,89.5025,90.3383,397797
2017-01-19,90.5757,91.1265,90.2908,90.8416,347037
2017-01-20,90.9936,91.8008,90.6897,91.3165,349594
2017-01-23,91.269,91.4969,90.8701,91.1455,263231
2017-01-24,91.1075,92.1712,91.1075,91.8768,222549
2017-01-25,92.4752,93.2634,92.4752,93.102,376744
2017-01-26,93.0355,93.9472,93.0165,93.9092,289373
2017-01-27,93.9187,93.9995,92.9215,92.9595,305315
2017-01-30,92.7886,92.7886,91.5824,92.0858,379056
2017-01-31,92.1807,92.4039,91.7724,92.2472,383969
2017-02-01,92.7506,93.0023,92.1712,92.4657,337547
2017-02-02,92.4752,92.836,92.1143,92.4467,282831
2017-02-03,92.9405,93.4106,92.5511,93.083,302392
2017-02-06,92.6176,93.007,92.1997,92.4941,242732
2017-02-07,92.6841,93.0165,92.0383,92.1238,457249
2017-02-08,90.2053,90.2053,85.0483,85.903,990656
2017-02-09,85.903,87.2611,85.5421,86.7673,798047
2017-02-10,86.7673,88.3343,86.6058,88.2584,469183
2017-02-13,88.3723,90.1483,88.3628,89.5785,401146
2017-02-14,88.8092,90.6517,88.2678,90.4617,319659
2017-02-15,90.0913,91.4115,90.0913,91.4115,369670
2017-02-16,91.4684,92.2092,91.2405,91.6679,454197
2017-02-17,91.2595,91.8863,90.7182,91.8863,356715
2017-02-21,91.5254,93.3299,91.5159,93.1115,435822
2017-02-22,92.6461,93.5388,92.6461,93.4439,386999
2017-02-23,93.5776,94.5802,93.5776,94.3797,448764
2017-02-24,93.7208,94.3319,93.3484,94.3033,267721
2017-02-27,94.2269,94.5038,93.3389,93.6922,286107
2017-02-28,93.6922,94.6088,93.4821,94.5325,412757
2017-03-01,95.4873,96.7478,95.4873,96.299,418972
2017-03-02,96.3085,96.3085,95.1818,95.2486,411349
2017-03-03,95.3918,95.9361,94.924,95.3632,332715
2017-03-06,94.5516,95.325,94.3128,95.0863,295356
2017-03-07,95.1245,95.3059,94.5372,95.1054,269364
2017-03-08,95.7165,96.0889,94.924,94.9908,269616
2017-03-09,95.2773,95.6497,94.9908,95.4587,251470
2017-03-10,95.8406,95.8502,94.9956,95.1436,293608
2017-03-13,94.9908,95.5924,94.6566,94.924,335878
2017-03-14,94.7903,95.2868,93.6253,95.0003,324423
2017-03-15,94.7712,95.1627,94.1505,94.5516,343675
2017-03-16,94.5611,95.0099,93.6635,94.141,382171
2017-03-17,94.141,94.7521,93.7208,94.5038,806491
2017-03-20,94.1601,94.1601,93.0142,93.2434,365974
2017-03-21,93.7972,93.7972,91.0663,91.1427,567466
2017-03-22,91.1618,91.6392,90.5029,91.2668,356188
2017-03-23,91.009,92.1357,90.818,91.0376,482507
2017-03-24,91.1999,91.792,90.4045,90.7703,298196
2017-03-27,89.6244,90.6652,89.147,90.2928,539044
2017-03-28,90.0827,91.41,89.6626,91.1904,460972
2017-03-29,91.0854,91.1522,89.9968,90.0541,445551
2017-03-30,90.2164,91.2095,90.0541,91.1331,307750
2017-03-31,91.0663,91.8015,90.0827,91.3527,282139
2017-04-03,91.496,91.8206,89.7103,90.7225,411964
2017-04-04,90.5029,91.3336,90.0827,90.6748,287296
2017-04-05,91.4387,91.4387,90.035,90.0923,387243
2017-04-06,90.0827,90.5793,89.3857,90.5124,665355
2017-04-07,90.0159,91.1045,89.7485,90.417,276327
2017-04-10,90.417,91.6105,90.3788,90.5697,260594
2017-04-11,90.3024,90.9517,89.8154,90.9135,175877
2017-04-12,90.5888,90.7703,89.3188,89.4048,352191
2017-04-13,88.7173,89.8249,88.1778,88.4977,465483
2017-04-17,88.9846,89.9968,88.765,89.9682,322182
2017-04-18,89.3857,89.7963,88.6791,89.3761,349740
2017-04-19,90.1496,90.3597,89.4334,89.7294,265120
2017-04-20,90.2069,91.3336,89.7008,90.818,390918
2017-04-21,90.5697,90.923,90.2737,90.4265,345772
2017-04-24,91.2572,92.0402,91.2381,91.7824,414768
2017-04-25,92.193,92.9569,91.8779,92.5463,387798
2017-04-26,92.6323,93.5871,92.5464,92.6418,294527
2017-04-27,92.7755,93.0906,92.575,92.7373,350109
2017-04-28,92.6514,92.7182,91.7538,91.897,309357
2017-05-01,92.5272,93.0238,91.9257,92.8614,315324
2017-05-02,92.8614,93.8545,92.7468,93.7113,435709
2017-05-03,95.4778,99.9466,94.246,99.7938,1152679
2017-05-04,99.8416,101.2357,99.1779,99.7556,505646
2017-05-05,99.8511,100.214,98.457,99.2304,351157
2017-05-08,99.4882,100.7964,99.4214,100.5482,418118
2017-05-09,100.51,101.207,99.5837,99.7174,417578
2017-05-10,99.2782,99.9561,98.6098,98.9535,389964
2017-05-11,98.6384,99.1063,97.7408,98.0177,407676
2017-05-12,97.7408,98.0559,97.3589,97.4448,278993
2017-05-15,97.6835,98.1037,96.8333,97.6453,257087
2017-05-16,97.6835,98.1132,97.1106,97.3684,235447
2017-05-17,96.2608,96.9817,95.4873,95.6401,471480
2017-05-18,95.7738,95.7738,94.6375,94.7998,430088
2017-05-19,95.0863,95.516,94.7043,95.0385,417510
2017-05-22,95.5255,95.6783,94.7521,95.0958,343095
2017-05-23,95.0958,95.22,94.2173,95.0003,428994
2017-05-24,95.0576,95.1913,94.2269,94.9144,282437
2017-05-25,95.2312,96.652,95.0483,96.4312,257650
2017-05-26,96.3448,96.4312,94.9432,95.308,279809
2017-05-30,95.212,95.5576,94.3864,94.6072,387775
2017-05-31,94.6936,94.6936,93.388,94.06,689469
2017-06-01,94.6936,96.4312,94.1368,96.1432,357904
2017-06-02,95.6824,96.3352,94.8568,96.1528,348457
2017-06-05,96.1624,96.7672,95.0392,95.1256,339397
2017-06-06,94.732,95.0968,94.0888,95.0296,308834
2017-06-07,95.3176,95.572,94.5304,94.7608,271487
2017-06-08,94.7896,95.836,94.7896,95.3176,757257
2017-06-09,95.74,97.8424,95.7304,97.612,389843
2017-06-12,97.8232,97.9672,95.9513,97.2472,460048
2017-06-13,97.2664,98.14,97.0744,97.66,274789
2017-06-14,97.4488,98.5528,97.132,98.236,353941
2017-06-15,97.4968,99.8104,97.4968,99.3784,341532
2017-06-16,99.3496,100.3384,98.8168,100.3,617958
2017-06-19,100.7992,100.9144,100.132,100.5496,287056
2017-06-20,99.9448,100.5496,99.3592,99.82,223874
2017-06-21,100.0696,100.2569,97.9672,98.1592,335676
2017-06-22,97.7656,97.9672,96.22,96.2488,394208
2017-06-23,96.7288,97.4776,96.4216,97.1992,794456
2017-06-26,98.1976,100.3096,97.9384,99.724,528067
2017-06-27,99.7912,100.0216,99.148,99.4936,351021
2017-06-28,100.1848,101.2504,100.012,100.6072,378856
2017-06-29,101.6152,101.6152,99.3592,100.0312,363097
2017-06-30,100.3672,100.5496,99.1624,99.5416,363013
2017-07-03,100.108,102.2103,100.0888,100.9432,209068
2017-07-05,101.0296,101.4712,100.2328,100.3672,406387
2017-07-06,100.4152,101.1544,99.628,99.9832,410510
2017-07-07,99.9832,101.7304,99.9736,101.1064,259750
2017-07-10,100.8088,101.0968,100.5208,100.732,417833
2017-07-11,100.7512,101.0296,99.916,100.2712,278288
2017-07-12,100.2616,100.6648,99.7432,100.2808,485009
2017-07-13,100.396,101.26,100.2328,100.9816,211319
2017-07-14,100.4152,100.8184,100.2136,100.444,164815
2017-07-17,100.444,100.8376,99.7528,100.8088,208121
2017-07-18,100.7128,100.9144,99.9064,100.3576,353667
2017-07-19,100.588,101.7544,100.4824,101.6824,205127
2017-07-20,101.5768,102.0471,101.1544,101.4808,169184
2017-07-21,101.3752,101.7112,100.8184,101.1928,308386
2017-07-24,101.5,101.8839,101.1928,101.7592,177233
2017-07-25,102.6231,102.7047,101.596,102.0183,323331
2017-07-26,102.0183,102.0951,100.7608,100.9336,213534
2017-07-27,101.0776,101.0776,100.06,100.7416,240985
2017-07-28,100.78,101.2984,100.468,101.2504,202112
2017-07-31,101.4328,101.5672,100.6936,101.0584,259203
2017-08-01,100.2136,101.0872,99.8104,100.7416,275834
2017-08-02,101.0872,101.5672,96.7384,99.6856,683960
2017-08-03,99.3592,100.1656,98.9848,99.6856,394498
2017-08-04,100.2136,101.0872,99.8104,100.7416,275834
2017-08-07,100.4056,101.0584,99.1288,99.7336,287406
2017-08-08,99.6472,101.5864,99.6328,100.5592,313190
2017-08-09,100.2328,101.0872,99.7336,100.8184,338113
2017-08-10,100.2136,100.5112,98.8504,98.8696,248525
2017-08-11,98.8312,99.148,98.1167,98.4376,168630
2017-08-14,99.0424,100.2232,98.9272,100.06,192426
2017-08-15,100.396,100.7512,99.052,99.2056,153340
2017-08-16,99.34,99.7,98.4088,98.5048,152426
2017-08-17,98.5144,98.6872,96.2104,96.3064,278942
2017-08-18,95.9992,96.6424,95.6536,96.0088,276240
2017-08-21,95.7592,95.7592,94.5112,95.404,231708
2017-08-22,95.6056,95.9896,95.0296,95.9032,213047
2017-08-23,95.3944,96.5656,95.3944,96.0568,237371
2017-08-24,96.5008,96.5104,94.725,94.7925,238395
2017-08-25,95.0435,95.1882,94.0977,95.0531,284003
2017-08-28,94.9469,95.0628,91.5208,92.1095,526416
2017-08-29,91.1734,91.4726,89.8029,91.2216,464450
2017-08-30,91.019,92.3991,91.019,91.4726,373804
2017-08-31,91.7042,92.0806,91.2602,91.3857,563159
2017-09-01,91.6849,92.6983,91.1734,91.2989,247467
2017-09-05,90.9418,90.9418,86.5023,87.3033,549344
2017-09-06,87.5929,88.4614,86.5891,87.892,430467
2017-09-07,87.6508,87.8583,84.2053,84.6782,741185
2017-09-08,83.9448,87.6411,82.999,87.6025,808848
2017-09-11,89.0984,91.4436,88.2781,90.0828,866889
2017-09-12,90.189,90.9997,90.0635,90.7584,408975
2017-09-13,90.7584,91.0286,89.7547,90.4978,408966
2017-09-14,95.9465,96.7521,95.665,95.7912,439456
2017-09-15,89.6968,90.6619,89.6003,90.575,778118
2017-09-18,90.9032,91.183,90.2372,90.5268,328101
2017-09-19,90.4399,91.0045,89.6775,89.7257,447283
2017-09-20,90.0153,90.2662,89.1081,90.0249,468444
2017-09-21,90.2083,90.5943,89.7064,90.3337,257508
2017-09-22,90.1118,91.212,89.6485,91.1541,415491
2017-09-25,90.826,92.1578,90.826,91.627,394451
2017-09-26,91.2023,91.4822,88.6834,91.0769,571851
2017-09-27,92.1095,93.3063,92.0708,92.3122,565768
2017-09-28,92.3219,93.036,91.3568,92.4377,350902
2017-09-29,92.4087,93.1325,91.849,92.1867,263694
2017-10-02,92.2833,92.4859,91.7524,92.3219,502200
2017-10-03,92.1578,92.5149,91.1444,92.3605,470939
2017-10-04,92.235,92.6017,91.5884,91.9648,617793
2017-10-05,91.8876,92.8044,91.8876,92.1578,413358
2017-10-06,92.5052,92.8141,91.9599,92.6886,341595
2017-10-09,92.65,92.6886,91.8586,92.264,320169
2017-10-10,92.3122,92.5438,91.7428,92.4763,327314
2017-10-11,92.0902,92.206,89.6582,91.9937,510950
2017-10-12,91.9069,93.0939,91.9069,92.6017,535867
2017-10-13,92.6596,92.7079,92.206,92.3701,407735
2017-10-16,92.5149,93.1325,92.5149,92.8623,374429
2017-10-17,92.9588,93.1905,92.5052,92.5149,506592
2017-10-18,93.0457,98.6626,92.6886,98.2476,1277293
2017-10-19,97.7457,98.18,96.7517,97.6106,631911
2017-10-20,98.2186,98.2379,96.0182,96.4043,740040
2017-10-23,96.549,96.549,95.6611,96.0182,463664
2017-10-24,96.3463,96.6069,95.6418,96.2016,293472
2017-10-25,96.5876,97.0123,95.3812,96.327,508555
2017-10-26,96.4429,98.016,96.4429,96.9254,335336
2017-10-27,96.7903,96.9351,96.0375,96.5587,337646
2017-10-30,96.4911,97.7554,96.0568,97.3308,354764
2017-10-31,97.1281,98.3538,96.771,97.1377,481619
2017-11-01,97.7361,99.261,97.4562,97.6396,514548
2017-11-02,97.4369,98.8749,95.8059,96.7131,630470
2017-11-03,95.5743,96.7332,94.1073,96.6455,673794
2017-11-06,96.6745,96.9061,95.8059,95.8059,305171
2017-11-07,95.97,96.9061,95.4971,95.5936,307704
2017-11-08,95.4295,95.8927,94.5609,94.9469,480779
2017-11-09,94.7153,96.2498,94.6767,95.2654,409236
2017-11-10,94.9952,95.5646,94.3389,94.725,451934
2017-11-13,94.2617,95.719,94.2617,95.2558,371282
2017-11-14,94.5609,95.9603,94.2231,95.4005,315821
2017-11-15,94.6381,96.1244,94.3872,95.4102,388984
2017-11-16,95.6804,96.0279,93.8033,94.0977,540551
2017-11-17,93.6923,95.4488,93.5765,95.1786,386855
2017-11-20,95.1689,96.0858,94.9759,95.14,254329
2017-11-21,95.5453,95.6708,94.8697,94.9662,270616
2017-11-22,94.7829,95.3812,94.31,94.9759,271763
2017-11-24,95.8009,95.8009,94.9759,94.9856,115916
2017-11-27,95.3156,95.8785,94.9079,95.0923,383005
2017-11-28,95.3059,97.2374,95.2088,97.0239,342880
2017-11-29,97.3345,99.465,97.3078,98.7225,337741
2017-11-30,99.0234,99.4893,97.8877,97.9071,807950
2017-12-01,98.1304,98.1304,95.2185,96.8395,729921
2017-12-04,97.4412,97.9945,96.3347,96.8686,616444
2017-12-05,96.9171,97.3248,95.17,95.3156,580151
2017-12-06,95.0923,96.1697,94.5294,95.1409,355474
2017-12-07,94.8691,96.6065,94.8691,95.6844,503552
2017-12-08,96.0824,96.6453,95.6116,96.2183,471653
2017-12-11,96.1794,97.0773,95.5776,96.9462,473823
2017-12-12,97.0627,98.5283,96.7618,97.3539,462754
