date,open,high,low,close,volume
2017-01-03,49.2265,49.5388,49.0372,49.4537,1058717
2017-01-04,49.6241,50.3909,49.4537,50.0785,1382821
2017-01-05,49.946,50.2584,49.7756,50.1921,1309518
2017-01-06,50.3815,50.514,50.2537,50.3057,871926
2017-01-09,50.1637,50.3057,49.5768,49.6052,922414
2017-01-10,49.6336,49.9365,49.4821,49.6241,616254
2017-01-11,49.5957,49.7993,49.2644,49.6809,622043
2017-01-12,49.3875,49.8419,49.1887,49.7756,1076165
2017-01-13,49.8419,50.2111,49.8419,49.9933,507765
2017-01-17,49.6241,49.9933,49.3591,49.7661,689935
2017-01-18,49.9271,50.1827,49.5011,50.1069,510535
2017-01-19,50.2111,50.23,49.7093,49.8608,520671
2017-01-20,49.946,50.144,49.7661,50.0217,703679
2017-01-23,49.9271,50.1306,49.7756,49.9271,721664
2017-01-24,50.1069,50.5708,49.9555,50.3909,876511
2017-01-25,50.6465,50.9968,50.4572,50.9211,914304
2017-01-26,51.0157,51.1861,50.8737,50.9211,856045
2017-01-27,50.8359,51.7352,50.2205,51.7068,1053685
2017-01-30,51.366,51.6027,50.4856,50.9968,1075629
2017-01-31,50.9021,51.1199,50.6749,50.9589,833056
2017-02-01,51.1199,51.2997,50.5424,50.5897,755423
2017-02-02,50.5235,51.2808,50.3531,51.0725,871330
2017-02-03,51.366,51.5648,50.9873,51.1293,846435
2017-02-06,50.9495,51.3091,50.9495,51.1388,440394
2017-02-07,51.3849,51.3849,50.9021,51.0536,578909
2017-02-08,50.9684,51.1956,50.7696,51.1767,632251
2017-02-09,51.2619,51.8299,51.1861,51.792,779152
2017-02-10,51.9056,52.3553,51.5648,52.2275,928367
2017-02-13,52.3979,52.767,52.218,52.5872,678351
2017-02-14,52.3127,52.8144,52.2499,52.5967,885972
2017-02-15,52.5967,52.9091,52.4073,52.8428,567138
2017-02-16,52.8428,53.477,52.8049,53.4581,640511
2017-02-17,53.2404,53.903,52.9753,53.903,1206116
2017-02-21,53.6758,54.1397,53.07,53.1552,1215688
2017-02-22,53.0605,53.3918,52.8144,53.2215,705593
2017-02-23,53.2309,53.4581,53.1741,53.4581,553217
2017-02-24,53.1457,53.8746,52.9753,53.8273,751284
2017-02-27,53.8273,54.0356,53.7705,53.9409,645442
2017-02-28,53.7421,54.206,53.7421,53.9125,833281
2017-03-01,54.5797,55.1135,54.37,55.0563,1145578
2017-03-02,55.0087,55.0849,54.065,54.1222,816599
2017-03-03,53.9697,54.2785,53.8172,54.1985,654217
2017-03-06,53.7791,54.046,53.6647,53.76,662124
2017-03-07,53.7028,53.8934,53.2357,53.6837,880611
2017-03-08,53.9506,53.9792,53.3501,53.5217,678990
2017-03-09,53.5408,53.8267,53.3501,53.6075,701330
2017-03-10,53.9602,54.0746,53.5884,54.0078,585186
2017-03-13,53.9125,54.3319,53.8601,54.3224,1217235
2017-03-14,54.2175,54.2652,53.8839,54.1889,618895
2017-03-15,54.2271,54.4844,54.0936,54.3986,813627
2017-03-16,54.6465,54.8371,54.0698,54.1985,857164
2017-03-17,54.2366,54.432,53.922,54.2652,5600788
2017-03-20,54.2843,54.5893,54.0078,54.2175,848434
2017-03-21,54.494,54.494,53.3501,53.3883,997678
2017-03-22,53.3311,53.7886,53.2262,53.4931,1013713
2017-03-23,53.5694,54.1413,53.3025,53.6456,764719
2017-03-24,53.8172,54.2557,53.5884,53.7981,879270
2017-03-27,53.2548,53.9983,52.9355,53.8934,628374
2017-03-28,53.7505,54.4177,53.4931,54.3414,665007
2017-03-29,54.2938,54.4272,54.0746,54.1317,777946
2017-03-30,53.9888,54.2557,53.9411,54.1127,447924
2017-03-31,53.9506,54.1603,53.8506,53.8934,941271
2017-04-03,53.9506,53.9888,53.1976,53.3978,887030
2017-04-04,53.3883,53.8648,53.1595,53.7409,712439
2017-04-05,53.8648,54.0078,53.3311,53.3787,830791
2017-04-06,53.4645,53.8553,53.1223,53.76,689306
2017-04-07,53.6361,53.922,53.455,53.6933,894945
2017-04-10,53.6266,53.8934,53.5026,53.7028,1234982
2017-04-11,53.474,53.8839,53.2739,53.6647,1033985
2017-04-12,53.5312,53.5503,53.007,53.1786,1008711
2017-04-13,53.0546,53.2453,52.8735,52.9117,534869
2017-04-17,53.1309,53.6933,52.8926,53.6456,871919
2017-04-18,53.5122,53.7981,53.2596,53.4168,774301
2017-04-19,53.7219,53.8077,53.0832,53.2071,745055
2017-04-20,53.4073,53.8363,53.1786,53.617,2010257
2017-04-21,53.3787,53.7314,53.007,53.007,767924
2017-04-24,53.8458,53.8553,53.2357,53.4264,833636
2017-04-25,53.76,53.922,53.5312,53.7981,786497
2017-04-26,53.7886,54.0412,53.6437,53.7123,954247
2017-04-27,53.8553,54.3224,53.8553,54.0746,765755
2017-04-28,53.6742,53.6742,52.6639,53.1976,1130024
2017-05-01,53.474,53.5122,53.0642,53.3215,779413
2017-05-02,53.0546,53.5788,52.3207,52.4923,1749720
2017-05-03,52.3779,52.6448,52.254,52.4351,1336875
2017-05-04,52.6638,52.864,52.2921,52.7687,1241810
2017-05-05,52.8831,53.1023,52.7687,53.1023,655024
2017-05-08,53.2167,53.312,52.7591,52.8831,750406
2017-05-09,52.9784,53.15,52.5685,52.6352,696734
2017-05-10,52.5113,53.0165,52.3588,52.8831,950898
2017-05-11,52.6543,52.9689,52.2351,52.5494,953512
2017-05-12,52.3493,52.6162,52.0586,52.1682,791785
2017-05-15,52.111,52.6829,51.9489,52.6066,916371
2017-05-16,52.6829,52.8783,52.4732,52.721,561557
2017-05-17,52.0729,52.6448,52.0729,52.3874,830353
2017-05-18,52.6543,52.9879,52.3399,52.7877,790161
2017-05-19,52.7306,53.3215,52.6829,53.15,1256858
2017-05-22,53.2834,53.6837,53.0594,53.6361,789432
2017-05-23,53.6456,54.0936,53.4359,54.0364,889374
2017-05-24,54.065,54.2461,53.8763,54.1794,542407
2017-05-25,54.3319,54.8752,54.1603,54.8562,764284
2017-05-26,54.7323,54.8466,54.432,54.4463,855250
2017-05-30,54.1508,54.4749,53.9039,54.3033,970791
2017-05-31,54.5241,54.6488,54.073,54.4473,1357058
2017-06-01,54.5913,55.1479,54.4377,55.1479,1224122
2017-06-02,55.0232,55.2343,54.764,55.0424,534121
2017-06-05,54.9368,55.1767,54.5913,54.6201,791255
2017-06-06,54.4185,54.4185,53.9242,53.9866,589937
2017-06-07,54.217,54.8408,53.9626,54.6392,1002321
2017-06-08,54.7448,55.1287,54.5817,55.0807,785555
2017-06-09,55.1863,55.6182,54.9272,55.551,703151
2017-06-12,55.5414,55.7238,55.3063,55.7142,919526
2017-06-13,55.8486,56.1989,55.743,55.791,859285
2017-06-14,55.6758,55.8486,55.3255,55.6374,1354640
2017-06-15,55.4359,56.4724,55.4167,56.4436,1584325
2017-06-16,56.4052,56.6547,56.2037,56.5972,1256078
2017-06-19,56.6164,56.7315,56.3764,56.6356,738829
2017-06-20,56.5492,56.7123,56.2996,56.2996,576914
2017-06-21,56.5012,56.5957,55.503,55.5702,753756
2017-06-22,55.3495,55.5318,54.8024,54.8024,689243
2017-06-23,54.8792,55.0328,54.4185,54.4281,1197745
2017-06-26,54.6584,54.8696,54.4281,54.5721,1143424
2017-06-27,54.5913,54.693,54.1594,54.2362,1184504
2017-06-28,54.5433,55.1911,54.3609,55.0807,917886
2017-06-29,55.3879,55.4263,54.3323,54.7256,861436
2017-06-30,55.0424,55.1383,54.6824,54.9464,813062
2017-07-03,55.2823,55.6758,55.2151,55.2151,449126
2017-07-05,55.3015,55.4167,55.0328,55.1767,696604
2017-07-06,55.1095,55.4263,54.7832,54.86,714276
2017-07-07,55.2151,55.7334,55.0169,55.3879,633697
2017-07-10,55.3879,55.5126,55.0903,55.1479,883644
