date,open,high,low,close,volume
2017-01-03,67.27,68.37,67.11,67.57,1077494
2017-01-04,67.51,68.475,67.19,68.33,1174309
2017-01-05,68.12,69.75,68.12,69.55,1780057
2017-01-06,69.38,70.51,68.92,69.79,1967305
2017-01-09,69.74,70.2899,69.7,70.0,1550617
2017-01-10,70.0,70.48,69.82,70.28,1462164
2017-01-11,70.59,71.64,70.09,70.12,2247657
2017-01-12,70.01,70.3,69.15,69.93,1259741
2017-01-13,70.23,70.42,69.86,70.02,1491651
2017-01-17,69.81,70.0,69.18,69.79,1016719
2017-01-18,69.74,69.81,68.937,69.6,1075488
2017-01-19,69.36,69.74,68.959,68.98,1409747
2017-01-20,69.36,69.6,68.85,69.15,1447099
2017-01-23,69.05,69.35,67.84,67.97,1456303
2017-01-24,67.97,68.28,67.4654,67.74,1566053
2017-01-25,68.35,68.82,67.79,68.73,2188161
2017-01-26,68.54,68.7,67.73,67.78,1416256
2017-01-27,68.04,68.08,67.55,67.97,1535748
2017-01-30,67.99,68.35,67.36,67.81,1893901
2017-01-31,67.57,68.85,67.2,68.59,1548738
2017-02-01,68.67,68.8,67.76,68.7,1579525
2017-02-02,68.37,69.67,67.83,69.4,1333635
2017-02-03,69.85,69.85,69.01,69.55,1420030
2017-02-06,69.22,69.71,68.63,69.71,1629953
2017-02-07,70.0,71.34,69.581,71.12,3881686
2017-02-08,66.58,66.59,61.54,63.55,15940222
2017-02-09,63.83,64.58,63.61,63.85,4080896
2017-02-10,63.85,64.28,63.5,63.95,2507586
2017-02-13,64.2,64.2,63.35,63.6,1769882
2017-02-14,63.75,64.13,63.37,63.55,2180921
2017-02-15,63.3,64.095,63.21,63.9,1371170
2017-02-16,64.22,64.77,63.75,64.24,1761011
2017-02-17,63.83,63.87,62.0,62.34,3981112
2017-02-21,62.5,63.1452,62.46,62.64,1808256
2017-02-22,62.5,63.15,62.5,63.01,1350407
2017-02-23,63.05,63.13,62.64,62.7,1125622
2017-02-24,62.5,62.885,62.39,62.87,1363846
2017-02-27,62.76,63.115,62.46,62.86,861775
2017-02-28,62.8,63.11,62.31,62.6,1589551
2017-03-01,62.82,63.59,62.79,63.38,1382745
2017-03-02,63.24,64.5,63.07,63.79,2158360
2017-03-03,63.55,63.55,63.13,63.36,1325819
2017-03-06,63.16,63.25,62.83,63.06,1067045
2017-03-07,63.1,64.52,63.1,63.3,1658780
2017-03-08,63.3,63.85,62.96,63.55,1292691
2017-03-09,63.64,64.35,63.4,64.2,1336622
2017-03-10,64.37,64.74,63.76,64.22,1259832
2017-03-13,64.34,65.2,64.18,64.59,1341265
2017-03-14,64.53,64.95,63.54,63.63,1197993
2017-03-15,64.0,64.56,63.39,64.39,1327778
2017-03-16,64.71,64.93,64.43,64.63,1083760
2017-03-17,64.94,65.22,64.62,65.0,2912911
2017-03-20,64.96,65.04,64.33,64.86,922432
2017-03-21,65.41,65.65,62.92,62.95,2295918
2017-03-22,63.14,63.76,62.93,63.68,921366
2017-03-23,63.69,64.42,63.4,63.66,980728
2017-03-24,63.82,64.31,63.46,63.63,1008272
2017-03-27,62.88,63.44,62.51,63.09,1836706
2017-03-28,63.06,63.61,63.0,63.25,2299231
2017-03-29,63.28,63.7,63.08,63.44,2068314
2017-03-30,63.17,64.07,60.37,60.53,6001102
2017-03-31,60.56,60.91,59.5,59.7,3600890
2017-04-03,59.74,59.99,57.86,58.1,3522721
2017-04-04,58.19,59.41,58.19,59.3,4459654
2017-04-05,59.3,59.73,58.65,58.8,1982841
2017-04-06,59.07,59.7,58.39,58.75,1902512
2017-04-07,58.65,58.74,57.995,58.1,2256905
2017-04-10,58.36,58.82,57.99,58.51,1974447
2017-04-11,58.62,59.23,58.43,59.01,2130245
2017-04-12,58.83,59.09,58.54,58.88,1413691
2017-04-13,58.83,59.2,58.51,58.8,1437697
2017-04-17,59.07,59.2,58.69,58.82,1152312
2017-04-18,58.77,59.3,58.72,58.95,1004756
2017-04-19,59.0,59.91,58.96,59.68,1860380
2017-04-20,59.87,60.55,59.65,60.2,1558110
2017-04-21,60.39,60.52,60.01,60.28,843146
2017-04-24,60.86,61.73,60.79,61.39,1954289
2017-04-25,61.42,61.86,61.33,61.8,1745750
2017-04-26,61.81,62.43,61.57,62.24,1155722
2017-04-27,60.34,60.43,58.96,59.75,4224075
2017-04-28,59.79,60.96,59.53,60.94,1767750
2017-05-01,61.19,61.79,60.77,61.48,1597529
2017-05-02,61.59,62.58,60.97,62.5,3000773
2017-05-03,53.9,54.86,52.01,52.8,15062973
2017-05-04,53.13,54.0401,52.78,52.86,4593535
2017-05-05,52.86,52.86,51.8,52.13,3882009
2017-05-08,52.09,52.17,50.12,50.17,5951968
2017-05-09,50.48,50.71,50.16,50.4,4523834
2017-05-10,50.47,50.5,49.65,49.85,3708313
2017-05-11,49.76,50.07,49.425,49.85,2698379
2017-05-12,49.6,49.82,49.28,49.43,2287084
2017-05-15,49.5,50.07,49.5,49.83,2662230
2017-05-16,50.07,50.24,49.12,49.15,2783502
2017-05-17,48.8,48.85,47.46,47.5,4037600
2017-05-18,47.5,47.7,46.9,47.0,4305810
2017-05-19,47.18,47.66,47.05,47.38,2788526
2017-05-22,47.6,47.99,47.58,47.75,1704906
2017-05-23,47.86,47.91,47.315,47.41,2326002
2017-05-24,47.54,47.92,47.16,47.62,1957835
2017-05-25,47.68,48.395,47.5601,48.06,3859733
2017-05-26,48.0,48.17,47.14,47.39,1446053
2017-05-30,47.29,47.67,47.05,47.43,1617691
2017-05-31,47.52,47.565,46.81,47.15,1991244
2017-06-01,47.23,48.32,47.08,48.3,1923890
2017-06-02,48.69,48.79,48.07,48.53,2031031
2017-06-05,48.45,49.06,48.39,48.91,1918381
2017-06-06,48.89,49.06,48.3514,48.45,1697406
2017-06-07,48.49,48.75,48.19,48.54,2338531
2017-06-08,48.55,48.94,48.3,48.91,1371431
2017-06-09,49.12,49.33,47.635,48.13,1958434
2017-06-12,47.84,49.65,47.66,49.52,2931115
2017-06-13,49.96,50.65,49.56,49.63,2209669
2017-06-14,49.84,49.95,48.97,49.25,1859946
2017-06-15,48.88,49.36,48.71,49.19,1502404
2017-06-16,48.92,49.57,48.5,49.5,5036206
2017-06-19,49.86,50.24,49.34,49.49,1925921
2017-06-20,49.47,49.6805,48.61,48.64,1320403
2017-06-21,48.78,49.34,48.43,49.28,1502896
2017-06-22,49.19,50.61,48.97,50.02,2648922
2017-06-23,50.12,51.51,49.92,51.3,6358993
2017-06-26,51.3,51.65,50.5,50.87,1569546
2017-06-27,50.73,51.14,50.0,50.0,1778857
2017-06-28,50.26,50.8,50.06,50.63,1171154
2017-06-29,50.28,50.45,49.131,50.24,2711759
2017-06-30,50.53,50.53,49.64,49.81,1545754
2017-07-03,50.15,50.73,50.01,50.09,959422
2017-07-05,50.27,51.0201,50.01,50.95,1770144
2017-07-06,50.63,50.63,49.27,49.36,2523928
2017-07-07,49.55,50.13,49.18,49.24,2019948
2017-07-10,49.31,49.78,49.11,49.65,1472542
2017-07-11,49.63,50.27,49.5,49.83,1005221
2017-07-12,50.14,50.83,50.07,50.55,1508855
2017-07-13,50.64,50.64,50.06,50.08,1085583
2017-07-14,50.2,50.68,50.1,50.62,1187125
2017-07-17,50.89,52.46,50.89,51.77,2520351
2017-07-18,51.69,51.83,51.19,51.53,1742288
2017-07-19,51.63,52.24,51.58,52.1,1195547
2017-07-20,52.1,52.64,51.8,52.36,1377155
2017-07-21,52.25,52.45,51.81,52.13,1303086
2017-07-24,52.15,52.45,52.04,52.37,1615375
2017-07-25,52.36,53.45,52.08,53.28,3503283
2017-07-26,49.95,50.0,45.41,45.49,15168502
2017-07-27,45.67,46.99,45.41,46.01,4634838
2017-07-28,46.06,47.265,45.903,46.89,2993447
2017-07-31,46.97,47.28,46.25,47.14,2575847
2017-08-01,47.96,47.985,47.215,47.31,1573603
2017-08-02,47.43,47.56,46.95,47.51,1763754
2017-08-03,47.56,48.19,47.462,48.04,1871311
2017-08-04,48.09,48.42,47.81,47.87,1393993
2017-08-07,47.96,47.985,47.215,47.31,1580112
2017-08-08,47.17,47.68,46.9,47.27,1443087
2017-08-09,47.18,47.86,46.74,47.4,1627532
2017-08-10,47.05,47.2,46.31,46.31,1848963
2017-08-11,46.38,46.62,46.18,46.37,1422763
2017-08-14,46.59,47.29,46.46,46.82,1997012
2017-08-15,46.82,47.09,46.13,46.34,1686679
2017-08-16,46.41,46.74,45.87,46.29,1722707
2017-08-17,46.39,46.4,45.37,45.4,1517563
2017-08-18,45.46,45.86,45.18,45.36,1378991
2017-08-21,45.29,45.39,44.65,44.91,1318162
2017-08-22,45.04,45.89,45.04,45.81,1285985
2017-08-23,45.55,45.76,45.32,45.42,1141795
