date,open,high,low,close,volume
2017-01-03,84.6379,85.5751,84.4728,85.5119,975594
2017-01-04,86.1626,88.5226,86.1335,88.0856,1147617
2017-01-05,88.0273,88.7557,87.1435,87.7845,913202
2017-01-06,88.0079,88.3769,87.2698,88.1924,550924
2017-01-09,88.1147,88.3575,87.7651,87.8719,936082
2017-01-10,88.2409,88.542,86.522,87.2892,825022
2017-01-11,87.9593,91.4167,87.4834,90.6106,1807512
2017-01-12,90.834,91.5915,89.5423,91.0476,1042241
2017-01-13,91.4555,92.2033,90.6495,91.2904,603367
2017-01-17,92.3976,93.0288,91.203,91.6303,844809
2017-01-18,92.1062,92.2713,89.6394,89.9308,1104758
2017-01-19,90.0765,91.6886,89.8725,90.3678,609555
2017-01-20,90.8631,91.339,90.1639,90.6689,701571
2017-01-23,90.6883,91.203,90.1736,90.9991,349404
2017-01-24,91.2322,93.0774,91.0088,92.7958,921858
2017-01-25,93.058,93.0968,90.562,91.2904,1083689
2017-01-26,91.3778,93.1259,91.3293,92.7278,796465
2017-01-27,92.5918,93.1065,92.0285,92.6695,452959
2017-01-30,92.0577,92.1159,90.8146,91.844,677403
2017-01-31,91.8828,91.946,89.8531,89.9696,1453745
2017-02-01,90.5038,90.9408,89.0179,90.7174,855154
2017-02-02,90.7077,90.7077,88.8625,90.2318,589377
2017-02-03,90.6883,91.7275,90.3193,91.5526,446840
2017-02-06,91.3293,91.7469,91.0671,91.5721,478070
2017-02-07,91.2904,91.7275,89.6006,90.125,756853
2017-02-08,90.2318,91.6692,89.5423,91.6303,661576
2017-02-09,91.6692,92.1159,90.9505,91.203,498796
2017-02-10,91.7275,91.7275,90.5815,90.9991,637821
2017-02-13,91.6109,92.6598,90.9505,92.0188,660451
2017-02-14,91.6498,91.6498,87.7456,88.5614,1654798
2017-02-15,88.678,90.329,88.3963,90.0862,1510466
2017-02-16,90.2027,91.2807,89.4161,89.7463,593715
2017-02-17,89.7754,90.125,88.9305,89.2704,1016681
2017-02-21,89.8434,91.1253,89.7463,91.0768,790165
2017-02-22,90.7174,90.9505,89.7171,89.7754,652884
2017-02-23,90.4358,90.5523,89.1247,89.7463,738585
2017-02-24,89.2801,90.4552,88.3963,90.2513,699996
2017-02-27,90.3095,90.7077,89.5617,89.7948,930582
2017-02-28,93.0385,99.6037,92.9803,98.584,4246486
2017-03-01,99.9339,101.3227,99.0598,99.7008,2591772
2017-03-02,99.8465,101.7597,99.2055,100.0893,2040092
2017-03-03,100.4195,102.1676,100.1087,101.75,1153370
2017-03-06,98.9821,99.7105,95.787,99.1667,2329009
2017-03-07,99.1667,101.7985,98.6422,100.7982,1396714
2017-03-08,100.604,100.8953,99.2929,99.7785,1285087
2017-03-09,99.9922,100.3903,99.089,99.5454,1457145
2017-03-10,99.7397,101.0119,99.4095,100.0796,1422587
2017-03-13,99.9334,101.8526,99.5145,101.8039,1336579
2017-03-14,101.3265,101.6967,100.401,101.2681,752577
2017-03-15,101.8039,102.7878,101.1804,102.5053,781737
2017-03-16,102.3884,103.0021,101.0342,101.3265,1017449
2017-03-17,101.7941,103.7815,101.7064,103.4697,1436880
2017-03-20,103.3041,103.4503,102.4036,103.3334,1032380
2017-03-21,103.3334,104.7849,101.385,101.5603,1249475
2017-03-22,101.9013,102.7488,100.6348,102.5053,985380
2017-03-23,102.4663,103.6451,102.14,102.4371,690021
2017-03-24,102.817,103.4386,101.346,101.7552,527424
2017-03-27,100.9466,102.2423,100.0016,101.9013,841113
2017-03-28,101.8818,102.7391,101.4434,102.1741,805014
2017-03-29,102.291,103.2165,102.1935,102.3299,916612
2017-03-30,102.3689,103.3528,102.1351,102.4274,671426
2017-03-31,102.252,103.7425,101.687,102.9145,936769
2017-04-03,103.0021,103.5574,101.1512,102.3202,991543
2017-04-04,102.2617,103.1872,102.1059,102.7781,884044
2017-04-05,102.9632,103.9471,102.2033,102.4955,1168305
2017-04-06,102.6125,103.4308,102.1935,103.2944,705113
2017-04-07,103.2846,103.5574,102.7878,103.2067,1211635
2017-04-10,103.2262,103.4649,101.8818,102.1546,984229
2017-04-11,101.8623,102.9729,101.6383,102.8852,646351
2017-04-12,103.2652,103.3423,101.1219,101.4337,689988
2017-04-13,101.3168,102.101,100.7518,100.9466,500121
2017-04-17,101.0732,101.9305,100.7907,101.9305,721130
2017-04-18,101.2681,103.0801,101.2681,103.0411,890751
2017-04-19,103.3139,104.1712,102.6514,103.1093,948677
2017-04-20,103.4016,103.5087,102.6709,102.7975,888821
2017-04-21,102.8755,103.2846,102.1838,102.3884,1106555
2017-04-24,103.2846,104.1809,103.1483,104.0738,933994
2017-04-25,104.668,105.6617,104.5998,105.3012,706554
2017-04-26,105.3207,105.7591,104.4732,105.5058,671206
2017-04-27,105.4863,106.4118,104.9992,105.3889,759347
2017-04-28,105.4474,106.2365,105.4084,106.1001,1206817
2017-05-01,106.2754,107.2886,104.2394,106.5677,854810
2017-05-02,106.519,106.519,105.2136,105.5838,831338
2017-05-03,105.5545,105.8273,104.4245,104.8726,968585
2017-05-04,109.1006,109.8215,105.6422,105.9052,1977071
2017-05-05,106.5385,108.0383,106.0416,107.1717,1116535
2017-05-08,107.1814,107.464,105.915,106.7333,864277
2017-05-09,106.6749,107.084,105.8955,106.5093,709836
2017-05-10,106.6749,107.7465,106.3436,107.7173,819202
2017-05-11,107.7173,108.0777,107.2399,107.8829,548953
2017-05-12,107.5906,107.8829,107.2496,107.5322,601926
2017-05-15,108.2238,109.9044,107.8634,109.1591,654175
2017-05-16,109.5488,109.9677,108.8181,109.4708,760231
2017-05-17,108.6233,109.1201,107.6393,107.688,982141
2017-05-18,107.1425,107.8147,106.0611,107.162,921133
2017-05-19,107.6004,108.9107,107.3178,107.4737,897049
2017-05-22,108.0485,108.1974,106.9087,107.727,797850
2017-05-23,108.0485,109.1104,107.7367,108.8278,592074
2017-05-24,108.8278,109.6461,108.672,109.1591,548760
2017-05-25,109.6267,110.7665,109.3637,109.6851,636067
2017-05-26,109.5975,110.143,109.3052,109.9482,601398
2017-05-30,109.88,109.9774,108.5687,109.5585,772013
2017-05-31,109.3831,110.7957,109.0032,110.6691,1136209
2017-06-01,110.747,111.3374,109.9774,110.4353,813566
2017-06-02,110.4742,111.4484,110.143,111.1464,605087
2017-06-05,110.8639,111.5361,110.2404,110.6788,689495
2017-06-06,110.5717,111.0198,109.7144,109.7728,755203
2017-06-07,109.7728,110.2502,109.4806,109.8897,1068495
2017-06-08,110.0846,111.7992,109.4708,111.3218,1440685
2017-06-09,111.7894,113.6306,111.1464,112.4226,1131451
2017-06-12,112.2473,112.4226,108.1069,108.3213,1804701
2017-06-13,109.7477,110.3144,108.4287,110.0701,1111736
2017-06-14,110.0213,110.0652,106.0644,106.758,1710526
2017-06-15,105.4782,105.5172,101.2478,103.6121,2579368
2017-06-16,103.7586,105.6345,103.4167,105.6052,1704147
2017-06-19,106.0058,106.719,104.4425,105.8397,1114684
2017-06-20,105.3707,106.631,104.5402,105.2632,805457
2017-06-21,105.0971,105.146,103.4362,103.7489,1274057
2017-06-22,104.0224,104.2471,102.6937,102.7816,1180202
2017-06-23,102.8891,103.4753,102.0195,102.4397,3099744
2017-06-26,102.6937,104.1103,101.8535,102.6058,1826807
2017-06-27,102.9672,103.2603,101.9023,102.0684,1313088
2017-06-28,102.7132,104.8625,102.2247,104.4621,1201548
2017-06-29,104.7161,104.7943,101.3796,102.2638,986351
2017-06-30,102.8012,104.081,102.7035,103.1138,807241
2017-07-03,103.8954,104.081,102.9184,103.5925,555424
2017-07-05,103.5632,106.1621,103.5632,105.5368,1356683
2017-07-06,105.3805,106.5724,104.8333,105.5661,1174492
2017-07-07,105.8299,107.9109,105.6638,107.4615,1567313
2017-07-10,107.6764,109.3276,107.4713,108.7805,1444322
2017-07-11,109.1126,110.4805,108.3017,110.3534,1321835
2017-07-12,110.8908,114.4374,110.7736,113.8609,2115634
2017-07-13,113.9195,116.2644,113.9195,114.9747,2336951
2017-07-14,115.6489,116.2546,114.3201,114.8672,1723286
2017-07-17,114.9552,115.0666,113.7828,114.1736,863670
2017-07-18,114.1345,115.4632,113.4994,115.0236,688937
2017-07-19,115.258,116.8408,113.9782,116.4207,1215388
2017-07-20,116.2644,116.4207,114.9356,115.1994,928730
2017-07-21,115.2776,116.1462,114.8868,115.6195,1017201
2017-07-24,115.8052,116.6454,115.131,115.8736,1596553
2017-07-25,116.7529,116.7529,115.6787,116.069,1128009
2017-07-26,116.4207,116.5379,114.3103,114.5057,870720
