date,open,high,low,close,volume
2017-01-03,70.9813,71.5185,70.5401,71.1444,2020076
2017-01-04,71.3458,71.8926,71.1828,71.3362,1948384
2017-01-05,71.154,71.4034,70.7895,71.0101,1741760
2017-01-06,70.6744,71.4178,70.4825,71.1252,1614752
2017-01-09,70.9334,71.0293,70.0605,70.1084,1802222
2017-01-10,70.2907,71.2691,70.2715,70.7415,2350036
2017-01-11,70.9238,71.2307,70.588,70.9238,1738517
2017-01-12,70.5593,70.7799,70.1468,70.6744,1110509
2017-01-13,70.895,71.317,70.7895,70.8758,1220163
2017-01-17,70.6072,70.8758,70.3962,70.8374,1180686
2017-01-18,70.9813,71.7775,70.9046,71.4801,1795756
2017-01-19,71.6144,71.7295,70.8854,71.1923,1282140
2017-01-20,71.3362,71.9022,71.3362,71.4993,1528423
2017-01-23,71.5473,71.6048,70.9429,71.1252,1232721
2017-01-24,71.2115,71.6144,70.9525,71.4321,1075494
2017-01-25,71.7199,72.4489,71.6911,72.3146,1769074
2017-01-26,72.3434,72.7559,72.142,72.7175,1575041
2017-01-27,72.2187,72.7175,72.1516,72.5065,1275469
2017-01-30,72.4105,72.5832,72.0604,72.5256,1748051
2017-01-31,72.1995,72.4969,71.6911,72.142,2041900
2017-02-01,72.4873,72.871,71.9405,72.1707,2411685
2017-02-02,73.6095,74.9333,73.2642,74.2426,3883196
2017-02-03,74.7414,74.8181,74.1371,74.3194,2110276
2017-02-06,74.2714,75.034,73.8302,74.8949,2348314
2017-02-07,75.2977,75.4704,74.8853,74.9333,1764922
2017-02-08,74.9141,75.0004,74.6263,74.8086,1496627
2017-02-09,74.9045,75.1874,74.5592,75.1539,1912658
2017-02-10,75.3457,76.0747,74.9428,75.6623,1637416
2017-02-13,75.7294,76.3912,75.5951,76.3625,1427476
2017-02-14,76.468,76.5639,75.8733,76.5447,1798022
2017-02-15,76.7366,77.4272,76.3433,77.4176,1820244
2017-02-16,77.3313,77.5231,77.1202,77.5039,1779026
2017-02-17,77.1874,77.197,76.8133,77.1586,1920323
2017-02-21,77.2737,77.5039,77.0339,77.3313,2436741
2017-02-22,76.8613,77.4847,76.7941,77.2929,2438546
2017-02-23,77.1202,77.5998,77.0339,77.2641,3190404
2017-02-24,77.2641,77.9675,76.9846,77.9675,1973346
2017-02-27,77.9965,78.5457,77.9001,78.3819,2103201
2017-02-28,78.3337,79.2974,78.0543,79.1721,2550521
2017-03-01,79.519,79.8177,79.1143,79.6828,2721311
2017-03-02,79.8755,80.0297,78.7674,78.777,2628209
2017-03-03,78.8541,79.0179,78.4397,78.883,2331472
2017-03-06,78.5264,78.777,78.1892,78.3819,1657033
2017-03-07,78.3626,78.7288,78.1892,78.4975,1621840
2017-03-08,78.8926,78.9899,77.9965,78.1795,1661357
2017-03-09,78.3626,78.6614,78.1217,78.6035,1708769
2017-03-10,78.8444,79.1191,78.6035,79.0661,1560630
2017-03-13,78.8926,79.1432,78.7481,79.1143,1256704
