date,open,high,low,close,volume
2017-01-03,145.4168,146.6227,142.1486,143.5169,625463
2017-01-04,143.6547,147.6022,143.2216,147.0804,649597
2017-01-05,146.7261,147.6342,143.2708,145.279,418747
2017-01-06,145.7909,146.4839,143.9106,144.9541,455952
2017-01-09,143.507,144.708,140.7999,141.1937,463150
2017-01-10,141.1937,141.9123,140.3077,141.0362,541900
2017-01-11,140.9673,142.9853,140.5243,142.9558,500206
2017-01-12,142.0304,142.3504,138.6539,141.3413,565561
2017-01-13,142.0796,144.1469,141.0263,141.2921,495649
2017-01-17,140.4947,141.2823,139.0083,139.1855,937658
2017-01-18,139.5103,139.8647,137.3446,139.8155,981555
2017-01-19,139.9829,140.987,138.5555,139.1363,344025
2017-01-20,139.8844,141.4349,139.8844,141.2527,383088
2017-01-23,140.5637,141.5382,139.3686,140.6326,570658
2017-01-24,141.6071,143.881,141.1641,142.6014,556832
2017-01-25,143.6842,144.078,141.868,143.4283,589116
2017-01-26,144.206,144.206,141.1838,142.2175,755230
2017-01-27,141.8139,142.4931,139.9829,142.1978,549747
2017-01-30,141.932,149.4529,140.8393,148.9607,1380975
2017-01-31,149.8565,151.1953,147.8581,149.9844,1065828
2017-02-01,151.1854,154.6692,149.8368,154.1386,1081702
2017-02-02,152.7113,154.5816,151.8204,152.5439,826971
2017-02-03,155.4381,156.4176,154.1583,155.6645,1156313
2017-02-06,154.5521,156.7572,154.5521,155.192,651892
2017-02-07,156.6902,158.7995,156.434,158.2377,724409
2017-02-08,157.7646,159.3811,156.8381,159.1741,732801
2017-02-09,160.3864,161.9438,158.8784,161.5101,785343
2017-02-10,162.6337,165.7583,161.7171,165.2162,713477
2017-02-13,166.0836,166.4877,164.2897,164.9205,418841
2017-02-14,164.1517,165.5316,163.8757,165.2753,582996
2017-02-15,165.5907,168.252,165.3936,167.8873,566864
2017-02-16,168.0253,168.252,164.9402,165.4922,433883
2017-02-17,163.9348,166.9017,163.2547,166.0047,347799
2017-02-21,166.33,168.7251,166.33,168.459,378419
2017-02-22,167.2368,168.39,166.3398,166.9904,436943
2017-02-23,167.4339,167.907,165.4823,166.8327,346862
2017-02-24,165.571,166.0737,163.6687,165.6203,473458
2017-02-27,165.5217,167.1579,164.6346,166.537,344915
2017-02-28,165.8569,166.7932,164.0235,165.5217,445546
2017-03-01,168.6561,169.1884,166.3201,166.8819,397584
2017-03-02,167.2171,167.5128,164.748,165.7879,463635
2017-03-03,166.1033,167.8479,165.6597,166.33,443275
2017-03-06,164.4079,166.1525,163.9447,164.7923,447707
2017-03-07,164.1714,165.4478,163.3533,164.1714,364052
2017-03-08,165.5217,167.1776,163.7673,163.9644,275213
2017-03-09,164.8416,165.4922,161.8846,162.9294,399148
2017-03-10,164.2699,164.5262,161.313,161.5495,554311
2017-03-13,161.6481,162.0226,159.9528,161.451,622651
2017-03-14,160.7216,162.2691,159.0755,161.9339,309836
2017-03-15,163.166,164.4178,161.2045,163.4814,492690
2017-03-16,164.4276,166.0737,163.4223,163.6194,306319
2017-03-17,164.0827,164.0827,160.14,160.4752,819640
2017-03-20,160.6033,161.2933,158.494,159.7063,404615
2017-03-21,161.175,161.175,156.1728,157.0056,455828
2017-03-22,156.3157,157.942,155.2217,156.9366,394257
2017-03-23,157.0056,158.8291,155.8327,156.6114,273278
2017-03-24,157.1141,158.6024,155.7144,156.5818,303761
2017-03-27,153.9107,156.9563,153.0433,156.7198,312713
2017-03-28,156.5522,162.4859,155.9008,161.3524,460481
2017-03-29,160.5244,161.313,158.3166,160.5343,372124
2017-03-30,160.1499,162.0325,159.7162,161.589,287618
2017-03-31,160.9483,162.5648,160.5047,161.589,380891
2017-04-03,161.8846,162.614,158.8094,160.6329,392969
2017-04-04,159.5388,160.8596,157.0943,157.7942,358217
2017-04-05,158.9967,160.347,156.5621,156.9169,280302
2017-04-06,157.0648,159.4402,156.4537,158.3264,258815
2017-04-07,157.1831,159.5881,157.1831,158.5038,321965
2017-04-10,158.1589,159.6669,157.4788,158.8784,260628
2017-04-11,158.3166,160.3372,156.8972,160.2879,296534
2017-04-12,160.83,161.0764,158.8784,159.9232,289044
2017-04-13,159.1248,161.4214,158.356,158.9671,294090
2017-04-17,159.1544,161.7861,159.1544,161.589,230328
2017-04-18,160.071,161.0567,158.0184,159.4698,324810
2017-04-19,160.7807,161.9536,159.9429,160.4357,289413
2017-04-20,161.5692,162.6337,160.0612,162.2198,249659
2017-04-21,161.8255,162.6239,160.6131,160.968,219330
2017-04-24,164.7135,164.8613,162.3972,164.063,299561
2017-04-25,164.4769,166.1723,162.3183,163.7377,305445
2017-04-26,163.7968,165.2112,163.4124,163.5504,184605
2017-04-27,164.2404,164.2404,161.6185,163.2941,239336
2017-04-28,163.1561,164.0038,161.6382,163.2153,362132
2017-05-01,159.6768,160.1696,152.9841,153.6051,1179404
2017-05-02,153.0039,154.8668,150.4806,152.5702,1067616
2017-05-03,151.8408,153.615,150.7467,153.0827,472684
2017-05-04,153.1419,154.9456,152.1168,153.201,487194
2017-05-05,153.8022,154.0654,152.1168,152.4913,627275
2017-05-08,152.6096,153.1123,150.6186,151.8309,525526
2017-05-09,151.367,152.6106,150.351,151.9888,563058
2017-05-10,151.9888,152.196,150.9821,152.0283,483953
2017-05-11,151.0512,151.7914,148.5542,150.4294,588187
2017-05-12,150.0642,152.0184,149.8965,151.5743,476975
2017-05-15,152.0283,153.3508,152.0036,152.729,294961
2017-05-16,152.877,152.877,150.9722,152.5316,380562
2017-05-17,150.232,151.1795,148.4832,149.1069,719042
