date,open,high,low,close,volume
2017-01-03,106.9676,107.0403,104.544,105.7638,1029809
2017-01-04,106.5297,109.4894,105.8867,108.9315,1523758
2017-01-05,108.0426,109.2057,106.4162,107.5509,1491870
2017-01-06,108.3925,109.9811,107.8209,109.3665,1463809
2017-01-09,109.8109,110.5295,108.8748,108.9315,993879
2017-01-10,109.0828,109.8345,108.1939,108.4871,891230
2017-01-11,108.2318,108.8275,107.0592,108.7991,1055341
2017-01-12,108.1845,109.1584,106.7566,108.8275,936306
2017-01-13,109.4516,110.7848,108.7329,108.9977,495076
2017-01-17,107.7779,108.0899,105.2532,105.4801,758216
2017-01-18,106.1704,107.3429,104.7236,107.2389,1078258
2017-01-19,107.3335,107.9008,105.7638,106.8323,893001
2017-01-20,107.4753,107.7495,106.2366,106.8985,1180001
2017-01-23,106.5013,107.7589,105.9813,106.7188,678593
2017-01-24,107.1916,109.0544,106.3122,108.0899,689988
2017-01-25,109.584,110.8416,108.5343,110.5863,1137381
2017-01-26,111.0874,111.1725,108.2885,108.6289,1314765
2017-01-27,109.2152,109.3381,107.0214,107.2294,1009720
2017-01-30,106.5013,107.0403,105.2059,106.9079,810370
2017-01-31,105.9245,107.0214,104.9317,106.1609,1159494
2017-02-01,107.4375,108.9504,106.2839,106.9269,1035097
2017-02-02,109.8582,116.5813,109.8582,111.4846,3524892
2017-02-03,114.3497,115.2291,113.6783,114.6617,1942399
2017-02-06,114.4159,116.9879,114.3686,116.6569,2088609
2017-02-07,117.0824,117.2527,116.0423,116.4773,1274554
2017-02-08,115.4466,115.4466,114.293,114.9643,1120825
2017-02-09,115.4591,117.9995,114.9739,117.7236,1176351
2017-02-10,118.028,118.7892,116.7531,118.2754,1121040
2017-02-13,118.9319,120.7207,118.8939,120.0261,1044233
2017-02-14,119.4838,122.1478,119.4744,121.6055,1319282
2017-02-15,121.8339,122.9185,121.2345,122.6141,815558
2017-02-16,122.3477,122.9946,121.6911,122.89,1026608
2017-02-17,121.6626,122.7948,121.1583,122.7282,1046683
2017-02-21,123.3086,124.8499,122.9423,124.4218,1255995
2017-02-22,123.2325,124.945,123.1754,124.3362,1003095
2017-02-23,124.7453,124.9927,122.9376,124.1459,684702
2017-02-24,122.5379,123.7844,121.8244,123.5275,976645
2017-02-27,123.4513,124.9832,123.3467,124.7453,641726
2017-02-28,123.8605,125.164,123.6702,125.1164,1455687
2017-03-01,128.0278,128.6368,127.3999,127.7614,1611040
2017-03-02,128.4465,128.5607,125.1259,125.2115,1421686
2017-03-03,125.3257,127.0003,124.7834,126.6007,1129811
2017-03-06,126.0108,126.6007,125.0974,126.0012,924734
2017-03-07,125.9632,126.3723,125.2876,125.7634,809967
2017-03-08,127.1715,127.4475,126.0108,126.1249,648617
2017-03-09,126.6197,127.3713,126.0869,126.2772,879337
2017-03-10,127.0764,127.0764,124.7168,125.6873,1288973
2017-03-13,126.0678,126.4579,125.3352,126.1535,861709
2017-03-14,125.4684,126.0869,123.8995,125.9822,829978
2017-03-15,126.7529,128.3228,126.2296,127.181,839806
2017-03-16,127.6092,128.4084,127.2286,128.0659,1022937
2017-03-17,128.1515,128.1801,124.9071,125.3162,2034496
2017-03-20,124.6787,125.1221,123.3467,124.1554,1009254
2017-03-21,124.9071,124.9071,119.5313,119.7597,1507878
2017-03-22,118.9319,119.9214,116.382,119.1317,1516497
2017-03-23,118.637,121.0061,118.3515,119.5599,864850
2017-03-24,119.9595,120.6541,118.5894,119.1793,981778
2017-03-27,116.5818,119.2745,115.4068,119.1983,1289981
2017-03-28,118.6655,123.1564,118.6655,122.1288,1224177
2017-03-29,121.3867,122.1383,120.6731,121.2154,744291
2017-03-30,121.0727,123.5655,120.7492,123.3657,696513
2017-03-31,122.6997,124.4789,122.595,123.3847,1152275
2017-04-03,123.6321,123.9556,121.4913,123.2801,982862
2017-04-04,122.5094,123.5179,122.4523,122.6426,743794
2017-04-05,123.6892,125.2401,121.6163,121.8053,1016995
2017-04-06,121.5389,123.6797,120.7682,123.4133,678890
2017-04-07,122.2906,124.1078,121.8529,123.0232,808319
2017-04-10,122.9471,124.1174,122.3667,123.0898,576528
2017-04-11,122.262,123.1849,121.2725,123.0232,1003737
2017-04-12,122.7377,122.7948,120.8253,121.3486,908025
2017-04-13,120.5684,122.5189,120.0642,120.1022,894952
2017-04-17,120.3211,121.6436,119.9214,121.5484,1119345
2017-04-18,120.3781,121.0537,119.7121,120.4638,1222435
2017-04-19,121.7863,122.243,120.2735,120.7397,1237926
2017-04-20,121.6626,123.4371,120.7016,123.2801,1360822
2017-04-21,123.4799,124.0983,121.8244,122.2049,937180
2017-04-24,125.7824,126.4294,124.7548,125.4589,1432634
2017-04-25,125.4494,125.7824,121.948,124.5265,2065704
2017-04-26,124.2791,124.8833,122.6997,122.7377,1304126
2017-04-27,122.3477,123.2515,121.0632,122.224,1314478
2017-04-28,122.1764,123.0993,121.5675,121.6436,1219057
2017-05-01,122.6616,123.1754,121.5104,122.557,1089892
2017-05-02,123.3181,123.3847,122.2049,122.8424,827236
2017-05-03,122.0717,123.0517,121.9766,122.7568,629462
2017-05-04,123.5899,123.8963,122.1535,122.6706,829557
2017-05-05,122.9196,123.4271,122.0002,123.3601,755499
2017-05-08,123.3409,123.609,122.5269,122.9387,629064
