date,open,high,low,close,volume
2017-01-03,101.9017,102.045,100.5746,101.348,2240889
2017-01-04,101.5962,102.1022,101.3957,101.5294,1720738
2017-01-05,101.2048,101.6153,100.6224,101.1761,1919858
2017-01-06,101.1379,101.4912,100.4219,100.5078,1995330
2017-01-09,100.7274,101.0329,100.2023,100.2691,2278903
2017-01-10,100.4791,100.4887,98.5028,98.8179,2267499
2017-01-11,98.7988,99.4575,97.8726,99.1329,2631657
2017-01-12,98.9993,99.5435,98.455,99.4862,1568999
2017-01-13,99.5053,100.0209,98.2164,98.7701,2058945
2017-01-17,98.8942,100.4314,98.7319,100.4123,2055532
2017-01-18,100.4982,101.6058,100.2882,100.8897,2078068
2017-01-19,100.8897,100.8897,99.1616,99.7153,1747560
2017-01-20,100.0972,100.651,99.2666,99.4862,2598837
2017-01-23,99.7726,100.4319,99.5435,100.04,2222974
2017-01-24,100.2214,100.2214,99.3239,99.8395,1823692
2017-01-25,100.0781,100.1425,99.0015,99.2189,2053904
2017-01-26,99.4289,100.3837,99.0565,99.5817,1272655
2017-01-27,99.6867,100.04,98.9706,99.1234,1207073
2017-01-30,99.343,99.343,98.0827,98.35,1509887
2017-01-31,98.856,99.2952,98.4932,98.8179,1376282
2017-02-01,98.9133,99.1425,98.3596,98.6078,1906666
2017-02-02,98.6078,99.6008,98.4073,99.4003,1322576
2017-02-03,100.0877,100.8706,100.0209,100.4887,2988629
2017-02-06,100.3073,100.6319,98.4073,98.9515,2141176
2017-02-07,98.9706,99.2284,98.2545,98.7892,1344118
2017-02-08,98.8847,99.7058,98.6842,99.5817,1301940
2017-02-09,99.4862,101.2048,98.7892,100.9947,2525125
2017-02-10,100.7274,100.9756,99.9922,100.7178,1228140
2017-02-13,100.9088,102.8088,100.8229,102.6846,1975548
2017-02-14,102.7706,102.7706,101.0329,101.9495,1580607
2017-02-15,102.2455,102.5128,101.2143,102.2645,1362491
2017-02-16,102.1118,103.0856,102.0163,102.8374,1322261
2017-02-17,103.0093,104.8329,102.7897,103.2193,4991446
2017-02-21,103.2193,106.1886,103.1334,106.1504,3012621
2017-02-22,106.3223,106.771,105.5967,105.9977,2207404
2017-02-23,106.1409,107.172,106.1122,107.1243,2233348
2017-02-24,107.0002,108.0886,106.7137,107.7831,2589383
2017-02-27,108.8524,109.664,107.6876,108.2127,2895479
2017-02-28,108.0218,110.4564,107.974,109.5971,3001202
2017-03-01,109.5876,109.6735,107.9645,108.6901,2799124
2017-03-02,108.6615,110.0268,107.8499,109.6162,2592600
2017-03-03,109.3966,110.5232,109.177,110.4373,1395693
2017-03-06,110.1604,110.3036,109.1102,109.5207,1809837
2017-03-07,109.1579,110.0268,108.776,109.5112,2404382
2017-03-08,108.8906,109.5112,108.0504,108.1172,2010446
2017-03-09,108.2891,108.5564,107.678,107.8881,2015376
2017-03-10,108.5946,109.0338,107.9931,108.4419,1509500
2017-03-13,108.5564,109.3393,108.0886,109.0911,1597234
2017-03-14,108.7474,109.5398,108.5182,108.862,1416065
2017-03-15,108.967,110.8001,108.7951,110.065,2112442
2017-03-16,110.485,110.7428,109.578,109.8835,1814189
2017-03-17,110.1413,111.0197,109.8645,110.7619,3237500
2017-03-20,110.781,111.5735,110.5041,110.7333,2033363
2017-03-21,111.2775,113.1774,111.0579,111.4589,2853972
2017-03-22,112.2132,113.2348,111.5066,112.9579,2850991
2017-03-23,113.0725,114.094,112.7287,113.5689,2624444
2017-03-24,113.7981,114.3423,113.5021,113.9222,2475845
2017-03-27,113.3493,114.8101,113.187,114.581,3023516
2017-03-28,114.4187,115.2589,114.1131,114.9438,2259222
2017-03-29,114.7528,115.8413,114.7242,115.5644,2265954
2017-03-30,115.3161,115.6121,114.7337,115.4403,1795320
2017-03-31,115.1825,116.3377,115.0202,116.0418,2714218
2017-04-03,115.9367,116.3855,115.0011,115.6694,2071813
2017-04-04,115.4403,116.0895,115.0584,115.278,1710240
2017-04-05,115.4021,116.2327,115.1156,115.1825,2020821
2017-04-06,115.2589,116.5573,114.9915,116.4332,1859281
