date,open,high,low,close,volume
2017-01-03,97.54,98.29,96.675,97.06,548181
2017-01-04,97.49,102.28,97.45,101.73,2122051
2017-01-05,101.99,103.0,101.23,101.94,977256
2017-01-06,102.11,102.61,100.67,101.28,473835
2017-01-09,100.87,100.935,98.62,99.52,753348
2017-01-10,99.94,101.3,99.56,100.42,420613
2017-01-11,100.93,100.93,98.12,99.47,484748
2017-01-12,99.99,99.99,96.44,99.0,590813
2017-01-13,99.43,101.04,99.43,100.27,367759
2017-01-17,94.0,94.34,87.33,88.23,4583330
2017-01-18,87.9,91.0,87.6701,88.71,1240889
2017-01-19,89.38,89.92,88.67,89.72,632356
2017-01-20,90.62,90.9,89.41,89.8,732202
2017-01-23,89.81,89.88,87.5405,89.67,744108
2017-01-24,90.2,92.6,90.15,92.47,695625
2017-01-25,93.92,94.75,92.07,93.08,497486
2017-01-26,93.06,93.59,91.64,92.91,319623
2017-01-27,92.58,93.94,92.35,93.78,349636
2017-01-30,93.62,94.06,92.425,93.67,367927
2017-01-31,93.84,94.2,92.78,94.0,407090
2017-02-01,94.17,94.8,92.88,94.28,455253
2017-02-02,94.28,95.64,93.65,94.88,588854
2017-02-03,95.03,95.805,93.69,95.52,441517
2017-02-06,95.26,96.12,94.93,95.51,358550
2017-02-07,95.61,96.49,95.01,95.99,280302
2017-02-08,95.99,98.39,95.19,97.46,519519
2017-02-09,97.45,98.98,97.45,97.81,461118
2017-02-10,98.25,99.2,97.27,98.78,407855
2017-02-13,98.78,100.45,98.62,99.9,843504
2017-02-14,99.89,100.8,99.35,100.72,526315
2017-02-15,100.09,101.32,99.59,100.67,715620
2017-02-16,100.67,102.1899,99.515,100.17,1763278
2017-02-17,111.0,119.45,110.31,119.06,5910420
2017-02-21,118.95,123.12,118.56,122.62,1664556
2017-02-22,121.3,122.98,120.75,121.8,859981
2017-02-23,122.0,122.49,117.65,117.85,1142498
2017-02-24,117.0,120.65,115.855,120.59,898330
2017-02-27,121.47,121.68,119.88,120.39,621628
2017-02-28,119.96,120.95,118.75,118.99,649141
2017-03-01,120.0,121.11,118.78,120.64,777961
2017-03-02,120.51,121.75,119.34,119.49,470016
2017-03-03,119.51,120.26,118.6,119.97,501171
2017-03-06,118.97,120.73,117.951,119.43,734166
2017-03-07,119.79,122.6,118.705,121.08,931434
2017-03-08,121.51,125.0,120.4901,123.53,1433255
2017-03-09,123.22,124.5,121.79,123.09,552194
2017-03-10,124.48,124.49,123.36,124.17,581916
2017-03-13,125.0,127.64,124.81,127.47,1121992
2017-03-14,127.53,127.837,126.01,127.0,729366
2017-03-15,128.0,128.49,126.27,128.28,1130124
2017-03-16,128.84,128.93,126.99,127.14,895925
2017-03-17,127.52,128.56,126.7975,128.1,1029157
