date,open,high,low,close,volume
2017-01-03,109.3977,109.7003,108.7633,109.388,839019
2017-01-04,109.7296,110.8129,109.4953,110.5884,962435
2017-01-05,110.2566,110.8324,109.6125,110.7544,792293
2017-01-06,111.2326,112.0817,110.8227,111.6035,642056
2017-01-09,111.174,111.5156,110.6763,110.6763,727165
2017-01-10,110.6568,111.0862,109.8076,109.9248,844153
2017-01-11,109.6905,110.1883,108.9585,109.9638,1079476
2017-01-12,109.3392,110.0809,108.7731,109.9638,695309
2017-01-13,110.3249,111.0764,110.3249,110.5689,598511
2017-01-17,110.0712,111.3302,109.5539,110.891,901524
2017-01-18,111.2619,111.4863,110.5201,111.3107,960299
2017-01-19,111.5742,112.2378,109.5539,109.5832,1982609
2017-01-20,109.7979,109.9931,108.6462,109.3782,1580008
2017-01-23,109.2806,109.671,108.6267,109.0171,763589
2017-01-24,109.5637,110.0126,109.1342,109.5149,1251486
2017-01-25,110.2859,110.686,109.427,110.1297,1361372
2017-01-26,110.2273,110.564,109.8857,110.2371,930454
2017-01-27,110.4616,110.6665,109.6905,110.6665,854330
2017-01-30,110.4609,110.4609,108.5444,109.6974,876171
2017-01-31,109.5702,110.3239,109.1199,110.3141,1199346
2017-02-01,110.363,110.4022,108.6697,108.8165,1750834
2017-02-02,108.2586,110.1281,107.4951,110.0988,1334637
2017-02-03,110.3924,111.8117,109.8247,111.6453,1426621
2017-02-06,110.872,111.9585,110.6273,111.6649,782981
2017-02-07,112.1837,112.213,111.6062,111.8313,808742
2017-02-08,111.3027,112.0075,110.8232,111.939,752781
2017-02-09,112.1445,112.7612,111.8802,112.7318,1028434
2017-02-10,114.895,115.2669,111.5866,113.1429,1213365
2017-02-13,113.0842,113.696,112.8395,113.417,950213
2017-02-14,113.5442,113.5834,112.5263,113.3974,793066
2017-02-15,113.2897,114.2294,112.8591,114.0924,739731
2017-02-16,114.2294,114.8754,113.9847,114.7971,719443
2017-02-17,114.4154,115.1495,113.4464,115.0418,962814
2017-02-21,114.895,115.3061,112.7807,113.1233,1471113
2017-02-22,113.1625,113.9651,112.4871,113.1527,1091063
2017-02-23,113.3974,114.0141,113.1233,113.7302,898247
2017-02-24,112.722,114.0924,112.722,114.0924,712667
2017-02-27,114.3469,114.6993,113.5638,113.9064,494192
2017-02-28,113.6617,113.8672,112.8818,113.2016,1212429
2017-03-01,115.0125,115.3932,113.9847,115.0223,917009
2017-03-02,115.0614,115.1691,113.8672,113.9945,783869
2017-03-03,113.9064,114.3175,113.554,114.0141,762400
2017-03-06,113.3485,114.1315,113.2114,113.2604,729556
2017-03-07,113.0744,113.5344,112.5948,113.094,774063
2017-03-08,113.5442,113.7449,112.5165,113.1723,1046205
2017-03-09,113.3093,114.3224,113.045,113.8672,1175250
2017-03-10,114.1315,115.453,113.8379,115.3649,1582594
