date,open,high,low,close,volume
2017-01-03,66.1737,66.8103,65.7037,66.0366,826611
2017-01-04,66.1346,66.732,66.0758,66.5263,867064
2017-01-05,66.6046,66.9964,66.0073,66.1737,841985
2017-01-06,66.35,66.8671,65.9975,66.6732,637804
2017-01-09,66.6144,66.8299,65.9681,65.9877,709021
2017-01-10,66.0268,66.5753,65.733,66.3892,674796
2017-01-11,66.1639,66.4186,65.9583,66.4186,752228
2017-01-12,66.1542,66.6144,65.5274,66.5655,769229
2017-01-13,66.683,67.0845,66.6046,66.7026,842116
2017-01-17,66.3794,66.7124,65.9093,66.3011,718040
2017-01-18,66.6046,67.0845,66.3696,66.8691,810731
2017-01-19,66.7124,67.0453,66.4284,66.8005,858365
2017-01-20,67.0845,67.3685,66.8789,67.1825,1189096
2017-01-23,66.9376,67.3636,65.9681,66.5753,1233151
2017-01-24,66.8789,67.5154,66.6046,67.3392,2247541
2017-01-25,67.3783,67.819,65.0377,65.6449,3163918
2017-01-26,66.0954,66.0954,64.8908,65.263,1376461
2017-01-27,65.498,66.0268,65.3021,65.5372,1425755
2017-01-30,65.6057,65.6743,64.93,65.5959,1319258
2017-01-31,65.5861,66.2178,64.9692,66.0954,1857290
2017-02-01,66.1737,66.2619,64.9887,65.2238,1492263
2017-02-02,65.1454,65.9779,64.6362,65.7624,1345852
2017-02-03,66.0073,66.2815,65.6057,66.066,1426541
2017-02-06,65.9093,66.3108,65.5861,65.6841,1706233
2017-02-07,65.9387,66.4186,65.7918,65.8995,1390299
2017-02-08,65.8995,66.9964,65.8701,66.6144,1558208
2017-02-09,66.6242,67.3587,66.6144,66.8789,1323173
2017-02-10,66.8299,67.5105,66.6732,67.3489,1116403
2017-02-13,67.6036,67.7896,67.3881,67.5448,1068340
2017-02-14,67.4077,67.7113,67.1433,67.7015,1049691
2017-02-15,67.4273,67.7847,67.1531,67.5938,1463608
2017-02-16,67.7309,68.0051,67.439,67.9463,883946
2017-02-17,67.9659,68.0247,67.3,68.0247,1103316
2017-02-21,67.9463,68.2499,67.7211,68.1422,1053473
2017-02-22,68.1226,68.5388,68.0981,68.3772,810086
2017-02-23,68.5731,68.7886,67.7505,68.5241,2454171
2017-02-24,68.1128,68.7788,67.9757,68.7298,1313385
2017-02-27,68.5633,68.8082,67.9561,68.0345,1190649
2017-02-28,67.9268,67.9708,67.5595,67.7799,1346502
2017-03-01,68.1128,69.5329,68.0639,69.4153,1511917
2017-03-02,69.3076,69.5133,68.9404,69.0236,815515
2017-03-03,68.9551,69.1901,68.7788,69.0138,910627
2017-03-06,68.6221,68.9648,68.5927,68.6808,914770
2017-03-07,68.769,69.0432,68.5144,68.8179,668711
2017-03-08,68.6906,69.1313,68.4752,68.9257,932102
2017-03-09,68.7788,69.1705,68.3577,68.6906,718935
2017-03-10,68.9061,69.3468,68.8082,69.0922,664058
2017-03-13,69.0334,69.9442,68.8376,69.9148,1242496
2017-03-14,69.6308,69.7091,69.2293,69.4839,871945
2017-03-15,69.8071,70.4926,69.6994,70.3751,2154740
2017-03-16,70.4144,70.6303,69.9236,70.1199,1139947
2017-03-17,70.1199,70.3652,69.8844,70.0218,1249063
2017-03-20,69.9923,70.169,69.5506,70.0218,703103
2017-03-21,70.1984,70.5224,68.9421,69.109,1160833
2017-03-22,69.3642,69.7175,68.9028,69.6488,1200785
2017-03-23,69.6193,70.0807,69.266,69.5899,1006152
2017-03-24,69.7862,70.2868,69.4918,69.6586,1239128
2017-03-27,69.0991,69.7273,68.5691,69.6684,915906
2017-03-28,69.6292,70.2083,69.2856,70.0021,944185
2017-03-29,69.6684,70.1003,69.531,69.9923,1115692
2017-03-30,69.9531,70.6205,69.8942,70.5616,913388
2017-03-31,70.4046,70.4733,69.7764,69.8549,1484291
2017-04-03,69.7568,69.7862,68.4612,68.9912,1201534
2017-04-04,68.8832,69.158,68.2354,68.6084,1038185
2017-04-05,68.844,69.0206,68.2354,68.2845,1204899
2017-04-06,68.2256,68.9421,68.0685,68.6378,803102
2017-04-07,68.5789,68.844,68.4121,68.4808,912374
2017-04-10,68.6378,68.9617,68.2747,68.3532,770494
2017-04-11,68.2158,68.52,67.6661,68.4513,799804
2017-04-12,68.5888,68.6575,67.2981,67.568,1194725
2017-04-13,67.4894,67.9017,67.3815,67.3815,904436
2017-04-17,67.725,68.2747,67.5568,68.2452,669554
2017-04-18,68.1863,68.736,68.1373,68.6673,1214876
2017-04-19,68.9814,69.3838,68.7164,68.8243,986559
2017-04-20,69.1286,69.7764,68.9323,69.5114,890423
2017-04-21,69.5114,69.5605,69.001,69.1679,1123472
2017-04-24,69.9825,70.6107,69.8255,70.6009,1213353
2017-04-25,70.6892,71.1603,70.4144,70.8463,1427733
2017-04-26,71.6511,72.3872,70.2966,70.4046,2500076
2017-04-27,70.699,71.4646,70.5714,71.4352,1029259
2017-04-28,71.2978,71.4057,70.5812,70.9739,1211570
2017-05-01,71.2389,71.3076,70.5616,70.5616,1106037
2017-05-02,70.542,70.6892,69.9138,70.1788,1082562
2017-05-03,69.9433,70.0807,69.5899,69.9727,908511
2017-05-04,70.2083,70.6598,69.8844,70.5125,838269
2017-05-05,70.699,70.8659,70.3751,70.7972,487736
2017-05-08,70.7579,71.3665,70.65,71.1898,906622
2017-05-09,71.1211,71.5235,71.1211,71.3174,756578
2017-05-10,71.3174,71.6511,70.9346,71.6315,1191815
2017-05-11,71.2094,71.4057,70.8266,71.2781,618909
2017-05-12,71.1996,71.5333,71.1309,71.5039,648252
2017-05-15,71.6315,72.0143,71.4646,71.818,1440395
2017-05-16,72.0928,72.5001,71.7493,72.3774,869960
2017-05-17,71.8081,72.0535,71.2143,71.2192,1407175
2017-05-18,70.7972,71.4548,70.0512,71.1113,952552
2017-05-19,71.3665,71.8769,71.3174,71.553,839056
2017-05-22,71.6511,72.3087,71.5039,72.24,960717
2017-05-23,72.24,72.5148,71.9456,72.0143,972987
2017-05-24,72.2204,72.8142,72.0437,72.5639,990032
2017-05-25,72.986,73.3001,72.613,73.1921,936905
2017-05-26,73.1921,73.4718,72.9565,73.4178,947268
2017-05-30,73.1332,73.6043,73.1332,73.4964,969331
2017-05-31,73.6141,73.7614,73.1528,73.2215,2716381
