date,open,high,low,close,volume
2017-01-03,104.6354,104.9535,102.8299,103.4474,424745
2017-01-04,103.6719,106.2913,103.6719,106.0668,515908
2017-01-05,105.3371,106.1697,103.8122,105.6832,394850
2017-01-06,105.3651,105.9077,104.9067,104.9722,472333
2017-01-09,105.3932,105.5989,103.7467,103.887,441583
2017-01-10,103.728,104.2332,102.9328,103.6999,345541
2017-01-11,104.0929,104.4764,102.4464,102.5399,489253
2017-01-12,102.6522,104.1303,100.7578,102.2593,380062
2017-01-13,102.1377,102.6896,101.7915,102.4838,234077
2017-01-17,102.4464,103.5596,101.9693,103.3912,363985
2017-01-18,103.3725,104.3922,102.6428,103.859,230455
2017-01-19,103.7467,103.9432,101.8102,102.8206,348776
2017-01-20,102.8861,104.439,102.8112,103.9806,442684
2017-01-23,103.7935,106.8152,103.7935,106.1135,496242
2017-01-24,106.1977,107.2361,106.1977,106.759,515684
2017-01-25,106.8619,106.9555,105.7767,106.0855,266516
2017-01-26,106.1884,107.1426,105.6832,105.9919,293438
2017-01-27,106.2351,106.6281,104.7571,105.5148,432703
2017-01-30,104.9909,105.2903,103.6438,104.9254,418175
2017-01-31,104.5045,105.6598,103.0264,103.6719,704131
2017-02-01,103.5128,104.2893,101.2115,101.2957,603199
2017-02-02,101.7073,102.1002,101.1554,102.0254,701732
2017-02-03,102.9048,103.7467,102.0909,103.5035,792919
2017-02-06,103.7374,105.5242,103.5596,105.4213,1040796
2017-02-07,105.4119,106.6561,105.4119,105.9358,591351
2017-02-08,105.9732,107.6477,105.309,107.1519,666235
2017-02-09,107.3858,108.0126,106.8806,107.5635,622987
2017-02-10,107.5074,107.7226,106.8526,106.9929,2640902
2017-02-13,107.5448,107.5448,106.4035,106.89,627307
2017-02-14,106.5532,107.6665,105.7113,107.5635,865868
2017-02-15,107.339,107.8348,106.0995,107.7974,507555
2017-02-16,107.9565,108.8732,107.8161,108.3494,487278
2017-02-17,108.1623,108.8732,107.629,108.8732,352130
2017-02-21,108.8265,110.9033,108.4195,110.8284,486110
2017-02-22,110.9688,111.923,109.7813,110.8471,541924
2017-02-23,111.2494,111.7733,110.4262,111.2026,681895
2017-02-24,111.2026,112.7369,110.8565,112.4468,587158
2017-02-27,112.5498,113.1577,112.0446,112.6994,601076
2017-02-28,112.7088,112.7369,111.3149,111.6143,999091
2017-03-01,111.7733,111.7733,110.2671,110.5571,837466
2017-03-02,110.3794,110.7349,108.5271,109.4626,565773
2017-03-03,108.8078,110.1175,107.7319,110.0052,422920
2017-03-06,109.4813,110.2952,108.9574,109.9304,391987
2017-03-07,109.8087,109.8555,109.0416,109.6029,342600
2017-03-08,109.1352,109.4018,108.181,108.2278,517147
