date,open,high,low,close,volume
2017-01-03,18.2932,18.7421,18.1955,18.7324,4285773
2017-01-04,18.7422,19.2596,18.5567,19.2303,4434650
2017-01-05,19.2303,19.7183,19.1326,19.6207,5409549
2017-01-06,19.6695,20.2113,19.5329,20.1381,5535571
2017-01-09,20.099,20.1381,19.8062,19.9038,4882161
2017-01-10,19.6988,20.4261,19.6988,20.2162,4311782
2017-01-11,20.2357,20.5969,20.1576,20.5969,4199344
2017-01-12,20.4309,20.5237,20.0112,20.4993,5548723
2017-01-13,20.4407,20.7194,20.3919,20.6262,4616176
2017-01-17,20.2064,20.4054,20.0844,20.2455,3044366
2017-01-18,20.2357,20.4602,20.1381,20.3821,2577361
2017-01-19,20.2943,20.8409,20.2943,20.8019,3684876
2017-01-20,20.7921,21.1241,20.6379,20.7824,5623419
2017-01-23,20.7531,20.8604,20.5871,20.8214,4182758
2017-01-24,20.9678,21.8659,20.9093,21.6414,8308798
2017-01-25,21.8268,22.1783,21.6999,22.149,3802874
2017-01-26,22.0123,22.3344,21.778,22.3149,3274056
2017-01-27,22.3052,22.3344,21.9733,22.0611,2701911
2017-01-30,22.0806,22.1197,21.6316,21.9635,3789028
2017-01-31,21.7683,22.2466,21.6023,22.2466,5661334
2017-02-01,22.7751,24.9577,22.5989,24.7424,16385366
2017-02-02,24.4781,24.9577,24.2921,24.6641,8086687
2017-02-03,24.6347,25.3687,24.6347,25.3492,5964126
2017-02-06,24.6836,25.7505,24.6836,25.6428,10249070
2017-02-07,25.6428,26.1517,25.5156,26.0539,7512704
2017-02-08,25.9168,26.8271,25.77,26.7194,7665855
2017-02-09,26.6313,27.5415,26.5726,27.3654,9069169
2017-02-10,27.6296,29.2152,27.522,28.9901,11540809
2017-02-13,28.8432,29.2347,28.4322,29.0194,10160764
2017-02-14,28.8237,29.5186,28.7111,28.8922,11884058
2017-02-15,28.716,28.8922,28.4615,28.5888,5073947
2017-02-16,28.5203,28.8628,28.4371,28.8628,5046892
2017-02-17,28.7356,29.4403,28.6279,29.2739,4651962
2017-02-21,29.039,29.7339,29.0194,29.6458,3882602
2017-02-22,29.2445,29.9052,29.2445,29.9003,4517041
2017-02-23,29.9296,30.0373,28.8922,28.9411,6950772
2017-02-24,28.3735,28.9067,28.1288,28.6964,4509979
2017-02-27,28.6769,29.0096,28.486,28.6181,3067468
2017-02-28,28.4811,28.7552,28.0309,28.1777,4143241
2017-03-01,28.6769,29.2543,28.6769,28.9118,3618493
2017-03-02,28.6181,28.8335,27.9135,27.933,2998622
2017-03-03,27.9526,28.1728,27.1598,27.4926,3644596
2017-03-06,27.4143,27.4339,26.9739,27.1109,3549690
2017-03-07,27.013,27.0522,26.0832,26.4062,6261883
2017-03-08,26.3964,26.6117,26.0783,26.279,4092482
2017-03-09,26.1713,26.4258,25.7113,25.9266,4030546
2017-03-10,26.0245,26.3475,25.8679,26.2594,3964479
2017-03-13,26.2202,26.4551,26.0049,26.23,3175992
2017-03-14,26.0147,26.1909,25.8875,26.1028,1908738
2017-03-15,26.2594,26.8466,26.2105,26.6803,2273189
2017-03-16,26.7977,26.9641,26.4013,26.739,2669645
2017-03-17,26.7586,27.2186,26.7096,26.9151,5994244
2017-03-20,26.9543,27.5807,26.8173,27.2773,3787313
2017-03-21,27.336,27.3947,26.1028,26.1811,6408214
2017-03-22,26.1224,26.4943,25.8591,25.9364,3487677
2017-03-23,25.9364,26.2692,25.8872,26.1126,3997964
2017-03-24,26.1126,26.3181,25.8092,26.1126,2931207
2017-03-27,25.5547,26.093,25.4568,25.9951,2822287
2017-03-28,25.8875,26.5432,25.8875,26.4649,2546149
2017-03-29,26.1909,26.4307,25.5645,25.6428,3226138
2017-03-30,25.5547,26.0147,25.4764,25.9951,2551841
2017-03-31,25.9071,25.9854,25.6428,25.7798,2514364
2017-04-03,25.9168,26.1322,25.3149,25.6232,2345401
2017-04-04,25.5939,25.9167,25.5253,25.819,5288700
2017-04-05,25.9854,26.279,25.3002,25.3394,3734719
2017-04-06,25.2807,25.6819,25.2317,25.6036,1586331
2017-04-07,25.447,25.9315,25.447,25.8483,1812508
2017-04-10,25.8483,26.2692,25.8483,25.9658,2615087
2017-04-11,25.9756,26.2692,25.5058,26.0245,3216103
2017-04-12,25.9364,25.9364,25.1583,25.3002,5436992
2017-04-13,25.2709,25.4373,25.1339,25.3492,4642104
2017-04-17,26.6705,27.8352,25.9364,26.1224,12633715
2017-04-18,25.7505,25.7505,24.0768,25.2513,9245612
2017-04-19,25.2709,25.9168,25.2709,25.4177,5108760
2017-04-20,25.633,25.7602,25.5058,25.5547,2307613
2017-04-21,25.5939,25.6526,25.4177,25.447,2978166
2017-04-24,25.7994,25.9854,25.4177,25.5449,4577405
2017-04-25,25.7407,26.4258,25.6722,26.4062,4983997
2017-04-26,26.4747,27.3947,26.4454,26.9151,5708915
2017-04-27,26.876,26.9151,26.3279,26.6411,3641516
2017-04-28,26.7488,26.9054,26.602,26.7488,4362977
2017-05-01,26.8466,26.9428,26.3083,26.6705,3226608
2017-05-02,26.416,26.8124,26.416,26.5726,3293397
2017-05-03,26.4647,26.4647,26.0233,26.2685,2573595
2017-05-04,26.1704,26.2587,25.7486,26.1116,2945604
2017-05-05,26.1214,26.7786,26.0331,26.7786,2371240
2017-05-08,26.6903,26.7639,26.4794,26.5628,1863261
2017-05-09,26.5824,26.8669,26.4941,26.7393,2110121
2017-05-10,26.6413,26.8276,26.602,26.759,1997011
2017-05-11,26.6314,26.7393,26.3666,26.6903,1891719
2017-05-12,26.6118,27.2396,26.5334,27.1709,2852261
