date,open,high,low,close,volume
2017-01-03,167.8732,170.3307,166.2254,167.9203,3209813
2017-01-04,167.8449,168.5417,166.3573,166.7245,2396470
2017-01-05,166.0277,166.6586,163.7208,164.0975,2486093
2017-01-06,164.0316,166.5644,163.1841,166.2725,2314304
2017-01-09,166.329,167.8826,166.3196,166.6303,2026589
2017-01-10,167.1199,170.18,166.5644,170.02,3018327
2017-01-11,169.5304,169.9258,167.3742,168.9372,1878705
2017-01-12,167.6849,168.6359,165.152,168.4099,2313737
2017-01-13,168.4475,170.2177,167.9673,169.907,2090697
2017-01-17,168.9937,169.1349,167.1858,168.6453,2631606
2017-01-18,169.8222,174.2571,169.4833,174.21,3564175
2017-01-19,174.2853,175.9613,173.8898,174.7184,4571813
2017-01-20,177.5808,180.3443,177.11,179.9159,5762335
2017-01-23,179.85,180.3396,177.4113,179.8406,3339436
2017-01-24,181.4601,187.9758,181.0458,186.1962,6200772
2017-01-25,188.2394,190.7534,186.4599,190.6499,6090259
2017-01-26,192.4953,193.2768,189.3787,192.2411,3882680
2017-01-27,193.3804,193.7665,191.6479,193.6911,2578653
2017-01-30,192.5048,192.9002,188.8891,191.3466,3323406
2017-01-31,190.6404,190.6404,187.2414,187.844,2674941
2017-02-01,190.4333,192.533,188.5125,191.7892,3118392
2017-02-02,190.1697,193.0509,189.2563,192.1281,2271170
2017-02-03,192.9755,194.5291,191.1677,194.1148,2437317
2017-02-06,194.1054,194.5856,192.3635,194.4915,1871607
2017-02-07,195.1035,195.2824,192.9567,193.8795,2284021
2017-02-08,193.9359,196.5535,193.1733,194.8022,2106897
2017-02-09,195.2165,195.5555,191.7327,193.3428,2751924
2017-02-10,193.9642,194.435,191.9398,193.5122,2384206
2017-02-13,194.6986,195.0093,193.1827,194.6327,1246341
2017-02-14,194.8964,194.9058,192.8343,193.3333,1735780
2017-02-15,193.7947,194.8446,192.8343,193.9548,1708766
2017-02-16,194.3973,196.0545,193.1874,196.0168,1718799
2017-02-17,196.7889,198.1165,194.7364,198.1165,3094524
2017-02-21,198.6721,201.139,198.5873,200.3198,3033314
2017-02-22,200.5552,202.3724,199.1428,201.6474,2394863
2017-02-23,202.5137,203.3376,197.3915,198.2766,2936386
2017-02-24,196.2051,198.3378,190.7723,198.0789,2765081
2017-02-27,198.3613,200.9789,197.9094,200.8188,2699102
2017-02-28,201.6286,201.8169,198.013,198.6062,2754779
2017-03-01,200.6211,202.8056,198.2578,202.5702,5115465
2017-03-02,211.0161,211.8353,203.3988,204.5946,7117112
2017-03-03,205.2631,207.1462,204.9806,205.5644,3077077
2017-03-06,203.7283,205.7621,202.5984,205.2066,2277121
2017-03-07,204.6416,208.4362,204.4062,206.44,2912919
2017-03-08,206.4118,208.3138,205.7809,206.7978,2454365
2017-03-09,205.9975,209.8391,205.3761,209.0388,2567522
2017-03-10,209.7167,213.1817,209.7167,213.1252,3943043
2017-03-13,212.6638,214.4434,212.1931,213.2194,2666904
2017-03-14,211.6281,213.0593,210.4511,211.2421,2216720
2017-03-15,211.2232,213.4077,210.1969,212.7298,2072680
2017-03-16,213.269,213.5905,209.5707,210.3179,2783456
2017-03-17,211.4151,211.5948,208.8897,209.2018,5163480
2017-03-20,209.2018,210.5828,208.8235,209.2586,1721474
2017-03-21,210.2044,210.9043,203.8484,204.3213,3055726
2017-03-22,204.3213,206.544,203.7254,205.6455,1913093
2017-03-23,205.4941,206.6291,204.7043,205.1158,1922274
2017-03-24,206.2035,209.4099,205.9481,207.1115,2379356
2017-03-27,205.0874,208.256,204.274,207.1872,1535762
2017-03-28,206.6764,209.7693,206.5251,208.9843,1792867
2017-03-29,208.8424,209.3626,207.7831,209.3248,1592716
2017-03-30,209.8828,212.2947,207.0075,208.1236,3416840
2017-03-31,208.0763,209.0221,206.2224,207.1021,2589661
2017-04-03,207.1399,208.0763,204.9288,206.9507,1921017
2017-04-04,206.3548,208.4735,206.0805,207.1021,1263393
2017-04-05,207.6506,208.5587,205.059,205.3712,1568971
2017-04-06,204.9644,206.6339,203.9146,205.7211,1461530
2017-04-07,205.7211,207.9344,205.286,206.4305,1641793
2017-04-10,205.3144,207.1872,204.5483,206.213,1799417
2017-04-11,204.832,206.5677,202.439,205.7684,2221897
2017-04-12,203.9902,204.43,197.1518,197.8706,6102582
2017-04-13,197.8801,202.3823,197.6814,199.8758,4257943
2017-04-17,200.8784,202.7512,200.6987,202.2877,1450730
2017-04-18,201.5216,202.1364,200.5757,201.5594,848590
2017-04-19,202.2026,203.1957,201.7107,202.0607,1208146
2017-04-20,203.3565,207.2534,202.6188,206.3927,1691619
2017-04-21,205.6455,206.5062,204.4544,205.8725,1468342
2017-04-24,208.7384,209.8828,207.7831,209.2586,1753914
2017-04-25,209.9963,211.8691,209.9301,211.1124,1484833
2017-04-26,211.3867,211.8029,208.9086,209.6748,1472625
2017-04-27,210.8192,211.9542,210.0342,211.0084,1184979
2017-04-28,210.7625,211.051,207.8682,208.8519,1648994
2017-05-01,210.0625,210.2233,208.0006,209.3342,1533863
2017-05-02,211.3584,213.2879,209.5045,213.2406,2727671
2017-05-03,212.3515,213.9405,211.4388,212.7204,1800197
2017-05-04,213.0609,213.6284,209.845,211.3016,1624956
2017-05-05,212.7771,214.2243,211.9117,214.1864,2312775
2017-05-08,214.2526,214.8015,211.7367,212.8906,1744807
2017-05-09,213.4014,216.9767,212.5359,216.0876,1926081
2017-05-10,217.0618,220.779,216.3051,218.8021,2443312
2017-05-11,218.1874,219.294,215.8795,218.5751,1482347
2017-05-12,218.944,223.2665,218.3387,223.1814,2585163
2017-05-15,222.8504,226.908,222.2734,226.0851,2917216
2017-05-16,226.9459,228.2228,225.7636,227.6458,1812837
2017-05-17,225.1109,226.0284,218.5751,218.6603,3144716
2017-05-18,219.0386,225.6974,215.3498,224.7893,3069926
2017-05-19,223.8908,224.1509,219.4832,221.4221,3581163
2017-05-22,222.7747,226.0379,221.5357,225.4704,2041901
2017-05-23,225.442,225.9906,223.0698,223.73,1369551
2017-05-24,225.546,227.0121,224.1367,226.6243,1646694
2017-05-25,228.0525,228.4781,225.8014,227.816,1901022
2017-05-26,227.8539,228.516,225.4136,228.1471,1312045
2017-05-30,227.4755,228.3173,226.0568,226.8324,2936354
2017-05-31,229.3861,229.7361,224.6948,226.5108,4482984
2017-06-01,228.516,228.7713,221.1478,221.8856,6377423
2017-06-02,235.0801,241.9659,230.9279,240.7457,10861291
2017-06-05,240.2444,242.8739,236.6502,238.5514,3953160
2017-06-06,237.1894,241.5119,237.0475,240.112,2965264
2017-06-07,239.9418,241.9942,239.2702,240.5093,2928993
2017-06-08,241.1903,242.2307,238.6554,241.143,2827298
2017-06-09,241.6727,242.1361,228.3741,230.1617,5819142
2017-06-12,227.3786,229.9442,222.9837,229.528,5487231
2017-06-13,231.694,234.4857,228.5822,229.7834,3085265
2017-06-14,230.3793,231.6845,224.7562,227.5134,3450894
2017-06-15,223.5428,227.4848,223.4763,226.06,2752725
2017-06-16,226.9528,227.4278,223.3433,224.4072,3581932
2017-06-19,232.5381,232.5381,228.3017,229.0616,2851920
2017-06-20,229.869,231.4362,227.822,227.9597,2442934
2017-06-21,231.3697,233.5782,229.7931,232.8325,3500225
2017-06-22,233.203,234.0579,230.8948,231.8067,1866643
2017-06-23,231.3318,234.4948,230.6195,232.9655,3498502
2017-06-26,233.6589,235.4732,229.1091,230.5814,3210313
2017-06-27,229.261,229.8595,223.4383,223.5333,3358160
2017-06-28,224.7301,229.6125,222.7449,228.9666,2453345
2017-06-29,226.7344,226.9908,219.012,222.308,3451310
2017-06-30,224.4262,224.8251,221.1871,221.3676,2653376
2017-07-03,222.7544,223.4478,217.5966,218.2425,2112330
2017-07-05,219.4204,220.6837,217.6251,219.9998,2969882
2017-07-06,216.1528,223.9133,216.0958,223.2578,2633380
2017-07-07,223.5048,228.1497,223.4763,227.6083,2473086
2017-07-10,228.4536,229.812,226.8389,229.6505,2249872
2017-07-11,229.869,230.4389,227.3898,228.8146,2050168
2017-07-12,230.8188,234.7893,228.9761,234.0674,2771047
2017-07-13,234.7323,237.3444,234.1909,234.9128,2040048
2017-07-14,236.1666,237.8479,235.4257,237.7434,1441720
2017-07-17,238.2183,239.7096,236.3851,236.537,1874573
2017-07-18,234.8653,238.3513,233.7254,238.3038,1300337
2017-07-19,239.3677,241.7803,237.9904,241.6474,2552646
2017-07-20,241.7423,242.2173,239.7001,240.726,1213544
2017-07-21,238.9212,240.8115,237.9049,240.422,1550391
2017-07-24,240.593,240.9635,239.0732,240.346,1363836
2017-07-25,240.1276,241.6569,237.6389,241.5524,1612323
2017-07-26,241.9228,245.2474,241.8563,244.1265,1997140
2017-07-27,245.2664,245.5323,236.4706,238.3703,3200980
2017-07-28,236.4421,238.527,235.0932,237.8194,3191860
2017-07-31,238.3988,239.7951,233.1555,234.2954,1899118
2017-08-01,235.7867,237.4679,234.5803,235.9386,1758194
2017-08-02,241.8373,244.383,238.47,240.6595,3697018
2017-08-03,240.1371,240.3175,234.8368,237.7434,2344651
2017-08-04,238.1661,238.3893,235.6822,236.6795,1345423
2017-08-07,236.8885,240.2131,236.4231,239.7856,1873024
2017-08-08,239.3487,241.5429,237.8669,238.7597,2043901
2017-08-09,237.0215,237.8099,235.1122,236.6795,2125609
2017-08-10,234.2954,234.6183,228.4061,228.6436,2903345
2017-08-11,228.0167,232.9465,226.7344,231.9302,1697612
2017-08-14,234.4853,238.6553,233.6684,238.3323,1673725
2017-08-15,239.5576,241.3244,238.6743,240.973,2094195
2017-08-16,241.5714,241.9703,239.1872,240.7165,1539399
2017-08-17,240.3175,241.5049,234.2859,234.5708,2279288
2017-08-18,234.9318,238.8737,233.7919,236.8695,2013172
2017-08-21,239.2632,239.2632,233.8394,237.107,2069348
2017-08-22,239.2062,243.3476,238.4178,242.3978,2691691
2017-08-23,241.1914,245.9313,240.688,244.041,2792759
2017-08-24,245.7033,246.3587,238.5128,242.2648,5211896
2017-08-25,239.6051,241.6474,231.5597,233.279,6909886
2017-08-28,234.6563,235.2262,230.3442,231.0563,3417374
2017-08-29,229.1945,232.3196,227.9977,229.6125,3353577
2017-08-30,229.451,233.9914,228.806,233.6874,2192433
2017-08-31,234.2574,239.8711,233.241,239.4342,2949091
2017-09-01,239.6811,242.5402,239.6526,240.0611,2324233
2017-09-05,237.5819,240.0611,234.6373,236.5655,2432241
2017-09-06,238.0473,238.7123,235.2832,236.879,1399596
2017-09-07,237.2685,237.4679,233.7919,234.1909,1608815
2017-09-08,233.5924,234.0455,230.9139,231.8732,1810040
2017-09-11,234.6943,235.7961,233.6779,235.3212,1687802
2017-09-12,237.145,237.221,233.1935,234.7513,1840384
2017-09-13,233.4975,235.4827,232.861,233.8964,2966359
2017-09-14,232.3576,235.1027,231.0468,234.5708,2864516
2017-09-15,235.2167,238.5983,232.823,237.9904,5006589
2017-09-18,239.4401,241.1377,237.1129,238.2669,2574276
2017-09-19,239.5545,240.203,236.8458,238.2097,2208807
2017-09-20,238.1906,238.3242,226.86,231.6765,5700951
2017-09-21,231.2473,231.4762,227.1652,229.2635,2862016
2017-09-22,227.3178,229.6116,227.108,228.1762,2310030
2017-09-25,226.221,226.8123,220.8228,224.6187,3869215
2017-09-26,226.8791,228.8534,224.428,226.2973,3900972
2017-09-27,228.4242,231.4476,227.5467,229.4542,2648852
2017-09-28,228.4337,232.1057,228.4242,231.7051,2193229
2017-09-29,231.7051,232.9831,230.3412,231.3236,1731903
2017-10-02,233.9655,233.9655,228.6626,229.3493,1943079
2017-10-03,228.9774,229.8024,226.8886,228.4242,2561118
2017-10-04,227.7375,231.1233,226.5262,230.8086,2327063
2017-10-05,232.0198,234.3756,231.1615,232.4013,2281719
2017-10-06,229.1872,234.3852,229.1872,234.3756,1748856
2017-10-09,234.6236,235.8158,234.0418,235.0242,1655901
2017-10-10,236.0828,236.6837,231.8005,234.6141,1534796
2017-10-11,233.8701,239.5545,233.8034,238.8201,2660269
2017-10-12,238.8392,239.6594,236.7981,237.2369,2007191
2017-10-13,238.5817,239.2398,236.0256,236.4929,1526409
2017-10-16,237.0843,237.9331,234.2612,235.2626,1490653
2017-10-17,234.471,234.5664,231.1328,231.3999,2696543
2017-10-18,232.0771,233.2979,228.7103,232.7161,1990546
2017-10-19,229.6831,233.069,227.3411,232.9927,2584448
2017-10-20,235.5392,235.5773,232.4872,232.945,2354761
2017-10-23,233.8415,234.285,231.4857,232.9736,2341959
2017-10-24,233.7366,236.6646,232.821,236.2259,2288674
2017-10-25,234.5091,237.4133,232.9354,234.4519,2095518
2017-10-26,235.8349,236.388,232.4872,232.4872,2444599
2017-10-27,233.2597,241.2903,231.562,241.2045,4475330
2017-10-30,241.586,250.0744,241.5574,249.1493,5020158
2017-10-31,250.3605,254.3663,249.216,251.7053,3284502
2017-11-01,252.0201,253.3553,245.01,247.299,2733251
2017-11-02,250.0458,252.4016,237.3609,247.4993,6719555
2017-11-03,251.8198,265.1437,245.2198,260.9758,12050280
2017-11-06,265.4299,268.768,257.5423,264.6859,7808804
2017-11-07,259.9315,261.8056,255.1675,258.7727,3678907
2017-11-08,256.8747,261.157,254.8813,259.8027,3025390
2017-11-09,256.2166,257.8952,250.3605,253.3553,3015569
2017-11-10,253.4984,254.3091,251.4097,252.7068,2033827
2017-11-13,250.3605,253.6796,249.4545,252.7545,2806785
2017-11-14,251.1235,253.2981,249.1779,251.0854,1971777
2017-11-15,250.1698,254.6524,246.0974,253.3172,2903177
2017-11-16,254.4617,261.9487,253.8036,259.5261,3100033
2017-11-17,259.2018,259.5261,256.0163,259.2877,2406851
2017-11-20,260.0125,263.9515,258.8394,262.168,2863916
2017-11-21,263.3316,265.3393,262.1966,263.7989,2090311
2017-11-22,264.2091,264.8671,261.4913,262.6354,1864201
2017-11-24,263.8752,269.903,263.7226,269.3212,1157297
2017-11-27,267.2992,272.4686,266.8319,271.4576,2623009
2017-11-28,271.6865,271.7246,264.0374,264.5715,2679557
2017-11-29,265.1437,265.2725,252.6209,258.9443,4723074
2017-11-30,259.2114,265.4782,257.5995,265.0865,3145170
2017-12-01,262.4828,262.7689,251.8389,259.0016,4772901
2017-12-04,261.2429,261.8247,248.1097,251.4192,4843949
2017-12-05,250.5131,253.8131,248.4053,249.5498,3811719
2017-12-06,246.8603,252.1917,242.4444,251.6863,4875103
2017-12-07,262.1776,262.9501,249.5716,251.6863,7928170
2017-12-08,253.4793,254.5952,247.3085,247.8903,4184813
2017-12-11,247.3467,251.362,246.8221,247.9285,3494089
