date,open,high,low,close,volume
2017-01-03,69.1225,69.1989,68.3011,69.0079,806727
2017-01-04,69.2371,69.7243,68.9219,69.5428,639987
2017-01-05,69.4282,69.9266,68.5017,69.6574,763109
2017-01-06,69.39,69.7911,69.1989,69.5714,919790
2017-01-09,69.6096,69.7243,67.9955,68.1483,794625
2017-01-10,68.0146,68.0528,67.3555,67.5466,1088025
2017-01-11,67.4893,68.0528,67.1633,67.4033,946116
2017-01-12,67.432,67.6898,66.8207,67.5179,949183
2017-01-13,67.4511,67.8618,67.2409,67.6421,589495
2017-01-17,67.9191,69.0843,67.8236,68.836,957290
2017-01-18,68.7787,69.3804,68.3597,69.3422,1361384
2017-01-19,68.5877,69.2658,68.5112,68.645,834881
2017-01-20,68.5972,69.1512,68.368,68.7023,813024
2017-01-23,68.7787,68.9714,68.2744,68.5494,743483
2017-01-24,68.5494,68.7691,68.1101,68.6832,819124
2017-01-25,68.2343,68.6545,67.814,68.5017,1202821
2017-01-26,68.4539,69.1798,68.2916,68.9506,941573
2017-01-27,69.0557,69.2467,68.7787,69.0652,869258
2017-01-30,68.6927,69.113,68.3397,68.6832,1073942
2017-01-31,68.7214,70.1732,68.6641,70.1445,1062527
2017-02-01,69.6383,69.6478,68.4157,68.5781,1315579
2017-02-02,68.6832,69.7625,68.5399,69.7147,1099677
2017-02-03,69.7867,70.0555,69.1915,69.5179,736060
2017-02-06,69.6427,69.6427,69.0187,69.2107,857454
2017-02-07,69.1723,69.3451,68.8363,69.2107,783496
2017-02-08,69.3451,70.2284,69.0667,70.0171,790817
2017-02-09,70.0555,70.1996,69.5659,69.9403,716543
2017-02-10,69.9595,70.5356,69.6523,70.526,701237
2017-02-13,70.4492,70.7564,70.0651,70.2956,650449
2017-02-14,70.0075,70.2956,69.6331,69.9019,777097
2017-02-15,69.5755,70.1228,69.0187,70.0939,670219
2017-02-16,70.1996,70.7852,70.0939,70.5068,625369
2017-02-17,70.5068,71.0636,70.238,70.862,2662875
2017-02-21,70.862,71.4668,70.6882,71.4092,1024758
2017-02-22,72.0045,72.2349,70.1324,71.9277,1212718
2017-02-23,72.0141,72.7245,71.9853,72.5517,993447
2017-02-24,72.6861,73.6265,72.6861,73.2525,866151
2017-02-27,73.1757,73.6846,72.7533,73.3966,830273
2017-02-28,73.435,75.5855,73.2237,74.8846,1766442
2017-03-01,73.963,75.3061,73.8094,74.5582,1647576
2017-03-02,74.443,74.9903,73.9726,74.731,1341405
2017-03-03,74.7694,74.9614,73.9535,74.251,914703
2017-03-06,74.1454,74.491,73.9837,74.2126,753193
2017-03-07,74.2126,74.3854,73.7806,73.819,692532
2017-03-08,73.2717,73.2909,72.2397,72.4557,650625
2017-03-09,72.4749,72.8877,72.0909,72.2733,557487
2017-03-10,72.7821,73.1277,72.2829,72.8877,597196
2017-03-13,72.9645,73.3774,72.8877,73.0509,674666
2017-03-14,72.9645,73.3966,72.8013,72.9741,367794
2017-03-15,72.5037,74.3662,72.2349,74.1358,760622
2017-03-16,73.8286,73.963,72.6381,72.7149,843826
2017-03-17,72.6381,73.6558,72.5517,73.1565,1876641
2017-03-20,73.3486,73.3774,72.4941,72.8973,522430
2017-03-21,72.9645,73.7096,72.5133,73.435,801311
2017-03-22,73.7902,74.347,73.7902,74.0782,859583
2017-03-23,73.9246,74.4814,73.2429,73.435,647711
2017-03-24,73.5694,74.1454,73.2525,74.011,571917
2017-03-27,74.4814,74.5678,73.3582,73.771,877719
2017-03-28,73.6462,74.1886,73.3843,74.107,951631
2017-03-29,73.9918,74.2606,73.4158,74.0878,1035917
2017-03-30,73.9726,74.107,73.2717,73.9246,949590
2017-03-31,74.011,74.9326,73.9822,74.6638,1453701
2017-04-03,74.491,74.6446,73.6634,74.059,915944
2017-04-04,74.1742,74.8558,74.0207,74.6158,736244
2017-04-05,74.5966,75.3743,74.2702,75.1631,896584
2017-04-06,74.9422,75.163,74.251,74.827,684928
2017-04-07,74.9134,75.3455,74.7406,74.7886,540405
2017-04-10,74.8846,74.9711,74.3854,74.9038,487421
2017-04-11,74.827,75.3647,74.6446,75.1727,657348
2017-04-12,75.2399,75.6911,74.9903,75.6719,1039322
2017-04-13,75.6431,75.7967,75.0095,75.4319,581051
2017-04-17,75.4607,76.0655,75.4319,75.9983,788163
2017-04-18,76.0559,76.4591,75.8639,76.3247,660760
2017-04-19,76.3055,76.5071,75.8543,76.1519,723681
2017-04-20,76.1039,76.1039,75.2303,76.0079,873974
2017-04-21,76.1135,77.4192,76.0463,77.2944,1126896
2017-04-24,77.2944,78.0144,77.0736,77.544,1101446
2017-04-25,77.2848,77.8608,77.2848,77.736,731782
2017-04-26,77.304,77.4096,76.4591,77.0256,1104616
2017-04-27,77.1312,78.2353,77.1312,77.1984,913300
2017-04-28,77.1408,77.4672,76.3823,76.5744,1082781
2017-05-01,76.6416,76.8528,75.7487,75.8351,769859
2017-05-02,75.9503,76.4015,75.6815,75.9503,1298606
2017-05-03,75.9938,75.9938,74.8549,74.99,1255308
2017-05-04,73.774,74.4689,72.6448,73.0405,1845898
2017-05-05,73.4072,74.1793,73.1563,73.9766,1069161
2017-05-08,74.189,74.7005,73.6628,73.8994,1331073
2017-05-09,73.6003,73.759,72.5386,72.6737,1409162
2017-05-10,72.6448,73.2721,72.5386,73.0405,1121244
2017-05-11,72.8089,73.1273,72.2394,73.0791,749298
2017-05-12,73.0694,74.0153,72.8764,73.6485,1078043
2017-05-15,73.5616,74.0635,73.4748,73.8319,798729
2017-05-16,74.0153,74.0925,73.0598,73.2045,1085710
2017-05-17,72.6544,73.1466,72.2684,72.915,983365
2017-05-18,73.0212,73.3011,72.0271,72.6255,1253647
2017-05-19,72.7702,73.2721,72.2298,73.2142,561225
2017-05-22,72.8861,73.8029,72.8668,73.7064,796702
2017-05-23,73.552,74.3144,73.552,73.8994,685373
2017-05-24,73.8415,74.4447,73.8218,74.353,537151
