date,open,high,low,close,volume
2017-01-03,45.0097,45.8133,44.8235,45.5585,1739726
2017-01-04,45.9896,46.4306,45.8781,46.1562,1821264
2017-01-05,46.1072,46.1268,45.4262,45.6075,1503763
2017-01-06,45.6957,47.1068,45.6271,47.0284,2883483
2017-01-09,47.048,47.5821,46.9451,47.1754,2575328
2017-01-10,47.3714,47.5674,46.8618,47.1362,1560549
2017-01-11,47.0676,48.4885,46.9892,48.2632,5624332
2017-01-12,47.9202,47.9202,47.0186,47.5478,3276952
2017-01-13,47.6262,47.8712,47.44,47.7144,1568923
2017-01-17,47.4008,47.7389,47.2097,47.3518,1939449
2017-01-18,47.6948,47.7536,47.0382,47.2832,1523508
2017-01-19,47.0774,47.1264,46.558,46.6854,1346142
2017-01-20,46.8716,46.9696,46.4638,46.6658,1701695
2017-01-23,46.6462,46.8716,46.2836,46.4404,2013878
2017-01-24,46.8128,47.244,46.1072,46.4012,2741915
2017-01-25,46.6462,47.4498,46.46,47.44,3073228
2017-01-26,47.4498,47.4596,46.9549,47.2048,1895562
2017-01-27,47.3518,47.8467,47.3322,47.6752,1527822
2017-01-30,47.5086,47.5772,46.4355,46.7148,2266487
2017-01-31,47.0774,48.1603,47.048,47.9888,2552612
2017-02-01,47.9496,48.8119,47.7046,48.273,2244604
2017-02-02,47.9006,48.0182,47.4988,47.9202,1352525
2017-02-03,48.1064,48.4787,48.077,48.3906,1191855
2017-02-06,48.1456,48.3906,47.979,48.2828,952095
2017-02-07,48.4298,48.7825,48.273,48.6453,2170720
2017-02-08,48.3808,49.0275,48.2436,48.9295,2107079
2017-02-09,49.0961,49.7821,48.9981,49.4587,2557747
2017-02-10,49.4979,49.5763,49.0177,49.3509,2092479
2017-02-13,49.6155,49.8703,49.4097,49.5077,1568350
2017-02-14,49.2333,49.6645,49.0863,49.3803,3546878
2017-02-15,50.1153,50.8013,49.6057,50.5857,5724488
2017-02-16,50.6445,50.6445,49.5469,49.8213,2550439
2017-02-17,49.6351,50.6053,49.5665,50.5955,2195788
2017-02-21,50.6249,50.7621,50.1447,50.3211,2036993
2017-02-22,50.2819,50.6866,50.1643,50.3113,1632886
2017-02-23,50.4093,50.5661,50.1741,50.4387,1006867
2017-02-24,50.3505,50.7915,50.3015,50.7033,1612698
2017-02-27,50.7033,50.8993,50.4289,50.6249,1195138
2017-02-28,50.4877,50.6151,50.2035,50.2721,1417772
2017-03-01,50.5857,51.2128,50.5857,50.9973,2026600
2017-03-02,50.9973,51.0365,50.3015,50.3505,1706500
2017-03-03,50.3505,50.9973,50.1251,50.9385,1824423
2017-03-06,50.6053,50.7817,50.1496,50.2231,1884477
2017-03-07,50.0369,50.4142,49.8409,50.1839,2233561
2017-03-08,50.2329,50.5318,49.9291,50.3799,1517642
2017-03-09,50.3897,50.5465,50.1055,50.3995,1259407
2017-03-10,50.6543,51.3059,50.4485,51.1051,1860508
2017-03-13,51.0953,51.4088,50.9483,51.399,1376191
2017-03-14,51.1932,51.2128,50.9189,51.1638,1203368
2017-03-15,52.2418,53.7216,51.9576,53.016,4117983
2017-03-16,52.3594,52.967,51.7714,51.987,2676915
2017-03-17,51.9968,52.4574,51.8596,52.2418,1936902
2017-03-20,52.2614,52.5554,51.938,52.085,1221409
2017-03-21,52.2124,52.6568,51.4284,51.6048,1492698
2017-03-22,51.7322,52.3986,51.595,52.0654,1257072
2017-03-23,51.9772,52.7024,51.6636,52.1144,1717929
2017-03-24,52.967,52.967,51.7812,52.0164,2015289
2017-03-27,51.546,52.2712,51.3696,52.1732,1446568
2017-03-28,52.2222,52.5358,52.0311,52.3692,1312688
2017-03-29,52.1928,52.3496,51.7224,52.0556,1469882
2017-03-30,51.9968,52.3545,51.84,52.2516,1627592
2017-03-31,52.1357,52.2929,51.8803,51.9392,1705625
2017-04-03,51.9687,52.2732,51.8017,52.2634,1550227
2017-04-04,52.2634,52.3027,51.5561,51.6936,2017094
2017-04-05,51.7919,52.2831,51.7673,51.782,1778251
2017-04-06,51.7722,52.2929,51.34,52.2143,1548170
2017-04-07,52.1357,52.1357,51.7722,51.9098,1243550
2017-04-10,51.9687,52.3224,51.7526,51.7919,1025248
2017-04-11,51.7722,51.9687,51.448,51.8999,1520703
2017-04-12,51.9196,52.0964,51.5463,51.6249,1258152
2017-04-13,51.507,51.8115,51.3891,51.4087,863990
2017-04-17,51.7034,52.7595,51.507,52.5188,1569436
2017-04-18,52.0866,52.6564,51.7526,52.0964,1241164
2017-04-19,52.4108,52.4795,52.0178,52.1357,2096351
2017-04-20,52.3911,52.4599,51.8606,52.1946,1569985
2017-04-21,52.3224,52.4501,51.9097,52.3322,2189351
2017-04-24,52.9806,53.5651,52.9609,53.4816,2257682
2017-04-25,53.7861,54.2184,53.5504,53.8451,2181857
2017-04-26,54.0317,54.3559,53.8402,53.8647,1834961
2017-04-27,53.963,54.5278,53.8647,54.4542,1529024
2017-04-28,54.3363,54.3756,53.8696,54.0808,3078163
2017-05-01,54.5229,55.0043,54.3854,54.8176,1897018
2017-05-02,54.8668,54.9846,54.5327,54.9454,1693069
2017-05-03,54.6998,55.2671,54.631,55.1713,1702565
2017-05-04,55.2106,55.7509,55.1713,55.7018,2615560
2017-05-05,55.8492,55.9572,55.5937,55.6429,1571536
2017-05-08,55.6527,55.8197,54.9454,55.3285,2189984
2017-05-09,55.4267,55.8885,55.299,55.8688,1559975
2017-05-10,55.8492,55.9376,55.0927,55.2794,1566289
2017-05-11,55.1418,55.3874,54.8176,55.2401,1347633
2017-05-12,55.1713,55.4071,54.9748,55.1713,1578292
2017-05-15,55.0829,55.7607,55.0239,55.7018,1472226
2017-05-16,57.3522,57.3522,55.4562,55.8295,1032600
2017-05-17,55.3187,55.3776,54.6899,54.7882,1839737
2017-05-18,54.9159,55.2794,54.6212,54.8668,1934996
2017-05-19,55.1025,55.3285,54.8766,55.1418,1654441
2017-05-22,55.525,55.525,54.8668,55.0927,4264780
2017-05-23,58.7472,58.9241,56.9789,57.6273,7510578
2017-05-24,57.4701,58.2953,57.0501,58.1873,4105470
2017-05-25,58.482,58.649,57.8827,58.256,2772812
2017-05-26,58.1873,58.6686,58.0016,58.4623,1535237
2017-05-30,58.4918,59.4153,58.3641,59.3072,2576416
2017-05-31,58.4034,59.7394,58.4034,59.2777,2552411
2017-06-01,58.9535,59.7001,58.757,59.6609,2100441
2017-06-02,59.7296,60.0735,59.6903,59.7394,1666245
2017-06-05,59.7296,59.7689,59.2679,59.3367,1473282
2017-06-06,59.0812,59.4791,59.0419,59.0419,1968022
2017-06-07,59.1991,59.6952,58.9241,59.5626,1617604
2017-06-08,59.5528,59.6559,58.6588,59.0911,3486602
2017-06-09,59.2482,59.3858,58.089,58.1676,2352814
2017-06-12,58.0988,58.3641,56.9003,57.9515,2579658
2017-06-13,58.0301,58.59,57.8925,58.2364,1527210
2017-06-14,58.4918,58.7276,58.0104,58.3346,1203468
2017-06-15,58.1774,58.2462,57.7845,58.1676,1092596
2017-06-16,58.3248,58.7374,58.1922,58.4623,2157514
2017-06-19,58.5311,59.6019,58.5311,59.484,2383659
2017-06-20,59.484,59.8475,59.2335,59.2679,1821710
2017-06-21,59.2482,59.4644,58.6195,58.7374,2247944
2017-06-22,58.8848,59.7296,58.5606,59.543,3473861
2017-06-23,59.5233,59.5233,58.4526,58.7178,2879785
2017-06-26,58.7374,58.8946,58.1087,58.1971,1535542
2017-06-27,58.089,58.5213,57.8041,57.8434,1060391
2017-06-28,58.2266,58.649,58.1578,58.3543,1191537
2017-06-29,58.435,58.7107,57.5882,57.8935,1357538
2017-06-30,58.0904,58.6516,57.9279,58.3956,1593786
2017-07-03,58.6713,59.0553,58.2184,58.2184,1489574
2017-07-05,58.2775,59.1242,58.2775,58.8485,1638980
2017-07-06,58.5433,58.8485,58.1593,58.307,2249516
2017-07-07,58.6122,59.1439,58.4153,58.7107,965439
2017-07-10,58.563,59.1193,58.4645,58.9371,1146033
2017-07-11,59.0651,59.2325,58.5433,58.878,2976519
2017-07-12,59.3999,60.0497,59.2325,59.7937,1439395
2017-07-13,60.3057,60.3648,59.7346,60.2466,2060109
2017-07-14,60.3352,60.7045,59.9759,60.5715,1286073
2017-07-17,60.6503,60.8866,60.4534,60.6011,1332751
2017-07-18,60.4829,60.5912,60.0103,60.2663,1520122
2017-07-19,60.3746,60.6897,60.2269,60.4337,1512177
2017-07-20,60.5026,60.6011,59.8725,60.0399,2009405
