date,open,high,low,close,volume
2017-01-03,148.3878,149.1852,147.3529,149.0239,3426113
2017-01-04,149.8213,151.1694,149.8213,150.5903,3189810
2017-01-05,150.391,151.6157,149.433,150.6758,2795984
2017-01-06,150.9321,151.5777,149.8973,151.046,2426662
2017-01-09,150.9511,151.1789,150.1631,150.3055,2839400
2017-01-10,150.9131,151.8435,150.5429,151.0175,2988302
2017-01-11,151.4638,151.6157,150.2675,151.3308,2416487
2017-01-12,151.0935,151.103,148.739,150.277,3020486
2017-01-13,150.7043,151.5017,150.3245,150.7897,2435391
2017-01-17,150.1916,150.9891,149.2707,149.6884,2758788
2017-01-18,149.5745,150.9986,148.815,150.3055,2087283
2017-01-19,150.8277,151.7771,149.9163,150.9511,3143963
2017-01-20,151.7201,152.1853,150.2201,151.4543,3384525
2017-01-23,150.8941,151.4258,149.3277,149.8498,3931185
2017-01-24,150.5524,152.7834,149.8498,152.4226,3927536
2017-01-25,155.3087,160.1126,154.9765,158.8879,7480039
2017-01-26,158.7835,161.3942,158.7835,160.5588,5436834
2017-01-27,160.6442,161.2044,158.5556,159.2107,4883229
2017-01-30,157.5208,157.5872,155.5271,157.1885,5456316
2017-01-31,156.6094,156.7423,154.9575,155.1473,5350680
2017-02-01,155.9353,157.4164,154.8625,155.6695,3138026
2017-02-02,154.9575,155.6695,152.679,154.0461,3791669
2017-02-03,154.7391,155.2803,154.0935,154.179,2981662
2017-02-06,154.198,155.7739,154.16,155.679,3110494
2017-02-07,156.6474,158.9448,156.5263,158.0714,4243239
2017-02-08,157.9949,158.2247,156.7405,156.8554,3041595
2017-02-09,157.6789,158.0772,157.0948,157.3055,3451132
2017-02-10,158.2343,159.3833,157.4874,159.1727,2689719
2017-02-13,159.3833,161.8921,159.2876,160.8963,3765027
2017-02-14,160.5803,161.6336,160.1206,161.3463,2580278
2017-02-15,161.2697,162.7347,161.2027,162.1123,4033198
2017-02-16,162.4379,163.5582,161.5857,163.5582,3070147
2017-02-17,163.1752,165.8946,163.1656,165.3776,4982894
2017-02-21,166.5362,168.6907,166.3064,168.1066,4231706
2017-02-22,167.5512,168.2885,166.6224,167.9151,2832136
2017-02-23,168.4992,169.4854,168.2406,169.3514,3502645
2017-02-24,169.2461,171.209,168.6236,169.9068,4197152
2017-02-27,170.443,172.2469,170.0121,171.8123,2892626
2017-02-28,172.6836,174.2061,172.0421,172.5783,4785145
2017-03-01,174.1295,176.9543,174.1008,176.1021,5461751
2017-03-02,176.1883,177.8257,175.202,175.2211,4909023
2017-03-03,175.269,175.7861,173.7465,174.4455,3940363
2017-03-06,173.6986,174.5604,172.7698,173.2486,4244029
2017-03-07,172.9709,175.0775,172.9526,174.2923,2451990
2017-03-08,174.6562,174.9377,173.7848,174.0242,2321738
2017-03-09,173.7274,174.8381,171.9559,172.9039,3100466
2017-03-10,174.1774,174.2444,170.3664,171.1133,4595621
2017-03-13,169.6386,171.5825,169.5525,171.4484,3499021
2017-03-14,170.9601,172.0612,170.1653,171.142,2346666
2017-03-15,171.4005,171.6303,170.4143,171.1228,3569047
2017-03-16,172.1856,172.3581,170.0983,170.6249,3100744
2017-03-17,170.7398,172.7253,170.6058,172.4538,5037385
2017-03-20,172.4538,172.5017,171.5346,171.774,2062211
2017-03-21,172.3485,172.5975,168.0491,168.4896,3239579
2017-03-22,168.4896,169.5812,168.0491,169.4663,2505738
2017-03-23,169.811,170.2994,169.0928,169.7344,2006383
2017-03-24,169.3418,169.9929,167.3489,168.3555,2386809
2017-03-27,166.9671,168.9492,166.3734,168.6236,2750685
2017-03-28,168.8056,170.1394,167.5703,169.8302,2412559
2017-03-29,169.8685,170.4334,169.4567,170.0887,1640601
2017-03-30,169.7248,170.9122,169.6961,170.4238,1737221
2017-03-31,170.4621,170.6153,169.3035,169.3514,2032749
2017-04-03,169.562,170.1844,168.0491,169.1503,2934818
2017-04-04,169.3705,171.1994,169.2556,171.1133,2326494
2017-04-05,171.4005,172.5304,169.3801,169.562,2567212
2017-04-06,170.0217,170.6536,169.6003,169.8397,2343873
2017-04-07,170.8164,171.4867,169.7344,171.2569,2806779
2017-04-10,171.4005,172.3293,169.9451,170.0217,2309273
2017-04-11,169.9642,171.0175,169.4471,170.9888,2266280
2017-04-12,170.6824,170.6824,168.4704,168.5758,2922725
2017-04-13,168.2789,169.3705,168.1103,168.164,2024086
