date,open,high,low,close,volume
2017-01-03,40.6385,40.7423,39.865,40.3647,5362741
2017-01-04,40.9122,41.7052,40.8839,41.3181,4745140
2017-01-05,40.3553,40.4119,39.449,40.2514,5829093
2017-01-06,40.4685,40.629,40.0249,40.3741,3926456
2017-01-09,40.5063,41.3552,40.4025,40.9122,5400018
2017-01-10,41.0821,41.809,40.7706,41.4031,4718406
2017-01-11,41.573,41.6957,40.596,40.9877,2899093
2017-01-12,41.3276,41.7618,41.0632,41.7524,4094450
2017-01-13,41.658,41.8876,41.304,41.3748,3700317
2017-01-17,41.5541,43.2627,41.5541,42.3659,5182334
2017-01-18,41.7429,42.2715,41.252,42.2621,3905356
2017-01-19,42.2432,42.3093,40.9688,41.186,4767794
2017-01-20,41.0821,41.1388,40.1193,40.9311,6142185
2017-01-23,40.8178,41.2709,40.4308,41.101,2517726
2017-01-24,41.0444,41.8279,41.0444,41.6957,2333415
2017-01-25,41.9978,42.432,41.96,42.1677,3126059
2017-01-26,42.2432,42.8332,42.2055,42.6963,3611732
2017-01-27,42.753,42.8191,40.5818,41.0349,6706356
2017-01-30,40.9877,41.8184,40.865,41.7429,3420555
2017-01-31,41.3276,42.1488,40.9311,42.0261,4565083
2017-02-01,42.0827,42.2243,41.5824,42.0072,3059346
2017-02-02,41.9223,42.4603,41.7524,41.8279,3872433
2017-02-03,41.9883,42.7199,41.7807,42.2243,4530774
2017-02-06,42.2243,42.6397,41.4031,41.4975,4151342
2017-02-07,41.658,41.8184,41.016,41.0916,3830241
2017-02-08,41.2426,41.4172,40.8461,41.4125,3888578
2017-02-09,41.5824,42.5925,41.3748,42.2243,3703842
2017-02-10,42.4415,42.4792,41.8231,42.1771,2433042
2017-02-13,42.4037,42.5642,41.4975,41.5069,3790676
2017-02-14,41.6296,42.904,41.6155,42.753,5090185
2017-02-15,42.8851,43.5176,42.7247,43.3477,4131976
2017-02-16,43.3005,43.6356,42.6114,42.8285,3203222
2017-02-17,42.6869,42.9795,42.2243,42.7058,3017379
2017-02-21,43.1022,43.4987,42.8474,43.4043,3627536
2017-02-22,43.4987,43.612,42.9984,43.1589,2300734
2017-02-23,43.2533,43.3666,41.5919,41.8279,4135263
2017-02-24,41.8562,43.2202,41.6863,43.0078,6789020
2017-02-27,43.1022,43.848,42.9795,43.5648,6698494
2017-02-28,43.0598,43.0598,41.2992,41.658,8709358
2017-03-01,40.1665,40.4025,39.3358,39.7794,16415088
2017-03-02,39.8549,42.5736,39.8549,42.3376,13471639
2017-03-03,42.2432,42.3848,41.7524,42.1488,6450007
2017-03-06,42.1111,42.1299,41.4125,41.4314,5063975
2017-03-07,41.3464,42.1771,41.2992,42.0544,5272409
2017-03-08,42.0072,42.904,41.9883,42.5736,4108249
2017-03-09,42.5925,42.7719,42.196,42.3282,2624579
2017-03-10,42.4037,42.6491,42.0167,42.2904,3833961
2017-03-13,42.2715,42.6019,41.9223,42.3376,3249984
2017-03-14,42.2527,42.3943,41.5352,41.8845,3968300
2017-03-15,41.573,42.045,41.2992,41.9223,3412028
2017-03-16,41.9034,42.3244,41.6485,42.0072,3890403
2017-03-17,42.2149,43.2061,42.1111,43.1778,6909200
2017-03-20,43.1968,43.4916,42.8163,43.3204,5877209
2017-03-21,43.368,43.4155,41.599,41.9033,7107573
2017-03-22,41.8368,42.9495,41.58,42.8163,4551424
2017-03-23,42.7212,43.0161,42.3598,42.4359,3307592
2017-03-24,42.4074,42.8924,42.3789,42.6547,2553581
2017-03-27,42.8544,44.1383,42.6246,43.9386,4696844
2017-03-28,43.9766,44.747,43.7674,44.6709,3253540
2017-03-29,44.785,45.6315,44.7085,45.4317,3437600
2017-03-30,45.3652,46.3067,45.2986,46.2116,3243627
2017-03-31,46.0309,46.9344,45.9358,46.7442,4129301
2017-04-03,46.5635,46.8336,46.0452,46.1545,5623845
2017-04-04,46.0309,46.4018,45.8027,46.2687,5647802
2017-04-05,46.4113,46.5445,45.5934,45.622,2949265
2017-04-06,45.9643,46.4399,45.5364,45.641,4387514
2017-04-07,45.6505,45.9453,45.3462,45.8597,4585512
2017-04-10,46.088,46.6871,46.0119,46.1736,3581060
2017-04-11,46.2021,46.3875,45.8122,46.2687,2758530
2017-04-12,46.2782,46.2877,45.9263,45.9929,2170951
2017-04-13,45.9643,46.3448,45.8787,45.9073,3168020
2017-04-17,46.0975,46.126,45.679,45.9929,2730250
2017-04-18,45.9929,46.8964,45.8027,46.145,2945975
2017-04-19,46.3067,47.5431,46.2972,46.9629,3860038
2017-04-20,47.3814,48.38,47.2387,48.0566,4845061
2017-04-21,48.0091,48.4276,47.6097,48.1613,3651270
2017-04-24,48.5036,48.8983,48.2278,48.6463,2688775
2017-04-25,49.8636,50.0348,48.4846,49.236,4515791
2017-04-26,49.3025,49.9968,49.2835,49.6925,2876769
2017-04-27,49.6925,50.0919,49.4547,49.7876,3208891
2017-04-28,49.8541,49.8827,48.9697,49.274,3001441
2017-05-01,49.4452,49.4452,48.8698,48.9411,2234344
2017-05-02,48.9792,49.2074,48.732,48.9887,3395169
2017-05-03,48.7414,49.2169,48.5702,49.1218,2649775
2017-05-04,49.1218,49.3025,48.2659,48.38,4871949
2017-05-05,48.6273,49.1313,48.4751,49.0933,2812874
2017-05-08,49.255,49.4642,49.1408,49.2264,2654099
2017-05-09,49.3501,49.4832,49.2027,49.2835,1980399
2017-05-10,49.3501,49.6544,49.1028,49.4547,2351068
2017-05-11,49.1408,49.4737,48.6748,49.4262,2768992
2017-05-12,49.2074,49.2264,48.342,48.6083,3333057
2017-05-15,48.789,49.0743,48.4941,48.6558,2529852
2017-05-16,48.5987,49.293,48.2183,49.2835,3534198
2017-05-17,48.9982,49.5022,48.0947,48.1327,4636205
2017-05-18,48.361,48.8175,47.895,48.1518,3232246
2017-05-19,48.38,48.9792,48.0281,48.8175,2500460
2017-05-22,48.9887,49.3739,48.9316,49.2169,3676271
2017-05-23,49.3215,49.5688,48.6653,49.0267,3370898
2017-05-24,48.9887,49.293,47.8284,47.952,7892682
2017-05-25,54.6379,58.9177,53.5442,58.2519,33404056
2017-05-26,57.453,57.9,55.9979,56.0835,14895686
2017-05-30,55.9218,56.8919,55.8267,56.3783,5326205
2017-05-31,56.4164,56.5305,55.8362,56.483,5726702
2017-06-01,56.4544,57.3865,56.2737,57.3484,3448776
2017-06-02,57.3484,57.396,56.3308,56.7493,4695684
