date,open,high,low,close,volume
2017-01-03,157.0413,160.28,156.6049,160.1443,1696651
2017-01-04,160.4449,160.8667,159.4461,159.9406,1182777
2017-01-05,158.8449,160.3043,158.4085,159.8049,1128673
2017-01-06,160.28,163.4703,159.9406,162.8012,1051745
2017-01-09,163.1309,164.5273,162.937,163.7515,1165422
2017-01-10,163.4509,167.6594,163.2667,165.7588,1271745
2017-01-11,165.3418,168.4739,163.7418,168.4448,1641096
2017-01-12,167.6303,168.4254,165.4,168.2315,1040606
2017-01-13,168.1442,168.8812,167.0388,168.0957,646651
2017-01-17,167.3006,168.6,166.1176,168.1636,609898
2017-01-18,168.6485,168.8133,167.4557,168.7066,909925
2017-01-19,168.0472,168.9297,167.446,168.2606,1796962
2017-01-20,168.5127,169.0557,166.8157,167.0679,1466632
2017-01-23,167.1842,168.4157,165.623,165.7006,801629
2017-01-24,166.1854,166.5869,164.0618,165.1964,784096
2017-01-25,165.7103,166.8933,165.2836,166.3697,949795
2017-01-26,166.3988,167.2133,165.3564,165.9042,751196
2017-01-27,167.0873,170.5684,166.6509,169.9672,898053
2017-01-30,170.0836,170.0836,168.2703,169.5212,984338
2017-01-31,169.1236,172.1587,168.8521,171.9163,1545738
2017-02-01,170.549,173.7102,169.0654,173.5454,1716115
2017-02-02,175.5139,175.9405,171.383,172.5757,1285417
2017-02-03,173.3321,174.0108,172.1975,173.9333,1170296
2017-02-06,173.2157,173.5114,172.2654,172.9539,723980
2017-02-07,173.5745,174.5393,173.0702,173.3902,857215
2017-02-08,172.6436,173.5939,172.0569,172.663,536752
2017-02-09,172.663,173.6133,171.2957,172.4205,1439343
2017-02-10,172.4205,173.2593,172.1588,172.6339,598005
2017-02-13,173.109,173.4872,172.3333,173.1381,441790
2017-02-14,173.0314,173.5745,172.3333,173.3514,655829
2017-02-15,172.5272,175.0192,172.5272,174.6314,855048
2017-02-16,174.7769,175.4169,173.4969,175.1454,920987
2017-02-17,174.7381,175.4169,173.8848,175.4169,810321
2017-02-21,175.9987,177.1138,174.4569,176.5029,943721
2017-02-22,175.8339,177.046,175.6375,176.4351,649887
2017-02-23,176.7066,177.3078,176.0472,176.7745,612708
2017-02-24,176.4641,177.8605,175.6496,177.8605,657562
2017-02-27,177.6084,178.3035,176.8035,177.2787,698358
2017-02-28,177.4047,178.3066,176.9199,177.5017,642469
2017-03-01,178.0932,180.469,177.2496,179.7223,759100
2017-03-02,179.3926,179.7029,178.2775,179.1308,507442
2017-03-03,178.5975,179.3344,178.2484,179.092,606571
2017-03-06,178.1514,179.315,177.6666,178.8981,812859
2017-03-07,178.1902,178.9272,177.2544,178.3647,622243
2017-03-08,177.4691,179.7375,177.4497,179.1923,822446
2017-03-09,179.0268,180.6332,178.5887,180.1756,870684
2017-03-10,180.3216,180.7889,179.4454,180.4093,737911
2017-03-13,180.1951,180.5358,179.056,180.0101,832077
2017-03-14,179.4844,179.7667,177.2501,178.1409,1035605
2017-03-15,178.7445,179.8738,178.0241,179.6596,1227802
2017-03-16,178.5985,179.0852,175.337,176.5735,1609762
2017-03-17,176.885,179.3481,176.4372,178.9295,1842549
2017-03-20,179.2507,179.3286,177.2744,177.8001,788798
2017-03-21,178.4329,179.1242,175.6291,176.5248,1180851
2017-03-22,177.0894,179.0122,175.7362,177.8099,1331002
2017-03-23,177.3328,180.1075,176.9531,178.8516,1088911
2017-03-24,178.8126,180.1951,178.5692,179.0073,658057
2017-03-27,178.2577,179.5233,177.2744,178.9003,818512
2017-03-28,178.6179,179.4454,177.4886,179.056,660815
2017-03-29,178.3648,179.5915,177.7515,179.0073,454533
2017-03-30,178.7347,179.5126,177.8391,178.8516,548452
2017-03-31,178.3259,179.0268,177.7709,178.5887,716559
2017-04-03,179.1339,180.3119,177.8001,179.4065,617086
2017-04-04,179.5233,179.5233,177.4886,178.2285,754741
2017-04-05,178.91,180.0393,178.1158,178.4622,703319
2017-04-06,178.2382,178.9392,177.5178,178.5498,713464
2017-04-07,178.6471,179.718,178.579,179.241,635743
2017-04-10,180.1756,180.1756,178.5011,179.1729,1041686
2017-04-11,178.579,179.5525,177.878,178.9197,514763
2017-04-12,178.0727,179.0755,177.6346,178.3745,715887
2017-04-13,177.9656,178.91,177.7612,177.7612,582790
2017-04-17,178.3843,179.2313,177.9364,179.095,423884
2017-04-18,178.4622,179.0171,177.3669,178.5303,543967
2017-04-19,179.3968,180.0004,178.9392,179.2897,545381
2017-04-20,179.2702,181.4704,178.4816,181.1297,627168
2017-04-21,181.0713,181.2173,179.3773,180.3898,577681
2017-04-24,174.2661,175.4928,171.0145,172.3872,9752090
2017-04-25,173.7988,176.0088,172.6111,174.3343,4023521
2017-04-26,174.9476,175.3663,173.5652,175.0547,2552552
2017-04-27,175.2105,178.0143,174.6848,177.7223,2207018
2017-04-28,177.2744,182.2493,176.8655,182.0254,3770920
2017-05-01,181.451,182.6679,179.9517,181.451,2404223
2017-05-02,180.6137,181.451,178.1701,180.3801,3292009
2017-05-03,179.9517,180.4287,177.6736,178.9003,2572333
2017-05-04,178.7932,179.9712,177.9462,179.9712,1969607
2017-05-05,179.8933,181.1686,179.2366,180.4969,1426032
2017-05-08,179.4162,179.9127,177.5275,177.7904,2460047
2017-05-09,177.2549,177.6152,174.7626,175.8822,3214490
2017-05-10,176.3593,176.7487,172.9421,175.006,5007596
2017-05-11,176.8947,180.0588,176.7584,179.9712,11111550
2017-05-12,179.3676,182.7263,179.2507,179.7375,3134728
2017-05-15,179.2507,180.3216,178.6861,180.234,2852198
2017-05-16,180.7111,180.896,177.8099,177.917,1866353
2017-05-17,176.5443,177.6638,175.6681,176.6806,2269090
2017-05-18,176.6806,178.5985,176.1159,177.7807,1576485
2017-05-19,178.1604,180.2048,178.1165,179.2605,2427291
2017-05-22,179.2118,180.8668,178.3259,179.8835,1819651
2017-05-23,180.234,182.2395,180.1367,181.6846,1788741
2017-05-24,181.6262,182.298,180.7987,182.0546,1465509
2017-05-25,182.1909,182.4635,180.4287,181.8307,1205879
2017-05-26,182.0838,182.4537,180.7403,181.5483,1248845
2017-05-30,180.8474,183.4954,180.4287,183.0963,1581465
2017-05-31,184.284,185.6665,183.1255,184.2256,2351669
2017-06-01,183.3883,188.2366,183.3202,187.7304,2024231
2017-06-02,187.8569,188.9765,187.2728,187.9543,1397713
2017-06-05,188.0906,188.8208,187.3312,187.964,1312523
2017-06-06,188.2658,188.7624,186.2701,186.825,1375675
2017-06-07,187.2061,188.76,186.9618,188.2127,1214035
2017-06-08,188.1443,189.2975,186.4047,187.47,1569728
2017-06-09,187.6361,188.5645,186.6393,187.6361,1677123
2017-06-12,187.8316,188.2029,183.0136,186.6588,1806978
2017-06-13,186.6882,188.5059,185.7402,187.9879,1162094
2017-06-14,188.6134,189.3072,187.4113,188.1443,907600
2017-06-15,187.4113,188.5352,186.6002,187.4895,1158997
2017-06-16,187.5872,188.0172,186.2679,186.9422,1538311
2017-06-19,187.5091,189.6297,187.2452,189.0825,1188060
2017-06-20,188.8186,191.4279,188.6232,190.0402,1793260
2017-06-21,190.3334,191.0761,188.7111,189.0922,1581210
2017-06-22,188.9261,190.9491,188.5547,190.6266,1285900
2017-06-23,190.6461,191.0077,189.4343,190.7145,1694042
2017-06-26,190.5191,190.8416,189.7372,190.2943,1255801
2017-06-27,190.0793,191.555,189.5125,190.5581,1941135
2017-06-28,191.4377,191.5256,190.2063,190.48,1192109
2017-06-29,190.0793,191.1152,187.6557,188.8381,937156
2017-06-30,190.6363,192.1218,190.5777,190.6754,1259308
2017-07-03,191.34,191.7602,190.2063,190.2063,681642
2017-07-05,190.1086,192.7863,189.8056,192.5029,1064385
2017-07-06,191.9166,192.1902,190.4506,190.9002,1314178
2017-07-07,191.5452,193.3531,190.9491,193.2945,1052121
2017-07-10,193.3434,193.6463,192.2,193.0111,1317876
2017-07-11,192.9622,193.6414,191.7406,191.9166,1184835
2017-07-12,192.9916,194.7115,192.3172,193.6463,1075717
2017-07-13,193.6561,193.9786,192.542,193.3922,578063
2017-07-14,193.7343,196.0602,193.1088,196.0602,835726
2017-07-17,196.109,196.7247,194.9168,195.4445,865410
2017-07-18,195.6009,196.8615,194.604,196.4413,1040525
2017-07-19,196.9202,197.9659,196.1775,197.4284,1257052
2017-07-20,197.3404,199.3731,197.184,198.7086,988229
2017-07-21,198.22,201.054,198.22,200.6338,1722831
2017-07-24,200.5263,201.2593,199.7543,200.9563,1627597
2017-07-25,201.5524,201.9336,198.6451,199.6272,956256
2017-07-26,199.0506,199.7543,197.8095,198.1125,1033015
2017-07-27,198.3861,198.777,195.9429,197.0863,1348973
2017-07-28,197.2427,198.5717,195.9331,197.3893,1502867
2017-07-31,197.7411,198.2786,196.2752,196.8225,1051473
2017-08-01,195.2295,195.7133,190.9784,192.5713,2176468
2017-08-02,196.3925,197.1743,194.5356,196.3631,1326943
2017-08-03,188.5645,194.9852,187.9684,194.3793,2570424
2017-08-04,195.2295,195.7133,190.9784,192.5713,2176468
2017-08-07,192.6886,193.3434,191.555,193.3434,957775
2017-08-08,194.35,194.4868,191.9752,192.1609,1150010
2017-08-09,191.77,193.3922,191.77,193.3434,1093335
2017-08-10,193.1968,194.4904,192.8156,193.7147,1254359
2017-08-11,193.9004,196.5488,193.06,195.8061,1251199
2017-08-14,196.9104,197.7019,196.0309,197.184,1558912
2017-08-15,197.3502,198.2835,196.8322,196.9006,992142
2017-08-16,197.3795,198.0636,196.2556,196.8127,1090283
2017-08-17,196.5586,197.6727,194.78,194.78,985933
2017-08-18,195.0243,195.0243,192.2195,193.1968,989225
2017-08-21,193.5877,194.7213,192.2586,194.6431,659764
2017-08-22,194.6236,196.324,194.3206,195.8061,855489
2017-08-23,195.0536,195.5911,192.8156,193.0893,1158730
2017-08-24,194.1643,194.1643,192.3661,193.3629,814613
2017-08-25,193.5877,194.2669,193.1968,194.0568,789306
2017-08-28,194.6431,195.2784,194.1056,194.5259,457529
2017-08-29,193.6072,194.8484,193.5779,194.3793,805037
2017-08-30,193.9884,194.35,192.8938,193.402,813853
2017-08-31,193.7734,195.1513,193.06,194.907,1150999
2017-09-01,194.907,195.3272,193.0697,194.6236,757084
2017-09-05,193.8809,195.855,193.8027,195.5227,896570
2017-09-06,196.0113,196.4315,194.6236,194.7018,772529
2017-09-07,194.6527,196.9381,194.6527,195.7513,968319
2017-09-08,196.124,200.381,195.6434,199.8023,1202165
2017-09-11,200.8714,200.9401,198.9587,199.969,1614296
2017-09-12,199.557,199.8905,197.5561,198.331,1129041
2017-09-13,197.7817,198.5271,192.0632,192.8577,1952236
2017-09-14,192.534,194.1181,191.7788,193.819,1408527
2017-09-15,193.7307,194.4467,191.3472,191.6022,1579400
2017-09-18,192.1711,193.1618,191.7199,191.8671,1060466
2017-09-19,192.0142,192.8381,189.0029,189.307,1412455
2017-09-20,189.4149,190.6802,188.9637,190.2879,1109261
2017-09-21,190.0819,190.18,187.8651,187.8946,1061757
2017-09-22,188.8166,189.5228,187.9338,189.3658,1056748
2017-09-25,189.2187,189.9151,188.3605,189.5032,1198324
2017-09-26,190.3467,190.8273,189.2874,190.6017,991200
2017-09-27,190.8077,190.9499,188.9048,190.3369,864704
2017-09-28,190.6312,191.6513,188.9735,189.8955,948663
2017-09-29,189.2972,192.2398,189.2972,192.2005,1102653
2017-10-02,193.1422,194.0544,191.563,192.534,1066087
2017-10-03,192.4458,193.0245,189.356,190.023,1051670
2017-10-04,190.023,191.3962,189.9642,191.2687,889275
2017-10-05,191.2687,193.4757,190.4742,193.4757,1244423
2017-10-06,193.4757,194.3781,192.8087,194.2898,1132897
2017-10-09,193.7503,193.9073,192.6517,193.3678,1068865
2017-10-10,193.201,193.7356,191.975,192.534,1061161
2017-10-11,192.5144,193.868,192.4311,193.7307,774516
2017-10-12,193.0049,195.0843,193.0049,195.0254,754867
2017-10-13,194.8783,197.6149,193.662,197.5757,1340057
2017-10-16,197.0951,197.5659,196.3496,196.9774,1078292
2017-10-17,197.0068,199.3903,196.2515,199.1843,956454
