date,open,high,low,close,volume
2017-01-03,54.8075,55.6466,54.621,55.4322,10061749
2017-01-04,55.8076,56.0798,55.404,55.5073,6703370
2017-01-05,55.7419,56.7086,55.6668,56.4365,8422274
2017-01-06,56.352,56.6242,55.2351,56.2675,10104635
2017-01-09,56.0798,56.2393,55.9859,56.061,5263011
2017-01-10,56.108,56.7368,56.0516,56.2957,6103701
2017-01-11,54.5499,55.2538,53.0576,53.311,20497892
2017-01-12,53.0294,53.2922,52.5742,53.0764,9977917
2017-01-13,53.0857,53.2453,52.6071,52.7666,7660198
2017-01-17,52.4569,53.1045,51.8187,52.8229,10416327
2017-01-18,53.0388,53.0764,52.4569,52.6258,6640000
2017-01-19,52.654,52.8511,51.9368,52.0815,7122292
2017-01-20,46.9381,47.5763,45.915,46.206,77021216
2017-01-23,46.4876,47.2161,46.1309,46.9287,23886066
2017-01-24,46.9756,47.0601,45.9244,45.9526,17172827
2017-01-25,46.3092,46.5251,45.8024,46.5063,15978452
2017-01-26,45.6053,46.4688,43.1838,43.944,44800782
2017-01-27,44.357,45.6335,44.2256,44.8075,22916834
2017-01-30,45.258,46.084,45.014,45.6992,15738223
2017-01-31,45.427,46.3843,45.244,46.1403,15094048
2017-02-01,46.1121,46.2905,45.3519,46.2623,16021890
2017-02-02,46.3186,47.764,46.2443,47.398,18610222
2017-02-03,47.4918,47.7849,47.2666,47.6608,10933979
2017-02-06,47.5388,47.9517,47.4543,47.9048,8263438
2017-02-07,48.3272,49.1062,48.1113,48.4867,15747761
2017-02-08,48.1395,48.9185,47.9799,48.8058,12236543
2017-02-09,48.8058,49.0405,48.299,48.3459,5813111
2017-02-10,48.4398,48.7777,48.3553,48.4773,5845618
2017-02-13,48.6463,48.8903,48.4445,48.834,6769739
2017-02-14,49.0968,50.9364,48.888,50.4108,19785205
2017-02-15,50.4014,51.936,50.3076,51.6497,11860785
2017-02-16,51.6967,51.768,50.6079,50.9458,9917069
2017-02-17,50.9646,51.3588,50.7581,51.2368,9706078
2017-02-21,51.0678,53.6958,50.1292,51.4151,26919342
2017-02-22,52.0815,52.9825,51.8966,51.9501,21293710
2017-02-23,52.2129,52.6446,51.6403,52.3443,14410368
2017-02-24,52.4851,53.0013,52.4428,52.9731,11382544
2017-02-27,53.0294,53.494,52.7897,53.0857,11285328
2017-02-28,53.067,53.433,52.7572,53.2265,9046039
2017-03-01,53.4987,53.724,53.0482,53.6677,13349282
2017-03-02,53.3955,53.9586,53.1139,53.3673,12103706
2017-03-03,53.2547,53.8178,53.1474,53.7427,9657427
2017-03-06,53.5175,53.7099,52.776,53.4706,7917208
2017-03-07,52.8136,53.1514,52.3562,52.8699,16970337
2017-03-08,52.8699,53.968,52.7666,53.6113,13556428
2017-03-09,53.846,54.4842,53.6864,54.4279,7535226
2017-03-10,54.4654,54.9441,54.259,54.7376,8547335
2017-03-13,54.7189,54.7189,53.3673,53.433,11689400
2017-03-14,53.4518,54.0617,53.1045,53.2078,11746430
2017-03-15,53.189,54.3716,53.189,54.1088,10337688
2017-03-16,53.8084,54.045,53.6113,53.7897,9903868
2017-03-17,53.7146,53.7334,52.6634,52.8323,15881880
2017-03-20,52.8699,53.2265,52.7854,52.945,8481366
2017-03-21,53.0294,53.1796,51.9782,52.288,9394520
