date,open,high,low,close,volume
2017-01-03,66.9723,69.54,66.8886,69.2888,4459440
2017-01-04,69.3074,70.4144,69.3074,70.3586,2461482
2017-01-05,70.0795,70.3214,69.1306,69.3074,1921038
2017-01-06,69.419,70.154,69.0004,70.0795,2306919
2017-01-09,69.8004,70.3282,69.54,69.5493,1985668
2017-01-10,69.3818,70.6749,69.326,69.9772,2420456
2017-01-11,69.9121,70.3586,67.7724,68.5818,3049378
2017-01-12,68.2841,69.0934,68.1817,69.019,1998574
2017-01-13,69.2888,69.9028,69.0841,69.7725,1443727
2017-01-17,69.4097,70.5726,69.1821,69.94,1523725
2017-01-18,70.3772,70.5633,69.8004,70.5168,1768558
2017-01-19,70.3307,70.4796,70.0005,70.2842,2240098
2017-01-20,70.2842,70.4982,69.7074,69.8004,2389670
2017-01-23,69.6795,69.8842,69.0934,69.5121,2180949
2017-01-24,69.5586,69.633,69.1213,69.4469,1060588
2017-01-25,69.7818,70.6656,69.4655,70.5819,1556744
2017-01-26,68.2282,68.9725,67.3817,67.9957,3866326
2017-01-27,68.4515,68.4515,66.9714,67.4189,3023673
2017-01-30,67.4747,68.2003,67.084,68.0887,1645492
2017-01-31,68.7399,69.819,67.8003,69.7353,3543405
2017-02-01,69.2423,70.1354,68.9864,70.0981,2569333
2017-02-02,69.6888,69.9586,68.6469,69.2516,2428320
2017-02-03,69.4841,69.8563,69.2237,69.6516,1581084
2017-02-06,69.633,70.7587,69.633,70.6749,2951765
2017-02-07,70.2377,74.1356,69.7679,72.3402,6390740
2017-02-08,72.0053,72.4239,71.3261,72.3867,2464965
2017-02-09,72.3867,72.4704,71.6657,72.0518,2053629
2017-02-10,72.0983,72.3123,71.4285,72.0053,1688227
2017-02-13,72.3867,72.9356,71.8657,72.6286,1523464
2017-02-14,72.182,73.5356,71.9867,73.3821,1777368
2017-02-15,73.4658,74.8799,72.5727,74.8148,2732617
2017-02-16,74.6566,74.8706,73.7086,74.6473,1801999
2017-02-17,74.424,75.1497,74.0147,75.0846,2498960
2017-02-21,74.8892,75.8288,74.6845,75.6706,2170266
2017-02-22,75.5311,75.88,75.2334,75.4288,1545285
2017-02-23,75.6334,76.1451,75.2799,76.0335,1795377
2017-02-24,75.8567,76.4242,75.2706,76.4149,1331548
2017-02-27,76.4149,76.8614,76.1916,76.7405,1400594
2017-02-28,76.2939,76.5786,75.6241,75.6986,1938807
2017-03-01,76.4521,76.7591,76.0242,76.3312,1919732
2017-03-02,76.2195,76.7498,75.8939,76.0893,2065293
2017-03-03,76.5079,77.2149,76.0335,77.0754,1888965
2017-03-06,76.7033,77.0661,75.9869,76.0055,2330549
2017-03-07,75.4381,75.9032,75.1404,75.5497,2144402
2017-03-08,75.6334,76.2288,75.4846,75.5404,2634022
2017-03-09,75.7916,76.3869,75.466,76.2288,2018451
2017-03-10,76.5451,76.6754,76.0707,76.3219,1714399
2017-03-13,76.4149,76.9359,76.0158,76.7963,1689990
2017-03-14,76.5172,78.9639,76.1544,76.8428,1704325
2017-03-15,76.9638,78.2663,76.8986,77.9592,3091957
2017-03-16,77.8568,77.9034,76.7033,77.0568,1985918
2017-03-17,77.2522,77.4196,76.7591,77.3173,2624394
2017-03-20,77.3545,77.3824,76.4707,76.6289,1169169
2017-03-21,76.6754,77.1033,75.5776,75.773,1343957
2017-03-22,76.0428,76.1544,75.4195,75.9497,1209487
2017-03-23,75.9311,76.3312,75.3264,75.4474,1397108
2017-03-24,75.4474,75.8939,75.1962,75.5683,1700624
2017-03-27,75.2892,76.573,75.252,76.5172,1368711
2017-03-28,76.2381,76.5544,75.9218,76.4707,1406677
2017-03-29,76.5079,76.5079,75.7869,76.3312,1521827
2017-03-30,76.4143,76.6762,75.8063,76.3956,1312129
2017-03-31,76.2459,76.6762,75.9747,76.2834,1735844
2017-04-03,76.4517,76.9475,75.4976,75.7315,1973752
2017-04-04,75.535,75.5444,74.9925,75.2263,1205467
2017-04-05,75.4695,76.3385,75.1281,75.3292,1112969
2017-04-06,76.143,77.4059,75.6379,77.3684,2369056
2017-04-07,76.9849,77.4526,76.564,77.0317,1803823
2017-04-10,77.0504,77.4526,76.8633,77.0878,1140121
2017-04-11,77.0504,77.2655,76.5827,76.9849,1056757
2017-04-12,76.433,76.6856,75.8025,76.433,1273300
2017-04-13,76.2927,76.6856,76.1244,76.1711,1084410
2017-04-17,76.2179,76.6201,75.9466,76.5453,928686
2017-04-18,67.9581,69.2209,67.3033,67.7149,13338106
2017-04-19,67.9114,68.1452,66.686,67.8365,5473779
2017-04-20,68.061,69.1087,67.2379,68.5755,4581909
2017-04-21,68.3884,68.5077,67.3688,67.8178,2908164
2017-04-24,68.482,68.7065,67.6494,67.7991,3077517
2017-04-25,67.4998,68.0143,67.4436,67.6869,2026858
2017-04-26,68.0143,68.1171,67.584,67.6401,2570932
2017-04-27,68.0704,68.5287,67.7617,68.4165,1858392
2017-04-28,68.4445,68.482,67.4717,67.902,3348092
2017-05-01,66.873,68.2855,66.5082,67.5278,3438110
2017-05-02,67.8646,68.3417,67.1911,68.2762,3548396
2017-05-03,68.1733,68.1826,67.4436,67.8552,2700757
2017-05-04,68.0797,69.0993,67.8739,68.0423,2384362
2017-05-05,68.2949,68.4726,67.2567,67.7898,1906254
2017-05-08,67.9675,67.9675,67.1911,67.3595,1688366
2017-05-09,67.612,67.8535,67.3797,67.7149,1712565
2017-05-10,67.5091,67.612,67.135,67.3501,2459352
2017-05-11,67.4062,68.2481,67.1817,68.0797,2548473
2017-05-12,68.0797,68.2949,67.8365,68.192,1649151
2017-05-15,68.0704,68.6971,67.8272,68.2481,1441668
2017-05-16,68.3323,68.3791,67.5185,67.9394,1867687
2017-05-17,66.9853,67.8646,66.8824,66.9759,2977990
2017-05-18,67.163,67.902,67.163,67.5278,2075730
2017-05-19,68.033,69.408,67.8646,68.7532,2653682
2017-05-22,68.4726,69.1929,68.2855,68.3697,1750555
2017-05-23,68.3791,68.5849,68.1265,68.2481,1399951
2017-05-24,68.3791,68.5849,68.1265,68.3791,1196609
2017-05-25,68.5007,68.8889,68.4165,68.6971,1499872
2017-05-26,68.5568,68.8187,68.2388,68.3791,1245611
2017-05-30,68.0984,68.8561,67.8739,68.8,1374626
2017-05-31,68.9684,69.5109,68.5755,69.4922,2811158
2017-06-01,69.4267,70.4931,68.5087,70.2031,2065891
2017-06-02,70.3622,71.48,70.1751,70.8953,3086614
2017-06-05,70.8299,70.9328,69.9637,70.5773,1534370
2017-06-06,70.3622,70.3622,68.7345,69.1648,1524733
2017-06-07,69.2864,69.3425,68.8468,69.2584,1305817
2017-06-08,69.3519,70.1517,69.2584,69.6606,1330774
2017-06-09,69.6232,70.4183,69.5016,70.3434,1366521
2017-06-12,70.1564,70.9795,69.9505,70.2312,1711753
2017-06-13,70.3528,70.3622,69.698,70.0722,1580401
2017-06-14,70.4931,71.0637,70.1564,70.727,1385233
2017-06-15,70.5025,71.045,69.9412,71.0357,1488979
2017-06-16,71.0637,71.1853,69.3613,70.147,2494111
2017-06-19,70.2125,71.5501,69.9506,71.2882,1878051
2017-06-20,71.1385,72.1675,70.9889,71.3818,2230762
2017-06-21,71.4192,72.7007,71.3725,72.4762,1712223
2017-06-22,72.6539,74.5996,72.6446,73.6642,2758416
2017-06-23,73.8138,74.637,73.4584,74.5341,9340823
2017-06-26,74.4967,74.7773,74.1787,74.3377,2042821
2017-06-27,74.4406,75.1796,73.9729,74.1319,1793572
2017-06-28,74.5622,74.9363,73.9448,73.9729,2118072
2017-06-29,74.0316,74.5961,73.3353,73.627,1411858
2017-06-30,74.0222,74.0249,73.1377,73.3165,1929478
2017-07-03,73.4764,74.1162,73.4764,73.6646,704262
2017-07-05,73.674,74.2292,73.3541,74.041,1655764
2017-07-06,73.6458,73.8998,72.2156,72.3473,1840226
