date,open,high,low,close,volume
2017-01-03,88.6849,89.8076,87.9773,88.6755,5054885
2017-01-04,89.1189,89.1566,88.1471,88.2792,3772050
2017-01-05,87.9113,89.1189,87.1942,87.7414,4698750
2017-01-06,88.166,88.3075,87.1848,87.7792,4023073
2017-01-09,87.6754,88.2037,86.9867,87.1471,3095018
2017-01-10,87.7226,89.1,87.5244,88.5245,3980193
2017-01-11,89.1283,89.3925,88.1094,89.2981,3720504
2017-01-12,89.034,89.034,87.5339,88.6755,3102819
2017-01-13,88.7509,89.2746,88.383,89.1378,2609480
2017-01-17,88.9113,88.9584,87.949,88.2792,5040301
2017-01-18,88.2697,88.869,88.0224,88.7834,3425712
2017-01-19,89.0212,89.4017,88.4314,88.8309,3540068
2017-01-20,89.4303,90.372,89.0593,89.9725,5045228
2017-01-23,89.9915,90.1247,89.0022,89.8583,3254899
2017-01-24,90.391,92.0177,90.1818,91.5516,5768201
2017-01-25,93.0546,93.7871,92.579,93.3686,7557915
2017-01-26,93.654,94.1581,91.3411,92.4839,9097281
2017-01-27,92.931,94.6148,92.7502,94.1676,6370328
2017-01-30,93.6064,93.7871,91.8655,92.0748,5221787
2017-01-31,91.8846,91.9226,89.982,90.9999,5724663
2017-02-01,91.1426,91.818,89.8013,90.4767,3582499
2017-02-02,90.1532,90.4957,88.9451,89.2019,3807479
2017-02-03,89.7251,89.8479,88.2887,88.7358,4677910
2017-02-06,88.2887,88.5836,87.9272,88.3458,4621278
2017-02-07,89.7251,90.2987,88.4885,88.7644,4995605
2017-02-08,88.4695,88.4695,87.6228,88.3838,4083514
2017-02-09,88.5265,89.592,88.1746,89.3827,3994308
2017-02-10,90.2484,91.9131,89.8964,91.6182,5600224
2017-02-13,92.931,94.22,92.4268,93.7015,6995085
2017-02-14,93.5017,93.9298,92.5219,93.3115,4342641
2017-02-15,93.3305,94.1962,93.2259,94.1962,4325979
2017-02-16,94.2247,94.2437,93.0356,93.4732,3062422
2017-02-17,93.2925,94.1296,92.7883,94.0345,3631547
2017-02-21,94.0535,94.3674,93.1498,93.321,3916568
2017-02-22,93.2639,93.9203,92.8644,93.4161,3031129
2017-02-23,93.6444,93.7015,90.4862,90.8952,6024786
2017-02-24,90.2388,90.8477,88.9451,90.8286,5018244
2017-02-27,90.8286,92.7693,90.4814,92.6932,5444968
2017-02-28,92.5029,92.8454,91.7419,91.9512,3951691
2017-03-01,93.4161,94.1486,92.6836,93.7776,5564894
2017-03-02,93.692,93.9203,88.3172,89.7632,23059151
2017-03-03,89.7632,91.2282,89.6205,90.4862,8178213
2017-03-06,89.7251,91.2662,89.5159,90.9999,4706107
2017-03-07,90.9904,91.5421,90.1437,91.2567,4683089
2017-03-08,89.5159,90.8286,88.3363,88.6882,9370375
2017-03-09,87.9462,88.6787,86.0056,86.9379,9260934
2017-03-10,87.4135,88.5646,86.3861,87.8131,7168974
2017-03-13,88.7834,88.9736,87.7655,88.127,4376144
2017-03-14,86.7762,87.5182,86.2054,87.385,5781058
2017-03-15,87.8701,89.221,87.5752,88.8119,6434599
