date,open,high,low,close,volume
2017-01-03,34.6252,35.2334,33.7891,34.0741,5046074
2017-01-04,34.2356,34.4447,34.0456,34.3687,4354910
2017-01-05,34.2261,34.4494,33.4707,33.9411,3725212
2017-01-06,34.1216,34.2832,33.9316,34.1216,3623516
2017-01-09,33.8556,34.0456,33.3995,33.9031,3035709
2017-01-10,34.0931,34.5587,34.0171,34.4732,3730357
2017-01-11,34.3687,34.5587,34.0551,34.4637,4273259
2017-01-12,34.3022,34.3402,33.4137,34.1311,3961655
2017-01-13,34.3972,35.1383,34.1121,34.4827,5200780
2017-01-17,34.0456,34.1216,32.2782,32.4208,8472301
2017-01-18,32.6488,33.276,32.1167,33.2474,6386108
2017-01-19,33.1904,33.6608,32.6963,33.0004,5737292
2017-01-20,33.7891,34.3782,33.542,34.0361,8164516
2017-01-23,33.8271,34.1786,33.618,34.1026,4893724
2017-01-24,34.1691,34.5967,34.0884,34.4922,6052454
2017-01-25,34.9293,35.6704,34.8466,35.6514,5714208
2017-01-26,35.6419,36.06,35.3569,35.6704,4795764
2017-01-27,35.5659,35.6134,35.0338,35.1478,4278555
2017-01-30,34.7203,34.9293,34.1121,34.7107,4981902
2017-01-31,34.6535,35.1686,34.2147,34.5009,4774894
2017-02-01,34.8538,35.4452,34.706,34.8061,4795907
2017-02-02,34.52,34.5486,34.0049,34.3769,4356559
2017-02-03,35.1114,35.202,34.6821,35.0923,3873692
2017-02-06,34.6344,35.2163,34.539,34.787,4633578
2017-02-07,34.911,35.1114,34.6487,34.9015,3815843
2017-02-08,34.5772,34.6058,33.6138,33.7187,8451798
2017-02-09,33.9381,34.601,33.5852,34.5677,5730961
2017-02-10,34.4818,34.8443,34.4246,34.7393,3283755
2017-02-13,35.1114,35.4834,35.016,35.2163,3506175
2017-02-14,35.2163,36.3132,35.0732,36.2274,5148596
2017-02-15,36.3418,36.6566,36.0175,36.5994,3841115
2017-02-16,36.3514,36.6232,36.2274,36.4849,2756895
2017-02-17,35.9794,36.0938,35.7218,36.0938,5495882
2017-02-21,36.256,36.4658,35.8792,36.2941,4622419
2017-02-22,36.0652,36.1892,35.779,35.9317,5248697
2017-02-23,36.0938,36.1129,35.0732,35.531,5960935
2017-02-24,35.0541,35.4452,34.7775,34.9587,7559256
2017-02-27,35.0732,35.5406,34.9683,35.4738,4015415
2017-02-28,35.2926,35.7075,35.1209,35.6455,4450208
2017-03-01,36.6471,37.9157,36.5707,37.7631,7133705
2017-03-02,37.8489,37.9061,36.256,36.2941,5930197
2017-03-03,36.4754,36.752,36.3704,36.5421,4489447
2017-03-06,36.3132,36.6757,36.008,36.504,2722995
2017-03-07,36.4563,36.5803,36.0175,36.2178,2628290
