date,open,high,low,close,volume
2017-01-03,113.5938,114.3381,112.8213,114.0178,1046535
2017-01-04,114.7998,115.431,114.2345,114.8751,1114584
2017-01-05,114.9882,115.6383,114.3268,115.6006,775658
2017-01-06,115.3745,115.676,114.8186,115.431,526449
2017-01-09,115.6665,115.8456,113.9613,114.2816,812896
2017-01-10,113.999,114.0366,112.2843,112.4727,1150247
2017-01-11,112.3314,113.1793,111.719,111.8509,854919
2017-01-12,111.7567,112.5292,111.5588,112.1995,773371
2017-01-13,112.2089,112.6234,111.9451,112.614,469559
2017-01-17,112.6705,114.5266,112.614,114.3004,881471
2017-01-18,114.291,114.715,113.6042,113.9142,701248
2017-01-19,113.8953,114.47,113.0851,113.2924,640046
2017-01-20,114.6585,114.8563,113.4996,114.3947,843710
2017-01-23,114.1197,114.9922,113.9689,114.7551,524274
2017-01-24,114.8499,115.419,114.4706,115.3431,674649
2017-01-25,115.3241,115.419,114.3568,115.2008,814489
2017-01-26,115.0491,115.5233,114.7266,115.3715,694752
2017-01-27,115.0206,115.1401,112.735,114.2714,1057009
2017-01-30,114.7077,114.7551,113.4748,114.1007,838440
2017-01-31,114.224,114.5275,113.5886,113.8067,1116098
2017-02-01,113.4653,114.7551,113.3989,114.499,1036343
2017-02-02,114.9542,115.3241,113.7782,114.0343,1328468
2017-02-03,115.7035,120.0755,115.2388,118.6814,2284856
2017-02-06,119.0418,119.1224,117.3157,117.3916,1204805
2017-02-07,117.8942,119.0987,117.2019,118.8521,926452
2017-02-08,119.2315,120.7299,118.928,120.5023,1303085
2017-02-09,120.4928,121.3748,120.3695,120.8248,1091022
2017-02-10,120.2557,121.1283,120.0471,120.4739,1110272
2017-02-13,120.4454,120.8817,119.9617,120.5687,739530
2017-02-14,120.0755,121.005,119.7341,120.8248,841462
2017-02-15,121.2136,121.8585,120.3885,121.7921,678851
2017-02-16,121.574,123.4897,121.2705,123.3854,1574924
2017-02-17,124.5614,127.1695,123.926,126.8091,2559830
2017-02-21,126.9419,128.7059,126.8091,128.4498,1371290
2017-02-22,128.0136,129.3413,126.847,128.905,1376898
2017-02-23,129.1042,129.2948,128.4498,128.8197,1007453
2017-02-24,128.3739,129.3603,127.6769,129.3318,900109
2017-02-27,128.6016,129.5689,128.0515,129.3982,810793
2017-02-28,129.1137,129.9293,128.9809,129.7491,1192814
2017-03-01,129.4077,130.1664,129.0568,130.081,900413
2017-03-02,129.9198,130.7829,129.5594,130.3087,855525
2017-03-03,130.1095,130.162,129.218,129.8534,681932
2017-03-06,129.1516,130.0146,128.9904,129.7396,881958
