date,open,high,low,close,volume
2017-01-03,65.9584,66.8579,65.0685,65.9871,1908236
2017-01-04,66.322,66.6952,66.0541,66.5421,1677010
2017-01-05,66.8579,68.1306,65.2886,66.5421,3138778
2017-01-06,66.9823,67.9295,66.5613,67.2407,2621865
2017-01-09,66.59,66.9345,65.7862,66.5421,1181412
2017-01-10,66.1785,67.2407,65.9489,66.6091,1530402
2017-01-11,66.4369,66.8675,65.8627,66.8005,1198928
2017-01-12,66.5517,66.8101,65.2982,66.2359,984835
2017-01-13,66.6857,67.5182,66.3508,66.9057,1885004
2017-01-17,65.0494,65.3077,62.1117,62.5519,3748072
2017-01-18,62.7241,64.2647,62.351,64.169,2350326
2017-01-19,64.1308,64.5135,63.327,63.4514,1795160
2017-01-20,63.8915,64.5518,63.6523,64.0734,2102570
2017-01-23,63.5758,64.3221,63.4035,64.1499,1134134
2017-01-24,64.1212,64.9728,63.9203,64.7432,1531113
2017-01-25,65.2982,66.5804,65.0781,66.3986,1668579
2017-01-26,66.3508,66.9057,65.9584,66.5804,1358329
2017-01-27,66.5039,66.5421,65.8627,66.1307,884101
2017-01-30,65.8149,65.8149,64.5231,65.1642,1158672
2017-01-31,65.0685,65.6522,63.9995,64.6188,1370442
2017-02-01,65.3652,66.2503,64.858,65.2025,1212534
2017-02-02,64.504,65.0207,63.9203,64.37,1760835
2017-02-03,65.4896,65.7479,64.791,65.5374,2315963
2017-02-06,64.992,66.1259,64.9154,65.279,1455397
2017-02-07,65.5757,65.8436,64.8293,65.3077,1351482
2017-02-08,64.6475,64.8963,64.0159,64.8293,1193537
2017-02-09,65.2695,65.9967,64.8484,65.9393,1535830
2017-02-10,66.1881,66.5326,65.5961,66.0158,1694312
2017-02-13,66.3699,67.5564,66.3699,66.8292,2981147
2017-02-14,66.9727,69.1162,66.7431,68.9248,2966471
2017-02-15,69.5755,70.6663,69.2406,70.0826,4129398
2017-02-16,69.8434,69.9439,68.9152,69.4224,1614047
2017-02-17,68.8961,69.3745,68.4942,69.2501,1399670
2017-02-21,69.5755,70.207,69.1736,69.5276,1268095
2017-02-22,68.8961,69.652,68.4497,68.8961,1164472
2017-02-23,69.1449,69.2788,68.3985,68.8482,1208974
2017-02-24,67.7287,68.2454,64.9824,68.1306,1549745
2017-02-27,68.2263,68.7334,68.1784,68.5803,1127716
2017-02-28,68.1976,68.6282,67.6138,68.2071,1891015
2017-03-01,70.1879,71.7668,70.0635,71.3649,2833750
2017-03-02,71.6519,71.7093,69.3267,69.4989,1310199
2017-03-03,69.5659,70.451,69.2693,70.2931,2006199
2017-03-06,69.5659,70.1975,69.0205,70.0922,1200484
2017-03-07,69.9678,70.3314,69.3697,69.4989,1077973
2017-03-08,70.5898,70.8864,69.1736,69.2788,2082754
2017-03-09,69.6233,70.1592,68.9152,69.3554,1213262
2017-03-10,69.853,69.853,67.8244,69.0492,1639514
2017-03-13,69.0492,69.4811,68.5788,69.1164,849007
2017-03-14,68.5212,68.6748,67.494,68.6268,1360996
2017-03-15,69.0396,69.5483,68.0796,68.166,1166168
2017-03-16,68.8188,69.4235,68.1324,69.0108,1301768
2017-03-17,69.0396,69.1452,67.7244,68.502,3373177
2017-03-20,68.2428,68.6844,67.6188,67.8204,1324204
2017-03-21,68.2332,68.2332,63.3279,63.7118,3305319
2017-03-22,63.2799,64.7678,62.1663,64.2878,2007052
2017-03-23,64.1054,65.7853,63.779,64.4606,1760659
