date,open,high,low,close,volume
2017-01-03,111.5212,111.6364,108.7466,109.8315,2159178
2017-01-04,110.2443,111.8092,110.0811,110.9067,2400796
2017-01-05,110.8875,112.2403,110.3115,111.2908,1689448
2017-01-06,111.4252,112.6349,111.1852,112.5101,1229446
2017-01-09,112.1068,112.5965,111.646,111.6844,963359
2017-01-10,112.2604,112.2604,111.0796,111.6556,1061882
2017-01-11,111.694,111.9292,109.9851,111.2716,2239637
2017-01-12,111.1276,111.9435,109.3514,111.7804,1243593
2017-01-13,112.3276,112.8077,111.7036,112.2028,1057796
2017-01-17,112.174,112.174,110.8971,111.07,1198022
2017-01-18,111.4636,112.6637,110.4171,112.5677,1449054
2017-01-19,112.5293,112.7117,111.3388,111.7132,1191810
2017-01-20,111.9628,112.2604,111.1564,112.0012,1175877
2017-01-23,111.6556,112.3084,111.07,111.598,800166
2017-01-24,111.742,112.9709,111.742,112.7501,1047425
2017-01-25,113.5085,115.5535,113.0861,115.3518,1886901
2017-01-26,115.2078,116.2447,114.2862,115.9183,1472645
2017-01-27,115.9567,115.9855,115.1022,115.5055,1065132
2017-01-30,115.0446,115.7359,114.4302,115.6303,1196187
2017-01-31,115.4575,116.8303,115.3999,116.2447,2246797
2017-02-01,116.6479,117.3968,116.0239,116.0719,2795623
2017-02-02,115.6975,118.6161,113.8829,116.4175,2059280
2017-02-03,116.8784,117.1952,114.5838,115.1598,1648209
2017-02-06,114.7278,115.107,114.2958,115.0254,1119983
2017-02-07,115.4575,115.5919,113.9213,113.9886,1672610
2017-02-08,113.6333,113.7869,110.9835,111.9148,2019220
2017-02-09,112.27,114.2766,111.5404,113.8445,1525440
2017-02-10,114.1902,114.6779,113.7773,114.2286,1130130
2017-02-13,114.8718,117.032,114.6798,116.5327,1481057
2017-02-14,116.5903,116.7439,115.4479,116.1775,1208194
2017-02-15,116.6287,117.7712,115.7455,117.2336,1233985
2017-02-16,117.2336,117.6656,116.0335,116.9648,1180654
2017-02-17,116.7439,117.8672,116.1814,117.7232,2038541
2017-02-21,117.5216,118.4721,116.0431,116.2159,1385690
2017-02-22,116.7727,118.3953,116.6479,117.6176,2270259
2017-02-23,117.6848,118.5681,116.7247,117.6272,1399185
2017-02-24,117.2048,118.0976,116.7535,117.7232,1686189
2017-02-27,117.7232,118.3713,116.1679,117.9248,1279146
2017-02-28,117.5696,117.848,116.4559,116.6095,1881239
2017-03-01,118.0976,122.5043,117.7712,121.9283,2336295
2017-03-02,122.1683,122.3027,119.1729,119.2785,1665696
2017-03-03,119.3745,119.7417,118.6161,119.0961,1096888
2017-03-06,118.5201,119.5569,118.1264,119.0961,1393458
2017-03-07,118.7697,119.0865,118.28,118.6257,1362881
2017-03-08,119.5716,120.1218,118.8767,118.9153,1223153
2017-03-09,119.0697,119.8709,118.7319,119.5041,1359745
2017-03-10,119.9191,120.3535,118.5147,119.4269,1414156
2017-03-13,119.8226,120.8071,119.4076,120.4886,1893585
2017-03-14,119.9384,120.7878,119.2879,120.1218,1319687
2017-03-15,120.7975,120.7975,119.755,120.4017,1271981
2017-03-16,120.9616,121.1256,119.8902,120.4017,1138629
2017-03-17,120.6527,121.2318,119.9674,120.257,2756393
2017-03-20,119.755,120.5851,119.3496,119.6199,1178240
2017-03-21,120.1025,120.5272,115.981,116.0968,2521996
2017-03-22,116.1934,116.6181,114.6587,115.1799,2408012
2017-03-23,115.2088,116.3343,114.8324,115.0448,1843985
2017-03-24,115.4405,116.2223,114.8903,115.7108,1462028
2017-03-27,114.5139,115.0448,113.4811,114.1278,1358780
2017-03-28,113.5969,115.315,113.0274,114.6876,1769587
2017-03-29,114.3884,114.7359,113.7031,114.3787,922049
2017-03-30,113.8961,114.8034,113.3267,114.7166,1577481
2017-03-31,115.0834,115.9231,114.4077,114.6683,1753587
2017-04-03,114.6876,115.233,112.1298,113.4135,2447681
2017-04-04,113.3074,114.1181,112.7668,113.1915,1669066
2017-04-05,113.6838,115.122,113.2012,113.4618,1539147
2017-04-06,113.5776,114.3208,112.9985,113.7127,938279
2017-04-07,112.9406,114.3498,112.9406,113.8865,1203321
2017-04-10,113.7514,114.4077,112.9309,113.0178,1006491
2017-04-11,112.8827,113.1047,111.985,112.9985,1284998
2017-04-12,112.5255,113.2784,112.1877,112.5641,1608495
2017-04-13,112.4966,112.902,111.792,111.8402,971142
2017-04-17,112.2842,113.4425,111.3576,113.3556,936897
2017-04-18,112.902,113.4521,112.1684,113.0274,848557
2017-04-19,113.5101,113.9251,112.9213,113.095,1033348
2017-04-20,113.79,115.122,113.095,114.9675,1217217
2017-04-21,114.8614,115.344,114.1857,114.6394,1302617
2017-04-24,116.4636,116.5891,115.2861,115.5949,1094296
2017-04-25,116.0486,116.4926,115.2668,115.7687,1627317
2017-04-26,115.8266,116.5312,115.1413,115.8652,1252536
2017-04-27,114.1374,114.1374,110.8244,111.1163,4256617
2017-04-28,111.2804,112.2939,111.1109,112.1491,1904593
2017-05-01,112.4966,112.9985,112.0912,112.5834,1375300
2017-05-02,112.6993,113.5197,112.429,113.1819,1219596
2017-05-03,113.2301,114.8421,112.8634,113.9251,1825444
2017-05-04,114.7262,115.0351,113.6934,114.5139,1727290
2017-05-05,114.9,114.9,113.7127,114.6297,1291013
2017-05-08,114.3884,114.8025,112.622,113.0274,1773205
2017-05-09,112.7668,114.1761,112.4966,113.5487,1697374
2017-05-10,113.4135,113.6645,112.1298,112.9792,1199093
2017-05-11,112.6896,113.095,111.3383,112.7282,1146936
2017-05-12,112.5159,112.9116,112.0429,112.1298,1140479
2017-05-15,112.2649,113.8672,112.2075,113.1722,1568951
2017-05-16,113.1722,113.5776,112.5255,112.622,1186016
2017-05-17,111.7823,112.207,110.8846,111.1163,1580725
2017-05-18,111.3962,112.3614,111.2316,111.734,1487605
2017-05-19,112.0526,112.9309,111.4155,112.7668,2711520
2017-05-22,113.2881,113.3942,112.3614,112.844,1257667
2017-05-23,112.9309,114.3594,112.3035,114.0892,1026071
2017-05-24,114.1181,114.2967,113.346,113.6741,975949
2017-05-25,113.6162,114.2726,113.2301,113.9637,1151636
2017-05-26,114.0699,114.3208,113.4714,113.8768,721056
2017-05-30,113.3363,113.7127,112.6125,113.124,930565
2017-05-31,113.4135,113.4135,112.4966,113.2108,1379065
2017-06-01,113.4425,113.7224,112.7475,113.7224,1078590
2017-06-02,113.5294,113.9444,112.5641,112.8634,1120428
2017-06-05,112.5738,114.4753,112.5738,114.0795,1159152
2017-06-06,113.9251,114.0215,112.7524,113.1433,1090243
2017-06-07,113.3374,116.463,113.3374,115.9097,1522645
2017-06-08,116.4533,118.9091,116.1523,118.7053,2041717
2017-06-09,118.3558,120.7922,118.0355,120.7437,1823186
2017-06-12,120.7728,122.2483,120.7146,121.9085,2344092
2017-06-13,122.1124,122.7433,121.8988,122.3744,2221568
2017-06-14,121.8697,123.9178,121.4426,123.5878,1587512
2017-06-15,122.7918,123.1801,122.4424,123.0636,1381640
2017-06-16,122.8695,123.4325,119.7827,122.4812,1585243
2017-06-19,122.5103,123.9955,122.5103,123.7043,795221
2017-06-20,123.714,123.714,122.1027,122.3744,1330759
2017-06-21,122.9957,122.9957,120.8359,121.2387,1595016
2017-06-22,120.8505,121.1999,120.2486,120.4234,871471
2017-06-23,120.734,121.1223,120.2098,120.4816,1085568
2017-06-26,120.5301,120.9608,119.4915,120.0254,865919
2017-06-27,120.3457,121.3164,119.7536,120.9669,1208353
2017-06-28,121.6561,123.3743,121.3843,123.0539,989365
2017-06-29,123.9567,124.209,120.7243,121.3746,1106577
2017-06-30,121.7629,121.957,121.0737,121.5688,1053775
2017-07-03,121.6561,123.6266,121.6561,122.5977,611441
2017-07-05,122.5006,122.8695,121.4038,122.258,1025590
2017-07-06,122.258,122.8598,120.0448,120.0642,1426754
2017-07-07,120.7437,121.5494,119.2974,121.1708,1150582
2017-07-10,120.8505,121.462,120.4234,120.4719,958862
2017-07-11,120.4719,121.0252,119.3653,119.5497,941523
2017-07-12,120.2195,120.5496,119.4818,119.773,1223322
2017-07-13,119.8507,120.3651,119.6662,119.773,1570318
2017-07-14,119.1129,119.54,116.2494,117.0357,2560169
2017-07-17,116.958,117.8608,116.8609,117.1036,2123474
2017-07-18,116.5503,117.3246,116.065,117.026,915227
2017-07-19,117.2395,117.4239,116.3465,116.6474,1630510
2017-07-20,116.6571,117.2589,115.8029,117.026,1294077
2017-07-21,116.958,118.7829,116.958,117.4531,1648929
2017-07-24,117.356,117.5598,116.5989,116.8901,1143003
2017-07-25,117.7831,118.6664,117.1522,118.317,1319146
2017-07-26,118.1811,119.5206,117.8608,118.2587,1343070
2017-07-27,118.2684,118.715,116.9871,117.8025,1349589
2017-07-28,117.6957,118.2102,116.9871,117.7249,1401620
2017-07-31,118.2102,119.5206,117.8122,119.0256,1636044
2017-08-01,120.0254,120.4234,116.793,120.1613,1903289
2017-08-02,119.6662,120.5981,119.5789,120.5204,1331406
2017-08-03,120.6952,121.5105,120.3748,121.3261,1360538
2017-08-04,122.0929,122.3939,121.0446,122.1415,1222844
2017-08-07,122.4618,123.0699,121.2582,121.3067,979179
2017-08-08,121.1223,121.8406,120.8152,121.1028,776851
2017-08-09,120.6757,122.7239,120.3651,122.4909,1416530
2017-08-10,122.025,122.3793,120.4331,120.5496,1075734
2017-08-11,121.2096,121.3358,119.443,119.6468,650816
2017-08-14,120.3748,121.3164,120.0982,121.0252,726242
2017-08-15,121.5397,122.7239,121.0651,122.2288,1047643
2017-08-16,122.6365,123.6169,122.3647,122.52,895102
2017-08-17,122.7239,123.0928,121.5688,121.6853,1008752
2017-08-18,121.2582,122.4812,121.0427,121.7144,1048291
2017-08-21,121.6658,121.9862,120.2486,121.6076,728889
2017-08-22,121.8988,122.9811,121.4426,122.6657,1137538
2017-08-23,122.258,122.8501,121.7823,122.258,1499576
2017-08-24,122.3744,122.9083,121.9668,122.2288,1326509
2017-08-25,122.588,123.9567,122.355,123.3743,1578881
2017-08-28,123.8887,124.0246,122.8015,123.2092,669780
2017-08-29,122.5589,122.8889,121.9182,122.6754,955898
2017-08-30,122.7045,123.2675,122.2434,122.3647,1202331
2017-08-31,122.8986,122.8986,122.0638,122.1124,1034748
2017-09-01,121.9473,122.8598,121.9085,122.5492,842950
2017-09-05,122.2871,122.5977,120.8602,121.7823,1540804
2017-09-06,122.1415,125.5195,121.8017,124.6556,1887317
2017-09-07,124.9092,125.4839,121.8845,122.6846,1131749
2017-09-08,122.8017,125.9532,122.4699,124.9287,1034854
2017-09-11,125.9825,126.5972,125.3873,125.6702,1056608
2017-09-12,125.8459,126.9874,125.4849,126.8996,795285
2017-09-13,126.9289,127.7095,126.5581,127.6899,1036401
2017-09-14,127.9924,128.9583,127.6412,128.9096,1591942
2017-09-15,128.773,129.1242,127.7387,128.0997,1670615
2017-09-18,127.6802,128.7437,127.1972,128.1095,1495044
2017-09-19,128.3144,129.6706,128.0802,128.6071,1635724
2017-09-20,128.7925,130.978,128.7535,130.5487,1443260
2017-09-21,130.1877,130.9,129.8267,130.5487,766639
2017-09-22,129.6999,131.0951,129.6316,130.9098,770681
2017-09-25,131.0171,131.3586,129.3691,131.0366,735917
2017-09-26,130.9488,131.1146,129.5926,129.856,927559
2017-09-27,130.1877,131.7001,130.0023,131.261,1221219
2017-09-28,131.2708,132.7148,130.6756,132.5587,1222931
2017-09-29,132.5684,132.949,131.8855,132.3831,1071265
2017-10-02,132.4318,133.2026,131.9635,133.0856,822074
2017-10-03,133.0563,134.1101,131.5147,133.993,1364064
2017-10-04,133.6905,133.9539,133.0758,133.5539,1010418
2017-10-05,133.9052,134.9735,132.9295,134.6662,988996
2017-10-06,134.7735,135.0272,132.4318,133.8661,1575659
2017-10-09,133.7003,135.0272,133.0563,134.6369,814167
2017-10-10,135.115,135.1199,132.9392,133.8954,1114838
2017-10-11,133.5051,134.354,133.0856,133.8564,1058875
2017-10-12,133.8661,134.5491,133.2319,134.3637,967275
2017-10-13,134.2271,134.9101,133.4856,133.9735,1737442
2017-10-16,134.2662,134.6369,133.6417,134.1783,763336
2017-10-17,134.1686,134.1686,132.7246,132.8807,1259574
2017-10-18,133.0465,133.4271,132.2269,133.0563,1002059
2017-10-19,132.5587,132.5587,131.1049,131.6708,1140992
2017-10-20,132.2465,132.3374,131.4269,131.8464,1180139
2017-10-23,131.7196,132.0513,131.1014,131.3391,1038946
2017-10-24,131.5244,131.622,130.3926,130.8122,1498072
2017-10-25,130.7439,131.0951,129.1145,130.5975,1829100
2017-10-26,131.3293,133.671,129.5438,133.2807,1782944
2017-10-27,132.588,134.5101,130.8317,134.2076,1921527
2017-10-30,133.5539,134.1198,132.7831,132.8026,1244195
2017-10-31,132.9002,134.2759,132.5684,133.8369,1186867
2017-11-01,134.6369,134.9296,132.3148,132.8319,1002578
2017-11-02,132.8416,137.1542,132.705,136.8908,1553803
2017-11-03,136.1395,137.6421,136.0225,136.6566,1720387
2017-11-06,136.2859,136.5005,134.3247,134.8028,1080027
2017-11-07,135.0272,136.0517,133.5246,134.2076,755780
2017-11-08,134.2174,134.7882,133.9052,134.2564,796976
2017-11-09,134.0027,134.8028,133.0368,134.6857,764048
2017-11-10,134.8223,135.6224,134.2174,134.5296,750198
2017-11-13,134.3735,136.9396,134.1686,136.7444,1142153
2017-11-14,136.2859,137.6128,135.5541,136.7932,1267451
2017-11-15,136.3249,138.0031,136.12,136.2761,1017253
2017-11-16,136.9689,137.1933,135.8712,136.6859,740851
2017-11-17,136.1785,136.7249,135.6614,136.1005,924322
2017-11-20,136.7054,139.1739,136.3542,138.4519,1138074
2017-11-21,139.252,140.4911,138.1982,139.1154,1078017
2017-11-22,139.8081,139.8081,137.0957,138.4226,1040699
2017-11-24,138.8324,139.4764,138.1982,138.4129,312282
2017-11-27,138.8227,139.935,138.5397,138.6178,1060125
2017-11-28,138.9886,141.6815,138.2665,141.5937,1371694
2017-11-29,142.3059,145.6623,142.2181,144.2378,2558008
2017-11-30,144.6574,148.1601,144.2476,145.9063,2434813
2017-12-01,147.7796,148.4431,144.794,147.1259,2808015
2017-12-04,149.77,150.2872,147.3113,149.6822,2446333
2017-12-05,149.7896,151.5165,147.8967,148.4138,2130064
2017-12-06,148.6773,149.4773,146.0526,149.0383,1432423
2017-12-07,149.4401,150.4102,147.2744,149.0187,1489570
2017-12-08,149.6067,149.9496,147.98,149.7537,1494394
2017-12-11,150.126,150.5964,149.1657,149.6459,1019937
2017-12-12,149.4989,150.567,149.1461,149.9594,1327015
2017-12-13,150.028,150.469,148.3131,148.5679,1285927
2017-12-14,149.2049,149.5381,147.0294,147.4018,2215350
2017-12-15,147.6664,148.7541,146.9912,148.0388,2241281
2017-12-18,149.2245,149.6067,147.7742,148.2446,1400313
2017-12-19,148.9109,149.0481,147.0588,147.147,1176227
2017-12-20,147.7448,147.882,145.148,146.4415,1523649
2017-12-21,147.0098,148.1858,146.5493,147.8526,1758988
2017-12-22,148.0878,148.2744,145.7457,145.9907,1164041
2017-12-26,145.6477,146.2994,144.8834,145.9515,1545216
2017-12-27,142.8059,143.8838,141.9326,143.0215,1267612
2017-12-28,143.5213,143.5409,142.6295,143.3743,848542
2017-12-29,143.5311,145.099,143.0803,143.1195,879897
2018-01-02,143.1881,143.7173,141.5222,141.8848,1081742
2018-01-03,141.4438,144.3542,140.7923,144.1582,1341263
2018-01-04,145.3145,147.3234,144.658,145.6967,1551464
2018-01-05,145.5105,146.7649,145.2714,146.6473,953983
2018-01-08,147.7056,149.6459,147.245,148.6855,1118233
2018-01-09,148.4601,150.0868,148.2838,149.5675,944763
2018-01-10,149.8908,151.2432,148.8521,149.832,1182925
2018-01-11,150.0182,150.2681,148.4748,149.7439,1056143
2018-01-12,149.9496,150.2436,148.8815,149.6655,1108894
2018-01-16,151.0472,152.032,148.3621,149.1461,1304125
2018-01-17,150.1652,150.8904,148.225,148.4111,1469996
2018-01-18,148.9893,149.7096,148.6757,149.1559,1140937
2018-01-19,149.9398,151.3411,149.4401,151.1844,1558779
2018-01-22,150.9688,152.3309,150.6258,152.3309,910714
2018-01-23,152.5759,152.8894,150.7483,151.155,842694
2018-01-24,151.204,152.7327,150.0966,151.8801,1048429
2018-01-25,151.8801,152.075,150.2014,151.0766,1228140
2018-01-26,151.4587,152.4191,150.6258,152.0467,1131286
2018-01-29,152.1643,153.35,150.3024,150.371,1223368
2018-01-30,149.93,151.4195,149.1755,150.2534,1506052
2018-01-31,149.8418,152.2035,149.8418,150.4004,2947732
2018-02-01,152.2819,155.8978,150.7728,155.7215,2357252
2018-02-02,156.9072,159.7294,155.7607,155.9174,3012924
2018-02-05,155.7999,157.5637,150.7924,150.8708,3687657
2018-02-06,150.126,154.5945,146.3817,154.4867,4348375
2018-02-07,155.4863,158.7495,153.7028,156.721,2725560
2018-02-08,157.0346,157.6421,149.8614,149.9692,2739621
2018-02-09,151.1648,154.7513,149.4411,153.7028,2623757
2018-02-12,154.1732,158.0537,154.0948,156.917,1991376
2018-02-13,155.8097,157.9361,154.9865,156.9464,1238334
2018-02-14,155.8782,159.2874,155.5843,158.8964,1790133
2018-02-15,159.504,161.895,158.3673,161.7971,1595421
2018-02-16,161.3757,162.0322,158.5339,159.1218,1448953
2018-02-20,158.4849,161.3561,158.2817,160.0724,1435398
2018-02-21,159.8372,161.5031,158.4849,158.5339,1120472
2018-02-22,159.2002,160.1008,156.819,157.309,1224299
2018-02-23,157.9655,160.7877,157.9165,160.7289,972314
2018-02-26,161.2189,163.6001,160.3174,163.5511,1214739
2018-02-27,163.8843,166.1186,163.1592,163.3453,1583557
2018-02-28,163.4335,165.4326,162.3018,162.826,1619973
2018-03-01,163.0318,163.6393,158.0439,159.0042,1415414
2018-03-02,158.3183,163.0465,158.3183,162.924,1605000
2018-03-05,162.0322,166.7163,161.5913,165.1092,1945960
2018-03-06,165.6776,166.8829,163.12,166.1872,1610330
2018-03-07,164.6487,165.4424,162.7084,165.1974,1358081
