date,open,high,low,close,volume
2017-01-03,38.921,38.9303,38.4349,38.8181,1746469
2017-01-04,38.921,39.2388,38.7901,39.0331,2443866
2017-01-05,39.0144,39.3696,38.6032,39.2481,2408458
2017-01-06,39.0238,39.5005,38.9771,39.3977,1792739
2017-01-09,39.4444,39.7715,38.7901,38.8649,2057885
2017-01-10,38.8649,38.9397,38.5658,38.7994,1300489
2017-01-11,38.8181,39.2201,38.748,39.2107,1150588
2017-01-12,39.2014,39.2948,38.8929,39.164,1595372
2017-01-13,39.0892,39.379,38.9677,39.2014,1039806
2017-01-17,39.3042,39.7669,39.2528,39.4444,1649724
2017-01-18,39.4163,39.7155,39.3322,39.435,1907368
2017-01-19,39.192,39.5939,39.1172,39.379,1975227
2017-01-20,39.4444,39.6126,39.2855,39.5659,1972791
2017-01-23,39.622,39.7622,39.379,39.5285,2148439
2017-01-24,39.435,39.5566,39.1687,39.2294,1300973
2017-01-25,39.1359,39.2574,38.9864,39.0799,1498116
2017-01-26,38.9957,39.2995,38.8649,39.2201,1375984
2017-01-27,39.3416,39.379,38.9957,39.0518,1110669
2017-01-30,39.2948,39.3649,39.0051,39.2948,2357647
2017-01-31,39.4163,39.8276,39.3322,39.8183,2529719
2017-02-01,39.5663,39.8771,39.3308,39.6793,3072079
2017-02-02,39.4344,41.0924,39.36,40.2822,3616581
2017-02-03,40.4801,40.5083,40.0373,40.1503,1740775
2017-02-06,40.3199,40.4141,39.929,39.9902,1415143
2017-02-07,40.0279,40.1645,39.9431,40.0467,1375724
2017-02-08,40.1409,40.5366,40.0797,40.4141,1673433
2017-02-09,40.3576,40.6308,40.1739,40.2634,1255205
2017-02-10,40.1692,40.5177,40.0938,40.4424,1357623
2017-02-13,40.4801,40.659,40.2445,40.6308,1192689
2017-02-14,40.4989,40.6025,40.1598,40.3011,1308710
2017-02-15,39.9525,40.367,39.8583,40.2916,1737229
2017-02-16,40.3011,40.659,40.2634,40.5931,1297142
2017-02-17,40.659,40.7627,40.3482,40.7156,1827951
2017-02-21,40.725,41.1395,40.4424,41.017,1188029
2017-02-22,41.0735,41.2996,40.904,41.2243,1138272
2017-02-23,41.4033,41.7518,41.2761,41.6294,1701910
2017-02-24,41.8178,42.1286,41.7236,42.091,2406809
2017-02-27,42.0815,42.1004,41.7141,41.733,2001722
2017-02-28,41.5823,42.091,41.5823,41.9402,2874911
2017-03-01,41.4504,41.846,41.2149,41.5728,2982296
2017-03-02,41.4881,42.2323,41.3656,41.9402,1799153
2017-03-03,41.9402,41.9402,41.441,41.733,1642368
2017-03-06,41.8084,41.8837,41.6199,41.7801,1835449
2017-03-07,41.7424,41.9591,41.733,41.8649,1507448
2017-03-08,41.554,41.554,41.0924,41.1395,1493190
2017-03-09,41.1583,41.4504,41.083,41.1866,2087450
2017-03-10,41.441,41.6176,41.3467,41.5823,2791758
2017-03-13,41.6199,41.7236,41.4645,41.6294,1770102
2017-03-14,41.6576,41.7707,41.4692,41.667,1379100
