date,open,high,low,close,volume
2017-01-03,84.9846,85.9923,84.2552,85.2917,3441067
2017-01-04,85.5413,87.1152,85.5413,86.6642,2630905
2017-01-05,86.2227,86.309,84.0729,84.8215,2223944
2017-01-06,85.1958,85.5893,84.5432,85.0326,1796424
2017-01-09,84.6679,84.8407,83.8809,83.9193,2122775
2017-01-10,84.2744,85.7716,83.9193,85.3973,3141198
2017-01-11,85.4069,85.6564,84.4664,85.5509,1885055
2017-01-12,85.1478,85.2725,83.2859,84.3512,2064889
2017-01-13,84.8599,86.1267,84.8599,85.2725,2327814
2017-01-17,84.6487,84.6487,82.5853,82.8924,2192345
2017-01-18,83.4394,83.8042,82.3166,83.7658,1706358
2017-01-19,83.8521,84.0633,82.8636,83.2283,1696719
2017-01-20,83.2283,84.4568,83.1995,83.8233,1684548
2017-01-23,83.545,84.2456,83.0268,83.3723,2821009
2017-01-24,83.9961,85.5509,83.4874,85.1574,2711779
2017-01-25,84.2936,85.2534,83.6122,84.8215,5304078
2017-01-26,84.9366,86.1075,84.284,86.0979,3004744
2017-01-27,86.3379,86.3762,85.3493,85.5605,2195161
2017-01-30,85.5605,85.5605,83.8617,85.2342,3550371
2017-01-31,84.7255,85.0902,83.1899,83.8713,2880402
2017-02-01,84.5527,85.3685,83.7178,83.9865,2263068
2017-02-02,83.2475,83.497,82.3837,82.8636,2147656
2017-02-03,84.3992,84.5335,83.1707,84.38,2891218
2017-02-06,83.8329,84.8407,83.6698,84.0921,1430592
2017-02-07,84.5527,84.8599,83.689,84.5623,3514042
2017-02-08,84.0729,84.3704,83.545,84.0153,2052559
2017-02-09,84.4202,85.5193,83.9863,85.3651,1809247
2017-02-10,85.7025,85.7025,84.9312,85.2301,1617333
2017-02-13,85.5868,86.3678,85.529,85.8375,1791275
2017-02-14,85.8182,87.2596,85.5193,86.9463,2148217
2017-02-15,87.2451,88.0839,86.3919,87.6694,2297708
2017-02-16,87.7176,87.9779,86.5992,87.2644,1801044
2017-02-17,87.1005,88.7396,86.8498,88.5178,4044661
2017-02-21,88.4117,90.2147,88.325,89.5205,3825225
2017-02-22,89.1059,89.8956,88.7878,89.5591,1821376
2017-02-23,89.9062,90.1665,89.5591,90.0604,2142975
2017-02-24,89.212,89.4723,88.4792,89.2891,2252300
2017-02-27,89.077,90.3593,88.7588,90.3015,1730363
2017-02-28,89.7037,90.5619,89.6555,90.4943,3122357
2017-03-01,91.5934,93.4446,91.4102,92.6732,3387946
2017-03-02,92.76,92.8709,90.8992,90.9474,1625881
2017-03-03,90.8125,91.2463,89.9833,90.5714,2541665
2017-03-06,90.1472,90.3207,89.5205,89.6651,1936761
2017-03-07,89.7326,89.9929,89.1686,89.4916,1641333
2017-03-08,90.6486,91.0439,88.971,89.0866,2028560
2017-03-09,89.4434,90.0026,88.5564,88.807,1653535
2017-03-10,89.4916,89.6651,88.2864,88.8842,1644275
2017-03-13,88.8938,89.0963,88.3635,88.4985,1830233
2017-03-14,88.0839,88.4889,87.5247,88.46,1730819
2017-03-15,87.7465,88.6624,85.9339,86.6956,3178963
2017-03-16,87.1391,87.8236,86.7341,86.9752,1781858
2017-03-17,87.1873,87.4476,84.8541,85.0662,3388267
2017-03-20,84.9505,85.0662,83.4753,83.6682,2801965
2017-03-21,83.9767,83.9767,80.3515,80.6504,4559025
2017-03-22,80.1008,81.4121,79.2042,80.6793,3133651
2017-03-23,80.6022,82.0098,80.2455,80.7757,2671234
2017-03-24,80.9782,81.4906,80.1973,80.795,1966056
2017-03-27,78.9921,79.8984,78.404,79.1849,4282097
2017-03-28,79.0692,81.5953,78.9632,81.1518,3789256
2017-03-29,81.8459,82.1352,81.0168,81.6435,2488421
2017-03-30,81.7785,84.131,81.4892,84.0153,4081656
2017-03-31,83.5621,84.1117,83.1861,83.5525,2661912
