date,open,high,low,close,volume
2017-01-03,175.5676,176.0873,173.9386,175.0379,612238
2017-01-04,174.888,178.4557,174.3734,178.026,377911
2017-01-05,177.8761,177.8761,175.3477,176.2572,506245
2017-01-06,176.2372,178.066,175.1878,177.0966,344047
2017-01-09,177.4964,178.6156,176.437,177.9661,527524
2017-01-10,177.0367,182.793,177.0367,181.6837,725501
2017-01-11,180.9641,181.7736,175.8724,177.6463,668664
2017-01-12,177.0666,178.3558,175.6176,177.2865,480736
2017-01-13,177.5163,180.5244,176.9467,179.4251,387498
2017-01-17,178.136,182.723,177.5763,181.9635,591651
2017-01-18,182.8829,184.0222,181.8736,182.8929,438026
2017-01-19,182.773,184.6621,181.0038,181.8234,266399
2017-01-20,182.0633,183.2428,179.8745,181.4436,328141
2017-01-23,180.9438,181.6035,179.7694,180.584,441785
2017-01-24,180.3441,181.0388,179.6145,180.0543,291397
2017-01-25,180.8439,180.8439,179.3246,180.4141,522212
2017-01-26,180.4141,182.0933,180.3041,181.0338,512785
2017-01-27,180.9239,183.4926,180.654,183.3527,299292
2017-01-30,183.4227,183.6026,180.8189,181.6735,277872
2017-01-31,181.5036,184.6421,180.8239,184.5221,339423
2017-02-01,183.9124,185.7316,183.0828,185.6216,475052
2017-02-02,185.0319,186.991,184.5521,186.921,672803
2017-02-03,187.6906,188.0705,186.2113,188.0105,292350
2017-02-06,188.0105,189.05,186.4112,187.4208,285561
2017-02-07,187.9505,188.9101,186.7411,188.0305,453048
2017-02-08,187.6906,189.1999,186.931,188.8601,194733
2017-02-09,189.2799,190.9681,188.6602,190.4093,262093
2017-02-10,191.5488,192.1735,189.9795,190.9091,262891
2017-02-13,191.019,191.7487,190.3494,191.149,255350
2017-02-14,189.8896,192.2884,189.8896,191.5588,299863
2017-02-15,190.7892,191.9486,190.3494,191.219,565369
2017-02-16,191.7887,191.9086,189.3199,190.4193,422327
2017-02-17,190.4893,195.9367,190.0895,195.8168,539863
2017-02-21,195.297,197.2661,195.0871,195.367,394716
2017-02-22,195.337,196.9712,194.4074,194.8772,307383
2017-02-23,195.287,197.376,194.7373,196.8263,532026
2017-02-24,197.0562,199.9348,195.7868,199.625,405771
2017-02-27,199.625,199.9498,195.8667,198.8453,434357
2017-02-28,198.4155,199.8448,197.5959,199.0452,439909
2017-03-01,199.9048,200.9043,199.0652,200.6645,682117
2017-03-02,200.5345,201.7339,199.3951,201.0443,698541
2017-03-03,199.1852,200.4046,193.8177,194.3675,1191686
2017-03-06,193.8577,195.4469,192.9431,194.4374,597250
2017-03-07,193.5179,194.4374,191.5488,193.3679,449882
2017-03-08,194.1076,195.6119,193.178,193.9576,311021
2017-03-09,194.4274,194.7573,193.1081,194.5174,256397
2017-03-10,195.367,196.1566,193.4479,194.2275,266410
2017-03-13,194.2275,194.5774,192.1485,194.3575,265137
2017-03-14,194.3774,194.4074,192.6583,193.4079,187160
2017-03-15,193.7677,194.8972,192.9981,194.5973,262942
2017-03-16,194.0776,194.8972,192.8082,193.6378,327756
2017-03-17,194.0276,195.9067,194.0276,195.0471,302827
2017-03-20,195.1871,196.1466,193.9139,196.1466,411288
2017-03-21,196.3865,197.7458,194.6873,195.247,447970
2017-03-22,195.357,201.594,195.357,199.6949,621673
2017-03-23,199.465,202.6034,198.9653,199.605,531132
2017-03-24,199.8548,202.4736,199.0553,199.7049,342656
2017-03-27,198.7254,200.6345,197.511,199.7249,301854
2017-03-28,199.3251,199.7049,197.1361,198.9653,263571
2017-03-29,198.4155,199.8149,197.9657,199.2351,396530
2017-03-30,198.4855,199.2601,196.8261,198.0457,235962
2017-03-31,198.6154,200.3946,197.8058,199.7949,309561
2017-04-03,199.6849,201.1242,198.5555,199.535,455204
2017-04-04,199.2551,200.0148,196.9462,199.7049,632048
2017-04-05,199.4151,199.9048,196.8563,197.2461,401079
2017-04-06,196.9062,197.0162,194.1975,196.9462,272361
2017-04-07,197.0462,198.1956,196.2366,196.9062,320913
2017-04-10,197.0062,197.6259,196.4015,196.9462,287132
2017-04-11,196.1266,197.386,195.6368,197.3061,280162
2017-04-12,198.5854,200.0547,195.9567,196.9662,203621
2017-04-13,196.2665,197.0362,196.1466,196.1966,203747
2017-04-17,196.7263,197.0262,196.1566,196.5264,261151
2017-04-18,195.9367,196.8863,194.4574,196.7963,471953
2017-04-19,197.6559,201.2042,196.3765,198.1357,344423
2017-04-20,198.3755,200.7144,197.401,200.4046,233105
2017-04-21,199.8948,200.9043,198.6354,199.0452,237604
2017-04-24,200.1747,201.8239,199.6949,201.4441,327406
2017-04-25,202.1537,203.3832,200.8794,201.2242,280818
2017-04-26,201.4141,202.1637,199.605,199.8948,340336
2017-04-27,200.2547,200.7944,198.4355,199.2751,263683
2017-04-28,199.1452,200.3246,198.2206,200.2347,283098
2017-05-01,200.6944,201.2742,199.6749,200.9543,332373
2017-05-02,201.1642,202.3636,200.1447,202.0238,347717
2017-05-03,201.9039,202.4236,199.3851,202.1238,296895
2017-05-04,202.7335,205.0224,201.5714,204.7925,358367
2017-05-05,205.1823,206.5716,204.1728,205.6121,327518
2017-05-08,205.6721,207.1014,204.4127,206.3018,399783
2017-05-09,206.4817,208.0409,205.802,207.5512,635975
2017-05-10,207.2413,208.001,206.0919,207.2413,284141
