date,open,high,low,close,volume
2017-01-03,48.6007,49.3562,47.74,48.3999,7032586
2017-01-04,48.486,48.8637,48.1225,48.8494,4989987
2017-01-05,48.9737,49.4232,48.5051,48.7059,4727057
2017-01-06,48.792,48.8494,48.0939,48.5242,3472502
2017-01-09,48.0747,48.3234,47.4627,47.4914,5765597
2017-01-10,47.7018,47.8548,47.214,47.4914,5447921
2017-01-11,47.7783,49.2415,47.3001,48.9832,8689372
2017-01-12,49.251,49.2797,47.9026,47.96,6963344
2017-01-13,47.7209,48.6485,47.6635,48.3808,4413304
2017-01-17,48.3521,48.4955,47.8165,47.96,4995058
2017-01-18,47.6253,48.376,47.6157,48.0747,4969975
2017-01-19,48.0078,48.2469,47.6061,47.6826,4915320
2017-01-20,48.1895,48.8589,48.1225,48.5146,5888520
2017-01-23,48.0652,48.3616,47.4149,47.7591,5969486
2017-01-24,47.9504,49.1506,47.8261,48.0747,5919240
2017-01-25,48.2086,48.99,48.1225,48.4764,5991240
2017-01-26,48.419,48.792,48.1417,48.419,4164084
2017-01-27,48.1321,48.2563,47.0515,47.2714,5401143
2017-01-30,46.8698,47.0323,45.1292,45.4066,10483193
2017-01-31,45.7222,46.6594,45.3014,46.6307,7464489
2017-02-01,46.8602,47.0036,45.3683,46.382,10040876
2017-02-02,46.6211,47.1853,45.2182,46.5637,8625117
2017-02-03,46.7167,48.2851,46.6833,48.2277,8414350
2017-02-06,48.2947,48.7537,47.1949,47.9026,8127533
2017-02-07,47.3862,48.0365,46.9367,47.2619,7591584
2017-02-08,46.908,47.9695,46.3916,47.434,8588624
2017-02-09,47.8548,48.1321,47.3192,47.6348,6356981
2017-02-10,48.1011,48.5914,47.8944,48.2069,5996045
2017-02-13,48.1107,48.1107,47.3223,47.7838,6164249
2017-02-14,48.0723,48.2453,47.4281,48.2069,6063387
2017-02-15,47.9088,48.3511,47.4089,47.4569,7461768
2017-02-16,47.6781,47.7358,46.409,46.4763,9689101
2017-02-17,46.3609,46.3801,45.2841,45.6783,10694026
2017-02-21,46.2744,46.6493,45.9763,46.2744,9577221
2017-02-22,45.9571,46.0917,45.2168,45.2841,8007744
2017-02-23,45.9475,46.0148,45.2168,45.4764,7846378
2017-02-24,45.1975,45.659,44.9091,45.2264,6749541
2017-02-27,45.4091,45.8033,45.1543,45.5341,6208296
2017-02-28,45.3514,45.8321,45.1879,45.736,6710562
2017-03-01,46.1494,47.332,46.0148,47.1589,9194533
2017-03-02,46.7455,46.9378,46.0628,46.3513,5955304
2017-03-03,46.3321,46.5724,45.8033,45.9763,5316706
2017-03-06,45.9379,46.5966,45.5148,46.457,6078519
2017-03-07,46.582,46.6397,45.76,45.8802,5652837
2017-03-08,45.5821,45.8225,44.039,44.14,9435487
2017-03-09,43.8515,44.8322,43.7265,44.688,7235876
2017-03-10,45.0726,45.0726,43.7265,43.9092,8455360
2017-03-13,43.9188,44.3851,43.7842,44.0727,6333786
2017-03-14,43.4093,43.4573,42.4863,43.2074,10538326
2017-03-15,43.7169,44.3419,43.1208,44.0727,7573389
2017-03-16,44.1784,44.3515,43.7554,44.0727,6393734
2017-03-17,44.1976,44.5726,43.8804,43.9284,8359693
2017-03-20,43.6496,44.2073,43.3131,44.0919,5754178
2017-03-21,44.2649,44.3899,43.1497,43.4381,6504187
2017-03-22,43.2939,43.5727,42.9093,42.9285,7852167
2017-03-23,42.9285,43.265,42.6401,42.7651,9149363
2017-03-24,42.9189,43.1497,42.2748,42.3997,8797147
2017-03-27,41.8133,42.7266,41.5921,42.5824,6231896
2017-03-28,42.6978,43.7362,42.4959,43.6304,7034758
2017-03-29,43.5823,44.2842,43.2698,44.1784,6040817
2017-03-30,47.4281,48.4665,46.7359,48.0723,40059849
2017-03-31,47.7261,48.1203,47.131,47.9473,13410488
2017-04-03,47.9761,48.005,46.9185,47.5435,7711956
2017-04-04,47.5242,47.8704,47.1541,47.8127,6175883
2017-04-05,48.0819,48.4617,47.0627,47.2166,7490852
2017-04-06,47.4858,48.0434,47.2647,47.8896,6823848
2017-04-07,47.9281,48.0675,47.4762,47.63,5856340
2017-04-10,47.8704,48.5241,47.8123,48.2165,6737361
2017-04-11,48.2165,48.303,47.6588,48.2165,7395200
2017-04-12,48.2069,48.6684,47.3944,47.5339,7622973
2017-04-13,47.6877,47.8656,46.6638,46.7455,8807145
2017-04-17,46.7166,47.1301,46.5916,47.0627,5286622
2017-04-18,46.7359,47.3656,46.5628,46.8128,6046632
2017-04-19,46.8801,47.1781,45.9763,46.1494,6165247
2017-04-20,46.1686,46.8032,46.0436,46.1013,6278788
2017-04-21,46.0148,46.2744,45.4764,45.8994,6056267
2017-04-24,46.1494,46.3321,45.8706,46.0628,5750672
2017-04-25,46.1205,47.0099,45.9571,46.9089,7023235
2017-04-26,46.409,47.6204,46.3801,46.4763,6536870
2017-04-27,45.9859,46.284,45.0532,46.0148,7302663
