date,open,high,low,close,volume
2017-01-03,150.615,150.9338,148.6087,149.7525,2099205
2017-01-04,149.8181,150.465,149.0118,149.7806,2163631
2017-01-05,150.8962,153.1463,150.5962,152.7338,2880900
2017-01-06,152.5088,152.7713,151.065,152.6588,2167715
2017-01-09,152.19,152.3307,150.6806,150.915,2318383
2017-01-10,150.5494,152.2651,150.4837,151.5619,1477863
2017-01-11,151.3838,152.2369,150.3337,151.4494,1378330
2017-01-12,151.2713,151.8432,150.6337,151.7588,1297557
2017-01-13,151.8713,152.0025,151.2713,151.7494,1250214
2017-01-17,151.74,153.9901,151.5713,153.5776,2430482
2017-01-18,153.4276,154.112,152.4338,154.0089,1834736
2017-01-19,153.9245,154.5058,153.3432,153.4745,1980659
2017-01-20,154.1214,154.4776,153.0338,153.9807,1897120
2017-01-23,153.8026,154.0839,152.04,152.8276,1421632
2017-01-24,153.0338,153.587,152.7805,153.4463,1347570
2017-01-25,153.9432,154.4589,153.662,153.887,1299357
2017-01-26,154.0745,154.1682,153.1932,153.8214,1180784
2017-01-27,154.2807,154.2995,150.6712,151.9369,2341141
2017-01-30,151.9088,153.0901,150.5681,153.0526,2149765
2017-01-31,152.3401,153.7557,152.2088,153.7089,1796595
2017-02-01,153.6057,153.7089,151.7025,151.7494,2219682
2017-02-02,156.4183,158.3309,155.7761,157.6465,5816346
2017-02-03,157.2434,158.2934,156.7099,157.8059,3227690
2017-02-06,157.6746,157.6746,156.2965,156.5965,2172824
2017-02-07,157.0652,157.5809,156.1277,157.0559,2732596
2017-02-08,157.46,158.4659,157.46,158.3249,2089921
2017-02-09,158.3531,161.1404,158.0899,160.7126,2606898
2017-02-10,161.3613,161.9441,160.064,161.6903,2070000
2017-02-13,162.1509,162.1509,160.5434,161.6527,2272213
2017-02-14,161.3707,163.232,161.2673,163.2226,2245114
2017-02-15,162.7996,164.5105,162.6869,164.5105,2346540
2017-02-16,164.6045,165.2907,164.0452,165.2155,2206751
2017-02-17,164.9523,165.9206,164.0217,165.3189,2425236
2017-02-21,165.9676,166.3906,165.4505,166.3342,2317024
2017-02-22,166.4564,166.4752,164.5763,165.93,1815426
2017-02-23,165.9394,166.4282,164.7079,165.3095,2600432
2017-02-24,164.7173,167.0581,164.6233,166.917,1684258
2017-02-27,166.7008,167.1897,165.9676,166.9734,2340564
2017-02-28,166.3436,167.2085,164.9617,166.5598,2992097
2017-03-01,166.7384,167.9981,166.5974,167.1991,2352299
2017-03-02,166.8606,167.5657,165.93,167.3119,3190310
2017-03-03,160.4682,161.5869,159.7162,160.0546,10399047
2017-03-06,159.2556,160.1204,156.1534,156.7362,5793596
2017-03-07,156.5576,158.5129,156.5576,156.99,2811856
2017-03-08,156.99,157.3754,156.2004,156.2756,2375904
2017-03-09,156.426,156.7926,155.2227,155.8337,1993723
2017-03-10,156.5106,156.52,155.0911,155.4577,2164241
2017-03-13,154.9689,155.2089,154.4518,154.6869,2127879
2017-03-14,154.3672,155.4107,154.2638,155.3355,1974401
2017-03-15,155.6457,156.5576,154.9501,156.5576,2079730
2017-03-16,156.7832,157.6199,156.2944,157.0464,2726624
2017-03-17,157.9865,158.2591,157.0558,157.7515,3975994
2017-03-20,157.7045,158.2027,156.802,157.4036,1603258
2017-03-21,157.4694,158.6821,156.661,156.7832,2241868
2017-03-22,157.2908,157.9019,157.0276,157.6293,1534161
2017-03-23,157.9301,158.3249,156.4542,156.896,1430521
2017-03-24,157.3378,157.4233,155.7303,156.0688,1410390
2017-03-27,155.6081,156.3508,155.4107,156.191,1212535
2017-03-28,156.1534,157.037,155.2509,156.7738,1446649
2017-03-29,156.3132,157.4412,156.191,157.3942,1216734
2017-03-30,157.272,158.0993,156.7644,157.8267,1034268
2017-03-31,157.5446,158.0852,157.1122,157.6387,1720611
2017-04-03,157.6857,158.2121,156.426,156.708,1547889
2017-04-04,156.614,157.2908,156.1534,157.225,1322382
2017-04-05,157.2626,158.3061,156.7268,156.99,1715970
2017-04-06,159.5094,161.7937,159.1582,159.829,3313816
2017-04-07,159.5282,160.7503,159.2744,160.393,1510007
2017-04-10,159.9982,161.2861,159.6692,160.9571,2002257
2017-04-11,160.5528,161.1639,159.4624,160.4024,1191415
