date,open,high,low,close,volume
2017-01-03,17.4958,17.8372,17.4294,17.7044,4506185
2017-01-04,17.7423,18.1216,17.7139,18.0173,6046588
2017-01-05,17.9225,18.0268,17.7613,17.932,3648582
2017-01-06,17.9604,18.1501,17.7803,18.0932,4649557
2017-01-09,17.9225,18.0363,17.8277,17.8751,3925407
2017-01-10,17.8846,18.0553,17.8466,17.9794,3289499
2017-01-11,17.9225,18.0458,17.5527,17.6191,5322281
2017-01-12,17.5906,17.6759,17.4768,17.5811,3907361
2017-01-13,17.6285,17.8277,17.6285,17.7518,6267679
2017-01-17,17.8561,18.3208,17.8134,18.1122,9026992
2017-01-18,18.188,18.3397,17.8941,17.9509,3881143
2017-01-19,17.9509,17.9604,17.5716,17.638,6316386
2017-01-20,17.7518,18.1122,17.7423,18.0363,5987162
2017-01-23,18.0458,18.0932,17.6949,17.7897,6940024
2017-01-24,17.8087,18.0837,17.6484,18.0173,7578934
2017-01-25,18.1311,18.5578,18.0458,18.5199,10814641
2017-01-26,18.463,18.7854,18.2828,18.5578,10684377
2017-01-27,18.5768,18.6242,18.3208,18.4915,4688010
2017-01-30,18.3966,18.5294,17.7613,17.8751,4702935
2017-01-31,17.8751,18.2544,17.7328,18.207,4376216
2017-02-01,18.1311,18.2544,17.6665,17.9604,5204770
2017-02-02,17.9604,18.4061,17.9415,18.3303,4123664
2017-02-03,18.3966,18.5389,18.2734,18.3966,3290861
2017-02-06,18.3208,18.3966,18.1975,18.2828,6671369
2017-02-07,18.3682,18.6053,18.3682,18.5104,4219868
2017-02-08,18.5104,19.051,18.4535,19.0035,6080410
2017-02-09,17.5432,17.8182,17.1828,17.3725,22629282
2017-02-10,17.4009,17.638,17.3156,17.3346,15835307
2017-02-13,17.3346,17.5432,17.3061,17.4199,8591929
2017-02-14,17.4673,18.2828,17.4673,18.2734,9942333
2017-02-15,18.3872,18.8376,18.3682,18.7475,8111655
2017-02-16,18.8044,18.8803,17.7044,17.7234,7642353
2017-02-17,17.7897,18.0837,17.7044,17.913,4209839
2017-02-21,18.1785,18.354,18.0742,18.1691,4355017
2017-02-22,18.207,18.2734,17.7803,17.8656,4108866
2017-02-23,17.932,18.0458,17.7803,17.8466,3969364
2017-02-24,17.8896,18.0232,17.5459,17.8132,3413149
2017-02-27,17.6891,17.9087,17.608,17.8991,3356582
