date,open,high,low,close,volume
2017-01-03,71.3969,71.9269,70.7798,71.3019,1046417
2017-01-04,71.3652,71.6105,71.1913,71.4127,1129949
2017-01-05,71.2466,71.6817,70.9222,71.389,670043
2017-01-06,71.6026,72.3383,71.2228,71.9981,1004387
2017-01-09,71.8083,72.2078,71.207,71.8241,2422857
2017-01-10,71.9032,72.3858,71.5788,71.7133,769111
2017-01-11,71.6105,72.5835,71.6105,72.4411,1506693
2017-01-12,72.2196,72.4072,71.0839,72.0693,816161
2017-01-13,72.1722,72.8762,72.1247,72.6231,1693080
2017-01-17,72.6073,72.9949,71.6105,71.9111,1519984
2017-01-18,72.093,74.0708,71.832,74.0154,2082017
2017-01-19,73.8968,73.968,73.0107,73.2797,1063499
2017-01-20,73.612,74.4268,73.3351,73.5645,1051280
2017-01-23,73.5408,73.9363,72.3066,73.1373,1290074
2017-01-24,73.4221,74.9489,73.2243,74.6562,1165503
2017-01-25,75.1546,75.8666,74.4031,75.74,2809486
2017-01-26,71.7371,72.6547,70.0837,70.8194,4738887
2017-01-27,70.9618,71.7371,70.9222,71.4048,2461905
2017-01-30,71.1279,72.2592,70.59,72.093,3052094
2017-01-31,72.0298,72.1959,71.033,72.1405,2225716
2017-02-01,73.7812,74.5064,69.7777,70.7712,5760295
2017-02-02,70.5327,75.0727,70.5327,74.4567,4667432
2017-02-03,75.1521,76.4386,74.725,76.1952,3980322
2017-02-06,75.8873,76.225,75.0429,75.7979,3794864
2017-02-07,76.0661,77.9734,75.8177,77.139,3263259
2017-02-08,76.7317,77.6506,76.3691,77.1787,2808129
2017-02-09,77.3973,78.8526,77.129,77.9039,3971827
2017-02-10,77.9536,78.49,77.3178,78.0331,2115397
2017-02-13,78.0331,78.8427,78.0331,78.2615,4205607
2017-02-14,78.0827,78.8377,77.5363,78.4106,2234871
2017-02-15,78.2019,80.01,77.6257,79.6325,2649415
2017-02-16,79.9007,80.2086,78.9371,79.4139,2195346
2017-02-17,79.2252,80.2384,79.1556,79.9702,2056915
2017-02-21,79.9901,80.5663,79.6523,80.2384,2540382
2017-02-22,79.9007,80.3577,79.2848,79.6424,1847174
2017-02-23,79.7914,79.9404,78.788,79.404,1514607
2017-02-24,79.2053,79.6623,78.4099,79.6523,1279848
2017-02-27,79.6027,79.8113,79.0314,79.6325,769778
2017-02-28,78.947,79.2947,78.3907,78.4304,1868485
2017-03-01,79.1954,80.4371,78.7086,80.2384,2369527
2017-03-02,79.8709,79.8709,78.6688,78.8079,2021847
2017-03-03,78.9867,79.5828,78.3609,79.4238,1296239
2017-03-06,79.3742,79.4735,78.5852,79.1357,2189172
2017-03-07,79.1954,79.8609,78.8675,79.3742,1528350
2017-03-08,79.394,80.0497,78.8973,79.394,1169028
2017-03-09,79.3841,79.543,77.9734,78.5099,1668799
2017-03-10,78.8377,79.2649,78.5397,79.0066,1388820
2017-03-13,79.0563,87.4109,78.5298,84.3711,5459013
2017-03-14,83.9538,84.2154,80.5067,81.4802,5427900
2017-03-15,81.1126,82.6723,80.914,81.967,3211466
2017-03-16,82.2253,82.4438,81.3709,82.0266,1546801
2017-03-17,82.4836,82.5233,81.5597,82.1756,2412131
2017-03-20,82.265,82.414,81.4107,81.9471,1246785
2017-03-21,82.1955,82.2849,80.9239,80.9736,2175844
2017-03-22,81.2716,82.1359,80.7948,81.659,1106184
2017-03-23,81.5299,83.5863,81.1921,82.8412,3846168
2017-03-24,83.1194,84.1922,82.3942,82.5928,1474966
2017-03-27,82.1557,83.7949,81.3411,83.02,1885523
2017-03-28,83.4174,83.6459,82.6823,83.4373,1893058
2017-03-29,83.0001,83.2783,81.7882,83.0399,1097374
2017-03-30,82.9107,83.6955,82.9107,83.5565,1074089
2017-03-31,83.0001,83.5648,82.8213,82.8412,1391453
2017-04-03,82.9902,83.5267,82.2451,82.8909,1901826
2017-04-04,82.871,83.4273,82.1259,82.7518,964647
2017-04-05,83.1492,83.7154,82.1508,82.414,1076442
2017-04-06,82.5531,82.7915,81.967,82.5134,1828551
2017-04-07,82.4538,83.0213,82.1955,82.6028,2021201
2017-04-10,82.6524,83.1293,82.3942,82.8909,711047
2017-04-11,82.6922,83.2783,82.2153,83.1293,1329414
2017-04-12,83.1492,83.3379,82.2551,82.4538,584652
2017-04-13,82.5134,83.1293,82.2253,82.414,747144
2017-04-17,82.8213,83.1789,82.4538,82.8909,1187190
2017-04-18,82.8015,83.0796,82.0067,82.573,890271
2017-04-19,82.9803,83.5565,82.5332,82.6823,1756176
2017-04-20,83.1392,83.3776,82.6425,83.1194,1747463
2017-04-21,83.0896,83.2187,82.3147,82.5432,1297129
2017-04-24,83.8744,83.9439,82.7617,83.8147,1614284
2017-04-25,84.1724,84.1724,83.2485,83.4969,1463842
2017-04-26,84.0929,84.1028,82.9505,83.5664,1581279
2017-04-27,84.0432,84.2618,80.0,80.904,3705931
2017-04-28,80.9438,81.1027,79.5729,80.4073,2528427
2017-05-01,80.7053,81.361,80.4769,81.212,1349524
2017-05-02,81.4901,81.4901,80.4967,80.755,1553191
2017-05-03,86.944,87.3712,85.4936,86.4771,4006118
2017-05-04,86.4076,86.5765,85.3645,85.9804,3313421
2017-05-05,86.0499,86.9241,85.7618,86.9043,1634890
2017-05-08,86.6162,86.9043,85.7718,86.6162,1043762
2017-05-09,86.4076,86.6062,85.9307,86.2486,2242960
2017-05-10,86.2884,86.7056,85.9307,86.4175,877023
2017-05-11,85.8215,86.5963,85.6426,86.5367,1236621
2017-05-12,86.5069,86.5069,85.3347,85.3545,1522365
2017-05-15,85.6426,86.1692,85.5681,85.7618,1187892
2017-05-16,86.0897,86.2089,83.2485,84.2717,3462701
2017-05-17,83.4174,83.8247,82.1557,82.1955,2193894
2017-05-18,81.9769,82.4935,81.2617,82.0465,1182019
2017-05-19,82.2352,83.02,81.9571,82.2451,1420425
2017-05-22,82.0961,82.8015,82.0167,82.4041,1487361
2017-05-23,82.573,82.9207,81.4107,81.52,991358
2017-05-24,81.8975,81.8975,81.0231,81.7584,874891
2017-05-25,81.9869,82.8511,81.7584,82.6028,965154
2017-05-26,82.2948,82.4935,81.7087,81.9471,1028926
2017-05-30,81.6392,81.8975,81.1216,81.6094,1821488
2017-05-31,81.9074,82.0564,80.7948,81.9968,1773943
2017-06-01,82.1955,82.4836,81.6094,82.3147,2646316
2017-06-02,82.4538,82.9405,81.9869,82.8809,1648547
2017-06-05,83.0001,83.4571,82.7617,82.7717,1009433
2017-06-06,82.5531,83.0598,82.0167,82.3048,974202
2017-06-07,82.275,82.7915,82.0266,82.722,965087
2017-06-08,82.6028,82.8511,82.1955,82.6624,941409
2017-06-09,82.722,82.722,77.3178,77.8046,2886721
2017-06-12,76.8906,80.4471,76.7148,80.3179,3030974
2017-06-13,80.5663,80.8246,79.7318,80.2186,1593389
2017-06-14,80.4272,80.6954,78.6092,79.4437,1011966
2017-06-15,78.649,79.0165,77.745,78.7384,1430583
2017-06-16,78.6688,79.4139,78.3013,79.394,3030714
2017-06-19,79.6722,81.1921,79.1556,80.8742,1437172
2017-06-20,80.6457,80.8842,79.6821,79.8212,838784
2017-06-21,80.149,80.7053,80.0199,80.149,920126
2017-06-22,80.149,80.9636,79.5132,80.6457,966221
2017-06-23,80.7948,81.5498,80.1192,80.8742,1413580
2017-06-26,80.9239,82.0365,80.4868,80.7352,763934
2017-06-27,80.5861,80.7352,79.7815,79.9305,700778
2017-06-28,80.308,80.8047,79.1954,80.6954,783771
2017-06-29,80.4868,80.606,78.1026,78.9867,1080356
2017-06-30,79.3841,79.6225,78.4304,79.0563,936176
2017-07-03,79.4437,79.8907,78.1721,78.2615,457779
2017-07-05,78.4602,79.4238,77.9536,78.8775,1346673
2017-07-06,78.2913,79.0066,77.9734,78.1523,676292
2017-07-07,78.4106,79.1258,78.4106,78.7483,908969
2017-07-10,78.7682,79.8013,78.3106,79.404,826902
2017-07-11,77.4867,79.0265,76.5926,78.043,2574848
2017-07-12,78.8775,79.9404,78.49,79.9007,1135618
2017-07-13,80.0199,80.1093,78.7682,79.8411,1290056
2017-07-14,80.1192,80.5365,79.2848,80.457,1310497
2017-07-17,80.457,81.1126,80.0298,80.8941,1384257
2017-07-18,80.7153,81.0729,79.8312,80.6755,866658
2017-07-19,80.7053,82.3147,80.4272,82.2352,1370830
2017-07-20,82.275,82.4538,81.5696,82.0365,1258642
2017-07-21,81.6392,82.116,81.1425,81.3213,576803
2017-07-24,81.2219,81.2815,80.6358,81.0431,714095
2017-07-25,81.053,81.7782,80.9835,81.2517,829833
2017-07-26,81.4603,81.4603,80.7053,80.9835,767897
2017-07-27,81.2617,81.2617,77.9536,79.2152,1196596
2017-07-28,78.8079,79.6374,78.5397,79.1854,854739
2017-07-31,79.4636,79.4636,77.735,78.4602,1523024
2017-08-01,78.6688,79.1457,78.2913,79.0861,1281276
