date,open,high,low,close,volume
2017-01-03,135.1082,136.5566,133.1804,136.5067,1476013
2017-01-04,136.1271,136.7364,134.3491,135.5178,1179725
2017-01-05,135.6177,137.2259,133.8596,134.9884,999755
2017-01-06,135.5677,136.6565,134.3191,135.4479,817162
2017-01-09,134.2192,135.8773,133.6898,134.5189,1213830
2017-01-10,134.6687,135.4479,133.2403,133.54,1066204
2017-01-11,133.7697,135.2181,131.9218,135.0683,1243948
2017-01-12,136.4967,137.3257,133.6599,134.2392,1047692
2017-01-13,132.9607,135.1582,132.8907,134.6088,1257851
2017-01-17,136.4767,137.8552,133.8297,135.2681,1187216
2017-01-18,133.7398,135.8874,133.55,135.5278,868265
2017-01-19,134.9784,135.9273,133.6249,134.3291,854149
2017-01-20,136.0472,140.0627,135.5378,135.9972,1651478
2017-01-23,134.9784,137.2758,134.9784,135.8374,1641934
2017-01-24,136.6765,139.5832,136.227,138.884,1406089
2017-01-25,141.4911,144.7075,140.8917,142.9594,1777356
2017-01-26,143.5987,145.4366,142.7796,144.2979,1264230
2017-01-27,143.289,144.5676,142.5199,143.8784,1030058
2017-01-30,143.4389,143.4389,136.4268,138.6243,1999225
2017-01-31,138.9439,139.3734,137.7653,139.2835,1032279
2017-02-01,140.622,141.7608,136.9162,139.6631,1113270
2017-02-02,139.6032,140.3623,137.116,139.8929,998115
2017-02-03,139.8929,143.0593,139.763,142.5399,1140553
2017-02-06,142.8695,143.0293,139.4234,141.4211,1303109
2017-02-07,140.1726,141.1415,132.9207,134.8485,2758178
2017-02-08,133.2303,135.358,130.3036,135.2381,1729014
2017-02-09,137.5155,140.4922,136.5266,139.7031,2096831
2017-02-10,141.4811,143.2491,140.1226,142.9494,1521676
2017-02-13,142.3901,143.1282,140.8218,142.0904,684593
2017-02-14,142.5898,144.1681,140.702,144.0981,698107
2017-02-15,144.0882,144.0882,142.0904,142.6598,1227847
2017-02-16,142.8096,143.1892,139.753,140.0327,1009015
