date,open,high,low,close,volume
2017-01-03,46.8495,47.5802,46.6597,46.9539,5423224
2017-01-04,47.5327,48.3298,47.4378,48.1116,7898583
2017-01-05,47.8364,48.0973,46.9728,47.1911,5806193
2017-01-06,47.248,47.732,46.7071,47.1437,6922698
2017-01-09,46.9349,47.6086,46.8969,47.1531,5332927
2017-01-10,47.3809,48.7284,47.3145,48.3298,8440461
2017-01-11,48.8328,49.0984,48.0641,48.8138,10001564
2017-01-12,48.681,49.3452,47.1342,48.2919,14284750
2017-01-13,48.197,49.0036,48.1875,48.6145,7380552
2017-01-17,48.3868,48.605,47.6276,47.7605,7477487
2017-01-18,47.5802,48.2065,47.2433,47.732,7076494
2017-01-19,47.713,47.9218,47.0867,47.1626,7012738
2017-01-20,47.2291,47.9598,47.1721,47.9218,7722376
2017-01-23,47.713,47.8554,46.2801,46.2801,8753052
2017-01-24,46.413,47.2196,46.3276,46.9159,6398060
2017-01-25,47.4378,47.8544,47.267,47.6276,8096311
2017-01-26,48.1021,48.9087,47.9787,48.3014,8905600
2017-01-27,48.3963,48.5101,47.0393,47.1626,6850441
2017-01-30,46.4509,46.4509,45.1129,45.2363,12745604
2017-01-31,45.3501,45.3881,44.1924,44.8282,12533828
2017-02-01,45.056,45.3312,44.6384,44.8472,8377490
2017-02-02,44.2114,45.2268,44.107,44.9611,8795723
2017-02-03,45.0939,45.5494,44.9896,45.3691,5632317
2017-02-06,45.725,46.1947,45.483,45.7962,7169217
2017-02-07,45.967,46.4367,45.6253,45.6918,7262909
2017-02-08,45.7962,45.8341,45.2968,45.6443,5342581
2017-02-09,45.7962,47.0203,45.6728,46.8115,7274696
2017-02-10,47.0203,47.0368,46.5174,46.7451,5322586
2017-02-13,46.8495,47.8459,46.7641,47.5043,6565871
2017-02-14,47.2765,47.4331,46.5885,47.3145,7024566
2017-02-15,48.3488,49.3073,47.9503,48.5576,12704974
2017-02-16,48.5481,48.5576,48.0025,48.2349,6626729
2017-02-17,48.0072,48.6145,47.6276,48.6145,5427990
2017-02-21,48.681,48.8992,48.3678,48.5955,6406538
2017-02-22,48.5884,48.7218,48.093,48.5217,4345077
2017-02-23,48.7027,49.0552,47.8167,48.093,6470866
2017-02-24,47.9977,48.1311,47.5213,48.0739,8154722
2017-02-27,47.9501,48.0739,47.4737,48.0549,7574234
2017-02-28,48.112,48.2073,47.5023,47.569,6950167
