date,open,high,low,close,volume
2017-01-03,99.3547,100.3992,99.1343,99.7093,3379330
2017-01-04,99.9872,102.0571,99.7572,101.4054,4439027
2017-01-05,101.2329,101.8175,100.658,100.955,2328328
2017-01-06,101.3863,102.2966,101.0125,102.0475,2633695
2017-01-09,101.5204,101.875,100.4759,100.8017,2195058
2017-01-10,100.6196,100.955,100.2651,100.5142,1745437
2017-01-11,100.7155,101.415,100.5909,101.3,1235310
2017-01-12,100.773,101.0317,99.6518,100.7825,2165962
2017-01-13,101.1563,101.5779,100.5813,101.3767,1360588
2017-01-17,101.3,101.3,99.7572,99.9872,2439353
2017-01-18,100.5813,101.2425,100.0926,100.8496,1941283
2017-01-19,101.0317,101.2904,100.543,100.6388,1526117
2017-01-20,101.07,102.5649,100.658,102.287,2843948
2017-01-23,102.335,102.8237,102.0091,102.6512,2073146
2017-01-24,101.9325,103.4945,101.9325,103.1782,2277777
2017-01-25,103.322,103.9449,103.092,103.552,2181239
2017-01-26,103.4466,103.5711,102.4691,103.1399,1560426
2017-01-27,103.3028,103.4849,102.632,103.4849,1220679
2017-01-30,103.2357,103.2357,102.0091,102.5937,2420696
2017-01-31,101.875,102.6799,101.2329,102.5841,1645836
2017-02-01,102.8237,103.3555,102.2008,102.6799,1375056
2017-02-02,102.6799,103.092,102.172,102.9483,1168062
2017-02-03,103.0249,103.5663,102.8045,103.4849,1895127
2017-02-06,103.2645,103.6382,102.9674,103.552,2022266
2017-02-07,103.964,104.3569,103.5616,104.2228,1755861
2017-02-08,103.7628,104.0215,103.2549,103.8874,1605864
2017-02-09,103.8874,104.6348,103.5831,104.5678,2715526
2017-02-10,104.6923,105.7848,104.5989,105.641,2757834
2017-02-13,105.3823,107.5,104.9511,106.1298,2704154
2017-02-14,105.296,105.8135,104.5103,105.459,3521051
2017-02-15,104.5294,105.0948,103.7915,104.5678,5231910
2017-02-16,104.5965,104.8361,103.4561,104.6157,4757882
2017-02-17,107.1072,107.4809,103.2837,105.6698,6717785
2017-02-21,105.641,105.6698,104.0215,105.0373,3355005
2017-02-22,104.2611,105.3344,104.1653,105.0756,4206266
2017-02-23,104.9798,105.1236,102.2679,103.2357,4170699
2017-02-24,102.7949,104.1365,102.6129,104.0886,2166411
2017-02-27,104.1174,105.1619,104.0311,104.9415,1835218
2017-02-28,104.3665,106.0052,104.3665,104.9223,2812507
2017-03-01,106.101,107.1168,106.0914,106.5801,2859796
2017-03-02,106.1489,106.5897,104.8169,104.9702,2349226
2017-03-03,104.8552,106.3789,104.3186,106.2064,1886960
2017-03-06,105.3248,106.4268,105.1331,106.216,1689521
2017-03-07,106.2064,106.3214,105.4302,105.641,1640003
2017-03-08,105.8327,106.6664,105.5548,105.8614,1892681
2017-03-09,105.9285,106.2735,104.2707,105.0086,2125623
2017-03-10,105.2481,105.411,104.3378,105.3344,1876871
2017-03-13,105.5739,106.0531,104.7882,105.296,1450694
2017-03-14,104.7402,105.0181,104.1078,104.654,1504073
2017-03-15,105.0181,106.676,104.6157,106.1681,2579993
2017-03-16,106.561,106.6281,105.8135,106.1106,1378887
2017-03-17,106.1202,106.4747,105.6314,105.8423,4122211
2017-03-20,105.8519,106.5514,105.3152,106.2543,1360231
2017-03-21,106.6185,106.8341,104.5869,105.0373,2261840
2017-03-22,105.1236,105.641,104.5486,105.1906,1650598
2017-03-23,105.2769,106.0914,104.7056,104.9606,1046453
2017-03-24,104.9606,105.641,103.8204,104.4336,1844661
2017-03-27,103.1207,103.4849,102.4691,102.6895,3473250
2017-03-28,102.8333,104.0072,102.8333,103.8107,1864891
2017-03-29,103.7337,104.3899,103.4542,104.2444,1614993
2017-03-30,104.3889,105.4489,104.3118,105.1984,1091475
2017-03-31,104.8418,105.8729,104.4371,104.8996,2257904
2017-04-03,105.0056,105.2851,104.042,104.8225,1642311
2017-04-04,104.9671,105.6416,104.5527,105.5164,1266755
2017-04-05,105.9982,107.0003,104.9671,105.2755,1322828
2017-04-06,105.632,106.8558,105.2273,106.4222,1616506
2017-04-07,106.3643,106.8076,105.314,105.3429,1334656
2017-04-10,105.4682,106.2005,105.208,105.6416,1040235
2017-04-11,106.0174,107.328,105.3911,107.116,2846708
2017-04-12,106.9521,107.1535,105.3044,105.3718,2088243
2017-04-13,105.1309,105.5838,104.0324,104.0709,2341231
2017-04-17,104.4467,105.0249,103.83,104.8418,1981443
2017-04-18,104.0902,104.9189,103.9071,104.5238,1690470
2017-04-19,104.8418,105.0249,103.9649,104.2829,1458192
2017-04-20,104.0709,105.1791,103.3578,104.8418,2014014
2017-04-21,105.0731,105.4874,103.1458,103.6277,2025129
2017-04-24,105.0442,106.5667,104.9767,106.2391,2711428
2017-04-25,107.617,109.9779,107.511,109.0336,3326137
2017-04-26,108.9757,109.6406,108.4072,108.4554,2208070
2017-04-27,108.4072,108.5807,106.5185,107.1352,2635255
2017-04-28,106.9618,107.7857,105.844,107.5496,2297713
2017-05-01,108.1663,108.6867,107.858,107.8965,1808433
2017-05-02,108.1952,108.8341,106.4029,106.8943,2653322
2017-05-03,106.3258,106.9618,105.7958,106.7594,2013417
2017-05-04,106.9811,108.0121,106.4029,107.9543,3691016
2017-05-05,107.54,109.0239,107.328,108.995,1505807
2017-05-08,108.8312,109.0143,108.1374,108.5421,1460398
2017-05-09,108.8505,109.8912,108.7348,109.4479,2059747
2017-05-10,109.3708,110.0165,109.207,109.419,2164879
2017-05-11,109.3227,109.9779,108.2049,109.3419,1627000
2017-05-12,108.9276,109.0625,108.2819,108.995,1421436
2017-05-15,109.4865,109.8237,109.1492,109.6599,2527912
2017-05-16,109.949,110.7777,109.6844,110.6235,3202713
2017-05-17,109.6599,110.2959,108.9372,109.1107,2769947
2017-05-18,108.1085,109.3901,107.0774,108.571,3278675
2017-05-19,115.9909,117.7929,114.6707,116.5016,11097657
2017-05-22,117.6387,118.0434,115.7493,117.2822,4423486
2017-05-23,117.4267,118.188,116.6269,117.6869,3719482
2017-05-24,117.5231,118.3518,117.3592,118.3132,1990995
2017-05-25,118.5252,118.9396,117.6194,117.976,2792232
2017-05-26,118.3325,119.0938,117.9074,118.3229,2132381
2017-05-30,117.5616,118.1831,117.4171,117.8121,3261639
2017-05-31,118.5734,118.7276,117.6676,118.0049,2341910
2017-06-01,120.6934,121.3968,119.6045,120.1634,4197964
2017-06-02,121.3101,121.4161,119.9128,120.3657,2429048
2017-06-05,120.0959,121.8353,120.0959,120.7705,2098404
2017-06-06,120.2597,121.1752,120.1056,120.5006,2051273
2017-06-07,120.5006,121.0971,120.2501,120.7319,2144807
2017-06-08,120.9343,121.6955,120.6066,121.4161,2267000
2017-06-09,121.6763,122.4182,120.7608,121.3679,2395422
2017-06-12,121.3101,121.8015,119.8647,121.4161,1997577
2017-06-13,121.4161,122.0424,121.4161,121.8208,1171671
2017-06-14,121.8208,121.9461,121.3583,121.8304,1836723
2017-06-15,121.127,121.9461,120.8429,121.7726,3859925
2017-06-16,121.975,123.5457,121.9237,123.247,4207141
2017-06-19,123.6999,123.6999,121.8979,122.3701,2089823
2017-06-20,122.0232,122.4568,121.4546,121.4546,2204298
2017-06-21,121.7052,121.8015,119.6141,120.2405,1850730
2017-06-22,120.4332,120.7126,119.0167,119.3539,1979902
2017-06-23,119.3058,119.9417,118.8625,119.1034,7209789
2017-06-26,119.6527,119.9899,117.7929,118.8625,1714428
2017-06-27,119.431,119.7442,117.5038,117.5616,1466351
2017-06-28,118.3944,119.7598,117.6681,119.5661,2375125
2017-06-29,119.479,119.5127,117.0968,118.0555,1817760
2017-06-30,118.714,120.4086,118.3944,119.6824,2305572
2017-07-03,120.2634,121.532,119.876,120.9994,1681918
2017-07-05,120.8057,121.8903,120.1859,121.6288,2293031
2017-07-06,121.3286,121.5029,120.7476,121.1349,1851906
2017-07-07,121.1737,122.8102,121.0962,122.6359,1584569
2017-07-10,122.7037,124.4371,122.665,124.0885,3103879
2017-07-11,123.9626,124.7276,123.2944,124.011,1834768
2017-07-12,124.7276,124.9213,119.5565,119.5758,4848240
2017-07-13,119.6824,121.0962,119.3531,120.4861,2894814
2017-07-14,120.5829,121.8031,120.3409,121.5029,1776971
2017-07-17,121.4932,122.0355,121.0575,121.8999,1573384
2017-07-18,121.9096,122.4422,121.377,122.1033,1869390
2017-07-19,122.3551,122.7328,121.8709,122.3164,1474278
2017-07-20,122.2583,122.7134,121.3867,121.6288,2074141
2017-07-21,120.796,122.113,120.6701,121.7741,1455787
2017-07-24,121.9387,122.6456,121.7256,122.5488,1291182
2017-07-25,123.8851,124.6792,122.8005,123.8561,2127964
2017-07-26,124.0013,124.1272,122.9845,123.7786,1959293
2017-07-27,124.0885,124.4662,123.2944,124.379,1472945
2017-07-28,124.379,124.9407,124.011,124.8341,1261212
2017-07-31,124.8438,125.4442,124.0982,124.2241,1281264
2017-08-01,125.512,125.8413,125.023,125.6476,1212492
2017-08-02,124.9697,125.3183,124.2434,124.9019,1512955
2017-08-03,124.8632,125.5604,124.7664,125.4152,1657569
2017-08-04,125.512,125.8413,125.023,125.6476,1214842
2017-08-07,126.064,126.3739,125.5604,125.8509,1535249
2017-08-08,125.6476,128.0395,125.6476,127.8458,3955080
2017-08-09,127.1486,128.3106,127.0324,128.2235,1394165
2017-08-10,128.0782,128.0782,123.7011,123.7399,2991505
2017-08-11,123.8851,124.4468,122.4907,122.694,2305693
2017-08-14,124.0594,125.0849,123.8367,124.5049,2146499
2017-08-15,122.7812,124.0304,122.142,123.1588,2158282
2017-08-16,123.7689,123.9336,122.481,122.6262,1919387
2017-08-17,122.4907,123.0233,119.692,120.06,4123346
2017-08-18,111.7804,114.6661,109.3013,113.6009,11364628
2017-08-21,113.7559,114.6468,112.3614,112.8359,4809147
2017-08-22,113.2717,113.8043,112.71,113.7655,3052646
2017-08-23,113.3491,113.4266,112.2839,112.7681,2778190
2017-08-24,112.9521,112.9521,111.5964,111.79,2738712
2017-08-25,112.4098,112.5841,111.4221,112.1774,1861059
2017-08-28,112.7584,112.8456,111.4705,112.2936,1471488
2017-08-29,111.364,112.2742,110.9088,112.2258,2578263
2017-08-30,111.7707,111.9837,111.3252,111.8385,1809757
2017-08-31,112.2839,112.7584,111.393,112.2645,2067730
2017-09-01,112.313,112.9715,111.761,112.4679,1815454
2017-09-05,112.3517,113.446,111.6545,111.8772,3236047
2017-09-06,112.1871,113.0974,111.4898,112.5454,3147915
2017-09-07,112.5163,113.0683,111.1315,112.6519,2881397
2017-09-08,112.4873,114.1916,112.2355,113.5912,3000624
2017-09-11,114.7242,114.8404,113.2717,114.2013,2759642
2017-09-12,114.763,115.4796,113.0586,113.5525,3726260
2017-09-13,113.4557,114.2255,113.0296,113.659,2562119
2017-09-14,113.659,114.976,113.446,114.6274,1802755
2017-09-15,115.2956,115.6733,114.6274,115.2472,6627120
2017-09-18,115.2375,116.2591,115.1213,116.0993,2009696
2017-09-19,116.2059,119.4664,116.109,119.1885,3947014
2017-09-20,119.2078,120.1859,119.0239,120.031,2173347
2017-09-21,119.8954,120.8928,119.6049,120.8347,1742351
2017-09-22,120.6411,120.8718,119.3822,119.8373,1864332
2017-09-25,119.7695,119.9922,119.2175,119.8567,1605232
2017-09-26,120.0794,120.4958,119.2853,119.3822,1057917
2017-09-27,119.5952,119.9826,118.8205,119.4209,2517755
2017-09-28,119.596,120.8902,119.0997,120.3356,2861093
2017-09-29,120.6664,122.2623,120.4718,122.2137,3093371
2017-10-02,122.3207,123.8874,121.7174,123.868,2628082
2017-10-03,123.7804,124.8411,123.5663,124.6562,1589970
2017-10-04,124.4713,125.099,123.6052,124.88,1400341
2017-10-05,124.7827,124.9773,124.1891,124.5686,1415717
2017-10-06,124.1891,124.8606,123.8485,124.6854,1496643
2017-10-09,124.773,125.2595,124.3069,125.1817,988102
2017-10-10,125.5126,125.5126,124.52,124.8022,1123237
2017-10-11,124.5686,124.7827,123.5177,124.3351,1867981
2017-10-12,124.1697,125.8045,123.9166,125.0455,2751508
2017-10-13,125.5515,125.5515,123.9557,124.4713,2023197
2017-10-16,124.8508,125.1622,124.2767,124.2864,1249294
2017-10-17,124.3448,125.7461,124.3448,125.2303,1777132
2017-10-18,125.0746,125.8434,124.8119,125.2595,1701007
2017-10-19,124.7924,125.133,124.1015,125.0649,1637603
2017-10-20,125.532,125.6974,124.6854,125.678,1384854
2017-10-23,125.8045,126.7095,125.1914,126.1062,1337398
2017-10-24,127.9648,128.8017,126.7776,127.4977,3153842
2017-10-25,127.8675,128.101,125.8629,127.1279,1385983
2017-10-26,127.3907,129.2104,127.0306,128.5876,1786944
2017-10-27,128.3541,129.7261,127.7994,129.6678,1658273
2017-10-30,129.298,130.164,128.7433,128.7433,2708141
2017-10-31,129.7067,129.9013,128.6363,129.3077,1319766
2017-11-01,130.2711,131.108,129.6678,130.6603,1558039
2017-11-02,130.4657,131.4096,129.5977,130.8258,1640974
2017-11-03,130.9717,131.3999,130.5825,131.3999,1056453
2017-11-06,131.3804,132.1784,131.0399,131.6724,2432005
2017-11-07,131.8962,133.0153,131.8962,132.0616,1234168
2017-11-08,132.1005,132.2271,130.9036,131.0204,1271210
2017-11-09,130.3976,130.5922,127.2544,127.7507,2726826
2017-11-10,128.0718,128.9768,127.6923,128.6752,2990768
2017-11-13,127.9648,129.5996,127.5999,128.3638,1820334
2017-11-14,128.5,129.4245,128.0329,129.3077,1591348
2017-11-15,128.7336,129.4418,127.8286,128.7141,1764781
2017-11-16,129.2007,131.6335,129.0644,130.9912,2065882
2017-11-17,130.4073,132.8401,130.164,132.12,1964978
2017-11-20,132.519,134.1149,132.4801,133.2391,2564504
2017-11-21,134.835,136.5856,134.2414,135.487,5917249
2017-11-22,141.6176,142.075,138.5328,141.3452,8094239
2017-11-24,142.2015,143.9336,141.5787,141.5884,1964901
2017-11-27,141.8317,144.8289,141.4133,144.7705,3880838
2017-11-28,144.0699,145.7826,143.2622,145.3641,3992815
2017-11-29,144.9165,145.188,143.2135,144.4494,2421766
2017-11-30,144.9457,146.6973,144.0212,145.8312,3726437
2017-12-01,146.2107,146.4443,142.98,145.9091,2022456
2017-12-04,147.904,148.5754,146.8627,146.9114,1893832
2017-12-05,147.5634,148.4392,146.2205,146.6194,1802567
2017-12-06,146.4832,147.3104,145.4031,145.4322,1411075
2017-12-07,145.15,147.4077,144.9943,147.0476,1434488
2017-12-08,147.7288,148.3613,146.9892,147.505,1083971
2017-12-11,146.746,147.505,146.5124,147.2617,1537230
2017-12-12,147.1741,147.6315,146.347,147.0087,1699151
2017-12-13,147.6023,149.2177,147.1936,147.865,1608179
2017-12-14,148.3029,148.4781,145.296,145.4225,1420699
2017-12-15,147.0768,147.9137,146.5027,146.8141,2555876
2017-12-18,148.6338,150.5119,148.3224,149.8988,1985094
2017-12-19,150.3368,150.8136,147.9332,150.327,1841190
2017-12-20,150.5703,151.0666,149.8599,150.22,1430579
2017-12-21,150.6579,152.0981,150.1032,151.6699,2315635
2017-12-22,151.6797,153.8497,150.9401,153.295,1714713
2017-12-26,153.7037,154.492,152.5944,154.4822,2407159
2017-12-27,154.3557,154.8228,153.9665,154.3168,1781505
2017-12-28,154.8053,154.9811,153.6526,154.0434,1237573
2017-12-29,154.2876,154.3266,152.8419,152.8809,1258214
2018-01-02,153.0372,154.395,152.92,154.3462,1897594
2018-01-03,154.2289,155.4109,153.9847,155.0495,1392277
2018-01-04,155.5086,156.3926,153.7015,155.9384,1747032
2018-01-05,156.0947,156.7491,152.9591,156.6026,1574438
2018-01-08,156.3389,157.4427,155.2155,157.3743,2711764
2018-01-09,158.2534,162.1314,157.7748,161.7602,4345247
2018-01-10,162.8737,164.5343,160.295,161.1155,5473728
2018-01-11,161.3011,163.665,159.9726,163.577,1958155
2018-01-12,164.5441,166.7712,164.0655,165.3744,2317251
2018-01-16,166.2047,166.654,162.5026,163.6552,2046074
2018-01-17,164.6906,164.7297,162.5319,163.5477,1960392
2018-01-18,163.0886,164.5441,162.4049,164.0068,2185930
2018-01-19,164.6222,166.3707,164.1924,166.3707,1613861
2018-01-22,166.0582,166.4489,164.8029,166.4293,1401045
2018-01-23,165.9605,166.1461,164.5246,164.7492,1365034
2018-01-24,165.7749,166.4782,164.1631,165.6674,1448670
2018-01-25,167.035,167.4257,163.0425,165.2083,1651278
2018-01-26,165.5697,167.9727,165.2181,167.5136,1554515
2018-01-29,167.5136,167.9629,164.8469,165.2572,1487645
2018-01-30,163.8603,165.4721,162.9519,164.6027,1712703
2018-01-31,165.4916,166.6198,162.3072,162.5612,1969831
2018-02-01,162.1411,164.4855,160.4512,163.958,1721318
2018-02-02,162.7956,164.0361,160.9006,161.135,2568696
2018-02-05,159.3181,162.2095,153.3303,153.3791,3549609
2018-02-06,150.3803,158.4976,147.9383,158.1264,3377384
2018-02-07,157.4329,160.3536,157.1789,157.6966,2378814
2018-02-08,157.4622,157.4817,150.0482,150.097,3051313
2018-02-09,151.8065,153.5061,145.1544,151.3376,3895342
2018-02-12,153.1056,156.6417,152.2949,155.5183,2343108
2018-02-13,154.3559,157.8627,153.9066,157.5599,1795898
2018-02-14,156.251,161.0569,156.0556,159.494,2853962
2018-02-15,161.1741,163.537,159.2117,162.9421,3026210
2018-02-16,161.9116,171.1962,158.2534,165.5111,6626872
2018-02-20,165.1204,166.0191,159.8505,160.9494,3750423
2018-02-21,160.9787,162.9128,158.2143,158.3316,2753281
2018-02-22,159.2205,161.9555,158.986,160.3536,1908817
2018-02-23,161.1936,162.4049,159.0935,162.3853,2038824
2018-02-26,163.1766,164.4073,161.7895,163.577,1770001
2018-02-27,163.6454,163.6454,159.787,159.787,2281832
2018-02-28,160.1191,161.0959,157.1398,157.1398,2781390
2018-03-01,157.0226,159.0739,152.1288,153.174,3697016
2018-03-02,151.9432,152.6367,148.2557,149.7551,4169468
2018-03-05,149.003,154.5708,147.5378,153.8871,3093424
2018-03-06,154.9225,155.87,153.8089,154.8346,2393992
2018-03-07,152.4218,154.649,151.3864,154.2387,2589069
2018-03-08,154.0336,157.6087,152.1093,157.3254,3508011
2018-03-09,158.2436,164.1143,157.9799,164.0361,3828040
2018-03-12,164.0655,164.1534,159.0251,160.2266,2260882
2018-03-13,161.135,162.4537,156.9445,157.5794,2732314
2018-03-14,158.6539,158.7311,155.2155,156.4952,2243023
2018-03-15,157.1887,157.9262,155.4597,155.8993,1320744
2018-03-16,156.0165,160.1777,155.6746,160.0801,3818654
2018-03-19,158.8786,159.1521,154.1703,155.8309,2798593
2018-03-20,156.4854,158.2925,155.489,156.2803,1499440
2018-03-21,155.2058,156.7198,152.119,154.3852,2901505
2018-03-22,150.1752,152.7442,147.7038,148.0653,3768818
2018-03-23,148.2411,150.1654,144.1775,144.5683,2940618
2018-03-26,147.8797,150.1166,145.4474,149.7845,2463843
2018-03-27,150.6636,153.3498,147.401,148.6318,2691447
2018-03-28,148.5533,150.6618,145.9153,148.5533,2654959
2018-03-29,149.4555,152.8193,148.5926,152.3191,3526734
2018-04-02,151.3973,151.8876,146.4056,148.8868,2150559
2018-04-03,149.7399,150.2499,146.8666,150.0832,1957437
2018-04-04,142.5123,146.2782,140.7962,145.6995,4478077
2018-04-05,147.0235,150.2695,146.4253,148.416,2963361
2018-04-06,146.4449,146.9058,140.2666,142.581,3294018
2018-04-09,143.8363,144.5914,139.9724,140.1979,3629628
2018-04-10,143.2282,146.6018,142.6251,145.1504,2611931
2018-04-11,142.4633,143.3557,141.463,141.6199,2309017
2018-04-12,142.836,148.2591,142.836,147.3569,3258099
2018-04-13,148.7789,149.0584,146.1016,147.0823,2634925
2018-04-16,148.2493,148.3572,145.425,146.1016,2608093
2018-04-17,147.7786,149.2104,146.2683,146.2683,1957825
2018-04-18,147.6805,148.7789,146.5233,146.8764,2022003
