date,open,high,low,close,volume
2017-01-03,88.2961,88.8577,87.6012,88.001,1011157
2017-01-04,88.4389,88.8768,88.0582,88.5912,921635
2017-01-05,88.239,88.5531,87.4489,88.2295,1088985
2017-01-06,88.1147,88.6791,87.9904,88.0191,784775
2017-01-09,88.0573,88.6504,87.5982,88.4112,954827
2017-01-10,88.2486,89.0138,87.7991,88.9565,1038595
2017-01-11,89.033,89.7599,88.4208,89.2147,720506
2017-01-12,88.8991,89.1286,88.3347,89.0712,686142
2017-01-13,89.2338,89.6069,88.4112,88.6695,663245
2017-01-17,88.5643,88.6312,87.7034,88.2486,768273
2017-01-18,88.6791,89.3104,88.1434,88.9182,804058
2017-01-19,88.6791,88.9852,87.4834,87.5504,1257924
2017-01-20,87.6747,87.7943,86.5365,87.0434,1167722
2017-01-23,87.0912,87.2443,86.5652,87.1104,1207771
2017-01-24,87.4452,87.4738,86.9573,87.3686,929135
2017-01-25,87.4738,88.4181,87.4069,87.8851,1008023
2017-01-26,87.6269,91.0034,86.6178,88.8512,1672378
2017-01-27,89.4538,89.5112,88.1434,88.6886,1374688
2017-01-30,88.5452,88.5452,86.2112,86.6034,1093807
2017-01-31,86.7373,87.9521,86.3165,87.9234,1384275
2017-02-01,88.1243,88.5738,87.9617,88.526,1266726
2017-02-02,88.2869,88.9469,87.933,88.4591,1050358
2017-02-03,88.9086,89.3678,88.373,89.253,746131
2017-02-06,89.2338,89.2338,88.3443,88.746,743704
2017-02-07,88.5834,88.9182,88.086,88.593,817514
2017-02-08,88.5643,89.2051,88.306,89.0043,623835
2017-02-09,89.0234,89.9417,88.6982,89.693,760070
2017-02-10,89.7599,90.1234,89.3869,89.4921,878015
2017-02-13,89.5399,89.9991,89.5399,89.8747,650609
2017-02-14,89.6834,90.5537,89.6834,90.4965,766077
2017-02-15,90.1617,91.3573,90.1617,91.2425,1077407
2017-02-16,91.4243,92.2565,90.7738,91.1565,761688
2017-02-17,90.6782,91.5008,90.4486,91.4817,978685
2017-02-21,91.3286,92.046,91.2138,91.7017,638271
2017-02-22,91.386,91.7878,91.1947,91.4434,781738
2017-02-23,91.5391,91.9025,91.1278,91.453,705238
2017-02-24,91.5582,93.1125,91.3382,93.0791,807147
2017-02-27,93.1556,93.366,92.926,93.2321,516491
2017-02-28,92.9738,93.5765,92.9021,93.2034,694944
2017-03-01,93.5191,94.4565,93.2417,94.1217,836951
2017-03-02,93.9782,94.3178,93.5913,93.9973,608841
2017-03-03,94.0165,94.3608,93.7391,94.2365,510090
2017-03-06,93.7964,94.313,93.5286,94.093,688615
2017-03-07,93.6912,94.3034,93.3086,93.9017,689678
2017-03-08,93.6912,94.2843,93.5669,93.6625,601208
2017-03-09,93.7486,94.313,93.3565,93.9304,507815
2017-03-10,93.8634,94.6573,93.7582,94.4851,549082
2017-03-13,94.6382,94.6669,93.8634,94.4947,612159
2017-03-14,94.6956,95.1308,93.9209,94.3704,829142
2017-03-15,94.5712,95.4943,94.2556,95.4034,909718
2017-03-16,95.4799,95.6521,94.1217,94.4278,1083780
2017-03-17,94.533,95.0208,94.466,94.753,1547776
2017-03-20,95.0208,95.1356,94.5712,94.8582,576100
2017-03-21,95.0399,95.4321,93.7582,94.1504,1125039
2017-03-22,94.3512,94.4947,93.7247,94.2843,876562
2017-03-23,94.1791,95.0399,93.8347,93.9973,685838
2017-03-24,94.1121,94.8965,93.9973,94.4086,884005
2017-03-27,93.7964,94.5234,93.2512,94.3512,807649
2017-03-28,94.2269,94.7338,93.4999,94.5425,727886
2017-03-29,94.3321,94.3608,93.8538,93.9495,500402
2017-03-30,93.9304,94.2843,93.7391,94.093,449120
2017-03-31,93.8251,94.093,93.586,93.9208,783022
2017-04-03,94.0265,94.5166,93.7959,94.1803,772796
2017-04-04,94.1899,94.4397,93.5172,93.8055,874821
2017-04-05,94.0842,94.949,93.7478,94.0649,967687
2017-04-06,94.0746,94.113,93.1809,94.0361,681809
2017-04-07,93.94,94.2187,93.5076,94.0265,458513
2017-04-10,94.0169,94.6031,93.546,94.3724,378681
2017-04-11,94.1322,94.4493,93.5172,94.3917,447619
2017-04-12,94.555,94.6127,93.8247,94.286,428316
2017-04-13,94.161,94.2082,93.3477,93.45,618984
2017-04-17,93.5845,93.9881,93.3827,93.9496,781657
2017-04-18,93.6421,93.7863,93.1232,93.3154,904317
2017-04-19,93.6902,94.3244,93.6421,94.2763,850793
2017-04-20,95.7754,100.0995,95.3526,99.965,3329954
2017-04-21,100.1284,101.1373,99.1482,99.2635,2212010
2017-04-24,99.8017,100.4359,99.3212,100.0227,1679144
2017-04-25,99.5422,101.8484,99.1194,101.7331,1835994
2017-04-26,101.9734,102.4202,101.2046,101.6274,1226432
2017-04-27,101.8388,102.4154,101.4929,101.6755,886593
2017-04-28,101.6178,102.1367,101.2238,101.3872,940259
2017-05-01,101.6082,102.4923,101.2719,102.1175,735432
2017-05-02,102.5595,103.0304,102.0791,102.6268,985658
2017-05-03,102.6076,102.8766,102.0214,102.5691,1389927
2017-05-04,102.8094,103.5204,102.473,103.0304,940779
2017-05-05,103.2322,103.3475,102.6652,102.9055,875191
2017-05-08,102.9919,103.7798,102.7229,103.0015,703163
2017-05-09,102.9631,103.4147,102.6364,103.088,1024922
2017-05-10,102.819,103.7511,102.7229,103.6358,712036
2017-05-11,103.4628,103.9817,102.9958,103.2129,1171206
2017-05-12,102.9727,103.088,101.9734,102.3097,927897
2017-05-15,102.3385,103.6358,102.204,103.3859,1044125
2017-05-16,103.261,103.2994,101.9109,102.2328,863812
2017-05-17,101.3776,101.9926,100.9644,101.0124,918723
2017-05-18,101.0893,102.0983,100.556,101.5217,877855
2017-05-19,101.7235,102.0214,101.1662,101.7523,823295
2017-05-22,101.8965,102.6556,101.6659,102.3866,616458
2017-05-23,102.5691,102.7229,102.1223,102.3481,490901
2017-05-24,102.3481,102.6844,101.9589,102.3769,706931
2017-05-25,102.5787,104.2796,102.3385,103.9144,678563
2017-05-26,104.0297,104.3649,103.5589,103.7607,573268
2017-05-30,103.7318,104.5198,103.5397,103.6742,614975
2017-05-31,103.8375,104.6429,103.8375,104.5198,872623
2017-06-01,104.7024,105.5384,104.3901,105.4327,717329
2017-06-02,105.6056,105.966,105.3654,105.6441,691532
2017-06-05,105.5192,105.9708,104.9714,105.0675,734409
2017-06-06,104.7216,105.2117,104.5775,104.8753,615904
2017-06-07,105.0868,105.3558,104.3757,104.6736,659148
2017-06-08,104.7408,104.8081,103.5685,104.0874,853856
2017-06-09,104.1066,104.5871,103.8183,104.1739,826299
2017-06-12,104.145,104.4141,102.2232,103.2418,1340645
2017-06-13,103.655,104.2507,103.5108,104.1931,997952
2017-06-14,104.4045,104.4045,102.598,103.04,599720
2017-06-15,102.473,103.5204,102.3721,103.5204,631141
2017-06-16,103.6069,103.8664,103.088,103.4628,915741
2017-06-19,103.4628,103.9529,102.9151,103.9144,850102
2017-06-20,103.9432,104.8081,103.8856,104.1066,1289238
2017-06-21,104.097,104.8273,104.097,104.7696,762442
2017-06-22,104.7985,106.0669,104.6976,105.2789,774423
2017-06-23,105.375,105.5952,104.7504,105.4135,1260543
2017-06-26,105.4519,106.3263,105.2117,105.7498,828599
2017-06-27,105.6153,105.9468,104.6832,105.1925,975690
2017-06-28,105.8843,107.0759,105.5573,106.7684,851667
2017-06-29,106.9702,107.4987,105.327,106.2206,1060215
2017-06-30,106.5089,107.393,106.4128,106.8164,893594
2017-07-03,107.393,108.5509,106.336,106.336,845562
2017-07-05,106.9125,107.614,106.1149,106.4609,657834
2017-07-06,106.3162,106.3837,104.8303,105.1777,1051153
2017-07-07,105.3899,105.9592,104.5795,105.8723,971532
2017-07-10,105.6697,105.853,104.7242,104.7724,936565
2017-07-11,104.7628,105.1005,104.0295,104.7435,668113
2017-07-12,105.2163,105.5732,104.8786,105.0715,647496
2017-07-13,105.168,105.168,104.2321,104.8496,505787
2017-07-14,104.8882,105.5154,104.6373,105.197,635510
2017-07-17,105.168,105.8723,105.0616,105.8048,520287
2017-07-18,105.8145,105.9785,105.0619,105.7566,795966
