date,open,high,low,close,volume
2017-01-03,72.1309,72.2085,71.0344,71.9853,2003594
2017-01-04,72.4219,74.0229,72.3443,73.7803,3021740
2017-01-05,72.6839,72.9459,71.5778,72.3055,2829592
2017-01-06,72.2085,72.2085,71.1121,71.1703,2523119
2017-01-09,70.9956,71.7913,70.656,71.539,2469693
2017-01-10,71.5487,72.616,71.2771,72.0435,2022402
2017-01-11,72.2667,72.451,71.1218,71.2382,3764160
2017-01-12,71.1703,71.8689,71.0927,71.4031,2078122
2017-01-13,70.7919,71.4226,70.1806,70.918,2046185
2017-01-17,71.1703,73.3728,70.8986,72.1212,2652846
2017-01-18,71.6554,71.9368,70.0253,70.2873,2457467
2017-01-19,70.0933,70.2776,68.8319,68.8998,2699845
2017-01-20,68.958,69.3364,67.7937,68.8901,3997157
2017-01-23,68.764,68.8901,67.9489,68.3662,2127635
2017-01-24,68.6281,69.7149,68.4535,69.6178,3279601
2017-01-25,69.8216,70.3455,69.317,69.8216,3043863
2017-01-26,69.5208,69.9477,69.317,69.5596,2236341
2017-01-27,69.9574,70.0544,68.0266,68.2206,2228447
2017-01-30,68.1333,70.0399,67.9392,69.8604,2314451
2017-01-31,69.1618,71.733,69.0551,71.6263,4072327
2017-02-01,71.4517,71.8786,70.8598,71.2091,2608162
2017-02-02,71.4031,71.9756,71.0441,71.3158,1679431
2017-02-03,71.3061,71.9562,70.6803,70.9665,2435637
2017-02-06,70.4038,70.8695,70.0544,70.1127,2105108
2017-02-07,70.5105,71.015,70.0253,70.6366,2055320
2017-02-08,70.918,72.8974,70.5396,72.8392,2760911
2017-02-09,73.0817,76.0605,73.0526,75.4007,4862566
2017-02-10,75.4492,75.7015,73.9744,74.508,2599862
2017-02-13,75.0999,75.1096,73.6833,73.7609,1825944
2017-02-14,73.7609,75.2746,73.5669,74.8477,4457717
2017-02-15,74.7215,75.1484,74.3432,75.0805,1654287
2017-02-16,75.3134,75.391,73.2176,73.7609,1696649
2017-02-17,73.7803,75.3813,73.6542,75.3619,2518789
2017-02-21,76.0023,76.992,74.9835,75.5463,2215506
2017-02-22,75.7791,75.8567,74.5372,75.0805,1318625
2017-02-23,75.4201,75.4201,73.4796,73.6639,1975796
2017-02-24,74.052,76.1381,73.4796,75.0514,3866027
2017-02-27,75.0126,75.032,73.2079,74.508,2580117
2017-02-28,72.9168,73.1788,70.1515,70.8501,6952105
2017-03-01,72.5287,73.1497,70.394,71.1703,5035868
2017-03-02,71.1897,72.616,71.1431,71.8689,2428625
2017-03-03,71.2964,71.7621,70.5784,70.9471,3040775
2017-03-06,70.6754,71.1121,70.1709,70.2679,1889332
2017-03-07,70.0739,70.7191,69.1812,69.2394,2480222
2017-03-08,69.4335,70.4523,69.317,70.3746,2305972
2017-03-09,70.4426,71.5972,70.2728,71.442,3029921
2017-03-10,71.2091,71.636,70.6366,70.7239,2537999
2017-03-13,70.297,70.656,69.3956,70.4329,3598533
2017-03-14,70.4814,70.9277,69.8604,70.656,4304229
2017-03-15,70.4232,70.918,69.6178,70.6463,4136446
2017-03-16,69.7634,73.0914,69.4723,71.0247,9769932
2017-03-17,71.1315,71.6747,69.744,70.1806,4356463
2017-03-20,70.4426,70.4426,69.2685,69.4723,2831921
2017-03-21,69.7343,69.8132,67.619,67.9295,4198866
2017-03-22,68.1236,68.7058,67.6579,68.5796,2132891
2017-03-23,67.8131,68.0072,66.7264,66.8525,5173098
2017-03-24,66.9495,67.8315,66.6848,67.4153,3588539
2017-03-27,67.0854,67.9101,66.7361,66.9204,2451470
2017-03-28,66.7264,66.804,66.2024,66.5129,2354522
2017-03-29,66.5808,68.6766,66.5808,68.5893,3124814
2017-03-30,68.3953,68.861,68.3662,68.7543,1424534
2017-03-31,68.5893,68.8222,67.6384,67.6579,2122007
2017-04-03,67.7646,67.9877,66.4644,66.7749,2650273
2017-04-04,66.6876,66.838,65.9162,66.3189,3074661
2017-04-05,66.4644,67.593,66.1248,66.4644,3269613
2017-04-06,66.8525,68.4244,66.542,67.4832,2525519
2017-04-07,67.5416,68.3402,67.3273,67.5221,3150674
2017-04-10,67.5124,68.2428,67.2787,67.7461,2813495
2017-04-11,67.7072,67.9604,66.8599,67.3468,2194848
2017-04-12,66.8501,67.3079,66.8209,67.1618,2157357
2017-04-13,67.2787,67.2981,66.9086,66.9475,1528649
2017-04-17,67.1131,67.4234,66.4119,67.3176,2140244
2017-04-18,67.23,67.5806,67.0839,67.2689,1637187
2017-04-19,67.6293,68.1941,67.3566,67.5027,1728186
2017-04-20,68.0675,69.4213,67.7699,68.8272,2781716
2017-04-21,68.6908,69.0804,68.535,68.8759,2440115
2017-04-24,69.6355,69.7816,69.1388,69.5576,1926129
2017-04-25,69.6355,69.9764,69.1486,69.6842,2492160
2017-04-26,69.9667,70.8724,69.8985,70.7069,2476031
2017-04-27,70.8919,71.525,70.5608,71.3107,3153907
2017-04-28,71.4665,71.4665,70.4829,70.814,2331070
2017-05-01,71.0964,71.2912,70.1663,70.1712,2645700
2017-05-02,70.1809,71.8658,70.1079,71.8464,2797740
2017-05-03,71.8756,72.2944,71.4568,72.0606,2248375
2017-05-04,72.2067,72.7229,71.2133,71.4568,1830087
2017-05-05,71.71,72.0314,71.3204,71.7003,2066412
2017-05-08,71.749,71.9535,71.3497,71.7684,1352116
2017-05-09,71.3691,71.973,71.2426,71.7684,2232185
2017-05-10,71.6613,72.3528,71.3886,71.9827,2211504
2017-05-11,71.3399,71.973,69.8401,70.1809,2804281
2017-05-12,69.7232,70.1225,68.9733,69.7135,1904589
2017-05-15,69.8303,70.6582,69.6453,69.8498,1902537
2017-05-16,69.8498,69.8498,68.6714,69.0902,2267975
2017-05-17,68.9733,69.6355,68.7882,68.8272,2681240
2017-05-18,68.9441,69.6258,68.6421,69.2752,2472020
2017-05-19,69.5187,70.2004,68.4863,70.0738,2970989
2017-05-22,70.0056,70.7896,69.6355,70.5608,1410588
2017-05-23,70.59,70.59,68.6723,68.8661,4092435
2017-05-24,68.8175,68.8369,67.3371,68.3792,3853528
2017-05-25,68.1844,71.5639,67.7169,70.5803,4528981
2017-05-26,70.7653,70.9601,69.8109,70.4342,1617843
2017-05-30,70.2296,71.3497,70.0154,71.1159,2348446
2017-05-31,71.2523,71.5639,69.8985,71.4763,4117851
2017-06-01,73.8429,76.1608,73.541,76.1511,7589563
2017-06-02,76.5601,77.2127,75.8102,76.8523,3897846
2017-06-05,76.5504,76.94,75.5619,76.268,2651983
2017-06-06,75.0993,75.2161,73.093,73.3754,5015848
2017-06-07,73.6968,73.7845,72.0022,72.1385,4425516
2017-06-08,72.5963,73.2488,71.6808,71.7684,2608180
2017-06-09,72.0217,73.3949,71.262,73.2585,3214528
2017-06-12,73.2099,74.5539,72.6547,73.1514,2667395
2017-06-13,73.2391,74.0085,72.6839,73.7358,1396072
2017-06-14,73.7942,73.9695,72.7813,73.6871,1318419
2017-06-15,72.8787,72.9664,69.6842,70.4342,4307396
2017-06-16,66.3437,69.5089,64.2498,68.2915,11914546
2017-06-19,68.983,70.3563,68.087,69.8303,6080265
2017-06-20,69.9959,70.8335,69.4505,69.5382,3961982
2017-06-21,69.5187,70.4926,69.3726,69.8596,3029999
2017-06-22,69.6355,69.8303,68.8515,69.2265,2529915
2017-06-23,69.0804,69.2655,67.6974,67.9312,7813427
2017-06-26,68.2331,69.1096,67.6974,68.574,3159466
2017-06-27,68.4181,70.0446,68.3694,68.9441,2724298
2017-06-28,69.4115,70.1809,68.9051,69.6161,2543579
2017-06-29,69.6161,69.9375,68.7834,68.9928,2957089
2017-06-30,69.4408,70.5997,69.1973,70.2102,2808808
2017-07-03,70.6387,71.0964,69.8011,70.0543,1222341
2017-07-05,70.1323,70.4001,68.983,69.3823,2707898
2017-07-06,69.2265,69.3629,68.0383,68.2039,1811045
2017-07-07,68.5656,68.9654,68.1844,68.6536,1562953
2017-07-10,68.4483,68.5754,67.1481,67.9302,3478408
2017-07-11,67.94,68.3799,67.3437,67.4903,7778346
2017-07-12,67.852,68.3799,67.5587,68.1257,3121622
2017-07-13,68.9664,69.68,68.8295,68.9957,3073488
2017-07-14,69.0153,69.7778,68.9859,69.5431,3156418
2017-07-17,69.5431,70.8433,69.4161,70.2568,2210906
2017-07-18,70.0319,70.0808,68.8686,69.2108,1921379
2017-07-19,69.4161,69.9439,69.2499,69.7875,1588149
2017-07-20,69.983,70.071,69.4356,69.7484,2166759
2017-07-21,69.6507,70.7651,69.4552,70.5794,3191825
2017-07-24,70.3643,70.6771,69.9439,70.3643,2108622
2017-07-25,70.6185,72.3194,70.247,71.9186,1804616
2017-07-26,71.8013,72.9939,71.2832,72.9255,2163399
2017-07-27,72.9255,73.5901,72.4269,73.4338,2295764
2017-07-28,73.1014,73.5804,72.4074,73.0721,2045529
2017-07-31,73.4436,73.8346,72.6713,73.4729,1583011
2017-08-01,73.0721,73.253,72.4367,73.1796,1378804
2017-08-02,73.6195,74.2843,72.9353,73.033,3023325
2017-08-03,73.1601,73.6782,72.7593,72.818,1699783
2017-08-04,73.0721,73.253,72.4367,73.1796,1378804
2017-08-07,73.209,74.8219,72.9646,74.6949,2055143
2017-08-08,74.7926,75.5747,74.7144,74.9686,2454093
2017-08-09,74.4993,75.5551,73.8542,75.4182,2527389
2017-08-10,74.6069,75.1836,73.8444,73.8835,2307973
2017-08-11,73.6978,74.4309,73.3165,73.7955,1747851
2017-08-14,74.5189,75.2618,74.1572,74.8513,3117515
2017-08-15,74.8513,74.8513,71.8893,71.987,4004585
2017-08-16,72.5442,73.1503,72.0946,72.8277,2799455
2017-08-17,72.5638,73.0428,71.7231,72.6029,3931108
2017-08-18,72.2607,72.7642,71.8208,72.163,2282805
2017-08-21,72.4856,73.5022,72.1728,73.033,1898279
2017-08-22,73.4631,74.7633,73.4436,74.7437,2729806
2017-08-23,74.2941,74.6949,73.7466,74.6167,2031660
2017-08-24,77.4809,77.911,73.4338,73.991,4917510
2017-08-25,74.6753,76.0928,73.6684,75.9266,2479018
2017-08-28,75.995,76.8552,75.5844,75.6333,2803672
2017-08-29,74.9588,75.516,74.5678,75.1641,2378540
2017-08-30,74.9881,75.2521,74.2061,75.0077,4236879
2017-08-31,70.8726,72.0359,68.722,70.9313,12436464
2017-09-01,71.1463,71.8013,70.1883,70.9117,3696498
2017-09-05,70.6185,72.9744,70.6185,72.6909,3493276
2017-09-06,73.0232,73.8933,72.7789,73.6,2536930
2017-09-07,73.8248,74.6949,73.4436,74.6753,3447754
2017-09-08,74.5776,75.125,72.6518,73.8639,5110301
2017-09-11,74.0888,74.6459,73.8053,74.2647,4155723
2017-09-12,74.382,76.1074,74.1474,75.2325,2840899
2017-09-13,75.2423,76.8944,75.0957,76.0928,3632338
2017-09-14,75.7017,75.9119,75.0957,75.4965,2359143
2017-09-15,75.1836,76.0488,74.861,75.8581,4146445
2017-09-18,75.9657,77.0605,75.516,75.5453,3515731
2017-09-19,75.6138,75.6138,74.5776,75.2618,2099533
2017-09-20,75.428,75.9559,74.4211,75.8093,1766522
2017-09-21,75.8484,75.9266,74.8953,75.0468,1710135
2017-09-22,75.0468,76.0194,74.8513,75.9168,3513435
2017-09-25,75.4476,77.5884,75.3987,77.5591,2967262
2017-09-26,77.3049,77.8963,77.0312,77.5493,2511560
2017-09-27,77.4907,78.2629,77.0904,78.1358,2539504
2017-09-28,77.9892,78.3607,77.2756,78.2238,2307001
2017-09-29,78.3705,79.4751,78.2336,79.2307,2485476
2017-10-02,79.1721,80.0812,78.869,80.0616,1920478
2017-10-03,80.0616,80.2571,79.2014,79.5728,2056352
2017-10-04,79.7097,80.5309,79.3187,79.4653,1563617
2017-10-05,79.4653,80.1496,79.4653,79.6511,1478710
2017-10-06,79.3274,79.5922,78.5233,78.7782,1968313
2017-10-09,78.994,79.1019,77.3072,77.6505,2392001
2017-10-10,78.5037,79.656,78.2585,79.3765,1906969
2017-10-11,79.3765,81.1711,79.347,80.9456,2988836
2017-10-12,80.6219,81.0534,80.0531,80.5925,1888439
2017-10-13,80.7396,81.5732,80.3277,80.975,2016082
2017-10-16,80.769,80.9063,80.2297,80.5337,1489734
2017-10-17,80.5631,80.9064,80.161,80.5141,1367058
2017-10-18,80.5827,81.6124,80.5386,81.2005,3513499
2017-10-19,81.1711,81.6713,81.0889,81.3084,1656178
2017-10-20,81.6811,82.1714,81.4849,81.9949,2171221
2017-10-23,82.2989,83.2207,82.1518,82.2989,2232747
2017-10-24,82.3872,82.6323,81.455,82.4754,1656468
2017-10-25,82.3872,82.5735,81.7791,82.3626,1171301
2017-10-26,82.5146,83.4267,82.2597,82.7402,1719331
2017-10-27,82.3774,82.3774,80.9161,81.6516,1825888
2017-10-30,81.328,81.3967,79.5334,79.6609,2352099
2017-10-31,79.6511,80.5239,78.9352,79.2784,2260570
2017-11-01,79.6412,80.0727,78.9057,79.6609,1487749
2017-11-02,79.8472,81.9655,78.7488,80.9161,1863058
2017-11-03,80.3179,81.2398,79.8668,80.2885,2006710
2017-11-06,80.0433,80.0531,78.945,79.1215,1496378
2017-11-07,79.0921,79.4843,78.2487,79.1019,1859918
2017-11-08,79.1509,79.4843,78.6115,79.1411,1150881
2017-11-09,78.6311,80.5631,78.4644,80.3277,2275519
2017-11-10,80.4258,82.5441,80.1512,82.5245,3666170
2017-11-13,82.0243,83.4463,81.1907,81.936,2794364
2017-11-14,81.4065,82.2106,81.0338,81.6418,2757846
2017-11-15,80.4846,81.2005,79.5334,80.7102,2244700
2017-11-16,82.3479,83.4659,82.0243,83.2698,3513314
2017-11-17,83.2992,83.868,82.8334,83.8484,2492000
2017-11-20,84.1132,85.7901,84.1132,85.2606,3270753
2017-11-21,85.8784,86.4276,83.9759,84.9762,2909795
2017-11-22,85.0154,85.6528,84.6035,85.545,1511741
2017-11-24,85.9372,86.0059,84.6133,84.6133,1177780
2017-11-27,84.8487,85.5989,83.917,84.682,2932063
2017-11-28,84.8977,86.3393,84.4368,86.0353,2473690
2017-11-29,86.1432,87.4279,86.1334,86.9669,4224849
2017-11-30,87.0944,88.0653,86.2314,86.3785,3588086
2017-12-01,86.6335,87.0309,85.1233,86.2805,3151832
2017-12-04,87.32,90.3307,87.065,89.0166,3608235
2017-12-05,89.5461,89.9875,88.536,88.6243,2650338
2017-12-06,88.7616,89.5756,88.5262,89.095,3743027
2017-12-07,94.6261,94.734,90.3013,91.5664,6482984
2017-12-08,91.1839,91.9096,90.4288,91.5762,2529173
2017-12-11,91.6938,91.6938,89.4873,91.5467,2845822
2017-12-12,91.2721,91.7135,89.3794,89.4677,3693662
2017-12-13,89.4677,90.4778,89.2421,89.8698,2373892
2017-12-14,90.1346,90.2718,88.6733,89.0362,2493745
2017-12-15,89.9973,90.4582,89.1245,89.1735,4253306
2017-12-18,90.2915,91.3114,89.7031,90.7622,1910881
2017-12-19,90.7916,91.2035,89.7619,90.3209,1794573
2017-12-20,91.0368,92.3117,89.6736,89.958,4053611
2017-12-21,90.4827,90.6935,89.7913,89.8698,2356074
2017-12-22,90.3699,91.1937,90.0169,91.1152,2673820
2017-12-26,90.7132,91.7036,90.4778,90.6935,1258219
2017-12-27,91.0466,91.0613,90.3601,90.8308,1921879
2017-12-28,90.8799,90.9485,90.4288,90.7916,1016040
2017-12-29,91.125,92.0371,91.076,91.2133,2320648
2018-01-02,91.7527,92.6941,91.5206,92.243,1988683
2018-01-03,92.449,92.6255,91.8115,92.1744,1822822
2018-01-04,92.3803,93.9298,92.0371,93.2531,2907101
2018-01-05,93.7827,94.0377,93.1943,93.871,2464712
2018-01-08,94.2745,94.7083,92.8152,92.8349,2088767
2018-01-09,93.4659,93.4659,92.5489,92.9335,2630169
2018-01-10,92.9138,93.8899,92.6081,93.4561,1469078
2018-01-11,93.3378,96.9565,93.2786,96.8184,3279188
2018-01-12,97.0157,98.2975,96.8283,97.7157,2332153
2018-01-16,98.3074,98.3074,96.5522,97.065,2421490
2018-01-17,97.7848,99.6582,97.5087,99.0962,2553596
2018-01-18,99.4906,99.8438,98.7215,99.6188,1498216
2018-01-19,100.1118,100.664,99.5005,100.5555,1866490
2018-01-22,100.5161,100.871,99.6779,100.8415,1255022
2018-01-23,102.0247,102.5374,101.227,101.7289,1590195
2018-01-24,101.7683,102.1825,99.8899,101.2556,1550268
2018-01-25,103.6023,103.9277,101.1274,102.3008,1720539
2018-01-26,102.7544,103.8587,101.9754,103.8291,2129105
2018-01-29,103.7404,104.3419,103.2474,103.8686,1980989
2018-01-30,103.4544,104.0954,102.2909,102.7741,2726030
2018-01-31,102.9811,103.484,100.9203,101.6796,2407075
2018-02-01,100.7527,101.5711,100.3189,100.8513,2393688
2018-02-02,100.2794,100.2794,97.9622,98.051,4381165
2018-02-05,97.3016,99.0469,94.452,94.4618,2891251
2018-02-06,92.8743,96.6311,91.4446,96.2367,4252652
2018-02-07,96.1479,98.1397,96.0888,96.5128,2236393
2018-02-08,96.8086,96.9861,93.742,93.7716,2916609
2018-02-09,94.7478,98.1101,92.5193,96.8875,3326284
2018-02-12,97.3903,97.696,92.0165,93.7617,4597555
2018-02-13,93.6138,96.5621,93.4955,95.507,2573845
2018-02-14,94.9647,95.9705,94.7083,95.3197,2684368
2018-02-15,96.1479,97.0748,94.9694,97.0748,1901592
2018-02-16,96.9368,97.5185,95.6648,96.3649,1793467
2018-02-20,93.7223,94.9647,92.3616,93.2392,3110119
2018-02-21,93.5547,95.5267,93.5547,93.9392,2205591
2018-02-22,94.521,95.6451,94.1266,94.7576,1331734
2018-02-23,95.4183,95.9606,94.3829,95.8423,1667887
2018-02-26,96.3649,96.8579,95.2704,96.1874,1414003
2018-02-27,96.5917,97.0699,93.5645,94.1857,2131890
2018-02-28,94.7675,94.9746,93.2687,93.2687,1833134
2018-03-01,93.249,94.5506,92.47,93.9787,1861794
2018-03-02,93.4166,93.7667,91.5037,92.9631,2879739
2018-03-05,92.332,92.6968,91.7602,92.1249,2424826
2018-03-06,92.2038,92.8792,90.567,92.1348,4046058
2018-03-07,88.3287,89.3739,86.3172,88.1414,5306223
2018-03-08,88.3682,88.6245,84.8382,84.848,4081381
2018-03-09,85.4988,85.9622,84.3451,85.7256,3527013
2018-03-12,86.0214,87.6188,85.8341,87.3723,3741155
2018-03-13,87.6089,89.7289,87.392,88.2794,3989182
2018-03-14,88.2991,88.4963,87.323,87.954,3900297
2018-03-15,94.876,95.1521,91.0009,92.1348,10226721
2018-03-16,92.2827,94.4618,92.0855,94.097,5127773
2018-03-19,94.166,94.7083,92.0658,92.7264,2425025
2018-03-20,92.8152,92.9138,91.5826,92.1052,2651948
2018-03-21,92.263,93.3279,91.6516,91.6812,3830269
2018-03-22,91.0206,92.0559,90.4092,90.4684,2284969
2018-03-23,90.5571,91.0206,88.6344,88.802,2581617
2018-03-26,90.1134,91.8538,89.788,91.3558,2055347
2018-03-27,91.7009,92.1447,90.6459,91.1389,2068173
2018-03-28,91.3756,93.5152,91.3657,91.6418,2257567
2018-03-29,92.1447,92.8306,91.8301,92.2433,2363847
2018-04-02,91.9277,92.5489,90.6853,92.1249,2709605
2018-04-03,92.2235,93.0617,91.7995,92.0066,1877005
2018-04-04,91.2474,93.8899,91.2474,93.673,2729418
2018-04-05,93.8899,95.2359,93.2194,95.0534,2394619
2018-04-06,94.4618,95.6253,93.1997,93.6434,2760408
2018-04-09,93.9105,95.7106,93.8314,94.6523,3315959
2018-04-10,95.7897,95.9282,94.4149,95.3842,2633313
2018-04-11,94.6721,95.7699,94.6028,95.2161,1823211
2018-04-12,95.6908,96.5908,95.3545,95.8293,2300187
2018-04-13,96.3535,96.8233,94.9985,95.2259,2400589
2018-04-16,94.8402,96.1359,94.0193,96.0073,2205857
2018-04-17,99.5778,100.0921,98.1733,98.7766,2900706
2018-04-18,99.2217,100.0525,98.7668,99.0833,2161081
2018-04-19,98.6876,98.9646,97.1051,97.9162,1625313
2018-04-20,97.659,98.0744,95.1666,95.2853,3675912
2018-04-23,95.6512,96.126,94.7809,95.948,2114630
2018-04-24,96.4722,96.9865,95.3249,95.76,1599946
2018-04-25,95.315,96.4029,94.6622,96.1853,1495467
2018-04-26,96.2941,98.4008,95.5128,97.9458,2194821
2018-04-27,97.9557,99.0303,97.1917,97.2832,2136355
2018-04-30,97.6096,97.7876,95.2062,95.4732,2513842
2018-05-01,95.2062,95.7699,94.4644,95.4831,1225853
2018-05-02,95.1369,96.1655,94.2765,95.3446,1103398
2018-05-03,95.4435,95.8392,94.3951,95.2457,1423870
2018-05-04,94.8007,94.8798,93.6336,94.5039,1676286
2018-05-07,94.5237,94.5435,92.3973,92.9709,1727194
2018-05-08,93.0896,93.6632,92.4368,92.8522,2531106
2018-05-09,92.5951,92.8918,91.4181,92.4962,3195857
2018-05-10,92.783,93.4259,91.8038,91.9225,2289998
2018-05-11,91.4873,92.6445,90.4587,92.5951,2491580
2018-05-14,92.5951,93.3566,92.2588,92.694,1818612
2018-05-15,92.6544,93.2899,92.3884,92.9709,5093596
2018-05-16,93.1687,96.3634,92.9709,95.1468,4881738
2018-05-17,95.1666,96.3238,95.1666,95.6117,2567700
2018-05-18,95.948,96.4029,95.6117,95.671,2317304
2018-05-21,96.0666,96.5809,95.493,96.1458,1466004
2018-05-22,96.4326,96.8084,95.2358,95.3545,1903223
2018-05-23,94.949,96.0567,94.8501,95.2259,1602939
2018-05-24,95.2853,95.8688,94.3968,95.8491,2591131
2018-05-25,96.0469,97.5255,95.5128,95.5622,2029449
2018-05-29,95.3446,95.8985,94.2567,95.1864,2861457
2018-05-30,95.6413,96.0172,94.2319,95.4633,4174385
2018-05-31,89.7862,91.695,85.919,86.5223,14320381
2018-06-01,86.5421,88.2828,86.3047,88.2828,7293696
2018-06-04,89.4598,90.2609,88.8368,90.0038,4503712
2018-06-05,90.2115,93.2973,90.0631,93.1489,3737471
2018-06-06,93.2577,94.1133,91.4379,93.594,3702161
2018-06-07,93.7819,95.0479,92.061,92.7929,2829804
2018-06-08,92.9017,94.0589,92.7533,93.8611,1689610
2018-06-11,93.683,95.0974,93.3184,94.8699,2980114
2018-06-12,94.8996,96.0765,94.0391,95.6216,2356403
2018-06-13,95.7304,96.2842,95.2062,95.671,2211943
2018-06-14,95.9578,96.1062,94.5633,95.2754,2018628
2018-06-15,94.8699,96.3337,94.8699,96.2645,3329040
2018-06-18,95.8095,97.8173,95.7007,96.8678,1897797
2018-06-19,95.8787,96.6007,95.0529,96.3634,2172880
2018-06-20,96.7491,97.3277,96.0469,96.937,1673157
2018-06-21,96.6106,98.2129,96.2743,97.5997,2218938
2018-06-22,99.7064,100.0723,98.5097,99.0536,5035062
2018-06-25,99.2019,99.6767,98.5294,99.3503,2244213
2018-06-26,99.2217,99.4195,97.9172,98.6382,1993996
2018-06-27,98.6777,99.1525,97.4315,97.5898,1594524
2018-06-28,97.837,98.658,97.0854,98.0447,1301553
2018-06-29,98.2129,98.9745,97.4513,97.5205,1642627
2018-07-02,97.5304,97.7479,96.4623,96.9865,1654161
2018-07-03,97.1051,97.8469,96.6996,97.026,769423
2018-07-05,97.4315,97.4711,96.7006,97.0458,1572872
2018-07-06,97.1744,97.7777,96.6502,97.5502,1418116
2018-07-09,97.7387,98.4231,97.1931,97.5998,1489265
2018-07-10,97.7585,99.4052,97.6692,99.2068,1591100
2018-07-11,99.1473,99.8416,97.699,98.2247,1485872
2018-07-12,98.9588,99.0381,97.1732,97.7585,1462583
2018-07-13,97.8676,99.5837,97.8279,98.7009,2267257
2018-07-16,98.929,99.589,97.8081,98.3338,1546118
2018-07-17,97.8775,99.2365,97.7982,98.6017,1843422
2018-07-18,98.7108,99.2465,97.4808,98.2942,2203393
2018-07-19,98.3041,99.1274,97.9668,98.4033,3781676
2018-07-20,97.9569,98.0164,96.3301,97.3816,2596250
2018-07-23,97.5899,98.0759,97.2724,97.9371,1769033
2018-07-24,97.6692,98.1553,97.321,97.7982,1844195
2018-07-25,97.7883,98.066,97.1633,97.9569,1794762
2018-07-26,98.1255,99.4548,98.1255,98.3636,1639290
2018-07-27,98.4926,98.6414,96.34,96.6475,1217873
2018-07-30,96.6177,97.4907,96.5384,97.3518,1287375
2018-07-31,97.7684,97.7684,97.0046,97.3617,1133500
2018-08-01,97.3617,97.5006,95.596,95.8738,1401255
2018-08-02,95.973,97.6295,95.9531,97.4907,1238094
2018-08-03,97.6295,98.3527,96.9451,97.4411,1221679
2018-08-06,97.3915,98.2049,97.0939,97.8775,919207
2018-08-07,98.6116,100.3971,98.1553,100.1095,1583126
2018-08-08,99.9706,101.1411,99.817,100.9626,1486872
2018-08-09,101.1709,102.3525,100.3773,102.1529,1546881
2018-08-10,101.4585,102.4704,101.0915,101.5081,968427
2018-08-13,102.0041,103.0556,101.4883,101.647,1176815
2018-08-14,102.0636,104.4345,101.8355,104.2559,1737314
2018-08-15,103.4524,103.6111,102.4406,103.2937,1568408
2018-08-16,105.1388,105.1487,103.4882,104.0377,2513127
2018-08-17,104.4444,105.7538,104.0476,105.5256,1566339
2018-08-20,105.8926,107.2945,105.843,106.6664,1776960
2018-08-21,106.7259,107.3012,106.1704,106.7358,1713977
2018-08-22,107.7179,108.1692,106.0712,106.4085,2579947
2018-08-23,106.3291,107.3211,106.3291,107.212,1751079
2018-08-24,106.7656,107.3608,106.1605,107.1425,1526239
2018-08-27,108.1047,108.1742,106.1803,106.3291,1997932
2018-08-28,106.3886,106.5275,104.6924,105.9819,3047461
2018-08-29,105.8728,106.6366,104.1765,105.843,3266513
2018-08-30,103.4921,107.1326,103.1151,104.8114,5704053
