date,open,high,low,close,volume
2017-01-03,26.9373,27.0248,26.4513,26.7915,3225385
2017-01-04,26.9762,27.6762,26.8596,27.4428,7423323
2017-01-05,27.3068,27.5887,27.297,27.5595,3815940
2017-01-06,27.4234,27.6373,27.0248,27.0734,5339700
2017-01-09,27.0248,27.3602,26.8401,27.1804,4461020
2017-01-10,27.3554,27.5887,27.0977,27.3651,3319904
2017-01-11,27.3165,27.9192,27.1901,27.8123,5440210
2017-01-12,27.715,27.9483,27.1998,27.89,4171784
2017-01-13,27.8123,27.997,27.6275,27.7053,2360878
2017-01-17,27.6081,27.9581,27.4623,27.7734,3700544
2017-01-18,27.7636,27.8803,27.5789,27.7053,2951695
2017-01-19,27.7345,28.0164,27.1901,27.229,4121772
2017-01-20,27.297,27.5887,27.2484,27.5206,4869433
2017-01-23,27.6081,28.0553,27.5401,27.9386,6132674
2017-01-24,29.0274,29.9703,28.6872,29.7856,11197406
2017-01-25,30.0481,30.7772,29.844,30.4953,7794544
2017-01-26,30.5925,31.0105,30.3009,30.4758,7853058
2017-01-27,30.5633,30.6022,29.9703,30.0773,4262606
2017-01-30,29.9995,29.9995,29.3871,29.8537,4935876
2017-01-31,29.7565,29.7759,28.9496,29.076,7352020
2017-02-01,29.2613,29.3686,28.7754,28.9492,6006651
2017-02-02,29.0857,29.3979,28.8907,29.1443,5309857
2017-02-03,29.3589,29.4759,29.0467,29.154,3184406
2017-02-06,29.1248,29.2516,28.7395,28.7639,4324313
2017-02-07,28.9004,28.9589,28.5688,28.6956,4036978
2017-02-08,28.7346,29.193,28.6484,29.154,3697567
2017-02-09,29.1345,29.4466,28.8126,29.3784,3483012
2017-02-10,29.4564,30.1977,29.4076,30.0611,4099575
2017-02-13,30.2367,30.2855,29.6222,29.671,3376294
2017-02-14,29.4564,29.7002,29.2125,29.3686,4911527
2017-02-15,29.3686,30.1587,29.2516,30.0026,4986699
2017-02-16,30.0026,30.1392,29.6173,29.6807,2858949
2017-02-17,29.5929,29.7588,29.3589,29.7392,2349455
2017-02-21,29.8465,30.2172,29.7588,30.1392,3336698
2017-02-22,30.6171,30.6756,30.0504,30.2367,4162114
2017-02-23,30.3342,30.4415,29.9538,30.2172,3756560
2017-02-24,30.1001,30.6268,29.8563,30.6171,5569554
2017-02-27,30.6171,31.2608,30.5,31.2413,5416350
