date,open,high,low,close,volume
2017-01-03,77.343,77.8459,77.1261,77.6782,2841775
2017-01-04,77.6289,78.6642,77.5501,78.1712,3195411
2017-01-05,78.1811,78.9305,78.0332,78.891,3389066
2017-01-06,78.8713,79.5862,78.6149,79.3052,2103601
2017-01-09,79.2756,79.5615,79.1278,79.4629,2317422
2017-01-10,79.3446,80.1827,79.2361,79.9658,3497753
2017-01-11,79.877,80.6264,79.5122,80.2123,2780043
2017-01-12,79.9165,80.3109,79.5812,80.1531,3596972
2017-01-13,80.1433,80.4489,79.9461,80.2222,2466024
2017-01-17,79.8672,79.9461,79.1375,79.7784,3215663
2017-01-18,80.3602,80.4588,79.8672,80.0545,2117993
2017-01-19,79.9559,80.163,79.108,79.4728,2930833
2017-01-20,79.7094,79.7784,78.9995,79.4038,2211444
2017-01-23,79.1967,79.3742,78.7431,78.8812,2455269
2017-01-24,78.891,79.3199,77.8656,78.9108,3009201
2017-01-25,79.1277,79.9263,79.0488,79.8968,2236215
2017-01-26,79.7291,79.8869,79.4235,79.6601,1910307
2017-01-27,79.8277,79.8869,79.3692,79.8277,2277269
2017-01-30,80.1729,80.2024,78.6149,79.2361,2314067
2017-01-31,81.2377,82.9337,80.7152,82.7464,6236935
2017-02-01,83.3675,83.5549,81.6913,82.3717,4643245
2017-02-02,81.9575,82.697,81.4547,82.5294,2380694
2017-02-03,82.6675,82.7858,82.1597,82.5196,1713853
2017-02-06,82.0857,82.204,81.4054,81.8294,2064660
2017-02-07,81.8392,82.135,81.6026,81.9181,1739594
2017-02-08,81.5237,81.9477,81.4152,81.8195,1699638
2017-02-09,81.8491,82.8252,81.7505,82.5886,2097355
2017-02-10,82.5984,82.8942,82.3815,82.8055,1338031
2017-02-13,82.8449,83.1013,82.6379,83.0126,1468059
2017-02-14,82.5393,83.1112,82.3815,82.9238,1326936
2017-02-15,82.5787,83.5056,82.4703,83.4267,2080955
2017-02-16,83.3971,83.4563,82.4703,83.0717,2485588
2017-02-17,82.8942,83.0767,82.5097,82.8745,2342419
2017-02-21,83.3478,83.8803,83.1408,83.5647,2307584
2017-02-22,83.4563,83.7324,83.3182,83.614,2066548
2017-02-23,83.8112,83.9986,83.4464,83.9394,1787790
2017-02-24,84.1268,84.8761,83.8211,84.8761,1973365
2017-02-27,84.7184,85.1226,84.5705,84.9254,1740832
2017-02-28,84.6691,84.8564,84.2352,84.3536,2278488
2017-03-01,85.3396,86.365,85.0536,86.0396,2560828
2017-03-02,85.7636,85.7833,85.241,85.4086,1529068
2017-03-03,85.4579,85.7438,85.0043,85.6157,2193382
2017-03-06,84.9846,85.2755,84.4374,84.886,2217865
2017-03-07,84.7775,85.1226,84.5508,84.8663,1588574
2017-03-08,84.8268,85.5861,84.6888,85.4086,1871880
2017-03-09,85.31,86.2171,85.31,86.0889,2310193
2017-03-10,86.3157,86.7791,86.1136,86.5326,2240952
2017-03-13,86.365,86.4636,85.734,86.2763,1632540
2017-03-14,86.0594,86.0594,85.2311,85.6452,1669827
2017-03-15,85.8424,86.5721,85.7833,86.2467,1781892
2017-03-16,86.0791,86.2467,84.7874,85.1917,2648226
2017-03-17,85.31,85.6551,85.1818,85.4579,3107209
2017-03-20,85.5762,85.6748,85.1325,85.2607,1536652
2017-03-21,85.5861,85.8523,84.7085,85.0733,1825805
2017-03-22,85.2015,85.3494,84.6198,85.1128,1754540
2017-03-23,85.1128,85.448,84.7874,85.0931,2195025
2017-03-24,85.1325,85.665,84.4127,84.8071,3112519
2017-03-27,84.3831,85.029,84.2057,84.8367,2097345
2017-03-28,84.5705,84.8515,84.107,84.6888,3073049
2017-03-29,84.4814,84.7727,84.195,84.5604,1641036
2017-03-30,84.6098,84.9555,84.353,84.6592,2253199
2017-03-31,84.1555,84.7579,84.1555,84.4715,2174356
2017-04-03,84.5999,84.8814,84.0271,84.4221,2563353
2017-04-04,84.5703,84.5703,83.8345,84.2147,2563142
2017-04-05,84.5209,85.5184,84.3333,84.7086,2522133
2017-04-06,84.5407,85.2121,83.9283,85.0641,1997822
2017-04-07,84.9653,85.2764,84.7382,85.0048,1341513
2017-04-10,85.1135,85.2913,84.8271,85.0443,1635635
2017-04-11,84.8172,85.153,84.6098,85.1431,1277730
2017-04-12,85.3406,85.3406,84.5209,84.6888,1609731
2017-04-13,84.4518,85.1974,84.3826,84.7184,1975146
2017-04-17,84.8666,85.6468,84.7481,85.627,1661306
2017-04-18,85.3209,85.5678,85.1234,85.469,1875724
2017-04-19,85.8048,85.9135,85.069,85.3703,2583421
2017-04-20,84.4419,84.7054,81.8247,81.8642,8816984
2017-04-21,81.8642,82.121,80.5655,80.6889,7637358
2017-04-24,81.6272,82.1704,81.1037,81.4395,5328644
2017-04-25,81.7753,82.5061,81.6272,82.2691,6760446
2017-04-26,82.6247,82.9605,81.7951,81.9531,4874439
2017-04-27,82.1407,82.2691,81.7556,81.8839,2769594
2017-04-28,81.8938,82.4617,81.8444,82.2987,4264409
2017-05-01,82.5358,82.8617,82.0913,82.1012,4232737
