date,open,high,low,close,volume
2017-01-03,102.0698,103.6208,101.9778,102.8259,8884273
2017-01-04,103.3687,104.2024,102.9907,104.1442,8321991
2017-01-05,103.8825,104.3159,103.5141,104.086,6302974
2017-01-06,104.7016,105.9956,104.4447,105.637,9551309
2017-01-09,105.2492,105.4916,104.7936,105.036,6195195
2017-01-10,104.5901,105.4819,104.057,105.0554,7901886
2017-01-11,105.2104,106.1314,105.0554,106.0828,7616804
2017-01-12,104.8033,105.6563,104.1345,104.2314,8218893
2017-01-13,103.8728,105.0263,103.6208,104.7452,6488966
2017-01-17,104.5998,105.5885,104.3478,104.6579,7586483
2017-01-18,103.6498,105.0747,103.5335,104.8421,7162904
2017-01-19,104.6095,104.6967,103.7952,103.9891,5350191
2017-01-20,104.057,104.5125,103.8922,104.3574,5648970
2017-01-23,104.0473,104.3768,103.3009,103.834,5716598
2017-01-24,103.9116,104.7452,103.7952,104.5901,5456146
2017-01-25,104.91,105.0941,104.687,104.7258,6180212
2017-01-26,104.8906,105.288,104.6676,104.7452,6088083
2017-01-27,105.162,106.0441,104.8324,105.9471,5577657
2017-01-30,106.49,107.6435,105.6176,107.5368,13793564
2017-01-31,107.1976,107.4011,106.6063,107.2557,8485838
2017-02-01,107.3139,108.5546,107.28,107.8858,10501334
2017-02-02,107.7985,108.1184,107.1588,107.217,6515922
2017-02-03,107.4981,107.7404,106.8292,106.9165,7923398
2017-02-06,106.5481,106.7711,105.9471,106.2089,6896292
2017-02-07,106.2864,106.3639,105.4372,105.6563,10184848
2017-02-08,106.1992,108.0021,105.637,105.6563,13615543
2017-02-09,105.7242,106.4803,105.6563,106.1313,6369737
2017-02-10,105.9956,106.4318,105.2506,105.9084,7671800
2017-02-13,105.6079,106.5287,105.5594,106.2864,5654040
2017-02-14,106.4318,106.9455,106.1701,106.9455,4768695
2017-02-15,106.5384,107.2848,106.4328,106.8001,7087135
2017-02-16,106.9552,107.469,106.7129,107.3139,7179625
2017-02-17,106.8583,107.1103,106.1604,106.6838,6349161
2017-02-21,106.5675,106.8292,106.4318,106.6354,5432730
2017-02-22,106.3252,106.8971,106.1701,106.742,5478398
2017-02-23,106.9165,107.1006,106.2282,106.3639,5470661
2017-02-24,106.2573,106.9358,105.7533,106.9358,4786814
2017-02-27,106.5578,107.0812,106.4609,106.8486,3547735
2017-02-28,106.6257,107.0134,106.4609,106.7129,4766038
2017-03-01,107.2654,108.3704,107.2654,107.6338,7418101
2017-03-02,107.595,107.7937,107.0619,107.1976,4715626
2017-03-03,106.9552,108.0796,106.6644,107.8276,5843886
2017-03-06,107.374,107.5756,106.7129,107.2751,4983166
2017-03-07,107.3042,107.5271,106.7808,107.4593,5114421
2017-03-08,107.469,107.9052,107.2606,107.4399,4929881
2017-03-09,107.4981,107.9052,107.2945,107.6241,4005660
2017-03-10,107.9827,108.0796,107.2945,107.5174,4027448
2017-03-13,107.5174,108.2541,107.4205,108.099,5213562
2017-03-14,108.3026,109.427,108.2929,108.8648,7273535
2017-03-15,108.9811,109.0005,107.7404,108.4383,5319516
2017-03-16,108.7388,108.8745,107.9827,108.2832,4409419
2017-03-17,108.4383,108.6516,107.7646,108.3317,9061194
2017-03-20,108.6322,109.6887,108.6128,109.2525,8156325
2017-03-21,109.5046,109.6306,108.1184,108.322,7109766
2017-03-22,108.4189,108.7388,107.9343,108.6419,5044710
2017-03-23,108.2832,109.5142,108.2347,108.7969,8307922
2017-03-24,108.952,109.1265,108.2541,108.7,4707297
2017-03-27,108.3801,109.0974,108.0312,108.9327,4469820
2017-03-28,109.1459,109.7663,108.5837,109.5821,6280929
2017-03-29,109.2041,109.4755,108.8648,109.0781,3781206
2017-03-30,109.0781,109.8196,108.8326,109.7081,4192753
2017-03-31,109.5336,110.2219,109.4852,109.9117,4617427
2017-04-03,109.7081,110.1637,108.9811,109.7275,4643439
2017-04-04,109.679,110.0668,109.3688,109.5724,3386142
2017-04-05,110.0958,110.3479,109.3301,109.5336,4795081
2017-04-06,109.3882,109.9408,108.9423,109.5821,4744006
2017-04-07,109.3592,109.805,109.0781,109.1265,4300468
2017-04-10,109.3398,109.427,108.6031,108.9811,4053564
2017-04-11,110.1928,110.3382,109.1363,109.6015,5230837
2017-04-12,109.5627,109.8012,109.301,109.5724,4086275
2017-04-13,109.5724,110.7454,109.5239,109.7275,6530791
2017-04-17,109.8535,110.4448,109.7469,110.2897,5120176
2017-04-18,109.9989,111.23,109.5336,110.6871,6191132
2017-04-19,111.0458,111.4723,110.0571,110.2412,5303424
2017-04-20,110.6677,111.5208,110.3769,111.2687,5279267
2017-04-21,110.8713,111.5886,110.7647,110.9295,6654516
