date,open,high,low,close,volume
2017-01-03,68.2286,68.2565,66.3551,67.166,2143848
2017-01-04,67.2499,67.8185,66.9423,67.194,1907504
2017-01-05,68.0049,68.0049,66.8071,67.4177,1840435
2017-01-06,67.7182,67.9719,67.0137,67.211,2240037
2017-01-09,67.1546,67.6337,66.7084,67.2204,1466456
2017-01-10,67.3143,68.2255,67.211,67.8685,2029464
2017-01-11,67.6713,68.6576,67.6713,68.4697,1952067
2017-01-12,68.4509,69.5688,68.2678,69.3339,2122233
2017-01-13,69.2118,69.3527,68.4791,68.9206,1410282
2017-01-17,68.7046,69.5594,68.3194,68.4603,1331562
2017-01-18,68.8173,68.8173,68.0376,68.7233,852380
2017-01-19,68.4979,68.8455,67.9719,68.1879,1139962
2017-01-20,68.3288,69.193,68.2208,68.9864,1224471
2017-01-23,68.93,68.9864,68.047,68.573,1436192
2017-01-24,68.7797,69.3433,68.6294,69.2024,1137923
2017-01-25,68.5355,69.2306,68.1034,69.1085,1435871
2017-01-26,69.287,69.9445,68.9488,69.0897,749560
2017-01-27,69.2118,69.3433,68.2912,69.0991,1101000
2017-01-30,69.55,69.55,68.5918,69.3433,1139354
2017-01-31,69.4748,69.5969,68.3758,68.8361,1132516
2017-02-01,68.8173,69.2212,67.3801,67.8028,1898914
2017-02-02,67.7088,67.9625,67.0983,67.2861,1708965
2017-02-03,68.5449,68.7421,67.2814,67.4646,1681937
2017-02-06,67.4458,68.5355,67.3331,67.9437,2188276
2017-02-07,68.0094,68.7891,67.4552,67.4928,1264335
2017-02-08,67.3519,69.0521,67.3519,68.9864,982847
2017-02-09,69.0052,70.6584,68.7421,70.5175,1592876
2017-02-10,70.7617,72.105,70.7524,71.6541,1690597
2017-02-13,71.7857,72.0581,71.4099,71.4663,1156008
2017-02-14,70.7899,71.626,70.3109,71.6166,1057107
2017-02-15,71.4475,71.6729,70.703,71.1469,1395078
2017-02-16,71.3817,71.6729,70.8651,71.2032,658407
2017-02-17,71.1093,72.0956,71.0248,72.0768,1195862
2017-02-21,71.8984,72.4338,71.8091,72.0487,1269537
2017-02-22,71.316,71.532,70.3343,70.8463,1472238
2017-02-23,70.9308,71.4475,70.649,70.8839,1089027
2017-02-24,70.4705,71.0717,70.0948,70.8839,1160021
2017-02-27,70.9308,71.0623,69.8036,70.0103,1411108
2017-02-28,70.123,70.4659,69.8319,70.1512,1602525
2017-03-01,70.8557,70.9027,70.1981,70.3484,930116
2017-03-02,70.3109,70.9684,70.0854,70.8933,1065730
2017-03-03,70.8275,70.8651,69.9727,70.5551,696579
2017-03-06,70.4236,70.6678,69.7097,70.1512,1118350
2017-03-07,70.2545,70.2545,69.6157,69.9915,1329773
2017-03-08,70.0478,70.959,69.9962,70.6208,1219055
2017-03-09,70.5175,71.006,70.339,70.6584,778100
2017-03-10,70.696,71.2032,69.3527,69.6627,2159743
2017-03-13,69.8506,70.0291,69.3339,69.9351,1863357
2017-03-14,70.0666,70.2169,69.5218,70.0854,1026435
2017-03-15,70.0291,71.316,69.8036,71.2314,1400030
2017-03-16,71.2408,71.5038,70.6772,70.8275,956474
2017-03-17,71.1751,72.3962,70.959,72.0111,2140540
2017-03-20,72.0393,72.4224,71.7105,72.199,932309
2017-03-21,72.3305,72.7062,71.8232,71.9547,1381165
2017-03-22,71.8984,72.4808,71.6823,72.3305,1370126
2017-03-23,72.4056,72.8283,71.9359,71.9923,1222176
2017-03-24,72.0111,72.4808,71.8232,72.0581,1242647
2017-03-27,71.4475,71.8984,70.6396,70.9966,2614312
2017-03-28,74.1904,77.7975,74.1246,77.6097,10815960
2017-03-29,76.9803,78.0606,76.6327,77.5627,3739444
2017-03-30,77.3091,77.9948,77.0554,77.8069,1825390
2017-03-31,77.8069,79.0234,77.5063,78.596,3256635
2017-04-03,78.5678,78.7054,77.8257,78.1639,2064681
2017-04-04,78.0699,79.3099,77.6566,78.8872,2184767
2017-04-05,79.0469,79.4226,77.6848,77.8539,1589233
2017-04-06,78.2228,79.0881,77.909,78.8564,1616466
2017-04-07,78.6956,78.9414,78.1944,78.3457,1528996
2017-04-10,78.4781,78.7807,78.1471,78.2133,1048129
2017-04-11,78.2984,78.5065,77.8917,78.4403,1026287
2017-04-12,78.5254,78.6672,77.608,78.0147,1601081
2017-04-13,77.939,78.3362,77.4283,77.5229,952590
2017-04-17,77.9296,78.166,77.608,78.1566,1169591
2017-04-18,78.0998,78.7618,77.9579,78.2322,825391
2017-04-19,78.6956,78.9226,78.0998,78.5349,1037742
2017-04-20,78.8375,79.509,78.4119,79.4901,1284129
2017-04-21,79.5373,79.8494,78.8564,79.5941,1182548
2017-04-24,80.3412,81.1073,79.8873,80.5587,1901385
2017-04-25,80.5587,81.0789,80.1615,80.9087,1808983
2017-04-26,80.8898,81.7504,80.6439,81.3816,2664999
2017-04-27,81.5045,81.7504,80.8992,81.2964,1813729
