date,open,high,low,close,volume
2017-01-03,45.9855,46.7074,44.8069,46.2409,5828555
2017-01-04,46.1034,46.678,45.6614,46.6534,3706228
2017-01-05,46.8793,48.5686,46.8204,48.1365,7512979
2017-01-06,48.1561,48.3722,47.5668,47.8025,3193903
2017-01-09,47.2132,47.3213,45.681,45.7498,5736103
2017-01-10,46.1328,46.3882,45.6221,45.8677,4642677
2017-01-11,45.6319,46.6141,45.4257,46.5552,3997619
2017-01-12,46.8302,46.9431,45.2194,45.6319,4433621
2017-01-13,45.2784,45.9086,45.1114,45.5828,3081844
2017-01-17,45.74,46.3342,45.5239,45.6516,3376768
2017-01-18,45.1703,45.5926,44.7215,45.5337,3653543
2017-01-19,45.6614,45.8284,45.0426,45.2685,2602720
2017-01-20,45.9561,46.1132,45.19,45.4355,3571340
2017-01-23,44.9739,45.2784,44.3202,44.8167,4985253
2017-01-24,45.2587,46.0543,45.0721,45.7596,3185571
2017-01-25,45.7989,46.1918,45.3176,45.6319,4992554
2017-01-26,45.9757,46.9677,45.8382,46.3096,3017961
2017-01-27,45.9462,46.0543,45.4355,45.8087,2726426
2017-01-30,45.681,45.681,43.6283,44.2667,4125969
2017-01-31,44.3846,44.748,43.7854,44.7283,3493620
2017-02-01,45.1605,45.3667,44.0359,44.7283,3566555
2017-02-02,44.7283,45.1556,44.0506,44.8364,3269899
2017-02-03,44.7676,46.3293,44.7283,45.9561,3824691
2017-02-06,45.8382,46.0444,44.3846,44.4631,3629407
2017-02-07,44.0801,44.5368,43.0881,43.3533,3854630
2017-02-08,42.8131,43.9328,42.3515,43.2747,4356073
2017-02-09,43.8444,44.1292,43.4908,43.9524,2914951
2017-02-10,44.2176,45.1212,44.198,44.6007,3445005
2017-02-13,44.2667,44.8462,43.9033,44.4533,3261704
2017-02-14,44.8658,45.1703,43.8738,45.1212,3360550
2017-02-15,45.4748,46.4079,43.039,43.4417,9506757
2017-02-16,43.6479,44.4239,43.2452,43.3238,6199396
2017-02-17,43.0979,43.481,42.8327,43.3827,3362893
2017-02-21,43.7658,44.8069,43.5694,44.2569,4971900
2017-02-22,43.7069,44.1685,42.9309,42.9801,4805784
2017-02-23,44.0506,44.1488,42.7149,43.206,4982412
2017-02-24,42.7247,43.1077,41.7965,42.047,4574380
2017-02-27,42.3024,42.6756,41.8702,42.2925,7623556
2017-02-28,42.1845,43.0586,42.0961,42.5872,5194195
2017-03-01,43.1667,43.9721,42.7934,43.8346,4669445
2017-03-02,43.206,43.3631,42.5675,42.6952,4393009
2017-03-03,42.9211,43.201,42.4202,42.5774,2677623
2017-03-06,42.5774,43.2109,42.1452,43.1568,5376722
2017-03-07,43.481,43.5399,42.5381,42.7836,2843129
2017-03-08,42.2827,42.489,39.7585,39.9942,7773213
2017-03-09,39.5523,40.3085,38.7763,40.0433,8696982
2017-03-10,40.5443,40.5934,39.1397,39.5424,5036025
2017-03-13,39.3949,40.5064,39.3949,40.29,4366698
2017-03-14,39.6408,39.6605,38.0571,39.3654,5860391
2017-03-15,39.8178,40.5949,39.4834,40.4474,3497659
2017-03-16,40.4375,40.467,39.8474,40.0539,2900196
2017-03-17,40.2408,40.5162,39.8277,39.8769,5180935
2017-03-20,39.3654,40.0146,39.1982,39.8769,3295870
2017-03-21,39.9162,40.1523,38.8637,39.149,3960505
2017-03-22,38.7752,39.5031,38.3522,38.6965,4561786
2017-03-23,38.5391,39.0309,38.2834,38.4506,4051939
2017-03-24,38.5686,38.8145,38.0276,38.1653,4148607
2017-03-27,37.6243,38.3916,37.3981,38.244,4047995
2017-03-28,38.608,39.1588,38.2047,38.9719,4889628
2017-03-29,39.0506,40.591,38.9326,40.5457,5821393
2017-03-30,41.0376,41.3228,40.4474,40.772,6667205
2017-03-31,40.5261,41.2638,40.3982,41.0376,4806903
2017-04-03,41.0179,41.6228,40.5802,41.3425,4297991
2017-04-04,41.372,41.8245,40.831,41.795,3850646
2017-04-05,42.2474,42.8097,40.7621,40.8408,5680845
2017-04-06,41.2343,42.454,41.0671,42.1786,6989775
2017-04-07,42.1097,42.395,41.795,41.8441,3710126
2017-04-10,42.1884,42.513,42.0409,42.3556,3184454
2017-04-11,42.1589,42.2819,41.2638,41.8245,7316616
2017-04-12,41.8245,42.2671,41.0326,41.1851,3899882
2017-04-13,41.313,41.6474,39.808,39.9851,4507497
2017-04-17,39.9556,40.3588,39.2768,40.3392,4373761
2017-04-18,39.9654,40.5753,39.5965,39.867,4158743
2017-04-19,39.9752,40.172,38.4506,38.608,4839913
2017-04-20,38.8145,39.2867,38.6965,39.0506,3502155
2017-04-21,38.7949,39.2178,38.3129,39.0801,4301268
2017-04-24,39.4244,39.6211,38.9424,39.1686,3609460
2017-04-25,39.1588,40.0146,39.0113,39.926,3726799
2017-04-26,39.4834,40.6168,39.4342,39.926,4127063
2017-04-27,39.4932,39.6506,38.4211,38.7063,5109809
2017-04-28,39.0014,39.3654,38.608,38.844,3662145
