date,open,high,low,close,volume
2017-01-03,69.4692,69.5781,68.9183,69.1789,3017521
2017-01-04,69.3059,69.5781,68.8762,69.1154,3426199
2017-01-05,68.7616,69.2606,68.1537,69.2061,2688036
2017-01-06,68.9884,69.9002,68.8524,69.7686,1847970
2017-01-09,69.7959,69.8412,68.6618,68.6981,1948159
2017-01-10,68.5801,68.6618,68.1537,68.435,1534164
2017-01-11,68.444,68.8704,68.2626,68.6164,1902366
2017-01-12,68.6346,68.8069,68.0811,68.2989,2468805
2017-01-13,68.1083,68.435,67.7727,68.2354,1992744
2017-01-17,68.562,69.2763,68.3442,69.1336,2111510
2017-01-18,68.943,69.5327,68.8977,69.1063,1913870
2017-01-19,68.7525,69.0973,68.3715,68.6073,1397366
2017-01-20,68.7071,68.9884,68.3079,68.7616,1739289
2017-01-23,68.8704,69.0428,68.4531,68.5711,1530681
2017-01-24,68.5257,68.7434,68.3306,68.4713,1898206
2017-01-25,68.4622,68.8886,68.2354,68.7797,2161131
2017-01-26,68.6981,69.1698,68.4985,68.6709,1537726
2017-01-27,68.6709,68.8069,68.2444,68.5166,1393811
2017-01-30,68.7525,68.7616,68.0494,68.2807,2287021
2017-01-31,68.3261,69.2334,68.2989,69.2061,3056221
2017-02-01,67.4642,68.444,65.1597,65.187,7279632
2017-02-02,65.2051,65.4591,64.2978,65.0327,4336571
2017-02-03,65.069,65.314,64.6426,65.0509,3695367
2017-02-06,65.3684,65.7041,64.8785,65.5136,3223784
2017-02-07,65.5589,65.7313,65.0599,65.6406,2436244
2017-02-08,65.8311,66.7044,65.7676,66.5388,2711568
2017-02-09,66.4662,66.6658,64.9511,65.4591,3752894
2017-02-10,65.4591,66.6386,65.1643,66.566,3563804
2017-02-13,66.6023,67.0287,66.3954,66.8926,2829005
2017-02-14,66.7656,66.8472,66.0761,66.3392,2824257
2017-02-15,65.822,66.0489,65.2868,65.6678,3184377
2017-02-16,65.8039,66.5751,65.6859,66.4843,3026285
2017-02-17,66.4707,66.9924,66.0851,66.9289,3426440
2017-02-21,66.82,68.1265,66.6114,67.8271,3541201
2017-02-22,67.818,68.444,67.4098,68.3624,3105743
2017-02-23,68.6073,69.2152,68.3669,69.0973,2513319
2017-02-24,69.3604,70.0317,69.3513,69.8594,2384826
2017-02-27,69.7596,69.9047,69.442,69.7414,3344738
2017-02-28,69.56,70.7984,69.56,70.44,2920354
2017-03-01,69.5192,70.2247,69.2444,69.8582,2663158
2017-03-02,69.62,71.2829,69.5467,70.7469,2604406
2017-03-03,70.7194,70.7377,69.6109,70.1422,2956027
2017-03-06,69.904,70.1248,69.6475,69.8491,1948118
2017-03-07,69.6109,69.9773,69.5925,69.7391,2479730
2017-03-08,69.1894,69.3085,68.3374,68.8321,1878504
2017-03-09,68.9054,69.3533,68.5756,68.6214,1381837
2017-03-10,68.942,69.4001,68.8138,69.3268,1623676
2017-03-13,69.281,69.8032,69.1344,69.7116,2728587
2017-03-14,69.565,70.2842,69.4643,69.9315,2088974
2017-03-15,70.1789,71.6539,70.0323,71.3241,2779689
2017-03-16,71.4982,71.4982,70.0689,70.3621,2652318
2017-03-17,70.6278,70.9851,70.1972,70.6553,3797826
2017-03-20,71.0676,71.2416,70.0964,70.3896,2149325
2017-03-21,70.3896,72.0227,70.3896,71.6539,3246719
2017-03-22,71.9471,72.7075,71.8005,72.057,3122745
2017-03-23,71.9563,72.2861,71.4615,71.6997,2618107
2017-03-24,71.7272,72.0296,71.5165,71.6997,2367274
2017-03-27,72.0387,72.1303,71.0538,71.3882,2548696
2017-03-28,71.4432,71.6264,71.0951,71.5165,2869038
2017-03-29,71.3149,71.3974,70.9485,71.1592,1791508
2017-03-30,70.9851,70.9897,70.5362,70.921,1520551
2017-03-31,71.0309,71.434,70.9118,71.0676,2050534
2017-04-03,70.6736,71.2508,69.8582,71.2233,1991472
2017-04-04,71.2508,71.4707,70.8202,71.1134,1985714
2017-04-05,71.2142,71.5348,70.8935,71.4249,1839956
2017-04-06,71.4615,71.7956,71.2325,71.6539,2781742
2017-04-07,71.7913,71.8839,71.0401,71.0859,2160496
2017-04-10,71.1317,71.4432,70.6919,71.3791,1809531
2017-04-11,71.1225,71.3882,70.8385,70.9851,1814223
2017-04-12,70.8935,71.4432,70.5545,71.3974,2246694
2017-04-13,71.4615,71.4615,70.7194,71.0309,2637247
2017-04-17,71.15,71.5073,71.0584,71.4066,2751544
2017-04-18,71.3699,71.6722,71.118,71.4524,2540680
2017-04-19,71.3149,71.4249,70.5738,70.8568,1883916
2017-04-20,70.7652,70.921,70.2155,70.8752,2603619
2017-04-21,70.976,71.5715,70.9347,71.0401,3471946
2017-04-24,71.1317,71.6677,70.6003,71.5257,2543271
2017-04-25,71.1592,71.37,70.866,71.1867,1787686
2017-04-26,71.1134,71.4707,70.9576,70.9943,1505814
2017-04-27,71.0126,71.402,70.9347,71.1775,1593258
2017-04-28,71.15,71.3149,70.8202,70.9393,2001585
2017-05-01,70.9576,71.0492,70.4537,70.4904,1641609
2017-05-02,70.637,70.8477,70.4812,70.7469,1251822
2017-05-03,70.6095,70.7561,70.0323,70.1514,2252026
2017-05-04,70.2247,70.8981,69.9865,70.8202,2445404
2017-05-05,71.0309,71.9471,71.0309,71.6722,2291156
