date,open,high,low,close,volume
2017-01-03,115.1342,115.4169,114.3252,115.0562,1080581
2017-01-04,115.2609,116.1089,115.0251,115.7873,720000
2017-01-05,115.4266,115.758,114.7248,115.6118,731556
2017-01-06,115.6996,116.5476,115.3194,115.914,864621
2017-01-09,115.8653,116.3721,115.3876,115.836,914265
2017-01-10,115.5046,116.0115,114.8028,114.8808,785249
2017-01-11,114.5299,115.4805,114.3642,115.3292,772047
2017-01-12,114.7931,115.7093,114.5591,115.6411,897689
2017-01-13,115.7483,116.2064,115.3682,115.5728,596227
2017-01-17,115.2512,116.031,114.7151,115.6801,755245
2017-01-18,115.8068,116.1772,115.0075,116.0602,1032134
2017-01-19,115.875,116.4696,115.4656,115.8458,711427
2017-01-20,116.1382,116.5378,114.5786,115.4071,1355835
2017-01-23,115.3292,116.4014,115.1147,116.3331,927884
2017-01-24,116.8205,118.9161,116.3828,118.575,1255940
2017-01-25,118.6335,119.4425,118.497,119.3938,1127542
2017-01-26,119.54,119.54,117.5223,117.8927,910166
2017-01-27,117.727,118.4385,117.3858,118.2241,671799
2017-01-30,118.1559,118.4678,117.0349,118.419,975843
2017-01-31,118.1266,118.6725,116.7425,117.0934,1094118
2017-02-01,116.7133,117.8342,116.4891,117.727,795627
2017-02-02,117.8342,118.1754,117.1227,117.1714,756248
2017-02-03,117.3176,117.8829,116.9764,117.6977,937914
2017-02-06,117.3566,117.4346,116.0797,116.6743,813093
2017-02-07,116.957,117.6782,116.4014,117.2104,708817
2017-02-08,117.0739,117.4638,116.5866,117.2981,604609
2017-02-09,117.1421,117.7855,117.0739,117.5613,573626
2017-02-10,117.6977,118.3313,117.4151,118.1364,642734
2017-02-13,118.1559,119.2281,117.7367,118.6822,732763
2017-02-14,118.7602,119.8421,118.4873,119.7349,861663
2017-02-15,119.2573,120.7779,118.963,120.2808,1045664
2017-02-16,120.154,120.3782,119.1696,120.1638,829738
2017-02-17,120.2028,120.9533,119.4474,120.8169,1249148
2017-02-21,119.6959,121.158,118.7407,120.8948,2200025
2017-02-22,118.692,121.1288,118.4288,119.9883,1290652
2017-02-23,120.3782,120.4952,119.423,119.6569,1005198
2017-02-24,119.2086,122.3277,119.2086,122.3277,1757957
2017-02-27,122.3277,122.7955,120.6804,120.7096,1056814
2017-02-28,120.7194,121.6649,120.427,120.8363,1328690
2017-03-01,121.8403,122.9814,121.5869,122.6883,1052106
2017-03-02,122.4154,122.6493,121.8501,121.928,764402
2017-03-03,121.7721,122.4544,121.5284,122.084,909341
2017-03-06,121.6161,122.3082,121.5869,121.8988,729691
2017-03-07,122.006,122.2789,121.2945,121.5674,842882
2017-03-08,121.4894,122.4788,121.158,121.3529,1081808
2017-03-09,121.08,121.4017,120.2197,120.5634,1338874
2017-03-10,121.2457,121.7526,120.7485,121.1093,1125271
2017-03-13,120.8656,121.6259,120.8266,121.6161,925641
2017-03-14,120.9241,121.5381,120.3587,120.5537,931053
2017-03-15,121.1678,122.4934,120.5244,122.201,929636
2017-03-16,122.201,122.4446,121.3432,122.0255,928330
2017-03-17,122.5339,123.0032,122.2211,122.6024,1732777
2017-03-20,122.3091,122.9543,122.0256,122.3286,766344
2017-03-21,122.2211,122.7294,121.1799,121.4194,913467
2017-03-22,121.5074,122.0647,121.1359,121.4586,732367
2017-03-23,121.3608,122.1722,120.8818,121.3999,996715
2017-03-24,121.3901,121.8105,120.7449,121.0577,1007543
2017-03-27,119.8357,121.3999,119.8357,121.3315,791442
2017-03-28,121.2337,122.3091,120.8818,122.0744,1083045
2017-03-29,121.8007,122.2993,121.5954,121.9865,671066
2017-03-30,122.0353,122.6121,121.9669,122.5339,575853
2017-03-31,121.8692,123.1596,121.8692,122.5339,1167677
2017-04-03,123.1792,124.2154,122.182,123.0618,1514593
2017-04-04,123.0325,123.2183,121.6345,122.2602,1140081
2017-04-05,122.5926,123.013,121.6932,122.0353,1102370
2017-04-06,122.0842,122.9641,121.9865,122.4068,795634
2017-04-07,122.0549,122.7783,121.9083,122.4459,841083
2017-04-10,122.485,123.5213,122.2993,123.0521,750585
2017-04-11,122.7881,123.316,122.2993,122.8468,617609
2017-04-12,122.3384,123.0032,121.8887,122.1624,855631
2017-04-13,121.9571,122.6317,121.6736,121.6834,598036
2017-04-17,122.1722,122.6121,121.9376,122.6121,472505
2017-04-18,121.7812,122.5828,121.7812,122.5046,672808
2017-04-19,122.8663,123.3747,122.7197,122.8956,885804
2017-04-20,123.1107,123.7559,122.8272,123.5213,675970
2017-04-21,123.5897,123.9124,123.1987,123.3747,656574
2017-04-24,124.4109,124.7727,123.9515,124.45,1243357
2017-04-25,124.9193,125.6721,124.7433,125.3788,773887
2017-04-26,125.369,126.112,125.1148,125.9165,1106391
2017-04-27,126.0533,126.5421,125.8578,126.4737,933080
2017-04-28,126.3173,126.591,126.0436,126.2,1384834
2017-05-01,125.8089,126.943,125.545,126.3564,1363896
2017-05-02,123.1009,125.1539,122.2504,122.4557,2895754
2017-05-03,122.6903,123.1889,122.4948,122.7588,1213511
2017-05-04,122.7588,123.4333,122.27,123.3942,999159
2017-05-05,123.3551,123.9221,123.228,123.6386,803252
2017-05-08,123.7168,124.4794,122.9641,123.1303,802464
2017-05-09,123.1303,123.5213,122.2455,122.7979,831900
2017-05-10,122.6903,124.059,122.6903,123.8244,968242
2017-05-11,123.8341,124.1177,123.1498,123.8928,849523
2017-05-12,123.795,124.538,123.6191,123.6777,932409
2017-05-15,123.6777,125.545,123.6777,124.4207,847478
2017-05-16,124.3034,125.2126,124.3034,124.5283,843736
2017-05-17,123.8341,124.323,123.404,123.5604,926897
2017-05-18,123.7071,124.4012,123.4333,123.9026,1079531
2017-05-19,124.147,124.4696,123.8244,124.2447,2893207
2017-05-22,124.7531,125.4277,124.4696,124.9584,1122349
2017-05-23,124.8215,125.4081,124.8215,125.1833,730029
2017-05-24,125.4277,126.8745,125.2029,126.415,872383
2017-05-25,126.8941,127.598,126.6106,127.3927,803236
2017-05-26,127.8326,128.5462,127.8228,128.3605,870525
2017-05-30,128.2236,128.7027,127.7171,128.6147,1037329
2017-05-31,128.8982,130.0322,128.3214,129.866,945976
2017-06-01,130.0127,130.9609,129.866,130.785,982407
2017-06-02,130.8632,131.3911,130.2766,131.3227,818825
2017-06-05,131.352,131.3618,130.6383,130.6677,836452
2017-06-06,130.3646,130.9316,129.4554,130.3646,745665
2017-06-07,130.5797,130.9609,130.2668,130.5308,727402
2017-06-08,130.4135,130.609,129.4847,129.7585,882785
2017-06-09,130.3255,130.8436,129.866,130.8143,1090958
2017-06-12,130.521,130.9707,129.8269,130.1984,775650
2017-06-13,130.2375,131.5866,129.7878,131.4791,774839
2017-06-14,131.7724,131.8701,130.6481,130.8827,650597
2017-06-15,130.7361,131.3715,129.8856,130.8534,981410
2017-06-16,131.0592,131.6376,130.873,131.6376,1609118
2017-06-19,131.7847,132.0886,131.2602,131.9611,670372
2017-06-20,131.52,131.8043,131.2455,131.471,605701
2017-06-21,131.3925,131.8925,129.4417,129.5397,1084264
2017-06-22,129.5397,130.1868,129.0398,129.0888,780829
2017-06-23,129.1084,129.7554,128.7261,129.0692,1038830
2017-06-26,129.1476,129.8927,128.9319,129.4221,948748
2017-06-27,129.4025,129.8534,129.1084,129.1868,868986
2017-06-28,130.0103,130.6769,129.7603,130.2848,621073
2017-06-29,130.275,130.373,128.3045,128.8633,826270
2017-06-30,129.4025,130.6083,129.2162,130.1377,995796
2017-07-03,130.5691,130.8436,129.8828,130.324,715554
2017-07-05,130.6573,131.3533,130.5005,130.6475,970475
2017-07-06,130.4514,130.8387,129.5397,129.579,768522
2017-07-07,129.579,130.172,129.03,130.0103,886687
2017-07-10,130.0201,130.226,129.0839,129.4515,767767
2017-07-11,129.5691,130.0397,128.8633,129.2947,607520
2017-07-12,130.0495,130.7847,129.9515,130.422,820323
2017-07-13,130.4318,130.4906,129.2554,129.4613,577185
2017-07-14,129.677,130.324,129.3339,130.1083,542041
2017-07-17,130.1868,130.373,129.1966,129.5691,1017665
2017-07-18,129.4123,130.0985,129.3535,129.8436,630297
2017-07-19,130.0691,130.4416,129.7358,130.4318,812239
2017-07-20,130.2358,130.5299,129.5103,129.8436,812678
2017-07-21,129.6868,130.7945,129.6574,130.4318,611502
2017-07-24,130.1475,130.5593,129.0496,129.4417,710747
2017-07-25,130.1475,130.6377,129.932,130.2848,584193
2017-07-26,130.2162,130.2162,129.5495,129.8436,595394
2017-07-27,129.873,130.2113,128.53,129.226,829646
2017-07-28,129.3437,129.9515,128.8045,129.3241,847774
2017-07-31,129.8927,130.4416,128.9123,129.079,1395428
2017-08-01,130.0789,130.6279,129.7456,130.2848,628210
2017-08-02,128.8045,130.4416,128.6084,130.2848,1047352
2017-08-03,130.2848,130.3828,129.6378,130.0103,899457
2017-08-04,130.0789,130.6279,129.7456,130.2848,628210
2017-08-07,130.3828,130.5691,129.3241,129.3535,893277
2017-08-08,129.3535,129.4711,128.2555,128.6574,636925
2017-08-09,128.7751,129.775,128.7653,129.7554,690619
2017-08-10,129.4613,129.726,127.6281,127.6673,770269
2017-08-11,128.1477,128.3045,127.187,127.2556,618651
2017-08-14,127.8634,128.8731,127.4418,128.8731,674826
2017-08-15,128.579,129.2849,128.3928,128.5692,824033
2017-08-16,128.8437,130.1181,128.8437,129.8044,678887
2017-08-17,128.9221,129.5544,127.6575,127.6673,727430
2017-08-18,127.785,128.0791,127.1772,127.5497,720840
2017-08-21,127.5987,128.1673,127.0791,127.834,559790
