date,open,high,low,close,volume
2017-01-03,68.0278,68.0462,67.1235,67.9447,1699630
2017-01-04,68.0278,68.4707,67.6402,67.8801,1259634
2017-01-05,67.8617,68.2769,67.3357,68.0278,1802903
2017-01-06,67.631,68.3046,67.5203,68.2308,914550
2017-01-09,68.3785,68.3785,67.0958,67.1419,1479541
2017-01-10,67.022,67.1973,66.5698,67.0312,1124794
2017-01-11,67.022,67.5203,66.8189,67.3911,1288780
2017-01-12,67.3726,68.0462,66.902,67.9355,1493053
2017-01-13,67.7694,67.9632,67.3957,67.9171,1179908
2017-01-17,68.1847,68.8768,67.9817,68.8398,1601855
2017-01-18,68.5446,69.0521,68.3969,68.683,1455509
2017-01-19,68.24,68.4246,67.6033,67.8156,1395526
2017-01-20,67.7417,68.1016,67.1696,67.4372,2034753
2017-01-23,67.6125,67.8525,67.0865,67.3265,1527122
2017-01-24,67.1973,67.4649,66.9389,67.1696,1544060
2017-01-25,66.9204,67.1511,66.5606,67.1235,1990876
2017-01-26,66.9112,67.8432,66.9112,67.3818,1451321
2017-01-27,67.631,67.834,67.2896,67.4741,1488282
2017-01-30,67.6771,67.8837,67.1881,67.6033,1595132
2017-01-31,67.7694,68.7937,67.6771,68.6091,2990993
2017-02-01,68.1201,68.3046,67.4098,67.6679,1766300
2017-02-02,67.7971,68.7476,67.5203,68.7199,1488112
2017-02-03,68.7476,68.9321,68.2308,68.4707,2302110
2017-02-06,68.7937,68.969,68.3323,68.563,1758295
2017-02-07,68.5722,68.8398,68.4384,68.7568,831919
2017-02-08,68.8583,69.495,68.8583,69.4397,1121570
2017-02-09,69.3289,69.615,68.5261,68.6461,1801921
2017-02-10,68.5538,69.172,68.4523,68.9783,1321745
2017-02-13,69.1925,69.3695,68.5871,69.2484,1695229
2017-02-14,69.0528,69.2018,68.3579,68.6337,1254320
2017-02-15,68.1866,68.6989,67.9351,68.643,1616697
2017-02-16,68.6244,69.3788,68.4846,69.1925,2953033
2017-02-17,68.9969,68.9969,67.6464,68.4567,2768835
2017-02-21,68.4567,69.5557,68.1959,69.4067,1854693
2017-02-22,69.4067,69.9376,69.1087,69.8631,2410802
2017-02-23,70.1239,70.7758,69.919,70.7013,1437973
2017-02-24,71.018,71.493,70.8504,71.3533,1609673
2017-02-27,71.3533,71.4464,70.9621,71.2229,1239032
2017-02-28,71.0553,71.9401,71.0301,71.7538,1727453
2017-03-01,70.7013,71.6327,70.4033,70.9528,1780827
2017-03-02,70.7572,72.1822,70.5896,71.8935,2164750
2017-03-03,72.0053,72.0053,70.9621,71.4092,1526816
2017-03-06,71.4092,71.7352,71.195,71.3812,1328468
2017-03-07,71.2415,71.5862,71.1484,71.3812,1088239
2017-03-08,70.841,70.869,70.245,70.3288,1202061
2017-03-09,70.4499,70.7852,69.9562,69.9749,1776885
2017-03-10,70.3381,70.8038,70.2077,70.7665,1145103
2017-03-13,70.7665,71.0459,70.5896,71.0459,1414078
2017-03-14,71.0087,71.3161,70.8131,71.1763,1203100
2017-03-15,71.4092,72.7504,71.2415,72.3126,1547168
2017-03-16,72.0332,72.294,70.9621,71.0832,1892944
2017-03-17,71.2788,71.8004,71.1577,71.4185,2989075
2017-03-20,71.6141,71.7631,70.7298,70.869,1060910
2017-03-21,70.8783,72.2474,70.8317,72.0332,1603010
2017-03-22,72.3219,72.9786,72.1916,72.7504,2040289
