date,open,high,low,close,volume
2017-01-03,115.1907,115.8803,114.739,115.3558,766836
2017-01-04,115.2781,115.9774,114.7438,115.9192,894829
2017-01-05,116.1134,116.9973,115.686,116.5408,553013
2017-01-06,116.5408,117.5607,115.9774,117.5316,576472
2017-01-09,117.5316,118.1241,116.3563,116.4048,759556
2017-01-10,116.298,116.9682,115.5889,116.5991,592872
2017-01-11,116.7059,117.143,115.6896,117.0653,560086
2017-01-12,116.8128,117.4927,115.754,117.3956,508580
2017-01-13,117.2596,117.5947,116.2591,116.8614,432930
2017-01-17,116.57,118.2309,116.1523,117.2013,544268
2017-01-18,116.6282,116.9293,114.7935,116.8128,984777
2017-01-19,116.6865,117.4053,116.3514,116.7351,810412
2017-01-20,116.366,116.6458,113.3451,114.6953,1508714
2017-01-23,114.3942,114.8993,114.1513,114.7924,593538
2017-01-24,114.8313,115.4626,114.093,115.4626,676018
2017-01-25,115.6957,116.2397,114.909,115.2295,1260295
2017-01-26,114.9672,115.8997,114.2582,114.4622,508914
2017-01-27,114.8701,114.9867,113.6657,114.705,822147
2017-01-30,114.7536,114.7536,113.4423,113.9765,521760
2017-01-31,114.1708,114.5884,113.1703,113.9182,663951
2017-02-01,114.3165,114.5399,112.976,113.8502,825903
2017-02-02,113.2966,114.705,113.044,114.6661,679706
2017-02-03,115.0352,117.0071,115.0352,116.9002,563053
2017-02-06,116.7351,117.279,115.9192,117.075,1197827
2017-02-07,117.0945,117.8424,116.3271,117.6676,701627
2017-02-08,117.6676,119.1051,116.9585,118.4932,946019
2017-02-09,120.6884,124.6903,119.7074,124.4572,1803806
2017-02-10,124.3309,128.8865,124.0881,126.8175,2566929
2017-02-13,127.0992,127.5452,126.2493,126.3902,896633
2017-02-14,125.7394,127.0895,125.5548,126.5844,709584
2017-02-15,125.5548,126.837,124.6417,126.3319,612570
2017-02-16,126.3707,126.905,125.0886,126.2056,674906
2017-02-17,125.9142,126.4484,125.4869,126.4096,581463
2017-02-21,126.1182,126.7398,125.2347,125.6519,1113712
2017-02-22,125.244,126.021,125.1663,125.3605,1124425
2017-02-23,126.0502,126.3027,124.9924,125.516,765579
2017-02-24,125.516,125.6714,124.2726,125.6714,819623
2017-02-27,125.8656,127.2352,125.4868,127.0604,866809
2017-02-28,127.2741,127.8666,126.6233,127.3518,1300320
2017-03-01,128.8424,129.9433,128.102,129.7484,892482
2017-03-02,129.3003,129.9628,128.6378,129.4854,735383
2017-03-03,129.6608,129.7671,128.4137,129.3782,550601
2017-03-06,128.7839,129.1736,127.8682,128.6573,737671
2017-03-07,128.3845,128.6183,127.722,127.9851,560855
2017-03-08,128.0922,128.93,127.5272,128.4137,715146
2017-03-09,128.4624,129.1444,128.0494,129.1347,386671
2017-03-10,129.729,129.9096,128.9691,129.8264,577563
2017-03-13,129.9433,130.1576,129.2224,129.9433,542841
2017-03-14,129.4562,130.5473,129.1276,130.0505,640045
2017-03-15,130.1771,132.0184,129.8653,131.7066,612595
2017-03-16,131.7651,132.5932,131.317,131.5605,871649
2017-03-17,131.4533,132.6614,131.317,132.6127,855033
2017-03-20,132.8465,132.8465,131.6287,132.2035,502531
2017-03-21,132.2912,132.4178,130.4889,131.619,1667407
2017-03-22,132.0574,134.2056,131.58,133.4505,1180479
2017-03-23,133.4505,133.8792,131.8138,132.1451,600105
2017-03-24,132.2327,133.431,131.8723,132.4276,335040
2017-03-27,131.4826,132.6906,130.5863,132.0574,355681
2017-03-28,131.8138,133.3628,131.3754,132.7783,458340
2017-03-29,132.262,132.6322,131.2,132.184,685973
2017-03-30,132.4373,133.0706,131.7554,133.0413,1054308
2017-03-31,132.7101,133.8402,132.2668,133.2167,620729
2017-04-03,133.129,133.4457,131.5703,132.5932,725337
2017-04-04,132.486,132.8465,131.58,132.3107,391781
2017-04-05,132.4958,134.3858,132.3204,132.8855,868223
2017-04-06,132.7296,132.9147,131.5897,132.564,307820
2017-04-07,132.3691,133.0316,131.7748,132.7101,409855
2017-04-10,132.7004,133.1485,131.882,132.0963,496522
2017-04-11,131.882,132.2425,131.239,132.2425,405226
2017-04-12,131.58,132.2522,131.3072,131.8236,389139
2017-04-13,131.6385,132.788,131.278,131.3852,327364
2017-04-17,131.8918,133.4992,131.2877,133.4992,380052
2017-04-18,133.3239,134.2689,133.3239,133.7525,539374
2017-04-19,133.7331,134.2104,132.866,132.8855,565179
2017-04-20,133.0413,134.1617,132.7393,133.772,493795
2017-04-21,133.9474,134.4053,133.4116,133.7915,482265
2017-04-24,134.5904,135.7692,134.2202,135.6523,668884
2017-04-25,135.8471,136.2661,135.36,135.8764,575298
2017-04-26,135.7497,136.2855,134.8924,135.1652,625122
2017-04-27,129.5731,133.6649,128.2286,132.6809,1593899
2017-04-28,131.882,133.0219,130.7227,131.8236,1177889
2017-05-01,132.486,132.6517,130.976,131.5215,946358
2017-05-02,131.6092,132.9634,131.278,132.9634,656953
2017-05-03,132.6906,133.207,132.3789,132.5737,589189
2017-05-04,132.5445,133.5187,132.4958,133.3336,507958
2017-05-05,133.5967,135.36,133.2654,135.2334,514106
2017-05-08,135.5938,135.9056,133.509,133.6941,416243
2017-05-09,133.4603,134.1227,132.0184,132.3691,451399
2017-05-10,132.4276,133.2946,131.882,132.4081,366648
2017-05-11,132.3009,132.3691,131.2682,132.1548,300556
2017-05-12,132.0769,132.0769,131.0929,131.5703,297377
2017-05-15,131.6385,133.2167,131.1611,133.1095,464467
2017-05-16,133.47,133.9886,131.6677,132.184,303190
2017-05-17,131.2098,131.6482,130.7519,130.7714,526847
2017-05-18,130.898,132.7393,130.0505,131.7846,568292
2017-05-19,132.0281,133.8987,131.8966,132.8562,717165
2017-05-22,133.6551,134.2104,132.7783,133.7623,515555
2017-05-23,133.7818,134.0114,133.0881,133.6157,396157
2017-05-24,133.6059,134.1628,132.6387,133.2542,558099
2017-05-25,133.9576,134.6513,133.645,133.9772,604437
2017-05-26,133.9478,134.7295,132.9318,133.2933,324937
2017-05-30,133.1662,133.7329,132.2283,133.5668,622356
2017-05-31,133.9088,134.1335,133.0978,133.6547,721537
2017-06-01,133.8501,134.8272,132.9416,134.7197,577591
2017-06-02,134.8272,135.6478,134.1726,134.4461,422096
2017-06-05,134.2214,135.4622,133.899,134.9835,458894
2017-06-06,134.6708,135.638,133.9674,133.9772,563814
2017-06-07,134.3484,134.9737,133.7427,134.2214,350588
2017-06-08,134.2214,134.2507,131.4174,132.3358,635716
2017-06-09,132.3651,133.2639,131.5737,132.4042,384515
2017-06-12,132.2479,134.2312,131.8864,133.6841,560006
2017-06-13,134.3875,137.6214,134.2116,137.1134,706649
2017-06-14,137.6605,138.7743,137.0938,137.768,726918
2017-06-15,136.7616,138.4909,136.2438,138.3639,482098
2017-06-16,138.4909,139.8001,138.0024,139.3019,939304
2017-06-19,140.0151,140.699,138.2076,138.5398,785371
2017-06-20,138.0806,138.4186,135.9116,136.3513,697056
2017-06-21,136.7714,136.7714,134.622,135.8335,471694
2017-06-22,135.8628,135.9507,134.368,135.7358,422930
2017-06-23,135.6283,136.405,134.9346,136.1852,588824
2017-06-26,136.4978,137.1329,135.6674,136.2243,252067
2017-06-27,135.8042,136.3513,134.7197,135.1691,291312
2017-06-28,135.9214,136.7519,134.9835,136.3024,504746
2017-06-29,136.0484,136.2145,132.795,133.9967,399018
2017-06-30,134.9835,135.1691,134.0749,134.2605,625878
2017-07-03,134.7295,135.6967,134.0162,134.8369,261422
2017-07-05,134.5145,136.5369,134.2898,136.3415,559233
2017-07-06,135.3743,135.3743,133.518,134.0651,784131
2017-07-07,134.7197,136.2438,134.7099,135.1886,519105
2017-07-10,135.1984,136.0484,134.3875,135.8042,341151
2017-07-11,135.7944,136.2438,135.0616,135.7358,387854
2017-07-12,136.6932,137.3283,136.3611,136.5858,480276
2017-07-13,136.7616,137.0938,135.7651,135.9312,416434
2017-07-14,136.1559,136.8935,136.1559,136.5565,277200
2017-07-17,136.4588,137.4455,136.1754,136.8398,363691
2017-07-18,136.195,138.2662,135.8726,138.2662,427929
2017-07-19,138.4616,139.595,137.9244,139.4386,477702
2017-07-20,139.7415,140.1714,138.8671,139.7024,466649
2017-07-21,139.3409,141.0507,139.3409,140.5817,268700
2017-07-24,140.3375,141.4366,140.048,141.1972,548668
2017-07-25,142.0082,142.0082,140.8455,141.4708,483846
2017-07-26,141.8714,143.6398,141.4314,142.8484,692244
2017-07-27,139.2921,139.6536,135.9214,139.3996,1210522
2017-07-28,139.634,142.2524,139.2677,141.7541,703954
2017-07-31,142.399,143.0536,141.9202,142.0961,729663
2017-08-01,141.93,142.2133,141.2461,142.0863,404308
2017-08-02,142.6432,142.8875,141.461,142.1449,651753
2017-08-03,142.1156,142.1156,140.6404,141.6076,594068
2017-08-04,141.93,142.2133,141.2461,142.0863,404308
2017-08-07,142.0179,142.2817,141.2852,142.1254,588741
2017-08-08,141.6369,141.9789,138.9306,139.0967,623544
