date,open,high,low,close,volume
2017-01-03,52.629,53.5178,52.5541,53.2839,3383005
2017-01-04,53.3775,53.7424,52.7132,52.9658,4155422
2017-01-05,52.8816,53.2465,51.8339,52.5261,2657112
2017-01-06,52.5729,52.9815,52.3951,52.7693,1786481
2017-01-09,53.1436,53.1529,52.5495,52.5729,2130881
2017-01-10,52.8442,53.443,52.76,53.0407,2535001
2017-01-11,53.05,53.8734,52.8817,53.864,2685833
2017-01-12,53.6956,53.7985,53.1155,53.7705,2551152
2017-01-13,53.8453,53.9857,53.2652,53.443,2964516
2017-01-17,53.1436,53.4009,52.3951,52.6851,3152560
2017-01-18,52.7974,53.6582,52.6384,53.5366,2575446
2017-01-19,54.7342,55.5014,54.5283,54.6687,5955059
2017-01-20,54.7342,55.1084,54.6312,55.0429,4193906
2017-01-23,54.9119,55.1328,54.2617,54.5377,3174517
2017-01-24,54.7435,55.6136,54.547,55.3049,3202092
2017-01-25,55.754,56.4885,55.5949,56.3809,4133113
2017-01-26,56.3154,57.0077,55.9598,56.2124,3469556
2017-01-27,56.6615,56.6615,56.1469,56.2686,3260633
2017-01-30,56.2312,56.2405,54.9493,55.333,5213912
2017-01-31,55.2768,55.2955,54.4862,54.8839,5894458
2017-02-01,54.7342,55.2955,54.6125,54.9961,2954532
2017-02-02,54.8371,55.3142,54.6593,55.0897,6198965
2017-02-03,55.3142,55.7259,55.0523,55.7072,3523090
2017-02-06,55.4827,56.0955,55.4639,56.0066,6248054
2017-02-07,57.3539,59.4123,57.0919,58.5141,10588333
2017-02-08,58.0088,58.486,57.7001,58.3925,5735491
2017-02-09,58.5609,59.3936,58.4392,58.6731,3457275
2017-02-10,58.6544,59.3187,58.6544,59.1877,4619032
2017-02-13,59.3749,60.1369,59.3655,60.0204,4056958
2017-02-14,59.5901,60.2216,59.4591,60.0111,3949199
2017-02-15,59.964,60.2091,59.5115,60.0771,5215621
2017-02-16,59.9357,59.9451,58.8077,59.2947,6228880
2017-02-17,58.9365,58.9647,58.1635,58.3426,5091075
2017-02-21,58.4934,58.6442,58.1635,58.6065,4569114
2017-02-22,58.2106,58.6065,58.1823,58.2766,3411219
2017-02-23,58.2294,58.418,56.9285,57.1359,4824736
2017-02-24,56.7683,57.0417,56.3629,57.0134,7139458
2017-02-27,57.0322,57.2773,56.674,56.9663,3501228
2017-02-28,56.806,57.0417,56.4478,56.6552,4204867
2017-03-01,57.2679,57.8712,57.1736,57.3905,6216434
2017-03-02,57.3905,57.579,56.6457,56.8531,3559793
2017-03-03,57.4282,57.4282,56.6363,56.9097,2335536
2017-03-06,56.7494,57.0417,56.3724,56.872,3278744
2017-03-07,56.7871,57.0888,56.6125,56.7683,3749898
2017-03-08,56.9945,57.0228,56.2687,56.3629,2809600
2017-03-09,56.3724,56.5326,55.4862,55.8822,3580059
2017-03-10,56.1744,56.4921,55.8822,56.1084,3478330
2017-03-13,56.1838,56.6929,56.0141,56.6834,4333420
2017-03-14,56.1367,56.1367,55.062,55.5899,3162592
2017-03-15,55.8162,57.0794,55.8162,56.8154,4197864
2017-03-16,56.872,57.1171,56.7117,56.7777,3108399
2017-03-17,56.9757,57.2962,56.4713,57.1265,4896113
2017-03-20,57.0888,57.1218,56.5138,56.6552,2270091
2017-03-21,56.6929,57.0417,55.4768,55.5805,4011683
2017-03-22,55.5899,55.7879,55.2411,55.7313,3264312
2017-03-23,55.7313,56.0236,55.4485,55.6088,2569889
2017-03-24,55.5994,55.9576,55.0338,55.2129,3160240
2017-03-27,54.7038,55.2034,54.1571,55.0809,2587727
2017-03-28,55.0715,56.2553,54.8999,56.033,2799042
2017-03-29,55.7785,56.3158,55.6842,56.1367,2447395
2017-03-30,56.0424,56.4006,55.9482,56.1932,2393074
2017-03-31,56.0424,56.8248,56.0424,56.4289,3420096
2017-04-03,56.3724,56.8437,55.769,56.3912,4280500
2017-04-04,56.231,56.4666,55.9482,56.2875,1967542
2017-04-05,56.6834,57.4093,55.9764,56.1461,3237011
2017-04-06,56.1178,56.5138,55.8727,56.2687,3005225
2017-04-07,56.2121,56.2969,55.7596,55.9576,2162145
2017-04-10,56.0707,56.7777,55.967,56.2027,1968064
2017-04-11,56.0613,56.3724,55.6936,56.3064,2685905
2017-04-12,56.2215,56.3064,54.8735,55.0715,3550893
