date,open,high,low,close,volume
2017-01-03,340.8039,343.8467,338.7913,342.1679,411497
2017-01-04,341.9867,350.352,340.6227,349.0261,644347
2017-01-05,349.3123,352.9274,346.4221,352.689,492920
2017-01-06,352.8702,355.8748,350.9148,353.3948,458371
2017-01-09,353.3948,357.8398,351.1819,355.9702,568303
2017-01-10,356.2755,356.2755,351.0293,352.956,450017
2017-01-11,352.1453,357.5059,351.6779,354.4345,547995
2017-01-12,354.2819,357.4583,351.7828,356.8859,453389
2017-01-13,356.3995,359.7952,355.0259,357.649,260011
2017-01-17,357.4773,361.4263,356.0704,358.7746,363203
2017-01-18,359.7189,361.4168,357.7444,359.3469,353081
2017-01-19,359.3469,364.3356,358.0115,363.5629,628243
2017-01-20,364.3642,365.7664,363.0002,365.5851,397535
2017-01-23,364.9842,369.5246,363.8109,367.5691,533226
2017-01-24,368.6661,371.976,366.3387,371.6803,401668
2017-01-25,371.3464,372.5006,365.4564,366.6916,597835
2017-01-26,365.6042,369.4578,364.8983,366.4817,507466
2017-01-27,367.4833,367.7313,364.3737,365.2894,353009
2017-01-30,364.2688,368.6089,363.3055,368.5421,313007
2017-01-31,368.6184,370.0206,366.0048,367.2162,333620
2017-02-01,367.2353,368.9475,363.3054,363.706,471752
2017-02-02,364.2974,367.5881,362.7712,365.4039,338974
2017-02-03,367.6073,368.5707,366.3673,367.0636,286168
2017-02-06,367.4833,367.903,363.6679,364.059,380452
2017-02-07,364.2497,365.8522,362.7712,363.0765,383494
2017-02-08,364.0208,366.6821,362.8571,366.2528,466569
2017-02-09,366.6916,369.267,364.8697,367.9984,471115
2017-02-10,368.9999,369.6009,366.6058,368.6184,334052
2017-02-13,370.383,370.383,367.0541,368.8473,339234
2017-02-14,369.0476,369.0476,362.5978,364.9842,329605
2017-02-15,362.2657,365.9094,361.2737,363.1909,457244
2017-02-16,357.6967,366.3864,352.6031,355.9607,1233788
2017-02-17,356.5998,361.1401,354.4536,357.0099,606218
2017-02-21,355.8272,359.6044,351.592,354.2056,695816
2017-02-22,354.0434,356.533,352.7271,356.0942,509389
2017-02-23,358.0217,359.6232,353.4569,355.6434,569787
2017-02-24,355.9694,364.2264,354.8187,364.073,593720
2017-02-27,364.2935,365.6265,361.3878,361.7714,356569
2017-02-28,361.5987,364.8833,360.189,360.6493,433881
2017-03-01,360.563,365.569,358.1272,362.4906,490428
2017-03-02,362.5002,362.7064,357.3312,357.4463,603259
2017-03-03,355.9599,360.4,355.6722,360.2849,331500
2017-03-06,356.3147,363.0564,356.3147,362.0687,365352
2017-03-07,362.0974,362.8454,358.6844,359.8534,264107
2017-03-08,360.0356,360.0356,347.0604,348.5276,781476
2017-03-09,349.0743,361.0521,349.0743,360.5918,3220355
2017-03-10,362.3084,364.9073,358.3286,363.6126,1249979
2017-03-13,365.5882,369.9612,363.6606,364.7251,1226233
2017-03-14,364.8881,369.357,363.6389,365.7416,817730
2017-03-15,366.0197,369.6735,363.5935,368.0432,663047
2017-03-16,368.1295,368.2734,361.1001,362.6632,743135
2017-03-17,362.9893,363.2722,359.4122,360.237,1162607
2017-03-20,361.2823,369.5512,360.6781,367.8418,964616
2017-03-21,370.0283,375.3412,366.8445,367.6884,833430
2017-03-22,367.8802,372.5025,367.4486,371.5819,551101
2017-03-23,371.0832,376.8084,369.966,372.1381,718208
2017-03-24,374.6411,376.3385,368.3309,372.1765,1714621
2017-03-27,369.2132,370.5941,366.0053,368.2542,644319
2017-03-28,368.4652,370.9106,367.5397,369.0789,403418
2017-03-29,370.2201,378.2949,368.9638,377.8441,588899
2017-03-30,376.9619,381.6801,375.7343,380.8554,482773
2017-03-31,379.7717,387.0697,379.2634,383.9529,969419
2017-04-03,384.4996,386.7916,380.9417,385.9668,537819
2017-04-04,386.1203,386.1203,381.9774,383.5789,423659
2017-04-05,382.7446,387.9519,381.8431,383.6365,414153
2017-04-06,383.0419,386.4654,382.1788,385.6887,337885
2017-04-07,386.36,387.5108,384.7968,385.2668,424670
2017-04-10,385.027,385.9956,382.7062,384.49,418028
2017-04-11,383.8283,385.1613,380.8362,383.4447,450144
2017-04-12,382.4857,384.1064,380.6636,383.3679,488465
