date,open,high,low,close,volume
2017-01-03,66.4913,66.6361,65.4962,65.9847,1263069
2017-01-04,66.2018,66.6722,65.9938,66.2742,1251210
2017-01-05,66.1928,66.4099,65.4691,66.039,2304422
2017-01-06,65.8038,66.8441,65.3786,66.2561,2516141
2017-01-09,66.4189,66.5546,64.2568,64.3111,2162882
2017-01-10,64.5825,64.7996,64.1302,64.4468,1515336
2017-01-11,64.6458,65.0801,64.5373,64.863,1114980
2017-01-12,64.7544,65.1253,64.5101,64.9806,959548
2017-01-13,65.0167,65.0891,64.5373,64.7544,726642
2017-01-17,65.0801,65.7133,64.9896,65.261,1323286
2017-01-18,65.2067,65.6138,64.9308,65.0348,1217777
2017-01-19,64.9353,64.9353,64.1935,64.3021,1260268
2017-01-20,64.4287,64.682,63.7955,64.3835,961945
2017-01-23,64.5282,64.5825,63.8859,63.9402,787483
2017-01-24,64.0126,64.293,63.6688,63.7231,1267695
2017-01-25,63.5422,63.8769,63.3884,63.8498,1211504
2017-01-26,63.9674,64.1483,63.4517,63.8045,828928
2017-01-27,64.0578,64.2297,63.5422,63.8226,916381
2017-01-30,64.1211,64.1211,63.3432,63.8769,1053946
2017-01-31,63.8769,65.1162,63.8045,64.8087,2035944
2017-02-01,64.3744,64.8268,63.4155,63.9764,1329916
2017-02-02,64.0397,64.6458,63.6869,64.6277,1414693
2017-02-03,64.7996,65.2339,64.6549,64.9715,936714
2017-02-06,65.1253,65.3062,64.7906,64.8358,1323378
2017-02-07,65.0281,65.1472,64.4695,64.7259,1048575
2017-02-08,64.79,65.4219,64.7534,65.3853,943020
2017-02-09,65.2662,65.486,64.6971,65.019,1178785
2017-02-10,64.9274,65.66,64.8083,65.5959,1023696
2017-02-13,65.6325,65.9347,65.4585,65.8981,778875
2017-02-14,65.6417,65.7607,64.6344,64.8267,1483252
2017-02-15,64.9823,65.7607,63.7644,64.8083,1791263
2017-02-16,64.8999,66.7131,64.8025,66.6399,2363659
2017-02-17,66.8505,67.464,66.7223,67.3542,1711276
2017-02-21,67.1252,67.8624,66.7681,67.6838,1225589
2017-02-22,67.5373,67.7571,66.9375,67.5007,1669960
2017-02-23,67.8212,68.9934,67.6747,68.8102,1090463
2017-02-24,69.1765,69.4696,68.7827,69.4146,1259320
2017-02-27,69.4055,69.4696,68.8468,69.1216,1392559
2017-02-28,69.03,70.3212,69.0025,70.2022,1900247
2017-03-01,69.4604,70.2388,69.1399,69.2132,1865353
2017-03-02,69.0208,69.7901,68.6545,69.1765,2009916
2017-03-03,69.2589,69.3322,68.5721,69.03,1038580
2017-03-06,68.9842,69.1124,68.4531,68.6545,1366020
2017-03-07,68.563,68.9293,68.5263,68.682,1481844
2017-03-08,67.9128,68.334,67.0794,67.1161,2033767
2017-03-09,67.0794,67.4732,66.6536,66.9879,1879348
2017-03-10,67.4549,67.5739,67.0886,67.4091,971545
2017-03-13,67.3633,67.8487,67.2626,67.8395,1355788
2017-03-14,67.812,68.0776,67.519,67.638,927403
2017-03-15,67.8853,69.1124,67.638,68.8468,1325488
2017-03-16,68.9842,69.1399,68.4256,68.6362,1543801
2017-03-17,68.4622,69.3871,68.4622,69.0575,2548430
2017-03-20,69.1765,69.3139,68.4897,68.8652,1358244
2017-03-21,68.8194,69.5337,68.7141,69.378,2043209
2017-03-22,69.6161,70.9806,69.6161,70.074,2513002
2017-03-23,69.9,70.5044,69.6985,70.1747,1374990
2017-03-24,69.6436,70.5914,69.6436,70.3395,1293805
2017-03-27,70.5868,70.8486,69.6436,70.0373,1150924
2017-03-28,69.8267,70.1198,69.5978,70.0648,808653
2017-03-29,69.9,70.1106,69.4696,69.7718,579312
2017-03-30,69.7718,69.7718,69.149,69.4604,707825
2017-03-31,69.4787,69.8908,69.4146,69.5611,826776
2017-04-03,69.4146,69.4146,68.8743,69.3139,1045969
2017-04-04,69.3139,69.7901,68.9293,69.4238,1199631
2017-04-05,69.4055,69.8359,69.1033,69.7168,2553636
2017-04-06,69.4146,69.6619,69.0483,69.4879,1079450
2017-04-07,69.5795,70.0099,69.378,69.552,1580335
2017-04-10,69.5795,69.6527,69.149,69.4604,742003
2017-04-11,69.6161,70.3121,69.2132,70.1472,1129207
2017-04-12,69.9091,70.6143,69.671,70.5868,1179926
2017-04-13,70.5318,70.6601,70.019,70.5044,1415895
2017-04-17,70.6417,70.8846,70.4769,70.6326,610541
2017-04-18,70.5593,70.8798,70.3121,70.4128,1062571
2017-04-19,70.4403,70.5044,69.6436,69.9274,972326
2017-04-20,69.8633,69.9046,69.0735,69.4146,737133
2017-04-21,69.4604,70.1564,69.4604,69.9732,1076481
2017-04-24,70.1747,70.3211,69.4055,70.019,2042410
2017-04-25,69.9366,70.3212,69.552,70.248,1555047
2017-04-26,69.8267,70.1472,69.3597,69.5886,1377456
2017-04-27,69.497,70.6692,69.497,70.2205,1333658
2017-04-28,70.367,70.4128,69.5337,69.8359,1344374
2017-05-01,69.9,70.0,69.2864,69.4146,894811
2017-05-02,69.4787,69.8542,69.149,69.8359,1053121
2017-05-03,69.7168,70.2846,69.3963,70.0007,1058903
2017-05-04,69.8817,70.2754,69.8038,70.1106,1171662
2017-05-05,70.2937,70.8981,70.2937,70.8432,858049
2017-05-08,70.8249,70.8524,70.3896,70.6417,1240750
2017-05-09,70.438,70.6686,69.6229,69.6785,922888
2017-05-10,69.7618,70.1601,69.5507,70.0953,1183145
2017-05-11,69.7896,70.1323,69.4284,69.8174,1227347
2017-05-12,69.8267,70.2898,69.7896,70.1138,972212
2017-05-15,70.0675,70.8084,69.9564,70.2064,1003960
2017-05-16,70.2064,70.3731,69.5766,69.5951,707428
2017-05-17,69.6136,70.3083,69.4747,69.8174,1127504
2017-05-18,69.9285,70.3639,69.3543,70.1786,987867
2017-05-19,70.2712,70.299,69.5858,70.1045,1108242
2017-05-22,69.9656,70.9844,69.91,70.7251,1483475
2017-05-23,70.7436,71.3364,70.6649,70.9103,780798
2017-05-24,70.8918,71.4012,70.7807,71.3364,822958
2017-05-25,71.5031,72.3506,71.1048,72.1144,1358457
2017-05-26,72.2348,72.3089,71.8087,71.9199,1065925
2017-05-30,71.9569,72.7905,71.8273,72.4663,1040625
2017-05-31,72.5682,73.6148,72.2904,73.2258,2183658
2017-06-01,73.1147,74.0965,72.7164,73.9761,1684251
2017-06-02,74.2076,74.6244,74.0687,74.3188,976042
2017-06-05,74.2725,74.3465,73.8927,74.2169,1183200
2017-06-06,74.3465,74.3836,73.9622,74.1243,992004
2017-06-07,74.1706,74.6615,74.0872,74.5133,1218383
2017-06-08,74.328,74.3743,73.0545,73.4574,1486825
2017-06-09,73.3092,73.6334,72.7905,73.4296,1105707
2017-06-12,73.4296,74.0224,72.8368,73.3092,1149571
2017-06-13,73.3462,73.726,73.0406,73.5222,789363
2017-06-14,73.8464,74.1057,73.4389,73.5593,1010125
2017-06-15,73.5222,74.2076,73.1332,74.1243,882716
2017-06-16,74.2632,74.2817,73.6148,74.1057,2052499
2017-06-19,74.1798,74.1798,73.4018,73.6334,700350
2017-06-20,73.6704,73.9853,73.4852,73.8557,583582
2017-06-21,74.0409,74.0409,73.0406,73.513,723137
2017-06-22,73.5871,73.8649,73.2999,73.3462,691965
2017-06-23,73.3462,73.7863,73.1332,73.161,1033079
2017-06-26,73.4018,74.0872,73.1517,73.8834,747396
2017-06-27,73.4667,73.7445,72.3459,72.3645,911114
2017-06-28,72.7627,72.8831,72.0588,72.0866,901540
2017-06-29,71.4475,71.6318,70.8733,71.2067,865713
2017-06-30,71.4568,71.7439,71.077,71.1048,1298512
2017-07-03,71.3734,71.3827,70.7529,70.827,529268
2017-07-05,70.864,70.8918,70.2064,70.3546,1045771
2017-07-06,70.262,70.438,69.8452,69.9471,892991
2017-07-07,69.9471,70.5213,69.822,70.1971,907816
2017-07-10,70.1416,70.6232,69.7433,69.7526,1142375
2017-07-11,69.8637,69.9749,69.308,69.6322,1134514
2017-07-12,70.3175,70.4657,69.9749,70.1045,664249
2017-07-13,69.9471,70.0397,69.4284,69.521,888730
2017-07-14,70.0212,70.2435,69.8359,69.9193,524256
2017-07-17,69.9471,70.2064,69.6785,70.0304,1176764
2017-07-18,70.1786,70.2805,69.9008,70.0582,730946
2017-07-19,70.1786,70.3731,69.9054,70.299,718515
2017-07-20,70.3916,70.9474,69.9749,70.827,1280844
2017-07-21,70.8733,71.4938,70.8177,71.4846,1018974
2017-07-24,71.216,71.4846,70.5676,70.6788,718071
2017-07-25,70.6325,70.6973,69.7063,69.8544,891880
2017-07-26,69.697,70.2342,69.6136,70.0582,739752
2017-07-27,69.8452,70.5306,69.7248,70.5306,745826
2017-07-28,70.5398,70.8177,70.1694,70.6232,821855
2017-07-31,70.6139,71.2067,70.3916,71.0585,1699164
2017-08-01,70.9011,71.2252,70.3639,71.2067,1068056
2017-08-02,71.3734,71.9477,70.438,70.8825,1674972
2017-08-03,71.1233,71.5124,70.8455,71.1882,1120705
2017-08-04,70.9011,71.2252,70.3639,71.2067,1068056
2017-08-07,71.1511,71.2808,70.8362,70.9381,1300616
2017-08-08,70.9849,72.6057,70.9475,72.6057,1747405
2017-08-09,72.7368,72.7649,71.9405,71.9593,1073115
2017-08-10,71.8843,72.1466,71.4815,71.9874,1241079
2017-08-11,72.1279,72.1279,71.1723,71.3878,807408
2017-08-14,71.5939,72.3902,71.266,72.1841,670936
2017-08-15,71.6969,72.6994,71.5564,72.6713,1016211
2017-08-16,72.6432,73.2896,72.4652,73.1865,984129
2017-08-17,73.224,73.3926,72.5963,72.6525,612303
2017-08-18,72.5963,73.1303,72.4183,72.9242,875719
2017-08-21,72.9429,73.4582,72.7556,73.3083,1480426
2017-08-22,73.2896,73.7158,73.0928,73.6362,1182508
2017-08-23,73.5332,74.2077,73.4301,74.1702,930939
2017-08-24,74.0578,74.3295,73.7674,74.0016,889980
2017-08-25,74.3482,75.1071,74.1169,74.8073,932219
2017-08-28,74.9478,74.9619,74.4419,74.7979,786728
2017-08-29,75.0509,75.1539,74.5637,74.8073,995923
