date,open,high,low,close,volume
2017-01-03,33.0383,33.0568,32.3343,32.5937,7296274
2017-01-04,32.7326,33.1402,32.6585,32.8716,6651754
2017-01-05,32.8808,33.0198,32.6585,32.8808,5148930
2017-01-06,32.7789,33.5384,32.7141,33.418,6322944
2017-01-09,33.4273,33.5014,32.6493,32.6678,4680781
2017-01-10,32.8067,32.8716,32.427,32.4733,5340534
2017-01-11,32.603,32.8438,32.5289,32.7789,7248196
2017-01-12,32.8067,32.8716,32.6215,32.8252,3591749
2017-01-13,32.7789,33.0105,32.6354,32.8252,5052922
2017-01-17,32.9271,33.3902,32.8993,33.2328,3931725
2017-01-18,33.1587,33.3347,32.9734,33.0753,3016309
2017-01-19,32.9827,33.3902,32.8067,33.1031,5024610
2017-01-20,33.1402,33.242,32.9271,33.1587,5318136
2017-01-23,33.205,33.2328,32.64,32.6956,3636885
2017-01-24,32.6678,32.7928,32.5103,32.5381,5209127
2017-01-25,32.7326,32.8345,32.5844,32.7419,3905913
2017-01-26,32.7882,33.0383,32.5566,32.6863,4521791
2017-01-27,32.8252,32.9086,32.4362,32.4918,3247216
2017-01-30,32.5474,32.5566,32.2325,32.4548,6187282
2017-01-31,32.4548,33.2328,32.4084,33.2328,8093719
2017-02-01,33.029,33.1679,32.4548,32.8345,6461018
2017-02-02,32.8252,33.2513,32.7512,33.1772,3924715
2017-02-03,33.1402,33.2606,33.029,33.1402,4284494
2017-02-06,33.242,33.3439,33.029,33.1679,4029880
2017-02-07,33.1957,33.4088,33.1216,33.3532,3843896
2017-02-08,32.6678,33.6218,32.3899,32.6307,9603845
2017-02-09,32.5566,32.5844,31.9268,32.2788,7608778
2017-02-10,32.1862,32.4825,32.1398,32.4362,7374140
2017-02-13,32.5087,32.9294,32.5087,32.8172,4848784
2017-02-14,33.1351,33.2006,32.6396,33.0603,5540773
2017-02-15,32.7705,32.9481,32.5835,32.9294,4043727
2017-02-16,32.9294,33.1351,32.8453,33.1164,3519095
2017-02-17,33.1538,33.3034,32.8079,33.266,4962991
2017-02-21,33.0884,33.6774,32.9575,33.5839,4476728
2017-02-22,33.5185,33.5839,33.0884,33.3689,4302347
2017-02-23,33.4998,33.827,33.4063,33.64,5224872
2017-02-24,33.7989,34.7713,33.612,34.762,8184779
2017-02-27,34.6778,34.6872,34.028,34.1916,4554701
2017-02-28,34.0981,34.4721,34.0794,34.3225,6048348
2017-03-01,33.9579,34.0981,33.6681,33.7242,4748836
2017-03-02,33.6494,34.2477,33.5278,34.0514,4467944
2017-03-03,34.042,34.042,33.5765,33.9579,3186531
2017-03-06,33.8457,33.9345,33.64,33.7242,3668195
2017-03-07,33.8363,33.9953,33.6774,33.7802,4397779
2017-03-08,33.4811,33.5746,33.2006,33.3969,3954861
2017-03-09,33.3782,33.64,33.3315,33.453,3319207
2017-03-10,33.612,33.7989,33.3969,33.6307,3525877
2017-03-13,33.6307,33.7242,33.467,33.6026,2899338
2017-03-14,33.5372,33.5372,33.2473,33.3221,2925972
2017-03-15,33.4624,34.1542,33.3782,33.9205,5205215
2017-03-16,33.7148,33.8737,33.5559,33.64,3584464
2017-03-17,33.7195,33.8644,33.5933,33.6681,8375920
2017-03-20,33.7615,33.7615,33.1351,33.2567,3690296
2017-03-21,33.1819,33.7896,33.079,33.6213,5446071
