date,open,high,low,close,volume
2017-01-03,52.0746,52.0746,51.1689,51.7143,1729292
2017-01-04,51.6559,52.211,51.5,51.763,1547627
2017-01-05,51.6169,51.7533,51.2955,51.6461,891125
2017-01-06,51.6169,51.8993,51.276,51.7435,882785
2017-01-09,51.8117,51.9188,51.5293,51.6559,1195505
2017-01-10,51.6461,51.9188,51.3734,51.4903,1440798
2017-01-11,51.5195,52.2986,51.4018,52.2694,895849
2017-01-12,52.0357,52.2889,51.8799,52.1331,743674
2017-01-13,52.2889,52.6298,52.1082,52.4642,1039137
2017-01-17,52.1136,52.5713,51.8896,51.9286,1000721
2017-01-18,51.9675,52.4934,51.9334,52.3181,1695210
2017-01-19,52.396,52.4837,51.9091,51.9286,857923
2017-01-20,51.8799,52.1039,51.4903,51.8799,1211269
2017-01-23,51.9383,51.9383,50.5359,50.7501,2264897
2017-01-24,50.8281,51.4027,50.643,51.13,1952627
2017-01-25,51.354,51.6315,50.8281,51.4124,1783173
2017-01-26,51.4708,51.5682,51.1592,51.5487,1248787
2017-01-27,51.539,51.8409,50.9157,51.8312,1002986
2017-01-30,51.7727,52.0541,51.2566,51.578,737273
2017-01-31,51.5487,51.578,50.4288,50.7209,1857184
2017-02-01,50.6138,51.3053,50.4774,50.9254,1444101
2017-02-02,50.8183,51.1007,50.2242,51.0715,1007806
2017-02-03,51.3247,51.9675,51.0657,51.9286,1048525
2017-02-06,51.8701,52.133,51.4416,51.539,645941
2017-02-07,51.7143,51.9383,51.354,51.9091,980334
2017-02-08,51.8409,52.2646,51.5,52.1428,1137401
2017-02-09,52.1136,52.9025,52.1136,52.6785,761488
2017-02-10,52.8927,53.3602,52.5616,53.3018,842984
2017-02-13,53.4381,53.8666,53.3407,53.6524,1040376
2017-02-14,53.3797,54.2562,53.3797,53.7692,1659949
2017-02-15,53.7692,54.636,53.331,54.6263,1231846
2017-02-16,54.636,54.7918,53.6436,54.7042,1185134
2017-02-17,54.6555,55.0256,54.3049,55.0256,1546617
2017-02-21,54.9282,55.2691,54.2465,54.6652,1526027
2017-02-22,54.4315,55.1327,53.8861,55.1132,1942033
2017-02-23,55.1522,55.3177,54.4899,54.5484,1117722
2017-02-24,54.412,55.2301,54.3341,55.2204,1321958
2017-02-27,55.1717,55.2983,54.6944,55.2691,682264
2017-02-28,55.2885,55.7657,54.8308,54.9087,1401698
2017-03-01,55.308,55.8516,54.7724,55.7852,1246167
2017-03-02,55.6197,55.8534,55.2885,55.2983,1521776
2017-03-03,55.347,55.5077,54.7285,55.0256,815790
2017-03-06,54.8113,55.123,54.675,54.9379,768944
2017-03-07,54.7918,55.0548,54.5191,54.5873,783702
2017-03-08,54.7139,54.9379,54.3098,54.4412,802221
2017-03-09,54.4218,54.8308,54.1588,54.3828,995142
2017-03-10,54.4997,55.2593,54.4997,55.1132,1135719
2017-03-13,55.0938,55.4377,54.9379,55.2983,1322562
2017-03-14,55.0353,55.2983,54.6165,54.7918,937870
2017-03-15,55.1035,55.2788,54.5825,54.9866,913012
2017-03-16,54.9477,55.0158,54.4851,54.636,736160
2017-03-17,54.5971,55.0158,54.2757,54.9282,1232274
2017-03-20,54.9671,55.0451,54.5678,54.7821,647057
2017-03-21,54.8503,55.0158,53.9738,54.1296,775740
2017-03-22,54.3828,54.4412,53.9738,54.3731,1097491
2017-03-23,54.4218,54.9477,54.0371,54.412,942171
2017-03-24,54.5581,54.86,54.1685,54.3633,774069
2017-03-27,53.8764,54.3974,53.6913,54.1783,760028
2017-03-28,54.1296,55.2204,54.0809,54.9671,975137
2017-03-29,54.8405,55.0158,54.227,54.86,541452
2017-03-30,54.8016,55.2106,54.7539,55.1424,474536
2017-03-31,54.9964,55.2398,54.6068,55.0158,712842
2017-04-03,54.7237,55.2106,54.451,54.5678,830137
2017-04-04,54.5971,55.1327,54.3244,55.0938,1321906
2017-04-05,55.1327,55.4151,54.675,54.9282,1634822
2017-04-06,54.8308,55.1717,54.5971,54.9964,911729
2017-04-07,54.9087,54.9087,54.2757,54.3146,781455
2017-04-10,54.4218,55.084,54.4218,54.7042,720050
2017-04-11,54.2757,54.5386,54.0712,54.5094,839996
2017-04-12,54.4997,54.4997,54.0712,54.2465,1322748
2017-04-13,54.1783,54.3633,53.9056,53.9056,843248
2017-04-17,54.1101,54.5776,53.6816,54.5581,1258571
2017-04-18,54.2172,54.6263,54.1101,54.412,688419
2017-04-19,54.4705,54.7529,54.1491,54.2854,893892
2017-04-20,54.4315,54.8113,54.1491,54.7431,1412227
2017-04-21,54.86,55.1911,54.4218,55.0256,1799164
2017-04-24,55.5125,55.9605,55.1424,55.7852,1571045
2017-04-25,56.0092,56.2381,55.6781,55.8047,1003846
2017-04-26,55.8144,55.9605,55.2496,55.2788,1200677
2017-04-27,55.3372,55.515,55.0743,55.2788,1603177
2017-04-28,55.4151,55.6878,54.5191,54.6263,1523595
2017-05-01,54.6944,54.8308,54.3633,54.5289,1484663
2017-05-02,54.0809,54.0809,52.5713,52.6298,2275998
2017-05-03,52.0649,52.6785,52.0552,52.6687,1615592
2017-05-04,52.7077,53.2628,52.6493,53.0486,1336094
2017-05-05,53.2433,53.2531,52.8635,52.9706,1170872
2017-05-08,52.4934,52.9609,52.1331,52.2792,1482876
2017-05-09,52.3668,52.4155,51.7922,51.9773,1563682
2017-05-10,51.8604,51.9578,51.388,51.7533,1645155
2017-05-11,51.6169,51.9675,51.1105,51.8701,1486202
2017-05-12,51.8507,52.0065,51.5682,51.6753,894851
2017-05-15,51.7727,52.2305,51.5585,51.987,1063293
2017-05-16,51.9383,52.0454,51.315,51.6948,1361923
2017-05-17,51.2858,51.4708,50.6625,50.8865,1803159
2017-05-18,50.9741,51.6072,50.8475,51.2371,1171427
2017-05-19,51.2663,51.5585,50.8086,51.3734,1145375
2017-05-22,51.4513,51.7338,51.052,51.6656,1655579
2017-05-23,51.6461,52.396,51.5487,52.1818,1272716
2017-05-24,52.435,52.435,51.8604,52.0065,1000307
2017-05-25,52.0552,52.1818,51.1787,51.8701,770370
2017-05-26,51.7825,51.8604,51.5585,51.5682,777340
2017-05-30,51.3719,52.2358,51.0087,52.1278,870687
2017-05-31,52.1572,52.4223,51.8431,52.4027,1314724
2017-06-01,52.4125,53.2273,52.2554,53.1782,1267844
2017-06-02,53.3647,54.0372,52.2358,53.7378,1547372
2017-06-05,53.512,54.0715,53.2371,53.669,1624686
2017-06-06,53.6298,54.0323,53.3058,53.3745,1182643
2017-06-07,53.3156,53.6494,53.0898,53.561,960268
2017-06-08,53.5316,53.8457,53.0702,53.5218,988543
2017-06-09,53.5512,53.8408,53.296,53.8065,999340
2017-06-12,53.9243,54.9845,53.4629,54.7783,1793482
2017-06-13,54.7783,55.2299,54.6115,55.1219,1133323
2017-06-14,55.1318,55.4263,54.9649,55.2986,1491463
2017-06-15,55.0238,56.2509,54.906,56.2018,1355721
2017-06-16,56.0251,56.3196,55.7797,55.976,1952315
2017-06-19,56.2705,56.3687,55.3281,55.3477,1463897
2017-06-20,55.3575,55.3575,54.2384,54.3071,1676254
2017-06-21,54.3464,54.366,53.9635,54.1206,996758
2017-06-22,54.0617,54.2286,53.561,53.7967,641441
2017-06-23,53.9537,54.4544,53.8457,54.3464,1171349
2017-06-26,54.4838,54.9011,54.4348,54.8765,974543
2017-06-27,54.8176,54.9452,54.5918,54.7587,841711
2017-06-28,55.1318,55.5244,54.955,55.2299,893388
2017-06-29,55.387,55.4582,54.8863,54.9354,769908
2017-06-30,55.1514,55.6226,54.8176,55.4459,1197731
2017-07-03,55.7208,56.2901,55.657,55.9466,633688
2017-07-05,55.8582,56.3589,55.495,55.8877,1113786
2017-07-06,55.8091,55.8091,55.0336,55.1514,1184386
2017-07-07,55.3183,55.9367,55.0827,55.8877,815365
2017-07-10,55.8582,56.3294,55.4459,56.1134,1348222
2017-07-11,56.2312,56.4963,55.9466,56.4374,970513
2017-07-12,56.673,56.9086,56.1134,56.1527,1124560
2017-07-13,56.1331,56.2411,55.6913,56.0644,703669
2017-07-14,56.0644,56.4472,55.9858,56.2214,808655
2017-07-17,56.2116,56.7614,55.9662,56.5258,988594
2017-07-18,56.4767,57.9934,56.3981,57.7431,1925522
2017-07-19,57.7627,58.1259,57.586,58.0179,1290710
2017-07-20,57.959,58.2535,57.6842,57.9688,911192
2017-07-21,57.5271,58.4302,57.5271,57.9296,1401447
2017-07-24,57.959,58.2339,57.8412,58.0081,1106441
2017-07-25,58.3811,58.6413,58.1799,58.5088,558373
2017-07-26,58.6069,58.7984,58.4008,58.5677,651113
2017-07-27,58.6364,58.6364,57.2424,57.5663,1708631
2017-07-28,57.6056,58.1357,57.6056,57.7038,793654
2017-07-31,57.7627,58.0376,57.7627,57.802,820661
2017-08-01,57.3749,58.0179,57.3749,57.7136,983542
2017-08-02,57.7234,58.1848,57.3013,58.0572,936345
2017-08-03,57.9296,58.5088,57.6351,58.4695,856285
2017-08-04,58.4499,58.6953,58.2241,58.4695,716814
2017-08-07,58.2732,58.3419,57.9001,57.9787,1154575
2017-08-08,56.2901,56.4472,54.1599,54.8961,2594729
2017-08-09,54.101,54.7194,54.0028,54.6016,1783942
2017-08-10,54.5329,54.7587,53.7132,53.7378,1529243
2017-08-11,53.885,53.9341,53.3254,53.4432,1596297
2017-08-14,53.6003,54.8176,53.6003,54.6802,1452564
2017-08-15,54.6998,54.8961,54.3562,54.5526,901010
