date,open,high,low,close,volume
2017-01-03,111.5861,111.684,109.4677,110.0206,2244824
2017-01-04,110.5392,112.0558,110.275,111.2926,2892317
2017-01-05,111.2926,112.3689,110.4707,112.2221,2167631
2017-01-06,113.9149,115.3435,113.6312,113.9443,3362698
2017-01-09,115.3533,115.4609,113.6409,114.776,3212436
2017-01-10,113.4061,115.7055,113.2104,115.0891,2656780
2017-01-11,115.6273,115.6566,113.7486,114.6781,1545925
2017-01-12,114.4922,115.5783,113.9051,115.4707,1353304
2017-01-13,115.4707,117.8484,115.275,116.2535,2414069
2017-01-17,116.7232,117.8288,115.7055,116.0284,1320016
2017-01-18,116.3905,116.9384,115.3729,116.7721,998654
2017-01-19,117.1439,117.2515,115.8621,116.2828,991525
2017-01-20,117.1733,117.7016,116.1263,117.3396,1485728
2017-01-23,117.4179,118.1028,116.4198,117.4081,1369900
2017-01-24,117.7799,117.9609,116.7036,117.6331,1454478
2017-01-25,118.367,118.8171,117.8093,118.2594,1058334
2017-01-26,118.7193,119.1107,117.9756,118.6214,1110402
2017-01-27,118.7975,119.4531,118.3181,119.3748,945510
2017-01-30,118.7878,119.1792,117.0363,118.915,1621892
2017-01-31,118.8465,119.0324,117.457,118.9737,1130574
2017-02-01,119.1596,119.3259,117.6919,118.1713,1128568
2017-02-02,117.8582,118.6214,117.4375,117.9952,1260834
2017-02-03,118.1126,119.003,117.8973,118.915,1245675
2017-02-06,118.5138,119.4336,117.9071,119.4238,1346827
2017-02-07,119.8641,120.4316,119.1302,119.7075,1949238
2017-02-08,119.3748,120.4316,118.5334,120.1968,1705905
2017-02-09,120.5001,121.2731,119.0813,120.5979,3165247
2017-02-10,122.3201,123.69,118.0344,120.0109,6466857
2017-02-13,120.412,120.412,116.6547,116.9286,3833325
2017-02-14,116.6057,117.5116,116.2633,117.095,2930254
2017-02-15,116.9678,119.277,116.7917,118.2789,2251437
2017-02-16,118.1517,118.8073,117.0754,117.2711,2008430
2017-02-17,116.7917,117.183,115.9991,116.8406,1685049
2017-02-21,116.2633,117.3494,115.8327,116.8308,1955786
2017-02-22,116.6547,118.23,116.41,117.9658,1419680
2017-02-23,118.504,118.504,116.8112,117.0558,1215921
2017-02-24,116.7721,117.0656,115.8621,116.596,1031079
2017-02-27,116.1263,116.7917,115.7936,116.1361,1033353
2017-02-28,116.4394,117.3885,115.9502,116.4785,1795519
2017-03-01,117.232,118.093,115.412,117.8582,1885556
2017-03-02,117.6331,117.8876,116.0089,116.3611,1133232
2017-03-03,117.2907,117.868,116.8406,117.5353,1700165
2017-03-06,117.0852,119.8152,116.6547,118.8758,2243809
2017-03-07,118.3953,120.3666,118.3267,120.0331,1305231
2017-03-08,119.9645,122.4261,119.7291,122.1319,2168112
2017-03-09,122.0829,124.0346,121.6318,122.3085,2199407
2017-03-10,123.044,123.4461,122.534,123.3382,1395612
2017-03-13,123.0538,125.4481,122.789,124.8976,1695915
2017-03-14,124.5642,125.2801,123.9855,125.2016,1074871
2017-03-15,125.5351,127.7025,125.3193,126.9866,2788853
2017-03-16,127.4475,128.595,127.4132,128.2125,2305717
2017-03-17,129.2521,129.6248,128.1145,128.6735,2024636
2017-03-20,128.1341,128.899,126.663,127.3691,1472116
2017-03-21,127.5947,127.8251,124.3092,125.1428,2557641
2017-03-22,124.3386,125.3193,123.858,125.2213,1869351
2017-03-23,124.9467,125.5057,124.3386,124.5936,1028454
2017-03-24,124.9565,126.0647,124.0248,125.2997,1312066
2017-03-27,124.6622,126.202,123.8188,125.3389,1254904
2017-03-28,125.1624,127.2024,125.084,126.5453,1237168
2017-03-29,126.7708,127.6535,126.1628,127.1631,1130060
2017-03-30,126.9474,127.3201,126.3491,126.967,895222
2017-03-31,124.9859,125.2115,123.1519,123.7403,4132763
2017-04-03,123.9071,124.2503,121.9456,123.7109,1758195
2017-04-04,123.3971,123.6619,122.2986,122.6125,1749865
2017-04-05,122.789,124.0444,122.0535,122.5634,3315603
2017-04-06,123.2205,123.3088,121.9358,123.25,1941701
2017-04-07,123.5246,124.7995,122.9361,124.0542,1796835
2017-04-10,124.7309,126.2412,124.4072,125.9862,1742448
2017-04-11,126.3393,126.6728,125.2016,126.6335,2704131
2017-04-12,126.9768,127.3789,126.3916,126.7904,2301351
2017-04-13,126.7806,127.0945,125.643,125.6626,1649998
2017-04-17,126.153,127.8791,125.8784,127.83,1692096
2017-04-18,127.4868,128.4773,126.5561,127.9575,1228696
2017-04-19,128.4773,129.6444,128.2419,128.4283,1136519
2017-04-20,129.0364,130.2034,128.2027,129.3894,1322512
2017-04-21,129.4973,129.816,128.9491,129.4385,1532622
2017-04-24,130.4584,132.2728,130.4584,131.5569,2207372
2017-04-25,132.2336,133.6458,131.9197,132.822,1910195
2017-04-26,132.6357,133.3634,131.6746,133.1359,1834041
2017-04-27,133.4595,134.3618,132.6945,133.5772,2622704
2017-04-28,131.2823,132.8809,129.311,131.1449,4428825
2017-05-01,131.4196,134.2662,131.2872,133.9695,1999813
2017-05-02,133.9695,136.5194,133.6164,136.3135,2486677
2017-05-03,136.8136,137.0,135.1268,136.4508,2567547
2017-05-04,136.696,138.5986,135.8133,138.3828,2706279
2017-05-05,138.2357,138.6869,135.6662,137.6767,2499988
2017-05-08,137.6963,138.2357,135.9898,136.8823,1748730
2017-05-09,136.8529,137.6375,136.5685,136.7156,1743718
2017-05-10,135.8329,137.1667,135.1562,137.1373,1406640
2017-05-11,136.3723,137.196,135.6269,137.1667,1320323
2017-05-12,137.3334,138.118,136.6665,137.1177,1091456
2017-05-15,137.6179,140.5405,137.4707,140.2659,1798349
2017-05-16,140.9131,142.9629,139.9913,142.5706,3021646
2017-05-17,141.2074,142.4039,137.4413,137.7061,4694393
2017-05-18,136.2154,139.54,135.9016,138.5397,1549406
2017-05-19,138.8928,140.2757,138.5103,138.8634,1575193
2017-05-22,139.4028,140.3639,138.7555,139.7657,1579777
2017-05-23,140.2669,141.0137,139.6085,140.0998,931566
2017-05-24,140.3062,141.2594,139.2154,141.2004,1178372
2017-05-25,141.2102,143.4999,141.0825,143.0184,1557384
2017-05-26,142.9397,143.2075,141.0923,142.075,1130896
2017-05-30,141.5149,142.6744,141.279,141.6524,870115
2017-05-31,141.8686,142.5074,140.886,141.2889,1907585
2017-06-01,141.9178,144.5415,141.8097,144.2467,1659523
2017-06-02,144.4531,144.4629,142.9791,143.834,1181513
2017-06-05,143.5588,145.534,143.3033,145.308,1873160
2017-06-06,144.797,145.2687,144.1091,144.3253,901012
2017-06-07,144.7577,144.7577,143.3426,143.8242,898852
2017-06-08,144.6005,146.7525,143.4213,146.6346,1673303
2017-06-09,146.5069,148.0103,139.7264,141.1021,2707577
2017-06-12,139.6871,142.9201,139.0975,141.7802,2581905
2017-06-13,142.2912,144.1976,142.2814,143.3918,1366777
2017-06-14,144.2664,146.9098,143.4802,144.6398,1590890
2017-06-15,142.871,143.4507,141.2594,143.1658,1164770
