date,open,high,low,close,volume
2017-01-03,102.0638,104.5432,101.6158,102.8106,1287520
2017-01-04,102.8106,104.3939,102.034,103.1293,1251025
2017-01-05,103.4878,105.1058,102.3732,103.2289,1053649
2017-01-06,103.199,104.3441,101.6158,103.2189,1011976
2017-01-09,102.4721,102.5617,100.859,100.9984,658567
2017-01-10,101.5062,102.6812,101.1677,102.2729,984331
2017-01-11,102.0937,104.0454,101.4664,103.4678,1204074
2017-01-12,104.0952,104.832,102.253,103.1293,1218281
2017-01-13,102.6912,102.6912,100.6897,100.9287,1844879
2017-01-17,101.9045,102.4821,99.3554,100.0126,1382969
2017-01-18,99.0866,101.0482,98.7082,100.0923,811599
2017-01-19,100.5702,103.0895,100.5702,101.8249,1098135
2017-01-20,102.9501,104.7623,102.1634,102.6712,901804
2017-01-23,102.0638,102.7708,100.8142,101.7552,706389
2017-01-24,102.2829,103.7934,101.8448,103.2986,812979
2017-01-25,103.1293,106.6244,103.1293,104.6727,1291522
2017-01-26,105.4693,108.0383,105.4693,106.246,1475928
2017-01-27,106.2061,107.3413,105.5788,106.2261,660457
2017-01-30,105.8975,106.1564,101.2672,102.0638,1513210
2017-01-31,102.4721,105.0511,102.1435,104.7225,2493061
2017-02-01,105.6186,106.4352,102.8126,105.31,1550691
2017-02-02,105.1108,105.4394,102.2331,104.1848,1206823
2017-02-03,104.2047,105.1407,103.4878,103.9757,1032732
2017-02-06,104.2545,105.1706,102.1833,104.9913,1294756
2017-02-07,103.9358,105.2602,99.6442,99.694,2002731
2017-02-08,98.748,100.3412,95.6413,100.1321,2248577
2017-02-09,100.5702,103.6272,100.5005,103.4878,1200842
2017-02-10,104.8818,106.3157,103.7168,104.3441,1246286
2017-02-13,104.3043,104.4935,102.0638,103.8562,1388454
2017-02-14,103.9657,107.5305,102.3626,107.2218,1964787
2017-02-15,111.3641,113.5149,110.1991,111.3641,3582936
2017-02-16,111.2745,112.2802,108.2474,108.5461,1506923
2017-02-17,107.7197,108.1777,105.8875,107.172,1432171
2017-02-21,109.1038,110.1194,106.0269,106.3854,1567211
2017-02-22,105.5888,106.1862,101.2175,101.5958,2252662
2017-02-23,103.6471,103.7964,98.7281,100.5304,2407959
2017-02-24,99.216,101.4963,98.3796,99.9827,1963147
2017-02-27,100.1421,101.6456,99.6352,101.2175,1056212
2017-02-28,100.0923,101.1677,99.445,100.4308,913235
2017-03-01,102.1435,105.5091,100.9884,105.2602,2284373
2017-03-02,103.9956,105.7481,103.2289,103.3782,1113299
2017-03-03,103.6172,104.8021,102.8206,103.1392,770183
2017-03-06,102.8804,104.3441,102.5816,103.5176,1018839
2017-03-07,104.2844,106.465,103.8559,104.135,1973849
2017-03-08,103.657,104.4038,99.1164,99.3355,1979449
2017-03-09,98.5688,101.317,97.6626,101.0482,1507791
2017-03-10,101.9045,102.492,100.4009,101.0283,1975404
2017-03-13,100.6598,101.9344,100.2733,100.8241,1190326
2017-03-14,99.3753,100.3416,96.5673,97.9315,2139151
2017-03-15,99.0666,102.7708,98.6186,102.4821,2055116
2017-03-16,103.4181,103.6272,101.8547,102.9998,1832105
2017-03-17,103.667,104.8519,103.2587,104.2445,2047975
2017-03-20,102.96,103.5375,101.2971,103.2687,1588236
2017-03-21,102.9799,103.906,100.9685,101.6855,1354635
2017-03-22,101.5958,102.2031,99.694,100.7395,1204593
2017-03-23,100.6698,101.0183,98.7082,99.1762,1856444
2017-03-24,99.4649,100.5105,98.8575,99.3056,1228729
2017-03-27,97.5033,99.2359,97.0254,98.519,1341111
2017-03-28,98.7381,101.0681,98.3696,100.7992,2503807
2017-03-29,100.5503,103.189,99.7736,102.721,1848887
2017-03-30,103.4081,104.0952,102.0738,102.2331,1472871
2017-03-31,101.5859,103.6869,101.0681,103.2737,1217380
2017-04-03,103.0596,104.0553,101.7452,103.6371,956797
2017-04-04,103.1492,106.465,102.7211,106.3157,2099786
2017-04-05,107.2318,107.7097,102.3725,102.502,1833873
2017-04-06,103.3782,104.6826,103.0098,104.2246,1138547
2017-04-07,104.4835,105.1208,102.9501,103.9358,942918
2017-04-10,104.0255,105.2701,102.8505,104.1748,805319
2017-04-11,104.4636,105.6286,102.97,105.5091,1522433
2017-04-12,105.6585,107.4907,104.9814,105.8676,1905691
2017-04-13,106.1862,107.2517,104.0155,104.593,1502106
2017-04-17,104.4238,105.2602,103.5674,104.6926,917282
2017-04-18,103.7367,105.4195,102.2729,102.721,970906
2017-04-19,102.7409,102.9102,99.4251,100.1221,1461902
2017-04-20,101.0681,101.4963,99.7935,99.8433,1274564
2017-04-21,99.8433,101.5859,99.1762,100.8391,1973364
2017-04-24,101.4963,102.6314,99.8533,101.327,1691565
2017-04-25,101.8846,103.6072,100.9486,103.5276,1247956
2017-04-26,102.8704,105.1606,102.5318,102.7708,917832
2017-04-27,101.9244,101.9244,98.509,100.0226,1914037
2017-04-28,100.8689,100.9984,98.7878,99.4152,1019115
2017-05-01,99.445,99.9121,98.3497,98.5389,1241017
2017-05-02,99.0467,99.923,97.0652,97.9614,1629268
2017-05-03,98.5787,102.4422,98.1008,99.8533,2751890
2017-05-04,98.8775,99.1762,93.2415,94.8049,3233267
2017-05-05,94.9841,99.3056,94.9044,99.226,1885659
2017-05-08,98.9671,100.62,98.0809,100.1918,1512722
2017-05-09,99.8832,100.4408,98.8376,99.1961,1044011
2017-05-10,100.0823,102.5617,99.9345,101.9444,1471917
2017-05-11,102.3924,103.0596,100.6798,100.9486,1233310
2017-05-12,100.5702,101.8348,100.4806,101.4664,1236988
2017-05-15,103.6869,104.5532,102.6812,102.8405,990918
2017-05-16,103.1492,104.2346,102.4422,103.5176,1227418
2017-05-17,102.3626,104.0344,101.3071,101.3569,1137648
2017-05-18,100.4806,102.4124,100.4706,101.1876,1039142
2017-05-19,101.8149,103.4479,101.1726,102.6812,1328662
2017-05-22,103.1492,104.0454,101.2274,101.8149,1083270
2017-05-23,101.9941,102.1136,100.1421,100.2217,1152778
2017-05-24,100.2217,100.5404,98.2999,98.9472,1352999
2017-05-25,98.8376,101.5461,97.9116,99.2061,1538329
2017-05-26,99.1463,99.5048,97.3938,97.9912,1363398
2017-05-30,97.3042,97.5332,93.6996,93.8788,2086464
2017-05-31,92.425,93.5104,90.8119,92.3653,2544728
2017-06-01,93.2814,94.4265,92.1064,93.5701,1206691
2017-06-02,93.2615,93.6398,91.0907,91.4492,1481693
2017-06-05,90.8916,91.3695,89.5274,90.2643,1224167
2017-06-06,89.866,92.7088,89.5672,92.3653,1422356
2017-06-07,91.7181,92.3553,87.8148,88.223,1430471
2017-06-08,87.5658,88.8005,86.6696,87.4463,2166880
2017-06-09,87.6952,89.9855,87.2173,89.7664,1430922
2017-06-12,90.1846,91.3128,89.4975,90.2742,2319056
2017-06-13,90.095,92.0666,89.9456,92.0466,1294194
2017-06-14,91.3994,91.8077,88.7308,89.0196,1594199
2017-06-15,88.4022,88.9399,84.2899,85.5046,2805487
2017-06-16,86.0821,86.5078,83.5529,84.5089,2395985
2017-06-19,84.9868,85.9228,84.1116,85.5245,1056077
2017-06-20,83.9313,87.3069,82.8659,86.6696,2091289
2017-06-21,86.3211,88.5715,85.2743,86.3809,2075300
2017-06-22,86.5203,87.8048,85.5345,85.6141,1206501
2017-06-23,85.6639,88.2329,85.4449,88.0238,2374969
2017-06-26,88.3624,88.3684,86.3012,86.9285,1218170
2017-06-27,87.2073,88.2927,86.1917,87.6156,1269039
2017-06-28,87.8844,89.1391,86.1718,86.2315,1245179
2017-06-29,86.8389,88.1135,86.341,86.9186,1526073
2017-06-30,87.1277,88.8603,86.4506,88.4321,1612786
2017-07-03,89.1689,90.2742,88.462,89.9655,723273
2017-07-05,89.1689,89.2788,87.0679,88.1135,1376029
2017-07-06,88.8204,89.4776,85.4249,85.5942,1536125
2017-07-07,85.0266,85.9427,82.4178,85.7237,1441705
2017-07-10,85.3154,87.7948,84.8723,87.6554,1236407
2017-07-11,87.7251,88.462,86.2016,88.2429,862673
2017-07-12,89.2088,90.3091,87.4264,87.7351,982972
2017-07-13,87.745,89.2287,87.3069,89.0395,811700
2017-07-14,89.0992,90.2643,89.0793,90.095,890457
2017-07-17,89.866,90.7223,89.5971,90.085,1115381
2017-07-18,91.5786,91.5786,89.0495,90.0253,1241105
2017-07-19,90.5132,93.5801,90.0552,93.5303,1279270
2017-07-20,93.9983,95.1534,91.6882,91.9869,1373833
2017-07-21,92.0865,92.3952,90.9015,91.5986,1219796
2017-07-24,92.0466,93.6598,91.6633,92.8134,854294
2017-07-25,93.8489,96.0097,93.7344,95.3127,1178921
2017-07-26,96.2089,97.4137,94.9343,96.0695,1023647
2017-07-27,96.0097,96.7167,95.1683,96.1591,1020042
2017-07-28,95.9201,96.9158,95.4621,96.2387,909937
2017-07-31,96.0993,96.2985,94.2074,95.472,1114945
2017-08-01,95.7807,96.2387,94.1377,94.9443,965597
2017-08-02,97.573,97.573,91.4691,95.4322,3738475
2017-08-03,95.9101,96.3781,89.0594,89.3084,2890419
2017-08-04,90.095,95.3426,89.4776,94.8049,2052934
2017-08-07,94.5758,95.7209,92.3752,95.6313,1436388
2017-08-08,95.2131,96.2586,94.0083,94.5758,1905129
2017-08-09,94.4066,96.0097,93.7295,94.1775,1226532
2017-08-10,93.1021,94.2622,91.5786,91.6683,3388742
2017-08-11,91.6284,93.5004,91.5488,92.4748,1182586
2017-08-14,92.4649,93.0394,89.3781,90.3638,1612541
2017-08-15,90.1946,90.2621,87.2671,87.6455,2985668
2017-08-16,87.526,89.2486,87.2173,87.6853,1504290
2017-08-17,87.1277,88.3923,85.4449,85.7336,1396859
2017-08-18,86.0921,87.984,85.3652,86.8887,1345657
2017-08-21,86.6298,87.3169,86.0622,86.7095,761128
2017-08-22,87.4164,87.7886,86.7592,87.058,634075
2017-08-23,86.8588,89.4079,86.4904,88.4819,773355
2017-08-24,88.3624,88.9698,87.3268,88.7408,728716
2017-08-25,88.9997,89.1689,88.1045,88.3624,413637
2017-08-28,88.2628,88.2628,86.1518,87.6554,614046
2017-08-29,87.4961,88.2927,86.2514,87.7948,758694
2017-08-30,87.7152,88.92,86.6398,88.0935,595041
2017-08-31,88.7109,90.7323,88.0935,90.4037,1300542
2017-09-01,90.6825,91.6782,89.8759,91.5289,1435153
