date,open,high,low,close,volume
2017-01-03,52.3341,53.0417,51.6846,52.2372,1842367
2017-01-04,52.2856,53.1289,52.179,52.7897,1041845
2017-01-05,52.7897,53.0708,52.2275,52.2953,1191927
2017-01-06,52.2469,53.3713,52.2469,53.0999,2122195
2017-01-09,52.9351,52.9351,52.2178,52.2469,1456165
2017-01-10,52.179,52.7994,52.1208,52.5086,834212
2017-01-11,52.3632,52.8963,52.3244,52.7994,969901
2017-01-12,52.6346,52.8672,51.5199,52.5764,1330444
2017-01-13,52.6927,52.9448,52.5861,52.6055,995426
2017-01-17,52.431,52.7218,52.1111,52.3438,1338750
2017-01-18,52.431,52.6879,52.0336,52.6346,1624833
2017-01-19,52.5764,53.4585,52.5764,53.1774,1241841
2017-01-20,53.2162,53.7765,53.1386,53.7105,1319665
2017-01-23,53.4973,53.9916,53.4973,53.9141,1063794
2017-01-24,54.2243,55.2421,54.1215,55.0191,1312187
2017-01-25,55.2324,55.4941,54.9805,55.2712,1181680
2017-01-26,55.5523,55.5523,54.3503,54.7283,1170016
2017-01-27,54.9513,54.9513,54.1225,54.2824,876553
2017-01-30,54.3309,54.3309,53.2646,53.9335,1044382
2017-01-31,53.759,54.0353,52.9448,53.4391,1470184
2017-02-01,53.3616,55.2518,53.3616,54.5732,2613722
2017-02-02,54.486,54.4957,53.4488,53.9335,2064337
2017-02-03,54.3309,54.709,54.2631,54.3794,1119485
2017-02-06,54.1564,54.3503,53.9626,54.1467,1118239
2017-02-07,54.3503,54.3503,53.9868,54.108,945560
2017-02-08,54.2049,54.2437,53.5554,54.2243,1081749
2017-02-09,54.1661,54.6605,53.885,54.5539,1230550
2017-02-10,54.709,55.4553,54.3794,55.3196,769050
2017-02-13,55.4263,55.8431,55.0579,55.3293,601489
2017-02-14,55.5426,55.5426,54.4666,55.1161,974926
2017-02-15,55.0579,55.7171,54.864,55.6298,1105364
2017-02-16,55.688,55.9158,55.0385,55.2518,1173453
2017-02-17,55.1161,55.3099,54.6799,55.3099,864426
2017-02-21,55.2712,55.9206,55.1694,55.6201,983015
2017-02-22,55.6201,55.8243,55.1048,55.3381,988001
2017-02-23,55.5909,55.7076,54.7741,55.4937,1440358
2017-02-24,55.2506,55.8146,54.9978,55.8146,814020
2017-02-27,55.8146,56.6314,55.8146,56.6022,1494890
2017-02-28,56.5925,56.5925,55.941,56.2327,1254767
2017-03-01,56.9426,57.4968,56.9037,57.0981,1360647
2017-03-02,57.3315,57.3704,56.8453,56.8842,908993
2017-03-03,57.2926,57.4676,56.8259,57.0981,1577523
2017-03-06,56.7384,56.9717,56.1647,56.3008,1104913
2017-03-07,56.2813,56.7092,56.1987,56.3202,1053422
2017-03-08,56.3105,57.0981,56.117,57.0787,947637
2017-03-09,57.4482,58.1775,57.3023,57.7399,1538333
2017-03-10,58.0025,58.4497,57.9733,58.4109,1111820
2017-03-13,58.1678,58.5518,58.1094,58.44,1200369
2017-03-14,58.1094,58.722,57.9101,58.3622,853165
2017-03-15,58.6442,59.6944,58.6248,59.4513,891208
2017-03-16,59.393,59.9667,59.2763,59.393,1121821
2017-03-17,59.5096,59.636,59.2568,59.3541,1200418
2017-03-20,59.393,59.5972,58.9943,59.2568,581277
2017-03-21,59.3152,59.5485,58.0413,58.09,1497548
2017-03-22,58.09,58.5178,57.7788,58.1191,1522311
2017-03-23,58.1191,58.8679,58.0268,58.5178,756903
2017-03-24,58.5664,58.8679,58.3331,58.7123,1761093
2017-03-27,58.0025,58.6637,57.9149,58.615,989864
2017-03-28,58.4789,59.1596,58.2261,58.9846,785007
2017-03-29,58.6734,59.2179,58.3525,59.2179,1485838
2017-03-30,59.1499,59.4221,58.9457,59.286,1287756
2017-03-31,59.1304,59.3735,58.8484,59.1693,1125560
2017-04-03,59.2082,59.4805,58.5567,58.9457,1402894
2017-04-04,58.8095,59.0964,58.7026,58.9457,1344215
2017-04-05,59.0332,59.4707,58.6248,58.8095,1729039
2017-04-06,60.2389,60.5598,59.5972,60.1417,2099585
2017-04-07,60.0444,60.307,59.85,60.1514,1148992
2017-04-10,60.0542,60.8904,60.0542,60.2584,951843
2017-04-11,60.0931,60.4334,60.0153,60.3459,1385668
2017-04-12,60.0153,60.1222,58.6539,60.0056,2218110
2017-04-13,59.7916,60.3167,59.7916,59.8014,1537344
2017-04-17,59.9472,60.2292,59.7625,60.2098,1030471
2017-04-18,59.8111,60.4237,59.636,60.3362,1060167
2017-04-19,60.5695,61.046,60.3459,60.4334,955685
2017-04-20,60.6668,60.8612,60.414,60.5987,1178213
2017-04-21,60.6765,61.1821,60.5501,61.0849,933121
2017-04-24,61.4738,62.0962,61.4252,61.9017,1182595
2017-04-25,62.631,63.3797,62.0864,63.1366,1855317
2017-04-26,63.3894,64.1868,63.1172,63.7881,1770874
2017-04-27,63.2047,63.72,61.7947,62.4171,3964882
2017-04-28,62.3976,62.3976,61.678,61.9795,2142422
