date,open,high,low,close,volume
2017-01-03,182.3209,185.3502,182.3209,183.4251,1708350
2017-01-04,184.2069,185.0815,183.0928,184.4121,1290348
2017-01-05,184.4121,186.0343,183.6694,184.1189,1207787
2017-01-06,183.8257,187.3731,183.6205,185.917,1658437
2017-01-09,185.2623,186.1906,184.7052,185.3698,1279154
2017-01-10,184.7541,185.575,184.0603,184.1287,1358098
2017-01-11,183.9625,185.1254,183.7182,184.93,1045295
2017-01-12,184.3632,184.5684,182.096,183.1124,1177894
2017-01-13,183.513,184.4023,182.4283,182.7508,1140632
2017-01-17,181.8811,182.4869,180.2393,181.8126,1343809
2017-01-18,182.1938,183.6987,181.5195,182.9658,902954
2017-01-19,183.0049,183.816,181.4511,181.9299,1061296
2017-01-20,181.7833,182.741,180.1709,181.4999,2192856
2017-01-23,181.5781,182.4576,180.1025,181.2361,1070520
2017-01-24,181.285,187.6174,181.285,187.246,2138495
2017-01-25,187.2362,189.6011,186.2689,188.5555,1807030
2017-01-26,187.9301,188.5457,186.7867,188.1939,1067550
2017-01-27,188.3796,191.9465,187.4317,191.4579,1991367
2017-01-30,191.0279,191.0279,186.8209,188.8487,2304075
2017-01-31,185.9463,186.1418,181.9201,184.803,2952325
2017-02-01,184.9691,184.9886,180.5032,182.0276,2076140
2017-02-02,181.8811,182.6637,179.6823,180.4054,1461851
2017-02-03,181.8517,184.6368,181.1677,183.9235,1356345
2017-02-06,186.0929,186.4056,183.4544,183.9137,1352466
2017-02-07,183.9137,184.373,182.9267,183.7378,1158524
2017-02-08,183.4739,183.9919,182.5553,183.6792,955647
2017-02-09,183.9137,185.79,183.5521,184.2753,1347816
2017-02-10,184.4805,186.6499,184.0212,186.5131,1188336
2017-02-13,186.6988,188.7509,186.2883,188.1842,1068266
2017-02-14,187.7151,188.6728,186.9724,188.0767,945344
2017-02-15,188.3796,190.3536,187.8421,190.2363,1308709
2017-02-16,189.9529,190.2852,187.7835,188.9464,1143753
2017-02-17,188.4089,189.2884,187.9174,189.2884,808101
2017-02-21,189.9432,191.1158,189.3471,190.9106,1269635
2017-02-22,189.992,190.0678,188.2232,189.4155,2126083
2017-02-23,189.5816,190.0653,186.3665,186.8258,1806466
2017-02-24,186.3958,188.7119,185.79,188.7119,2209925
2017-02-27,188.575,190.0018,187.4024,189.9432,1777043
2017-02-28,190.0409,190.9497,188.5191,188.5848,1788244
2017-03-01,190.4513,194.0768,190.4513,192.9237,2212688
2017-03-02,192.4937,192.5035,189.8063,190.2754,1786420
2017-03-03,190.1093,190.8422,189.5425,189.9236,822774
2017-03-06,189.5816,190.979,188.9366,189.5327,925133
2017-03-07,189.435,190.1679,187.9887,188.5164,1217585
2017-03-08,188.7119,189.4252,187.6662,188.5262,1206802
2017-03-09,188.7024,188.8982,185.9605,187.3412,1406193
2017-03-10,188.4576,189.3487,186.4383,188.1638,1226562
2017-03-13,187.8896,189.2312,187.4196,189.1137,1283013
2017-03-14,188.8982,189.0255,187.0132,187.4098,1352201
2017-03-15,187.9679,190.23,187.5273,189.2508,1412054
2017-03-16,189.3781,189.9754,188.4478,189.1039,1244011
2017-03-17,189.8677,192.022,188.389,190.5532,2390742
2017-03-20,191.0036,191.4541,188.1932,188.2813,2189255
2017-03-21,189.0843,189.8383,187.7035,187.8602,3352327
2017-03-22,191.6108,193.3832,188.5065,191.8556,6132660
2017-03-23,190.9547,191.0918,185.1771,185.2652,3489778
2017-03-24,185.4121,186.362,183.3459,184.2174,2862327
2017-03-27,182.915,183.7278,180.4766,183.1598,2405919
2017-03-28,183.1206,186.5382,183.1206,185.9507,1675570
2017-03-29,185.51,187.684,185.226,186.9593,1648270
2017-03-30,188.5065,190.3084,187.7035,190.1419,1890764
2017-03-31,189.9264,192.1591,189.2067,191.1015,2175490
2017-04-03,191.7968,193.109,190.3672,191.3072,1796513
2017-04-04,191.0134,192.5019,190.6119,192.1983,1866668
2017-04-05,192.9132,195.0382,191.4443,191.787,1651268
2017-04-06,191.9339,193.1678,191.5814,191.9241,1410529
2017-04-07,191.4835,192.7957,191.317,191.5912,1612006
2017-04-10,192.0612,193.1384,191.1799,191.6989,1152405
2017-04-11,191.0036,191.082,188.6828,188.9864,2393506
2017-04-12,189.1137,189.2214,182.2883,182.4449,3427396
2017-04-13,182.6212,182.9248,179.8989,179.9185,2691576
2017-04-17,180.5452,182.0434,179.2722,181.6909,2372647
2017-04-18,181.025,181.9259,179.7422,179.801,1525900
2017-04-19,181.2992,182.2099,179.0959,179.752,1567339
2017-04-20,180.8096,183.0717,179.9772,182.6114,1672242
2017-04-21,183.101,183.7571,181.3581,181.4363,1724960
2017-04-24,183.6103,184.7462,183.4242,184.6483,1533398
2017-04-25,185.275,186.6361,184.6874,185.0498,1472638
2017-04-26,185.1379,187.0964,184.7168,185.6471,1597959
2017-04-27,186.0584,188.3792,184.8245,187.7329,2119493
2017-04-28,188.105,188.3303,184.8539,185.7646,1377452
2017-05-01,185.9703,186.3424,184.2566,184.3251,1349709
2017-05-02,184.7364,185.8038,184.3349,185.1085,1159487
2017-05-03,185.1183,186.1759,184.5405,185.98,805020
2017-05-04,186.4207,187.2629,185.9409,187.2237,1361509
2017-05-05,187.5371,188.8003,186.7732,188.4282,1116455
2017-05-08,188.1344,188.1344,186.8614,187.1454,1054727
2017-05-09,187.3902,187.6448,185.7068,186.832,1129477
2017-05-10,186.5872,187.0376,185.0889,185.8136,970993
2017-05-11,185.2162,187.1943,184.0411,186.881,1328668
2017-05-12,185.843,188.0854,185.843,187.684,1352265
2017-05-15,187.8994,191.8752,187.302,190.7196,2088507
2017-05-16,190.798,191.1995,190.0048,190.1125,1069227
2017-05-17,188.3401,188.8199,183.1892,183.6005,2284432
2017-05-18,184.5895,186.7844,182.1414,184.8147,1604669
2017-05-19,185.3729,187.2237,184.8343,185.4415,1308085
2017-05-22,186.4403,187.919,185.51,187.6742,1083772
2017-05-23,187.7035,189.2973,186.9691,189.0549,907028
2017-05-24,189.4172,189.8775,188.6045,189.2606,718633
2017-05-25,189.6816,190.8958,188.9276,190.7686,1357556
2017-05-26,189.7502,190.8959,189.5641,190.23,758026
2017-05-30,189.7991,190.9351,188.6828,189.8579,1083520
2017-05-31,190.2496,190.2692,187.9483,189.8187,1303057
2017-06-01,190.5434,194.6269,189.9167,194.245,1420108
2017-06-02,194.9108,200.6395,194.7248,198.8964,3027091
2017-06-05,198.4655,200.1597,197.8682,198.0543,1721009
2017-06-06,197.1142,200.6591,196.6735,198.9552,2120089
2017-06-07,199.0825,202.03,198.2207,201.8734,2175659
2017-06-08,202.2063,202.6372,200.0617,201.5698,1975236
2017-06-09,201.6187,202.8134,200.6982,202.1182,1511814
2017-06-12,201.8636,205.0021,201.0018,204.7817,1841333
2017-06-13,205.5456,206.28,204.1256,205.0755,1211143
2017-06-14,205.761,205.761,203.3814,204.5663,1110276
2017-06-15,203.5283,206.4465,203.45,206.0841,1281066
2017-06-16,206.4758,207.4845,205.2224,206.1331,1842197
2017-06-19,206.848,207.034,204.2725,206.5738,2317989
2017-06-20,206.5639,207.1136,205.1014,205.1014,2344637
2017-06-21,204.1689,209.9209,201.7149,208.3897,3534252
2017-06-22,205.9357,208.7528,204.7676,207.732,2027303
2017-06-23,207.4964,212.9638,207.3658,211.3835,2547216
2017-06-26,212.4043,213.2868,211.0399,211.3933,1246586
2017-06-27,211.0694,212.1491,210.343,210.3823,1542135
2017-06-28,212.208,213.327,211.3197,213.1503,1463268
2017-06-29,213.0031,213.0031,211.0399,211.2657,1574027
2017-06-30,212.4927,214.337,212.0804,213.327,1412775
2017-07-03,214.4656,215.2411,213.3761,213.3761,991703
2017-07-05,213.3957,215.3196,213.0325,214.289,1169979
2017-07-06,213.2976,213.9847,210.6866,211.0694,1501064
2017-07-07,212.2865,214.9564,211.4227,214.4853,1069156
2017-07-10,213.9847,215.938,213.7,214.8386,1018246
2017-07-11,215.0546,215.2165,212.3749,213.5331,1165375
2017-07-12,214.8386,215.2116,213.8571,214.2988,1031575
2017-07-13,214.338,214.5147,213.2092,213.9552,977773
2017-07-14,213.2485,215.408,212.8951,215.0251,1000064
2017-07-17,211.2853,212.4828,207.6338,211.5111,2838896
2017-07-18,211.197,211.197,207.0645,207.1529,2231049
2017-07-19,207.2412,209.0277,206.2302,208.959,2616155
2017-07-20,209.2731,209.5381,207.4473,207.9774,1975904
2017-07-21,206.9173,208.6939,205.8474,208.5958,1235665
2017-07-24,208.1835,209.4694,207.732,208.7627,1035931
2017-07-25,209.8424,211.619,209.7148,210.4215,898328
2017-07-26,210.8534,210.8927,209.5283,209.6952,669206
2017-07-27,209.3222,209.8326,202.4216,203.7173,2374129
2017-07-28,203.8351,205.1014,202.883,204.2081,1076359
2017-07-31,204.532,204.9737,203.8842,204.1983,834105
2017-08-01,205.1504,205.1504,203.7664,204.532,987974
2017-08-02,203.1873,205.8179,202.5002,205.6412,1359941
2017-08-03,205.278,205.8572,204.4437,205.5038,1091014
2017-08-04,205.3664,206.6022,202.618,205.4645,1450103
2017-08-07,205.1504,205.1504,203.7664,204.532,988585
2017-08-08,204.7087,205.5921,202.9124,203.1873,1255802
2017-08-09,202.775,202.8437,200.8806,202.3824,1018730
2017-08-10,202.0094,202.2057,199.7812,199.8008,1110182
2017-08-11,199.6438,203.0008,199.3895,201.0965,1136569
2017-08-14,202.1566,204.1983,202.1566,204.0314,1105207
2017-08-15,204.6695,206.3872,204.1983,205.2191,723019
2017-08-16,205.5725,207.1038,205.4842,205.7688,709690
2017-08-17,205.1504,205.5823,201.5873,201.5873,1028645
2017-08-18,201.4401,203.7468,200.9198,202.2057,930437
2017-08-21,202.2057,202.7946,201.0982,202.5296,980770
2017-08-22,203.1873,205.7394,203.0008,205.4253,701472
2017-08-23,204.483,204.9933,202.2057,203.256,1015822
2017-08-24,204.1885,204.2277,201.8523,202.8633,598170
2017-08-25,203.9038,205.1602,203.3739,203.9333,614224
2017-08-28,204.5909,205.3848,203.9988,204.9934,640079
2017-08-29,203.6388,207.7516,203.4032,207.4081,824346
2017-08-30,208.2719,210.5393,207.6633,209.8424,1010673
2017-08-31,210.7945,211.1872,209.4399,210.4313,1088535
2017-09-01,211.1577,212.7184,210.5491,211.089,825644
2017-09-05,210.2547,210.9614,208.4878,209.332,1044610
2017-09-06,210.0583,210.7749,208.0068,208.0068,1134826
2017-09-07,208.7823,210.0583,208.2032,209.7246,881562
2017-09-08,209.2621,209.2621,206.2908,207.0878,1600975
