date,open,high,low,close,volume
2017-01-03,46.5349,47.3567,46.3435,46.9179,990447
2017-01-04,47.1476,47.5114,46.9849,47.4444,593427
2017-01-05,47.2721,47.8656,46.4009,46.5732,1176141
2017-01-06,46.7934,47.0519,46.1999,46.7743,972695
2017-01-09,46.3339,46.803,46.0467,46.4392,741454
2017-01-10,46.6402,47.0519,46.2382,46.9179,510875
2017-01-11,47.071,47.588,46.7168,47.5114,870008
2017-01-12,47.5305,47.5305,46.2477,47.2051,1256976
2017-01-13,47.2051,48.0762,47.2051,47.6359,684590
2017-01-17,47.5688,47.923,47.0519,47.4157,1108784
2017-01-18,47.3774,47.8369,47.0902,47.7316,638625
2017-01-19,47.9039,48.5262,47.588,48.1815,875270
2017-01-20,48.507,48.8995,47.9518,48.1145,1284384
2017-01-23,48.4304,48.5453,47.4061,47.8656,875062
2017-01-24,48.2198,48.9761,48.0092,48.7751,1359938
2017-01-25,48.9186,49.6749,48.7751,49.6366,1469709
2017-01-26,49.5983,49.876,49.0335,49.3399,1447852
2017-01-27,49.2441,49.4643,49.0432,49.2441,1159255
2017-01-30,49.1867,49.1867,47.7938,48.3251,1238093
2017-01-31,48.0858,48.1654,46.7456,47.0615,1748244
2017-02-01,47.1859,47.7316,46.7264,47.1668,1102284
2017-02-02,46.8604,47.004,45.9127,46.1329,2063141
2017-02-03,46.2669,46.7743,46.1616,46.5732,1739958
2017-02-06,46.3052,46.8126,45.9317,46.2956,949923
2017-02-07,46.5445,47.5305,46.4296,47.4731,1881242
2017-02-08,47.2146,48.9857,46.9274,48.4687,2829582
2017-02-09,48.6985,49.0622,48.4017,48.5166,1463427
2017-02-10,48.7751,49.0144,48.5166,48.7846,2306189
2017-02-13,49.0144,49.6079,49.0144,49.3016,1410619
2017-02-14,49.0144,49.3207,48.6219,48.7559,1719615
2017-02-15,48.6219,49.0622,48.4687,49.0144,2007684
2017-02-16,49.158,49.3782,48.373,48.641,2255261
2017-02-17,46.4296,47.8943,46.1233,46.3052,5094007
2017-02-21,46.1424,47.1093,46.0946,46.3148,2124087
2017-02-22,46.0563,46.669,45.8696,46.5732,1984845
2017-02-23,46.803,46.9753,44.7256,44.7831,2350478
2017-02-24,44.3714,45.6925,44.0365,45.6829,2410724
2017-02-27,45.6255,45.9701,45.2521,45.8935,1061306
2017-02-28,45.7404,45.9223,44.3427,44.4671,1587255
2017-03-01,45.1851,46.3148,45.1851,46.0371,1465513
2017-03-02,45.9031,46.1041,44.9267,45.0224,1682781
2017-03-03,45.0798,45.2569,44.3906,44.5342,1005374
2017-03-06,44.0746,44.448,43.9789,44.18,1071475
2017-03-07,44.247,44.5054,43.9215,44.0364,1186712
2017-03-08,44.1034,44.3906,43.8449,44.0076,2223072
2017-03-09,43.8928,43.9789,42.8684,43.2897,2575691
2017-03-10,43.5864,44.1608,43.5577,44.0364,1398550
2017-03-13,44.0842,44.6395,43.9215,44.247,1020937
2017-03-14,43.8066,43.9598,42.8014,43.5481,1811658
2017-03-15,44.3331,45.4819,43.9885,45.166,1726153
2017-03-16,45.2617,45.4915,44.5054,44.9171,1103081
2017-03-17,45.032,45.1181,44.5246,44.9841,1332756
2017-03-20,44.9745,45.0032,44.5054,44.7831,873405
2017-03-21,44.9745,45.1468,43.7492,43.8545,1225421
2017-03-22,43.6334,44.3928,43.5997,44.1717,1633805
2017-03-23,44.1333,44.561,43.9987,44.2967,879482
2017-03-24,44.4217,44.7389,43.6622,43.8833,1011250
2017-03-27,43.8833,45.3253,43.1431,45.1522,1807711
2017-03-28,45.0657,45.681,44.9504,45.3541,1332586
2017-03-29,45.2195,45.7963,45.1715,45.5656,812310
2017-03-30,45.5752,46.4981,45.431,46.1424,1632270
2017-03-31,45.9021,46.7192,45.8588,46.5461,1395316
2017-04-03,46.5461,46.8153,45.6425,46.2866,1622578
2017-04-04,46.3154,46.3539,45.8348,45.979,1488014
2017-04-05,46.4019,47.2094,45.8155,45.8444,1109305
2017-04-06,45.9693,47.1325,45.8155,46.9018,1470640
2017-04-07,46.748,47.1806,46.4212,46.7576,1014719
2017-04-10,46.9499,47.5074,46.623,47.2959,1036421
